Cooler Classic 36,Club - Mixed ,16,8,2025
Milwaukee,WI,2025-08-16,2025-08-17
https://play.usaultimate.org/events/Cooler-Classic-36/schedule/Mixed/Club-Mixed
No Touching!,1
37,Carolina Szoepe
b,r,e,a,k
The Chad Larson Experience,23
teamInfo,,"Ames, Iowa",https://clx-ultimate.com,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Ben Masterson
0,Charlie Hubbard
0,David Dalton
0,Emily Wilson
0,Jayna Wanamaker
0,Kaitlyn Gehrels
0,Kate Blankenship
0,Lucy Leither
0,Michael Stevens
0,Peter Rethwisch
2,Logan Grothus
6,Tara Lamb
11,Jacob Badger
13,Evan Ford
14,Cole Davis
14,Taylor Hanson
15,Marissa Lyon
20,Rebecca Crown
22,Nick Culver
28,Alex Gustafson
41,Brian Goode
69,Jacob Thomae
71,Dayton Wright
99,Kaira Carter
b,r,e,a,k
Arms Race,24
teamInfo,,"Iowa City, Iowa",,,
0,Nathan Bielecki
0,Sumner Wallace
3,Max Swinton
7,James Hean
8,Jordan Keller-Wilson
10,Tony Abdel-Malek
12,Jason Chen
12,David Lopez
13,Meghan Zeller
16,Thomas Helm
18,Ashley Pepple
19,Mike Keller-Wilson
22,Nicole Johnson
23,Anne Boxeth
25,Jack McIntyre
32,William Walters
40,Hannah Rust
44,Anna Lane
48,Skylar Hoffman
50,Ashley Schlapper-Sevcik
83,Cody Sevcik
99,Rocio Cauldron
b,r,e,a,k
Dinosaur Fancy,32
teamInfo,,"Madison, Wisconsin",,,
0,Aric Doak
0,Clay Schelitzche
0,Lani Jensen
0,Lisa Phillips
0,Martha Miltko
0,Nathan Kleinhans
0,Reed Gardner
0,Sammy Chandhok
7,John Pavek
03,Caroline Fallon
06,Jill Ghilardi
08,Katelyn Hoffman
12,Kristi Frisch
12,Margaret Punt
20,Colin Punt
21,John Schaefer
24,Caleb Sherwood
28,Emily Everhart
35,Devin Goines
41,Molly Schelitzche
43,Toby Wex
66,Laura Hsu
69,Kyle Cleary
82,Logan Campbell
84,Vincent Hsu
88,Paul Bolanowski
b,r,e,a,k
Lake Superior Disc,26
teamInfo,,"Duluth, Minnesota",,,
0,Auda Ilvedson
0,Emma Jansen
3,Paul Valley
6,Anne Senechalle
01,Ryan Nord
03,Clayton Bracht
05,Aaron Kueffer
10,Yiming Liu
11,Zach Wood
13,Sam Voigt
15,Andrea Wynands
16,Cedar Corey Flatau
19,Ella King
23,Bill Stafford
24,Sarah Lehnertz
32,Timothy Kuhn
42,Sarah Bakko
51,Anthony Raona
57,Lucy Weld
65,Kevin Huseth
69,Bryce Hebert
71,Aaron Pinney
89,Julia Record
b,r,e,a,k
Mastodon,28
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/MastodonUltimate/?ref=aymt_homepage_panel,https://www.twitter.com/MastodonUlti
0,Amara Seth
0,Benjamin Bollig
0,Charlotte Olson
0,Justin Marshall
0,Lynx Yuan
0,Nicole Helmholdt
0,Ryan Wenger
0,Sophia Reiner
1,Kara Vogel
1,Frederick Grimm
1,Jack Grimm Ketter
2,Lai Jiang
4,Lindsey Tushman
5,Alex Huml
6,Craig Umland
7,Amzie Yurko
8,Edward Larson
9,Erik Nuenninghoff
10,Emma Petersen
16,Alec Li
18,Brooke Lewis
22,Dylan Petersen
23,Jayd Phelps
29,Edward Moy
84,Hannah Seeley
99,Kaitlyn Hoang
b,r,e,a,k
The Midwest Goodbye,27
teamInfo,,"La Crosse, Wisconsin",,,
0,Cardon Leske
0,Sean Jaffe
02,Conner Dopp
05,Michael Kenitz
07,Andrew Ericson
09,Arik Waldinger
11,Lance Barnewitz 
12,Anna Bowes
13,Kelsi Hausman
15,Rebecca Dray
16,Owen Anderson
17,Marite Olmstead
19,Sarah Appelen
21,Sally  Manninger
22,Cody Suchla
23,Melissa Weaver
24,Aly Christensen
25,Ryan Koelbl
25,Traci Otto
30,Kelly Hewitt
33,Jay Puffer
41,Emmet O'Connell
69,Joey Kratzer
88,Chris Rogers
b,r,e,a,k
Pandamonium,30
teamInfo,,"Twin Cities , Minnesota",,,https://twitter.com/pandamentals
0,Eric Vandermolen
0,Erik Bredesen
0,Erin Henry
0,Huldah Gronvall
0,Jesse Peterson-Brandt
0,Katherine Johnson
0,Katie Sherer
0,Kevin Pochatila
0,Lauren Cains
0,Brigitte Forster
0,Bryan Soto
0,Carl Nelson
0,Dan Distad
0,Elsa Anderson
0,Mito Imagawa
0,Stephanie O'Connor
0,Vincent Belsito
0,Alison Kidd
2,Lauren Ostrem
4,Emmett Forster
5,Ally Adair
9,Brian Thompson
12,Whit Leming-Salisbury
22,Mikhail Golben
89,Micah Peterson-Brandt
b,r,e,a,k
Zero Turn Lawnmower,5
teamInfo,,"Houston, Texas",,,
6,Nicky Carranza
03,Joseph Williams
06,Skylar Dixon
07,Shiru Liu
09,Mary  Wynn
10,Christine Goh
11,Jack Joshi
14,Grant Hardy
16,Dylan Zeringue
17,Emilie Williams
18,Dixie Feng
23,James Zuraw
24,Shaun Seidenberger
27,Jocelyn Jessop
31,Brandon Lin
32,Lauren Schwartz
34,Mitchell Lutz
44,Robert Benson
70,Anna Nelson
77,Caleb Dixon
82,Sarah Downing
b,r,e,a,k
Pushovers,2
teamInfo,,"Lake Elmo, Minnesota",,,
0,Alexander Kucich
0,Ethan Landgreen
1,Derek Anderson
2,Sydney Mier
3,Carly Rasmussen
4,Hannah Hackenmueller
7,Michael Scharlau
8,Erin Marshall
9,Kendra Anderson
10,Kyra Anderson
12,Joseph Ling
22,Jalen Bolton-Steiner
24,Anna Benishek
27,Nora Verner
29,Russell Smith
31,Ross Screaton
33,Erick Knudson
37,Elizabeth Curtiss
42,Sam Baker
43,Nathan Wang
57,Christopher O'Mara
62,Marcus Cannon
78,Sophia Vaccaro
95,Eric Volkmeier
95,Charlotte Gingo
b,r,e,a,k
ConSTLation,7
teamInfo,,"St. Louis, Missouri",https://www.instagram.com/constlationultimate/,,
01,William (Will) Imming
02,Kiersten Ruff
03,Catherine Evers Smith
04,Sabrina Lavezzi
06,Rusty McDonald
08,Henry Fremont
10,Devin Belvin
11,Rebecca Storey
17,Madison Stiebel
18,Jonathan Bauer
19,April Ratliff
21,Lucien Kisch
23,Ryan Whisenhunt
24,Raymond Moylan
25,Anne Underwood
26,Carla Danica Macay
29,Raiyan Hamilton
32,Diya Diwakaran
36,Brandon Skoba
39,Sandy Gu
42,Hannah McCullough
44,Nathan Gibbons
54,David Storey
73,Dustin Tierney
b,r,e,a,k
Boomtown Pandas,12
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/BoomtownPandas/,https://twitter.com/boomtownpandas
0,Anna  Goforth
0,Anna Robinson
0,April Peterson
0,Daniel Seybold
0,Grant Hallan
0,Karin Wirth
0,Leah Wheatley
0,Megan Sokup
0,Molly Snow
0,Ryan Sokup
1,Caitlin Clevenger
2,Edward Kaul
3,Eli Melnick
12,Megan Lagerquist
13,Maxwell Underhill
16,Drew Byrne
16,Ada Lynn
17,Grant Dowling
18,Anna Jenstead
24,Odette Herrand
25,Michael Van Haren
29,Sarah Doege
29,Yuhao Wu
52,Harsh Zaver
53,Thomas Hotvedt
94,Derek Weisberg
b,r,e,a,k
Prion,13
teamInfo,,"Champaign, Illinois",www.prionultimate.com,,
0,Carter Rodgers
0,Dani Hartt
0,Danielle Merrifield
0,Anne Cook
0,Gang Xu
0,Giovi Kelly
0,Grace Cook
0,Hannah Jackson 
0,Jeffrey Lefkovitz
0,Kevin Tanner
0,Maria Janina Sarol
0,Michael Hu
0,Nora Schnulle
0,Scott Nelson
0,Sergio Sanchez
2,Jeremy Goodsitt
13,Elena Gratton
14,Kailey Frangella
18,Eleanor Vandel
20,Mukil Guruparan
22,Andrew Almeter
29,Jake Corley
42,Kevin Tan
47,Artemis Andsager
69,Eric Badger
b,r,e,a,k
Point of No Return,25
teamInfo,,"Stevens Point, Wisconsin",,https://www.facebook.com/PointOfNoReturnUltimate/,@PointUltimate
0,Matthew Pagel
0,Tennyson Umlauf
5,Nathan Daily
7,Alexandria Lima
8,Kaylee Gransee
8,Kylie Abel
9,Grant Hellestad
10,Pedro Ivo Saldanha
12,Haley Densow
15,Abby Jones
17,Katie Daily
19,Stephanie Kumbier
20,David Jones
21,Joel Hielema
22,Kaitlin Horgan
23,Luke Rospert
24,Amanda Hellestad
31,Steve Piazza
33,Jake Boreen
40,Joe Verstegen
48,Joshua Hielema
59,Rebecca Marsh
66,Natalie Gruben
80,James Lima
87,David Horgan
b,r,e,a,k
Limbo,21
teamInfo,,"St. Paul, Minnesota",,,
0,Adi Megiddo
0,Alex Roth
0,Carly St. Martin-Norburg
0,Claire Knopf
0,Clara DeForge
0,Emma Goldstein
0,Ewan Lang
0,Elise Gautier
0,Joe Brandt
0,Leo Dungan-Seaver
0,Lucy Kuempel
0,Norah Gonzalez
0,Stella Bultman
11,Simon Koeper
17,James Lehner
22,Donna January
30,Geez Dube
30,Adam Ali
31,Else Gerber
37,Seamus McMurrer
45,Thomas Mattimiro
54,Sawyer Neske
69,Dylan Lian
76,Jackson Meehan
b,r,e,a,k
Risky Business,22
teamInfo,,"Dallas, Texas",http://www.riskybusinessulti.com/,https://www.facebook.com/RiskyBusinessUltimate,https://twitter.com/RiskyBizUlti
1,Kendric Harris
2,Shailie Thakkar
5,Nicolas Rodriguez
7,Madelyn Parker
8,Chris Pleshek
9,Christina Jones
10,Dalio Losch
11,Donovan Gleeson
14,Cade Lopez
16,Sami Hess
17,Jasa Fuller
18,Dalton Lovins
19,Nandhini Parthipan
20,Kayla Marie Pernis
22,Colton Green
23,Matthew Smith
24,Hailey Daniels
30,Maya Bhaidasna
31,Aaron Dyreson
33,Preston Howell
65,Samuel Bondurant
87,Josh Venter
88,Aimee Graham
99,Kristen Harmon
b,r,e,a,k
Lemonade Ultimate,29
teamInfo,,"Minneapolis, Minnesota",,,
0,Alec Miller
0,Athena Bolton-Steiner
0,Donald Post
0,Jacob Lamont
0,Mari Shumaker
0,Maria  Angélica 
0,Mason Meyer
0,Nathaniel Rowe
0,Neil DeVries Smith
0,Noah Lopez
0,Quin Villwock
0,Sadie Eskola
0,William Moen
1,William Ahlstrom
2,Christina Lacher
7,Kabor Namarra
14,Andrew Dong
20,Ryan Cole
22,Rory Coleman
28,Laura Osterlund
30,Rosa Rudolph
71,Christopher Lovagnini
99,Sigurd Ostlie-Olson
b,r,e,a,k
Great Minnesota Get Together,31
teamInfo,,"Falcon Heights, Minnesota",,,
0,Andrew Zumbusch
0,Austin Downs
0,Brooke Robbins
0,Carmen Edmond
0,Dan Monfre
0,Daniel Herrera
0,Dustin Berglin
0,Jennifer Degen
0,Katie Pace
0,Kiera Klutzke
0,Lauren McPherson
0,Eric Leppink
0,Nathan Hubbard
0,Ryan Reding
0,Sam Pepe
14,Declan Monahan
14,Ben Valley
17,Ellie Clarin
25,Jack Spadafore
26,Alyson Sato
32,Charles Robshaw
42,Meghin Davis
88,Melissa Lo
b,r,e,a,k
Mad Udderburn,17
teamInfo,,"Madison, Wisconsin",https://www.Instagram.com/madudderburn,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,Aubrey Schoff
00,August Wietfeldt
00,Austin Johnson
00,Bo Strauss
00,Brittany Hoegh
00,Catherine Patterson
00,Emma Marrs
00,Eva Eckel
00,Glenn Poole
00,Hannah Nygard
00,Joey Knutson
00,Jordyn Connaughton
00,Joshua Wang
00,Kelly O'Connor
00,Mara Glinberg
00,Matthew Becker
00,Megan Timm
00,Nicholas Gerber
00,Peter Scott
00,Peter Reinhart
00,Sarah Ross
00,Tom Dolan
00,Abby Davison
00,Adam Klopfenstein
00,Alex Larsen
00,Alex Henige
b,r,e,a,k
Madison United Mixed Ultimate,14
teamInfo,,"Madison, Wisconsin",,,
0,Amanda Strickland
0,Keith McCarthy
0,Kylee Martens
0,Kylie Moynihan
0,Sarah Guenther
0,Theresa Olson
0,Zach Hallum
3,Jordan Speicher
9,Ronaldo Lopez Vega
12,Kaylin Weber
12,Kevin Scopoline
15,Amanda Roesch
16,Kyle Halstater
16,Jeremy Wilson
18,Erin Niesen
21,Ana Alejandre-Lara
22,Margrethe Hippensteel
22,Maximilian Nytko
25,David Cann
32,Maggie Lincoln
36,Alec Wallach
89,Patrick Kopp
96,Andrew Taber
99,Emma Cosby
b,r,e,a,k
RAMP,10
teamInfo,,"Chicago, Illinois",http://rampultimate.com/,,https://twitter.com/RAMP_ultimate
0,Alexandra Moxley
0,Anna Martinello
0,Conrad Nguyen
0,DeAngelo Barragan
0,Ellie Lind
0,Emily Molloy
0,Ethan Jones
0,Gina Stees
0,Jake Blatt
0,ManHua Zhu
0,Molly Cowley
0,Nathan King
0,Samuel DeVine
0,Seokhee Burningham
0,Tess Buchanan
8,Peter Walsh
20,Courtney Rachke
30,Caleb Moran
31,Justin Forman
32,Sean McSweeney
47,Penelope Wu
71,Matt Gubernick
94,Gloria Adeola
b,r,e,a,k
ELevate,15
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
0,Karli Bigler
00,Lucy Carlisle
01,Will Hsieh
04,Eric Klaus
05,Emma (Riley) Fink
06,Beau Finley 
09,Meryl Davis
10,George Tobin
11,Chris Wang
13,Callie Floyd
14,Samantha Swank
15,Maggie Johnson
17,Shamaul Dilmohamed
21,Jonathan Schrag
24,David Johnson
29,Maria Aiura
33,Marina Jacobson
35,Brendan Eltzroth
45,Aaron Bryant
73,Lake Fleming
77,Thomas Freeman
78,Tanner Boyle
81,Jake Smith
87,Hannah Olivares
91,Liz Biggane
93,Katy Ross
b,r,e,a,k
Mousetrap,19
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/mousetrapulti,https://twitter.com/MouseTrapUlti
1,Emily Demalis
3,Kaden Mettel
4,Ezekiel Roth-Reynolds
4,Zach Laubscher
5,Jonathan Pizzo
6,Spencer Olsson
7,Zeke Witter
8,Isabelle Johnson
10,Eric Sjostrom
13,Gabriel Driscoll
17,Alexander Gravatt
18,Ben Stanger
21,Camille O'Connell
22,Kevin Hallman
24,Matthew Mills
25,Abigail Fischer
27,Mary  McKinley
28,Eleanor Knauss
29,Lily Mae Abels
33,Nicole Wang
36,Catherine Morita
