Cooler Classic 36,Club - Men ,16,8,2025
Milwaukee,WI,2025-08-16,2025-08-17
https://play.usaultimate.org/events/Cooler-Classic-36/schedule/Men/Club-Men/
I-69,5
teamInfo,,"Indianapolis, Indiana",,,
69,Christian Geary
69,Cole Hyzer
69,Connor Modglin
69,Jack Kempe
69,Jake Wahl
69,Jason Kempe
69,Jesse Rumsey
69,Joel Close
69,Mace Chope
69,Matthew Weaver
69,Nathan Close
69,Noah  Wahl
69,Richard Ware
69,Samuel Ingham
69,Sedrik Sweet
b,r,e,a,k
Zoboomafoo,9
teamInfo,,"Madison, Wisconsin",https://www.instagram.com/zoboomafrisbae/,,
0,Hayden West
0,Koby Seaborne
0,Nicholas Gohar
1,Kendrick Koehler
2,Tafika-Kenan Valhmu
5,Joseph Nelson
6,Nicholas Tangwall
8,Samuel Erickson
9,Ryan Munger
11,Jacob Calbaum
12,Jack Dipaolo
14,Will Hager
15,Justin Rummelhart
19,August Williams
22,Nolan Baxendell
23,Noah Pollack
24,Max Junga
27,Jacob Meves
33,Ian Westerberg
39,Sam Pieper
44,Alex Kreuger
77,Max Sponseller
88,Kieran Mandli
91,Michael Merwin
99,Daniel Lang
b,r,e,a,k
ELDL,6
teamInfo,,"Lansing, Michigan",,,
0,David Zoldan
0,Dom Zampardo
0,Jacob Pruitt
0,Jaden Hanold
0,Jordan Gabrielse
0,Mitchell Savage
0,Noah Sawyer
0,Sawyer Fil
0,Stanley Jian
0,Marc Canellas-Salles
0,Matthew Martell
0,Tyler Paparella
1,Michael Mansfield
2,Joseph Sogno
4,Trevor Polisuk-Balfour
4,Gabe Ecenbarger
8,Dan Donovan
32,Elliot Davis
34,Colin Beauregard
40,Jackson Willits
45,Aiden Rudy
69,Chris Walsh
b,r,e,a,k
Fuse,11
teamInfo,,"Milwaukee , Wisconsin",,,
0,Benjy Keren
0,Ali Shamsa
1,Nick Lilla
4,Nicholas Gueldner
5,Jonny Holstead
7,Jordan Liff
9,Jay Lewer
10,Adam Wadlington
11,Jonathan Snell
12,David Zickus
13,Dylan Schuster
14,Nick Waring
16,Jake Tee
17,Elias Magallanes Jr.
19,Karl Fauerbach
22,Eli Hubbard
23,Zach Vosberg
24,Jack Drolen
26,Jimmy Chaudoin
28,Kyle Dreger
29,Zachary Kozmer
34,George Scheibel
47,Matthew Rodway
69,Benjamin Michalak
88,Jonah Koehlert
99,nathan shannon
b,r,e,a,k
Kansas City Smokestack,8
teamInfo,,"Kansas City, Missouri",http://smokestackultimate.weebly.com/,https://www.facebook.com/smokestackultimate,https://www.twitter.com/kc_smokestack
01,Alex Babler
02,Jared  Anderson
04,Joe Young
06,John Aucar
07,Colin Donajkowski
08,Andre Coates
09,Eric LaPietra
11,Tim Robbins
15,Mark Stedem
19,Branden Schneider
20,Jared McKay
21,JT Stancil
22,Cameron Hunter
23,Brock Hicks
27,Brandyss Sherman-Hall
29,Spencer Roberts
34,Sam Habel
48,Jeffrey Laubscher
51,Matthew Price
66,Cade Heikes
74,Ethan Knobloch
81,Diego Butron
84,Anthony Chartier
88,Benton Habel
97,Aaron Johnson
98,Matthew Beers
b,r,e,a,k
Knights of Ni,14
teamInfo,,"Golden Valley, Minnesota",,,https://twitter.com/ulti_ni
0,Brooks Hidaka
0,Carter Petrella
0,Carter Schafer
0,Daniel Stahlhut
0,Ashton Robinson
0,Hayden Fahnhorst
0,Holden Fahnhorst
0,Max Wolpert
0,Michael Ruble
0,Owen Lehmkuhl
0,Samuel Fronek
0,Saurav Helm
4,Jason Finkelstein
6,Grayson Pangburn
7,Danny Gollin
9,Joe Simonelli
11,Justin Wollin
24,Brendan Gessner
25,Mitchell Allen
26,Sam Resnick
28,Greg Cepuran
32,Justin Vorndran
33,Grant Klebig
41,Samuel Bumsted
57,Bif Reiser
74,Jakob Yedo
b,r,e,a,k
Trident,10
teamInfo,,"Chicago, Illinois",,,https://twitter.com/tridentulti
0,Alex Paulauskas
0,Alexander Kirages
0,Asa Bowen
0,Brian Rathunde
0,Erikas Paulauskas
0,Jacob  Cuthbert
0,Josh Van Cleave
0,Josh Deeman
0,Logan Heileman
0,Michael Murawski
0,Nicholas Golini
0,Reno Brinn
0,Tyler Barrett
2,Alec Detzel
13,Jack Daenzer
14,Samuel Tagle
22,Spencer Sadler
33,Ian Taylor
76,Steven Wagner
80,Aidan Wonderling
88,Christian Holzl
b,r,e,a,k
DINGWOP,13
teamInfo,,"Duluth, Minnesota",,https://www.facebook.com/DingwopUltimate,
0,Alex Griswold
0,Anders Lind
0,Brian LaFrance
0,Cody Castonguay
0,Joseph Carland
0,Peter Diede
0,Sam Bates
1,Zac Larson
4,Garrett Erickson
5,Tucker Hoffman
15,Chad Brinker
16,Riley Siewert
20,Noah White
24,Jacob WIlson
27,Daniel Bates
34,Dave Schaeffer
36,Reese Grailer
55,Brandon Krekelberg
69,Patrick Andresen
69,Andrew Olson
87,Trent Brunner
99,Kyle DeJesus
b,r,e,a,k
Timber,12
teamInfo,,"Stevens Point & Fox Cities, Wisconsin",,https://www.facebook.com/TimberUltimate/,https://twitter.com/TimberUltimate
0,Thomas McKenna
0,Zackory Runke
2,Kevin Scannell
01,Jonathon Juedes
06,Peyton Winkelman
07,Logan Mueller
08,Quest Meyer
09,Aaron Lichtenwalner 
11,Nicholas Tompkins
12,Chad Heldt
13,Zach Lepak
15,Daniel Rowan
16,Erik Knight
19,Christian Piccioni
20,Thomas Doro
22,Austin Zdroik
25,Ben Schoenebeck
27,Edwin Moore
34,Kirk Prince
36,Jason Brahan
47,Jack Kiel
48,Michael Friese
85,Christian Conway
95,Mitchell Wood
97,Trace Wilke
98,Mark Fieweger
b,r,e,a,k
Loaded Panda,21
teamInfo,,"Cedar Falls, Iowa, Iowa",,,
0,Andrey Danilson
0,Carson Boyer
0,Eric Flyr
0,Gabriel Weigel
0,Jeremy Marchesani
0,Jordan Mills
0,Lane Wunderlich
0,Noah Arends
0,Sean Sheets
0,Travis McGee
0,Trevor Rial
0,Tyler Owen
0,Michael Goers
1,Jacob Arnold
2,Daniel Neese
8,Chandler Good
9,Devin Spahn
13,Nadir Nimry
16,Nicholas Jacoby
16,Colin Stroehle-Durrah
22,Mason Burken
23,Blake Metz
23,Bobby Reding
69,Isaac Timm
b,r,e,a,k
Roundhouse,15
teamInfo,,"Chicago, Illinois",,,
0,Andrew Kindseth
0,Brian Jorgensen
0,Declan Cambey
0,Evan Dobson
0,Jackson Kiedaisch
0,Jacob Ward
0,Jake Fujiwara
0,James Karl
0,Matthew Conroy
0,Mikey Golaski
0,Nate Pascale
0,Nicholas Chow
0,Lachlan Bond
0,Theo Conroy
0,Trevor Ung
2,Carter Altruda
4,Anthony Colucci
7,Chad Villhauer
9,Joshua Ludtke
9,Marshal Paz
19,Griffin Kelley
23,Spencer Weldon
31,Hederik Kosten
74,Anthony Ruzzo
b,r,e,a,k
DeMo,16
