HoDown Showdown 2025,Club - Mixed ,9,8,2025
Asheville; Waynesville,NC,2025-08-09,2025-08-10
https://play.usaultimate.org/events/HoDown-Showdown-2025/schedule/Mixed/Club-Mixed
Asheville Parliament,9
teamInfo,,"Asheville, North Carolina",,,
0,Allison Bashford
0,Audrey Brown
0,Benjamin Gladstone
0,Claire Meyer
0,Emma Appleby
0,Evie  Bick 
0,Hailey Wunder
0,Isabela Galeano
0,Walker Sanders
5,Elliott Erickson
8,Shelby Petty
8,Leon Vitaliano
10,Hannah Moore
12,Aidan Todd
14,Dillon Lanier
19,Lilli Popovich
29,Mark Stumpf
51,Chad Gerber
55,Dean Merritt
71,John Deaver
72,Brandon Bass
91,Samuel Fontaine
b,r,e,a,k
Murmur,8
teamInfo,,"Athens, Georgia",,,
0,Kaylee Shaver
0,Reina Scott
0,Sagan Yarborough
3,Mia Tomay Bongcaron
9,Henry Siebentritt
00,Alison Barlow
00,Angelena Parker
00,Curtis Landry
00,Elle Mayer
00,Evan Marshall
00,Ferry Akbar Buchanan
00,Garrett Barth
00,Molly Schneider
00,Matthew Entrekin
00,Matthew Shu
00,Kai Diez
00,Katharine Kellogg
14,Jacob Walls-Foster
24,Patrick Trent
32,Kevin Tran
35,Travis Kellogg
39,Brooke  Thompson
89,Victor Lesniewski
b,r,e,a,k
Minnesota Star Power,1
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,http://www.facebook.com/MinnesotaStarPower/,https://twitter.com/mnstarpower
01,Cole Jensen
10,Tristan Grovender
11,Rachel Thompson
12,Erin McFadden
13,Danica Porter
14,Lucas Kempf
15,Peter Rogers
17,Joe Hendrickson
19,Tavis Leighton
20,Kajsa Beatty
21,Marissa McFadden
22,Luke  Youngdahl
27,Lily Monorom
29,Kelsey Peterson
35,Shaun LaFrance
40,Thomas Walker
48,Joey Tillman
52,Izzy Anderson
56,Molly Schwartz
60,Claire Cech
62,Rebecca Kline
69,Tyler Mahony
72,Meg Lake
97,Steven Anderson
b,r,e,a,k
Legion,16
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
04,Rachel Grant
08,Luke Overlie
10,Grace Wilson
11,Andrew Peters
12,Jonathan Mast
13,McKenzie Ross
14,Andrew Lewis
18,Krista Habermas
21,Harrison  Ohmsieder
22,Sarah Handel
23,Asha Gillette
25,Elizabeth Ware
29,Joshua Anderson
30,Mikayla Johnson
34,Katherine Clark
47,Billy Harmon
77,Matthew Glasgow
82,Hannah VerasAlba
95,Marina Abila
b,r,e,a,k
Greenville Hypnotic,17
teamInfo,,"Greenville , South Carolina",https://www.instagram.com/greenvillehypnotic/?next=%2F,,
0,Aidan Sauls
0,Angela Shrike
0,Lyd Johnson
0,Makenzye Whitman
0,Rachel Whalen
2,Cassidy McMillen
3,Madison Martin
4,Tucker McMillen
5,mark studdard
6,Brandon Wider
8,Danielle Herring
10,Chris Dwight
11,Caleb  Gunter
16,Alex Labrador
29,Cameron Ramsey
30,Brandon Stem
33,Jonathan Brennan
44,Kayla Layton
44,Alexi Deering
84,Jamie Nickels
88,Andrew Strum
93,Nathan Freystaetter
96,Reed Schaub
b,r,e,a,k
Roma Ultima,7
teamInfo,,"ATL, Georgia",https://www.instagram.com/romaultima/,,
1,Megan Jarriel
1,Spencer Pennington
2,Cori Bradham
3,Karsen Brantley
5,Jemia Johnson
6,Morgan Dale
7,Jonathan Su
8,Jordyn Churchwell-Garcia
9,Sarah Lang
10,Matthew Wang
11,Walter Ellard
12,Aidan Meek
13,Nicholas Smith
14,Ashleigh Dunlop
16,Gloria Wu
22,Jon Ross Ingley
23,Ivan Khoo
25,Robert Bradham
28,Chris Gmeiner
47,Anna Graham
50,Miles Lally
52,Ian VanOrder
72,Annalise Paul
76,Jeffrey Minowa
88,Jasmine Yap
b,r,e,a,k
Conspiracy,2
teamInfo,,"Savannah, Georgia",https://www.instagram.com/conspiracyultimate?igsh=OWYyYzlpM2l4cmF2,,
1,Carly Matthews
4,Juane Schoeman
4,Spencer Olmsted
5,Vanessa Bensch
7,Nathan Vickroy
9,Kevin Harrow
10,Therese Doebler
11,Stephen Cook
12,John Langstaff
14,Mia Colbert
18,Franchesca Cassanese
22,Wesley Richey
23,Peter Van Brussel
28,Taya Sterkenburg
33,Shelby Hall
34,Avery Van Brussel
47,Stacie Coleman
55,Celine Charitat
77,Matthew Cook
80,Nathaniel Austin
83,Ashley Boncimino
88,Hunter Gibbs
91,Mark Schimmel
92,Jacob Markward
b,r,e,a,k
Malice in Wonderland,10
teamInfo,,"Raleigh, North Carolina",https://ultiworld.com/tag/raleigh-malice-in-wonderland/,https://www.facebook.com/MaliceUltimate/,https://twitter.com/maliceulti
0,Kyle Cornell
1,Anthony Bonilla
2,Carinna Kinnaman
3,Ryan Schanz
4,Sophia Thayer
5,Patrick Limer
7,Mattie Price
8,Alice Wang
9,Andrea Spence
10,Evan Holliday
11,Juliette Sanchez
12,Daniel Benson
13,Alexander Walker
14,Grace Drewry
15,Nicole McGinty
19,Clara Meier
22,Maya Sugg
24,Jericho Barbour
25,Avery Acierno
27,Jacob  Freedman
29,Hunter Scaggs
36,Kelsea Fitzpatrick
47,Brian Maulucci
70,Julian Hester
72,Katie Dai
77,Daniel Fonte
b,r,e,a,k
MoonPi,15
teamInfo,,"Chattanooga, Tennessee",https://www.moonpiultimate.com/home,https://www.instagram.com/moonpi_ulti/,
01,Matthew Johnson
02,Kenneth Andejeski
03,Julie Guthrie
04,Aasta  Thurman 
05,Grace Marshall
07,Sara Steger
08,Brian Newsom
09,Ema Hagood
10,Nathaniel Orquia
12,Jordan Quinn
15,Phil Mantel
16,Allyssa Raspa
19,Riley Ottinger
21,Wesley Green
23,Matthew Smith
24,Abbey Bickers
26,Becca Rackley
28,Nicholas Baldwin
29,Jordan Hennessy
31,Nate Barnard
33,Cate McAfee
35,Joseph Fisher
39,Carrie Betts
44,Mary Kate Sheppard
56,Sam Wright
68,Andrea Del Balso
b,r,e,a,k
Magnanimouse,18
teamInfo,,"Durham, North Carolina",,,https://twitter.com/MagnanimouseNC
0,Anna Butler
0,Zack Hudgins
1,Eliza Haines
2,Liana Lessard
4,Isabella Bevans
5,Makenna Meyer
6,Matthew Johnsen
7,James Chilton
8,Walker Garrett
13,Mary Maceda
17,Noam Gumerman
19,Arjun Keshava
20,Kyle Gouchoe-Hanas
23,Aston King
25,Noah Cole
26,Blaire Garrett
27,Mia Foglesong
28,Kevin Chen
42,Joshua  Krause
44,Sam Peter
48,Suzanne Tyler
86,Zachary Guan
b,r,e,a,k
FlyTrap,3
teamInfo,,"Wilmington, North Carolina",,https://www.instagram.com/flytrap_ultimate?igsh=MTJ5ODBzYWZkYTI0cA==&utm_source=ig_contact_invite,
3,Jacqueline  Chivers
6,Whitney Elliott
7,Sarah Hasch
8,Hayden Naylor
9,Julien Hartmann
10,Luke Hancock
10,Tate Klauck
11,Patrick Grossheim
12,Sadie Hancock
12,Hiatt von Alten
14,Danny Lemmen
15,Brittani Isidoro
17,Brenna McDannold
19,Allyn Holcomb
21,Kevin Kopf
22,Matt Hunt
23,Vincent  Frungillo
24,Gracie Rogers
25,Jake Gallagher
28,Joseph Sharp
32,Kelly Funderburk
51,Mira Anderberg
54,Mary Kopf
56,Kyle Gibbons
87,Colin Eimers
b,r,e,a,k
Pyro,6
teamInfo,,"Huntsville, Alabama",https://www.instagram.com/huntsville_pyro?igsh=MWl5a3lzYmVxZHV0MQ%3D%3D&utm_source=qr,,
coaches,Horace Wilson
0,Andrew Rake 
0,Chris Walls
0,Elias Pilgrim
0,Horace Wilson
0,Jason Price
0,Joseph Branson
0,Kendall Brown
0,Landon Hunter
0,Mary Cagle
0,Reyn Pilgrim
0,Robert Alongi
0,Rodrigo Tjan
0,Sarah Woodard
0,Stacy Solomon
2,Josh Brown
7,Matt Williams
9,E'lana Parnell
11,Conner Lough
12,Holly Sillivant
13,Sandy Taylor
15,Dominic Kenyon
18,Alec Minnicks
22,Zoey Rape
23,Alejandro Guerrero
54,Elijah McKinley
88,Thomas O'Donnell
b,r,e,a,k
WingDings 2,11
teamInfo,,"Chapel Hill, North Carolina",,,
0,Andy Chin
0,Clemens Liu
0,Daniel Zhang
0,Dylan Hawkins
0,Endymion Ashton Liu
0,Eric Du
0,Harrison Berg
0,Jack McCleary
0,James Wang
0,Linwood Ding
0,Noah Young
1,Andrew Fan
