Vacationland 2025,Club - Mixed ,2,8,2025
South Portland,ME,2025-08-02,2025-08-03
https://play.usaultimate.org/events/Vacationland-2025/schedule/Mixed/Club-Mixed
Zero Strategy,1
teamInfo,,"Burlington, Vermont",,,
1,Benjamin Weinstein
2,Akash Patel
3,Brenda Hoang
4,Sage Tanner
5,Quinn Ledak
7,Evan Hollar
8,Standard Standard
10,Oscar Jacobsen
11,Stephen Donahue
13,Jack Conant
14,Jonah Boucher
15,Lindsay Taylor
16,Yuval Pearl
17,Madison Reagan
20,Abby Ferrara
23,Mariz Mangundayao
30,Anna Purtell
31,Maxwell Mirabile
33,Jordan Kaufman
37,Danielle Callard
51,Benjamin Kelley
65,Grace Thompson
79,Keziah Wilde
81,Fritz (Frederick) Howard
86,Claire Calise Raabe
99,Nora Jacobsen
b,r,e,a,k
Odyssée,3
teamInfo,,"Montréal, Quebec CA",,https://www.facebook.com/profile.php?id=100064273916081,
0,Francis Dubé
0,Vincent Sasseville
4,Catherine Bélanger-Khoury
8,Sandra Williams
10,Julie Landry
11,Rohan Badeau
12,Emmanuelle Veci
15,Janick St-Cyr
17,Nicolette Bertsch
22,Eric Preseault
23,Christian Mathieu
26,Caroline Cadotte
33,Maxime Roy
47,Hubert Barrette-Laganière
50,Thomas Faber
55,Nalini Gascon
88,Zakarie Massi
b,r,e,a,k
Young and the Restless,8
teamInfo,,"Sturbridge Village, Massachusetts",,,
0,Abigail Baer
0,Aisling Hinchey
0,Anthony Havens
0,Ashley Wright
0,Bryan Bausinger
0,Christopher Cox
0,Dan Bush
0,Jeff Vincent
0,Julie Sussman
0,Justin Ondrof
0,Kayla Olson
0,Marissa Aldieri
0,Sarah Rumrill
0,Steven Stanish
0,Yaser Khan
3,John Friedman
3,Barb Banz
7,Jenna Gall
7,Katherine England
12,Liana Michaud
28,Katherine Overstrum
35,Corey Flynn
52,Ryan Strobel
80,Joseph Kane
81,Alex Morrone
b,r,e,a,k
Lampshade,9
teamInfo,,"Cambridge, Massachusetts",,,
coaches,Abijith Krishnan
0,Bobby Lovitch
0,Corinna Rhum
0,Emily Wanzer
0,Jennifer Fiore
0,Molly Rockwood
0,Nancy  Jin 
0,Rachel Swindell
0,Robert Shapiro
0,Liz Anusauskas
0,Varun Shah
0,Walden Ng
6,Justinne Guarin
6,Abigail Skerker
9,Abe Kielar
13,Tomer Poole-Dayan
24,Sajani Clerk
33,Rossi Wang
