Heavyweights 2025,Club - Mixed ,12,7,2025
Aurora,IL,2025-07-12,2025-07-13
https://play.usaultimate.org/events/Heavyweights-2025/schedule/Mixed/Club-Mixed
Fatal Attraction,1
teamInfo,,"Omaha, Nebraska",,,
0,Dom Lincoln
0,Austin Phinney
0,Christa Fisher
0,Thomas Sitorius
1,Emily Anderson
2,Luke Walsdorf
3,Sean Rock
4,Richelle Rock
8,Grant Maynard
9,Ellie Stone
14,Shania Hass
16,Andy Woolard
17,Min Sze Ewe
18,Cassi Vallis
19,Stewart Buckley
23,David Forsyth
30,Aaron Bowles
31,Michaela Ott
32,Nicole Lenczowski
77,Kayla Anderson
87,Reid Sindelar
b,r,e,a,k
Pixel,24
teamInfo,,"Detroit, Michigan",,https://www.facebook.com/pixeldetroitultimate/,https://twitter.com/pxlultimate
0,Joshua Bolt
0,Karli Raimondo
0,Kathryn Hunter
0,Leydy Sabogal
0,Markiana Schweitzer
0,Matthew Kaplan
0,Rebecca Ostman
0,Sofia Oertel
0,Eve  Goddard
0,Hannah Schurman
0,Trevor Kyle
2,Sydney Zimmerman
3,Corbin Fleming-Dittenber 
4,Connor Lang
18,Matt Hummel
24,Jack O'Connor
25,Jason Snoddy
27,Hugh MacWilliams
28,Channing Watson
29,Jordan Hudgins
33,Chad Dunne
34,Joshua Adams
b,r,e,a,k
Skyhawks,12
teamInfo,,"South Bend, Indiana",,https://www.facebook.com/Skyhawks-427022961197953/,@SkyhawksUlti
0,Catherine Chambers
0,Charlotte Tuohy
01,Elanor  Dickinson
04,Samuel Easley
05,Zachary Koh
06,Isaac Howk
08,Katy Ashpole
09,William Theisen
10,Emily Balsbaugh
13,Danica Keefe
14,Kristi Muhlenkamp
15,Daniel Dziadula
20,Ryan Ntende
21,Michael Ntende
22,Matthew Muhlenkamp
23,Morgan Miller
24,Cole Strickling
30,Allison Kielhold
31,Jessica Baca
41,Christopher Miller
47,Bradley Vaal
59,Camden Wozniak
b,r,e,a,k
Boomtown Pandas,13
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/BoomtownPandas/,https://twitter.com/boomtownpandas
0,Aaron Fandel
0,Anna  Goforth
0,April Peterson
0,Daniel Seybold
0,Grant Hallan
0,Karin Wirth
0,Leah Wheatley
0,Megan Sokup
0,Rachel Martin
0,Ryan Sokup
0,Molly Snow
1,Caitlin Clevenger
3,Eli Melnick
13,Maxwell Underhill
16,Drew Byrne
16,Ada Lynn
17,Grant Dowling
18,Anna Jenstead
22,Harry Moore
23,Lizabeth Held
24,Odette Herrand
25,Michael Van Haren
29,Yuhao Wu
29,Sarah Doege
33,Evan Ross
53,Thomas Hotvedt
b,r,e,a,k
Minnesota Star Power,2
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,http://www.facebook.com/MinnesotaStarPower/,https://twitter.com/mnstarpower
01,Cole Jensen
03,Tomomi Perry
04,Zachary Bye
07,Allison Chien
09,Grant Hietpas
