Corny Classic College 2025,College - Men ,29,3,2025
Urbana,IL,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Corny-Classic-College-2025/schedule/Men/CollegeMen/
Illinois,1
teamInfo,Rise,"Champaign, Illinois",https://illinoisrise.com/#/home,,https://twitter.com/Illinois_Rise
coaches,Eric Badger
0,Abe Palmer
0,Eric Cai
0,Samuel Astrom
2,Nathaniel Astrom
5,Arjun Samudrala
8,Andrew Chen
9,Kai Tang
10,Carter Rodgers
11,Aadit Bhatia
15,Evan Sebastian
17,William Voss
18,Rishabh Srinivas
19,Griffin Kelley
22,Spencer Sadler
25,Simon Perez
26,Kushal Kothapalli
27,Jake Fujiwara
28,Pupetch Nimnark
29,Sean Hickey
34,Carson Splear
40,Emil Weisfeld
44,Daniel Sawai
49,Nathan Zock
68,Kai Bowen
76,Jeffrey Lefkovitz
85,Hunter Latson
b,r,e,a,k
Dayton,5
teamInfo,FLUD,"Dayton, Ohio",,https://instagram.com/flud_ultimate,https://twitter.com/UDUltimate
0,Ben Manion
0,Caden Labbe
0,Alex Burkhardt
0,Kellen Finan
0,Paul Lachcik
0,Sam Parlett
0,Stephen Danek
0,Thomas Carroll
0,Thomas Kilbane
4,Nicholas Schulz
15,Callan Daenzer
20,Colsten Spelman
27,Aaron Ginsburg
28,Cannon Spelman
49,Andrew Mosler
73,Kale Kessler
97,Jacob Szafranski
b,r,e,a,k
Grand Valley,8
teamInfo,Lakers,"Allendale, Michigan",,,
coaches,Alex Bertoia
0,Jonah Sanchez
01,Garrett McFarlane
03,Blake Baumann
04,Gabe Ecenbarger
06,Jordan Gabrielse
07,Caleb Westhouse
09,Evan Smith
10,Gatlin Mosby
12,Jacob Timmer
17,Grant Bush
19,Max Mensik
22,Harrison Smith
24,Kodey Howland
26,Dennis Rennells
27,Isaac Haapala
42,Braxton Sipes
58,Todd Leatherman
69,Isaac Hagedorn
99,Phillip Hayes
b,r,e,a,k
Butler,4
teamInfo,Butler Big Dog,"Indianapolis, Indiana",,,https://twitter.com/but_club
coaches,Arthur Small
0,Ben Waters
1,Carter Hart
2,Rylan Good
3,Samuel Ingham
4,Trevor Fox
5,William Bengston
6,Sam Reichenbach
9,Scott Harvey
11,Brendan O’Rourke
12,Andy Schmidt
17,Benjamin Fruit
20,Tanner Kutoloski
26,Gavin Arkinstall
28,Andre Shapiro
31,Timmy Blader
32,Silas Owens
37,Nathan Barry
45,Brady Harwood
70,David Tuohy
86,John Borgerding
98,Parker Hirschle
b,r,e,a,k
Asbury,2
teamInfo,Asbury Ultimate,"Wilmore, Kentucky",,,
coaches,Steven Smith
2,Christopher Padgett
4,Max Bramer
7,Perry Blevins
8,Noah Shaw
9,Timothy Kern
14,William Probasco
25,Nathan Livingston
26,Ian Rhodes
36,Johnathan Strange
44,Cameron McElroy
47,Nicholas Riffell
61,Chris Bauer
63,Ezekiel Miller
78,Paul Diddle
88,Sifaan Amanu
b,r,e,a,k
Ohio,7
teamInfo,Trout,"Athens, Ohio",,https://www.facebook.com/ohioultimate/,https://twitter.com/OUultimate
0,Declan Haas
0,Henry Wollerman
0,Jackson Yeager
0,james brennan
0,Jeff Shultz
0,Justin Clement
0,Luke McKenrick
0,Nathaniel Polk
2,Nick Becker
3,Dalton Muck
4,Carter Limbert
7,Ian Knaus
10,Marcus Berger
14,Ryan  Baxley
15,Nicholas Kaiser
17,Benjamin Heindrichs
19,Stuart Landry
25,Jack Connelly
33,Brendan Miller
47,Jelani Walker 
b,r,e,a,k
Lipscomb,3
teamInfo,Bisons,"Nashville, Tennessee",https://www.instagram.com/lipscomb_ultimate/,,
