Stanford Invite 2025-Women's,College - Women ,1,3,2025
Stanford,CA,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Stanford-Invite-2025-Womens/schedule/Women/CollegeWomen/
Tufts,1
teamInfo,EWO,"Somerville, Massachusetts",https://www.instagram.com/tuftsewo/,https://www.facebook.com/tuftsewo/,https://twitter.com/ewonews
coaches,Meriden Estes
04,Clara Margulius
06,Lila Nields-Duffy
07,Morgan Owens
08,Megan Mathieu
09,Ariel Felcan
10,Ryanne Barrett
11,Amelicha Trinidad Gonzalez
12,Sakina Cotton
13,Mina Brown
14,Megan Chien
15,Emily Kemp
16,Jessie Chan
17,Brooke Chomko
19,Michelle Wu
22,Annabel White
23,Sadie  Schmitz
24,Eleni Kauffman
27,Yayla Tur
28,Amy Tse
29,Sophie Hankin
36,Katherine Lew
37,Ann-Ping Shangguan
45,Ellie Kowalski
88,Kate Gearing
99,Lia Schwartz
b,r,e,a,k
Brigham Young,17
teamInfo,CHI,"Provo, Utah",,,
0,Becky Stevens
0,Brooke Hammond
0,Carly Nash
0,Chrissy Lochhead
0,Emma Reeves
0,Errolyn Slaugh
0,Karinn Sharp
0,Lindsey Barlow
0,Mahalie Barlow
0,Margaret Davis
0,Michelle Haddock
0,Olivia Munns
12,Tami Lee
13,Kate Barry
16,Nicole Merrill
46,Sadie Flanary Denney
49,Tara McBride
81,Autumn Porter
b,r,e,a,k
California-Santa Barbara,8
teamInfo,Burning Skirts,"Goleta, California",,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
0,Aya Smoot
0,Cora Reese
0,Emaline Alikian
0,Marlaina Lascano
0,Mikayla Seidler
0,Olivia Crump
0,Tara Escobar
2,Sofia Eden
4,Kailani Latimer
6,Jillian Fischer
8,Laura Blume
12,Grace Craig
13,Riley Raker
14,Devin Quinn
16,Kaia Emery
17,Catrina Sada
18,Ella Khoury 
20,Carrie Teichrow
23,Ariana O'Shea
24,Gabby Wang
27,Danielle Michiels
32,Cindy Yang
33,Emma Crump
44,Daisy Cuthbert
45,Amelia Whitacre
82,Helen Sweeney
b,r,e,a,k
UCLA,9
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
0,Crystal DeWeese
2,Sabrina Belkin
3,Willa Campion
4,Grace Loia-Lopez
6,Zoe Saxer
7,Ziyun Wang
10,Minoo Bastani
