Northwest Challenge 2025,College - Women ,21,3,2025
Seattle,WA,2025-03-21,2025-03-23
https://play.usaultimate.org/events/Northwest-Challenge-2025/schedule/Women/CollegeWomen/
Washington,10
teamInfo,Element,"Seattle, Washington",,https://www.facebook.com/ElementUltimate/,https://twitter.com/UWElement
0,Megan Louie
1,Claire Jensen
2,Anna Pettis
3,Kayla Hickey
4,Cindy Nguyen
5,Lauren Goddu
6,Isabella Pharr
8,Kelly Tam
9,Eden Bogale
10,Michelle Chan
11,Paka Ferrer
12,Lucy Tanner
13,Sophia Palmer
14,Lena Millard-Kish
17,Koume Matsutori
20,Savanna Tucker
21,Caitlin Igel
23,Lily LeDonne
27,Rowan Lymp
28,Amber Lee
31,Ava Day
33,Sonja Lee
57,Sola Truong
73,Chamonix Reynolds
b,r,e,a,k
Brigham Young,12
teamInfo,CHI,"Provo, Utah",,,
0,Becky Stevens
0,Brooke Hammond
0,Carly Nash
0,Chrissy Lochhead
0,Emma Reeves
0,Errolyn Slaugh
0,Karinn Sharp
0,Lindsey Barlow
0,Mahalie Barlow
0,Margaret Davis
0,Michelle Haddock
0,Olivia Munns
9,Olivia Robertson
12,Tami Lee
13,Kate Barry
15,Sadie Huffmire
16,Nicole Merrill
17,Teigen Burrows
46,Sadie Flanary Denney
49,Tara McBride
81,Autumn Porter
b,r,e,a,k
British Columbia,1
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
coaches,Edward Guo,Jonathan He
0,Mijoo Lee
02,Abigail Grunenberg
03,Claire Weng
06,Isabella  Lin
07,Noor Al-Tabbaa
09,Shaelyn Woo
12,Audrey Nichols
13,Nina Tsai
15,Ella Bolan
17,Madison Ong
19,Mandy Li
21,Emily Ma
22,Makenzi Basas Harris
27,Phoebe Chen
34,Madoka Wowk
35,Amelie Marshall
36,Bryelle Wong
44,Theresa Xiao
49,Yun Hua
51,Meagan Chau
70,Miu Shiraiwa
73,Jamie Jung
74,Jun Fu (Michelle) Yang
93,Mika Kurahashi
98,Lauren Szeto-Fung
b,r,e,a,k
Vermont,8
teamInfo,Ruckus,"Burlington , Vermont",,https://www.facebook.com/UVMRuckus/,https://twitter.com/ruckusultimate
coaches,Daron Byerly,Sara Jacobi,Elizabeth Leon
0,Ava Jensen
0,Ella Leding
0,Grace Thompson
0,Nevaeh Parrish
0,Willa Morales
5,Dylan Wilcox
6,Caroline Stone
8,Mae Browning
9,Meribel Collin
10,Isabelle Alfano
14,Tatum Cubrilovic
15,Layla  Wissink
16,Haley  Hemeon
17,Riley Knupp
18,Ella Polli
19,Annie Pozzy
21,Ella Monaghan
23,Nika Rockafeller
34,Claire Kimbrell
37,Lauren Clayter
38,Rita Narbonne
44,Emily Pozzy
47,Callen Lin-Butler
b,r,e,a,k
California-San Diego,9
teamInfo,UCSD D-Co Womxn's Ultimate,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/pg/dragoncoultimate/about/?ref=page_internal,@d_co_ultimate
coaches,Samantha Wool
0,Adele Motamedi
0,Beliz Akbulut
0,Margot Nissen
0,Sanam Rozycki-Shah
0,Yun Han
5,Emiko Shiota
8,Samantha  Medina
12,Nicole Moran
13,Emma  Toussaint
14,Dylan Mullaney
22,Jessie Finkelor
25,Sophia Fitch
28,Parissa Teli
31,Cassidy Morgan
38,Abigail Shilts
44,Kezha Neale-Sacks
47,Josefina O'Toole
47,Tori Gray
48,Teaghan Lynch
56,Yariel Perkins
63,Mars Bau
67,Kaitlyn Straight
76,Ananya Shaligram
95,Annika Ross
97,Danielle  Weatherwax
b,r,e,a,k
Southern California,16
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
1,Victoria Lawton
2,Tsz Ching Chen
3,Kelly Lukito
8,Paige Gonzales
9,Komal Kackar 
10,Allison Huang
10,Shijia Liu
12,Amelie Nah
13,Stella Dziedzic
17,Araiza Soto
18,Mary Muir
20,Preyashi Poddar
21,Raquelle Hendrix
22,Delilah Masket
26,Annamarie Ellazar
27,Arabella Pearson
29,Mack Mallon
41,Natalie So
44,Makenna Harding-Davis
57,Amanda Wilson
64,Charlotte Dixon
73,Tanvi Shankar
88,Caroline Yim
b,r,e,a,k
Carleton College,2
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,https://www.facebook.com/Syzygy-Carleton-Womens-Ultimate-15998745997/,https://twitter.com/SyzygyUltimate
coaches,Courtney Kiesow,Logan Weiss,Louis Burruss
0,Elle Christakos
02,Melba Henley
03,Florence Basile
04,Hannah Hackenmueller
05,Eliza Barton
06,Audrey Parrott
07,Naomi Fina
08,Jing Jing Munson
09,Clara Gale
10,Kyliah Mcroy
11,Opal Burruss
12,Matilda Pro
13,Shanti Chier
15,Zoe McDaniel
17,Chagall Gelfand
19,Mimi Kniser
22,Pilar Abele
24,Samantha Merritt
25,Eva Fischer
27,Nomi Zeidenberg
37,Audrey Goeddeke
49,Madeline Kallin
88,Rebecca Marshall
93,Kelly Hsu
98,Mia Beeman-Weber
b,r,e,a,k
Cal Poly-SLO,7
teamInfo,SLO Motion,"San Luis Obispo, California",https://cpslomotion.wixsite.com/home,https://www.facebook.com/cpslomotion,https://twitter.com/cpslomotion?lang=en
02,Madelyn Cruz
03,Megan Wong
05,Brooke Nishida
06,Molly Middlebrook
07,Mackenzie Bice
10,Zoe klement
11,Nora Snyder
13,Sydney Alexander
15,Corrina  Blakemore
16,Hanna Lee
19,Tucker Donahue
22,Cece Hildreth
23,Margo Donahue
25,Katherine Jackson
26,Molly Sandler
28,Charis Gray
29,Louisa Rudo
33,Stella Romeo
35,Ella Blaney
50,Lia Romeo
88,Lauren  Sprague
99,Sofia Daniels
b,r,e,a,k
Colorado State,15
teamInfo,Hell's Belles,"Fort Collins, Colorado",https://csuhellsbelles.netlify.app,https://www.facebook.com/csuwomensultimate,@HellsBellesUlti
coaches,Hannah Hinchsliff,Jack Hinchsliff,Emily Stege,Grace Goldenberg
0,Amelia Ernst
0,Calvin Cvar
0,Elsa Semroc
0,Sierra Johnson
5,Alex Hasenkamp
6,Sonai Donnell
7,Maya Beck-Kjer
10,Lauren Feeney
17,Kate Philson
18,Rachel  Prager
22,Ella Barker
24,Cassandra  Banuelos
42,Kiera Schreiber
44,Jasmine Puska
46,Julia Giesenhagen
55,Char Bokhof
66,Klaudia Poplawski
b,r,e,a,k
Michigan,11
teamInfo,Flywheel,"Ann Arbor, Michigan",https://umichflywheel.wixsite.com/morecowbell,,https://www.twitter.com/UMichFlywheel
coaches,Michael Jahn,Tracey Lo
04,Sophia Harvey
05,Sofia Oertel
07,Zejun Li
08,Cynthia  Shi
09,Meghan Quigley
11,Rebecca Zhang
12,Emma Scznsny
14,Clara Moss
15,Calliope Cutchins
17,Sabrina Mannion 
18,Maeve Magura Comey
19,Constanza Capriles
23,Rebecca  Lyons 
26,Maeve Larco
28,Vivian Kaufman
36,Katelyn Abellera
41,Amiya Johnson
44,Lauren Moore
55,Michelle Tong
72,Emma Remien
77,Katrina McGuire
82,Riley Dickson
88,Joyce Liang
91,Gwendolyn McGuire
97,Stella Moelis
b,r,e,a,k
Stanford,6
teamInfo,Superfly,"Stanford, California",http://ultimate.stanford.edu,https://facebook.com/superflyulti,https://twitter.com/SuperflyUlti
coaches,Robin Davis,Shayla Harris
0,Devy Weir
0,Isabella Walsh
0,Kiran Lucas
0,Lea Wang-Tomic
0,Lillen Montague-Alamin
0,Nicole Lambert
0,Nora Knudsen
0,Patricia Tran
0,Rachel Lit
0,Ruby Gates
0,Sage McGinley-Smith
0,Shaili Mathur
0,Tsz Yan Yip
1,Dora McCotter-Hulett
5,Esther Filipek
7,Brianna Johnson
7,Heather Szczesniak
19,Anika Quon
22,Amelia Hawkins
33,Sorika Weir
43,Harper Baer
b,r,e,a,k
Oregon,3
teamInfo,Fugue,"Eugene, Oregon",http://oregonfugue.weebly.com/,https://www.facebook.com/Fugueultimate/,https://twitter.com/OregonFugue
coaches,Katherine Wilson,Morgan Zajonc,Angela Lin
0,Chloe Isaacman
0,Molly Talbot
1,Isabella Harker
2,Acacia Hahn
3,Shea Lily Whelan
4,Lily Ellsworth Yow
5,Tess Keyes
6,Jeannie Feng
8,Syris Linkfield
