East Coast Invite 2025,College - Women ,29,3,2025
Frederica,DE,2025-03-29,2025-03-30
https://play.usaultimate.org/events/East-Coast-Invite-2025/schedule/Women/CollegeWomen/
Tufts,1
teamInfo,EWO,"Somerville, Massachusetts",https://www.instagram.com/tuftsewo/,https://www.facebook.com/tuftsewo/,https://twitter.com/ewonews
coaches,Meriden Estes
4,Clara Margulius
6,Lila Nields-Duffy
7,Morgan Owens
8,Megan Mathieu
9,Ariel Felcan
10,Ryanne Barrett
11,Amelicha Trinidad Gonzalez
12,Sakina Cotton
13,Mina Brown
14,Megan Chien
15,Emily Kemp
16,Jessie Chan
17,Brooke Chomko
19,Michelle Wu
22,Annabel White
23,Sadie  Schmitz
24,Eleni Kauffman
27,Yayla Tur
28,Amy Tse
29,Sophie Hankin
36,Katherine Lew
37,Ann-Ping Shangguan
45,Ellie Kowalski
88,Kate Gearing
99,Lia Schwartz
b,r,e,a,k
Northeastern,2
teamInfo,Valkyries A,"Boston, Massachusetts",https://valksultimate.sites.northeastern.edu/,,https://twitter.com/ValksUltimate
coaches,Amber Sinicrope,Duschia Bodet,Caitlin Go,Lizzie Jones
02,Grace Schifilliti
03,Elise Freedman
04,Erin McCrea
07,Elyse Hall
12,Nisha Nayak
14,Taylor Kenneth
15,Ellie Garrett
18,Irene Ren
19,Sara Bauman
21,Lily Yan
25,Taylor Dunn
27,Jess Montgomery
31,Averil Sahagian
33,Carly Cameron
35,Alice Crawford-Muscat
36,Kirsten Mauer
43,Temiloluwa Akinyoade
44,Gabriela  Ewing
55,Nellie Clark
64,Erin Schustek
88,Annecy Blanck
96,Rona Liu-Zhong
99,Lucy Perkins
b,r,e,a,k
Virginia,3
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
0,Ava Foulk
0,Ava Amato
0,Avery Leppo
0,Breanna  Donahue
0,Chloe Schueman
0,Elisabeth Doty
0,Ellie Ngo
0,Emily Huber
0,Ivy Watson
0,Katelyn Souza
0,Kelsey Bernal
0,Leila Troxell
0,Madeline Crowe
0,Megan Kennedy
0,Meredith Stilley
0,Sloane Solley
0,Sydney Rohrbach
0,Grace Yoo
8,Sydney Mannion
9,Atti Rattelman
17,Gabriella  Everett
27,Irene Chen
33,Emma Cole
b,r,e,a,k
Pennsylvania,4
