2025 Great Lakes Mixed Regional Championship,Club - Mixed ,20,9,2025
Indianapolis,IN,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Great-Lakes-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Hybrid,1
teamInfo,,"Ann Arbor, Michigan",https://www.instagram.com/hybrid_ultimate,,
coaches,Michael Dagher-Margosian
0,Jesse Johnson
01,Jonathan Mast
02,Maketa Mattimore
03,Sara Nitz
04,Chase Cunningham
05,Ian McNamara
06,Robert Coffin
07,Annalise Meilink
08,Jared Schwallie
10,Brittany Wright
11,Tracey Lo
13,Dalton Smith
14,Aaron Bartlett
15,Calliope Cutchins
16,Riely Kuznicki
17,Ben Lewis
18,Laura  Gerencser
20,Madalyn Simko
21,Rachel Mast
23,Liliana Hobday
31,Charlie Vukovic
42,Nathan Champoux
50,Jeffrey Weis
55,Courtney Walbe
77,Katrina McGuire
88,Mark Whitton
b,r,e,a,k
Queen City Gambit,8
teamInfo,,"Cincinnati, Ohio",,,
0,Aaron Ho
0,Aislinn DeSieghardt
0,Camilo Barrera
0,Cori LaMere
0,Kimberly Cooper
0,Maddie Clark
0,Mallory Clark
0,Ryan Hummel
0,Travis Lynch
0,Wesley  Sexton
3,Connor Shirley
4,Sam Moushey
9,Jake Blue
14,Adele McCune
18,Adam Tardio
18,Lydia Riddell
19,Nate Montgomery
20,Dave Richmond
21,Morgan Novean
25,Josh Keyser
25,Nick Siegert
27,Jacob Royster
32,Lexi Yearout
37,Grace Heldwein
63,Katherine Fry
80,Jason Haehl
b,r,e,a,k
Nothing's Great Again (aka Babymaker),12
teamInfo,aka Babymaker,"Chicago, Illinois",,,@NOTHINGuc
0,Amy Burna
0,Jeffrey Spetter
01,Dylan LeDonne
02,Michael Shiel
03,Michael Egan
05,Lizzy Shiel
10,Von Alanguilan
11,Geoff Serednesky
20,Ivana Rosenblatt
20,Erika Murray
22,Jessica Serednesky
23,Archie Beecroft
24,Michelle Kruse
27,Lily LeDonne
28,Ricky Chung
30,Sam Lang
35,Emilee LeDonne
37,Sierra Swanson
40,Canaan Murray
40,Joshua Swanson
43,Jessica Lang
45,Gary LeDonne
47,Dan Kang
54,Andrew Delorenzo
80,Valentina Shiel (Ngai)
95,Maggie Lindsley
b,r,e,a,k
Lightning,13
teamInfo,,"Lexington, Kentucky",,,https://x.com/LightningUlti?t=iCn2aTeaSMvxoy8xR_o3SA&s=09
0,Ashley Whaley
0,Phillip Smith
0,Rachael Haak
2,Brennen Clark
4,Reed Brixey
5,Joshua Wu
11,Andrew Blair
12,Samantha Freeland
13,Kayla DeLon
16,Sabina Dutille
17,Aimee Lindemuth
18,Halie McNeil Kelly
19,Caleb Engler
20,Kenneth Hodge
21,Micah Smith
22,Anlyn  Cornett
23,Andrew Bacarella
31,Laurel Shepherd
42,Hobie Dotson
43,A. J. Witheril
47,Bryan Witheril
55,John Blair
69,Jakob Spencer
87,Haley Webb
b,r,e,a,k
UNION,2
teamInfo,,"Toronto, Ontario CA",https://www.instagram.com/union_ultimate/,,
coaches,Warren Tang,Jon Hayduk
0,Jeff McClelland
0,Leah Tackaberry-Giddens
1,Jordan Ing-Chen
2,Ryota Udo
3,Daiana Spataru
5,Erich Phang-Lyn
6,Sarah Burke
7,Jacqueline Man
8,Emilija Rudzitis
11,Nelson Le
12,Thomas Panayiotopoulos
13,Kelsi Mallany
18,Jan Dick
19,Tasha McFarland
20,Ian Hanson
22,Samantha Mok
23,Eelavan Jeevarajah
24,Jamee Nepom
25,Jordan Atchison
26,Kelsey Priestman
27,Marina Scott
66,Mackinley Szumlanski
71,Bryan Yue
81,Kathleen McMullen
91,Lindsay Musalem
96,Oren Binnun
b,r,e,a,k
Spectre,11
teamInfo,,"Indianapolis, Indiana",https://www.instagram.com/indyspectre/,,https://twitter.com/indyspectre
4,Sophie Nichols
5,Gavin Hensley
7,Randi Lesler
8,Jonathon Grgat
9,Truman Daleke
10,Colby Parker
11,Shawon Nixon
13,Ethan Uribe
13,Jared Saltsman
14,Jenna  Parker
17,Hallie Schmucker
18,CJ Knarr
22,Sarah Haynie
24,Abby Swensen
25,Delaney Phillips 
26,Hannah Hainje
27,Collin Rassel
31,Matthew VanDokkenburg
32,Caleb Texeira
33,Jalyn Baumgartner
42,Laura Wacaser
56,Cullen Booth
62,Madeline DuVall
71,Gabriel Wray
84,Jack Berkley
96,Shannon Jones
b,r,e,a,k
Toast!,7
teamInfo,,"Grand Rapids, Michigan",,https://www.facebook.com/toastultimate/,https://twitter.com/toastultimate
2,Nicholas Paternoster
3,Jesse Cwengros
5,Connor Concannon
7,Audrey Jesue
11,Stephanie Heger
12,Grace McGlynn
13,Anniken Holm
14,Norah  DeYoung
16,Megan Isherwood
17,Alyssa Kiekover
19,Quinn Garner
23,Laura Lyons
24,Tessa Williams
25,Collin Hill
27,Prudy Mattern
30,Austin Masselink
33,Tillie Fagan
36,John Akers
54,Aaron Schwieterman
60,Connor Wozniak
61,Ryan Fattal
64,Stephen Grondin
66,Xiao Chen
88,Andrzej Porter
94,Zoe Hawkins-Smyk
98,Logan Kroczaleski
b,r,e,a,k
Trex Mix,14
teamInfo,,"Dublin, Ohio",,,https://twitter.com/TrexMixUltimate
0,Ashley Boehmke
0,Caleb Andrews
0,Felicia Bratti
0,Kenton Lawson
0,Nathan Landry
1,Andrew Carr
2,Gordon (Gordy) Sjostrom
3,Austin Eilbeck
3,Trimon Lamson
4,Magalie Chapman
5,Milo Eder
6,Adam Cellar
6,Zoe Wolfe
10,Kelly Ross
11,Andrew Bustle
12,Chelsea Baker
13,Nathan Morgan
18,Molly Cropsey
25,Anne Knellinger
25,Timothy San Pedro
34,James (Drew) Barkley
35,Lauren Klein
49,Alexander Davis
55,Morgan Vogler
81,Ellie Holmgren
84,Sarah San Pedro
b,r,e,a,k
Steamboat,3
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://x.com/cincysfb
01,Meg Zeng
03,Lauren DeMarks
04,Michael Horner
05,Ryan Gorman
07,Michael Partusch
10,Brennan Nelson
11,Annie DiClemente
13,Kristin Baxter
14,Kyle Romard
15,Nicholas Kaiser
16,Elizabeth Burkhardt
17,Elsa Mabey
21,Julia Desrosiers
22,Brittany Winner
28,Jeff Haney
29,Jocelyn Palyo
44,Landon Sagle
48,Ryan Grabowski
50,Ryan Walker
51,Zion Oh
54,Jacob Fields
59,Maple Adkins-Threats
70,Carter Malott
72,Jake Montgomery
78,Aidan Stevens
88,Samantha Montgomery
b,r,e,a,k
Prion,6
teamInfo,,"Champaign, Illinois",www.prionultimate.com,,
0,Angela Gavic
0,Anne Cook
0,Brandon Carrel
0,Carter Rodgers
0,Dani Hartt
0,Daniel Sawai
0,Danielle Merrifield
0,Giovi Kelly
0,Grace Cook
0,Jeffrey Lefkovitz
0,Kevin Tanner
0,Maria Janina Sarol
0,Michael Mitchaner
0,Scott Nelson
0,Sergio Sanchez
0,Shirley Saunders
2,Jeremy Goodsitt
5,Avery Bandstra
13,Elena Gratton
14,Kailey Frangella
18,Eleanor Vandel
20,Mukil Guruparan
25,Boyd Rinehart
42,Kevin Tan
47,Artemis Andsager
69,Eric Badger
b,r,e,a,k
Skyhawks,10
teamInfo,,"South Bend, Indiana",,https://www.facebook.com/Skyhawks-427022961197953/,@SkyhawksUlti
0,Anjali Pant
0,Catherine Chambers
0,Charlotte Tuohy
0,Gage Koon
0,Michelle Witkowski
0,Nicholas Geever
2,Paul Fletcher
4,Samuel Easley
5,Zachary Koh
8,Katy Ashpole
9,William Theisen
10,Emily Balsbaugh
13,Danica Keefe
14,Kristi Muhlenkamp
19,Tobin Moore
20,Ryan Ntende
21,Michael Ntende
22,Matthew Muhlenkamp
23,Morgan Miller
24,Cole Strickling
30,Allison Kielhold
31,Jessica Baca
41,Christopher Miller
42,Sean McGuinness
47,Bradley Vaal
90,Jory Cole
b,r,e,a,k
Indiana Pterodactyl Attack (IPA),15
teamInfo,IPA,"Clarksville, Indiana",,https://www.facebook.com/IPA.Ultimate/,
0,Christopher Reynolds
0,Elizabeth Schaaf
0,Emery Jonas
0,Jessica Neal
0,Joel Norfleet
0,Manuel Urquilla
0,Nathan Stippler
0,Jack Dellinger
0,Rachel Huster
0,Rebecca Dyer
1,Nick Galbreath
2,Nathan Huster
05,Brandon Jerrell
12,Abby Jerrell
14,Wyatt Edwards
17,Atticus  Baumgartle 
18,Isaac Baumgartle
26,Indigo Jonas
44,Greyden Jonas
44,Trenton Schroeder
70,Anthony Johnson
72,Ava Moseley
75,Colter Jonas
77,Jade Jonas
88,Caleb Combs
b,r,e,a,k
Chicago Parlay,4
teamInfo,,"Chicago, Illinois",https://www.notion.so/parlay-ultimate/Parlay-Ultimate-2025-96484c11d649494e9142e1933b28fce2,https://www.instagram.com/parlayultimate/,https://twitter.com/ParlayUltimate
coaches,Jordan Lange
0,Aidan McLeod
0,Andriana Tompary
0,Bridget Wyman
0,Cassandra Skapek
0,Elliot Shin
0,Eva Verner
0,Larkin Johnson
0,Sammi Wong
0,Thomas Alford
0,Wyatt DeYoung
0,Ricky Ramirez
0,Zasha Medina
1,Adam Klaus
3,Elliot Lee
5,Justin Burnett
6,Risa Umeno
6,Jocelyn Sun
11,Anthony Ji
15,Zach Kieffer
18,Dale Decatur
20,Luisa Fernanda Sánchez 
25,Elaine Sundberg
51,Miki Ling
88,Julia Kasner
96,George Irving
99,Benjamin Zhang
b,r,e,a,k
Twist,9
teamInfo,,"Ann Arbor, Michigan",https://www.instagram.com/aatwistultimate,https://www.facebook.com/profile.php?id=100091776499482,
2,Emily Cummins
3,Croix Jastrow
5,Shane Earley
6,Arlene Dai
7,Patrick Adelstein
8,Taylor Engen
