Garden State 2025,College - Men ,1,3,2025
Vineland,NJ,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Garden-State-2025/schedule/Men/CollegeMen/
Rhode Island,5
teamInfo,RIUT,"Kingston, Rhode Island",,https://www.facebook.com/MensRIUT/,https://twitter.com/mensriut?lang=en
0,Aaron Iwanski
0,Aidan Sykes
0,Alexander  Kiriaki
0,Armando Feldman
0,Brandon McPhee
0,Brian Szewczyk
0,Carson Paull
0,Connor Ham
0,Corey Vasko
0,Evan Trombley
0,Evan Fallon
0,Jason Berube
0,Joshua Klemm
0,Luke Jensen
0,Matias Hazbon
0,Mike Amighi
0,Thomas Vinagre
4,Riley Franklin
22,Brad Fowler
27,Ben Yeager
33,Chase Flint
99,Michael Downing
b,r,e,a,k
Bowdoin,1
teamInfo,Clown,"Brunswick, Maine",,,https://twitter.com/stoned_clown?lang=en
coaches,Michael Pistrang
0,Ilo Holdridge
7,Axel Hicks
01,Ethan Borland
02,Henry Anderson
03,Will Gaston
04,Theodore Barton
06,Thayer Frankel
08,Anders Larson
09,Benjamin Israel
10,Josh White
11,Eric Traub
12,Dudley Holdridge
13,Stone Zhou
14,Sam Ralston
16,Spencer Sussman
17,Alexander Kelly
19,Jamie Roan
20,Zachary Widmyer
21,Cole Fairfield
22,Benjamin  Turnbull
23,Michael Martinez
24,Miles Berry
26,Khalil Wilkinson
30,Dane  Crandall
45,Henry Doerr
49,Ari Faulkner
66,Felipe Perez
88,Benjamin Halperin
b,r,e,a,k
Penn State (B),3
teamInfo,LoveTap,"University Park, Pennsylvania",,,https://twitter.com/LovetapDisc
0,Brayden Kovanda
0,David Levitt 
0,Ethan Levin
0,Jan Sames
0,Joseph McCann
0,Joshua Freshly
0,Shuo-Yun Chu
0,Terry McGinty
0,Tyler Baglieri
1,Gabriel Rosenberg
2,Garrett Poirier
5,Ryan Connor
11,Brian Medrow
12,Ryan Kempster
14,Reagan Foley
18,Nicholas Shuble
23,Harrison Findley
26,Daniel Nipper
27,Hunter Allen
34,Alex Dubow
43,Steven Remish
99,Gabe Vanderbrink
b,r,e,a,k
Brown (B),2
teamInfo,Brown - B,"Providence, Rhode Island",,,https://twitter.com/PFunkUltimate
0,Caleb Stutman-Shaw
0,Charles Lebwohl
0,Ibrahim Mohammed
0,Ishan Khurana
0,Jackson Ho
0,Kyan Frantz
0,Maximilian Koehler
0,Oscar King
0,Phillip Meader Yetter
0,Raymond Kao
0,Sam Bradley
0,Sylvan Maggiotto
0,Takeru Katayama
0,Tej Tummala
05,Bryce Jacobs
34,Muyu Ye
b,r,e,a,k
Haverford,4
teamInfo,Big Donkey Ultimate,"Haverford, Pennsylvania",,,https://twitter.com/donkeyultimate
0,Aedan Shiffman
0,Caleb Nelson
0,Edwin Luebke
0,Max Negbaur
0,Jonathan Lee
0,Timothy Leon
0,William Snyder
0,Wyatt Staley-Bischoff
0,Xilong Tie
0,Zack Goldstein
2,Ethan Furman
3,Darren Belanger
4,Emile Roth
5,Will Murdock
6,Gavin Crowell
9,Mihir Patel
19,Milan Arado
23,Mateo Kietzman
26,Robert Betts Cope
27,Benjamin Norris
29,Carter Rostron
