2025 USA Ultimate D-I College Championships,College - Women ,23,5,2025
Burlington,WA,2025-05-23,2025-05-26
https://play.usaultimate.org/events/2025-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/
British Columbia,1
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
coaches,Edward Guo,Victoria Lam,Jonathan He
00,Mijoo Lee
02,Abigail Grunenberg
03,Claire Weng
06,Isabella  Lin
07,Noor Al-Tabbaa
09,Shaelyn Woo
12,Audrey Nichols
13,Nina Tsai
15,Ella Bolan
17,Madison Ong
19,Mandy Li
21,Emily Ma
22,Makenzi Basas Harris
27,Phoebe Chen
34,Madoka Wowk
35,Amelie Marshall
36,Bryelle Wong
44,Theresa Xiao
49,Yun Hua
51,Meagan Chau
70,Miu Shiraiwa
73,Jamie Jung
74,Jun Fu (Michelle) Yang
93,Mika Kurahashi
98,Lauren Szeto-Fung
b,r,e,a,k
North Carolina,8
teamInfo,Pleiades,"Chapel Hill, North Carolina",http://www.uncpleiades.com,https://www.facebook.com/unc.pleiades/,https://twitter.com/UNC_Pleiades/
coaches,Jessica Jones,Qing (Jenny) Wei
00,Allison Reilly
02,Claudia Dare
03,Emily Przykucki
05,Genesis Ponce
07,Tree Konvalinka
08,Kailyn Lowder
09,Megan Buchsbaum
10,Lisa Wei
15,Martha Plaehn
16,Lucy Murray
18,Jordan Britt
20,Kiryn Paine-Heise
22,Catherine Fradenburg
23,Bella Russell
24,Gracie Rogers
25,Rachel Yao
27,Dhara Buebel
28,Abigail Stevens
32,Sohie Ryang
49,Erica Birdsong
54,Alex Hecht
57,Kika Larrick
99,Macy Hudson
b,r,e,a,k
Cal Poly-SLO,12
teamInfo,SLO Motion,"San Luis Obispo, California",https://cpslomotion.wixsite.com/home,https://www.facebook.com/cpslomotion,https://twitter.com/cpslomotion?lang=en
coaches,Carson Crouch,Thalia Ward
02,Madelyn Cruz
03,Megan Wong
05,Brooke Nishida
06,Molly Middlebrook
07,Mackenzie Bice
09,Mary Jane Hartman
10,Zoe klement
11,Nora Snyder
12,Poppy DeArmond-MacLeod
13,Sydney Alexander
15,Corrina  Blakemore
16,Hanna Lee
19,Tucker Donahue
22,Cece Hildreth
23,Margo Donahue
25,Katherine Jackson
26,Molly Sandler
28,Charis Gray
29,Louisa Rudo
33,Stella Romeo
35,Ella Blaney
50,Lia Romeo
64,Bryn Harper
88,Lauren  Sprague
99,Sofia Daniels
b,r,e,a,k
California-San Diego,13
teamInfo,UCSD D-Co Womxn's Ultimate,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/pg/dragoncoultimate/about/?ref=page_internal,@d_co_ultimate
coaches,Samantha Wool,Sara Zhang
00,Margot Nissen
01,Ananya Shaligram
04,Sophia Fitch
07,Nicole Moran
08,Samantha  Medina
13,Emma  Toussaint
14,Dylan Mullaney
15,Yariel Perkins
18,Sanam Rozycki-Shah
19,Annika Ross
21,Antonia Thommes
22,Jessie Finkelor
24,Tori Gray
27,Teaghan Lynch
28,Parissa Teli
31,Cassidy Morgan
36,Mars Bau
38,Abigail Shilts
44,Kezha Neale-Sacks
47,Josefina O'Toole
51,Adele Motamedi
67,Kaitlyn Straight
69,Beliz Akbulut
81,Yun Han
97,Danielle  Weatherwax
b,r,e,a,k
Pennsylvania,17
