Midwest Throwdown 2025,College - Men ,1,3,2025
"Warrenton, Wentzville, Saint Louis",MO,2025-03-01,2025-03-02
https://play.usaultimate.org/events/Midwest-Throwdown-2025/schedule/Men/CollegeMen/
St Olaf,1
00,Johnny Quick
00,Joshua Sereno
00,Kelly McFarren
00,Levi Hasse
00,Liam Clark
00,Loren Pope
00,Malcolm Duellman
00,Nate Benishek
00,Nathan Salberg
00,Quinn Nelson
00,Sebastian Blue
00,Tony Tran
00,Ty Stanton
00,Wyatt Mackenthun
00,Alex Newton
00,Austin Tranowski
00,Charles Schulz
00,Dillon Steeves
00,Dylan Haugee
00,Everett Ries
00,Frank Toft
00,Gavin Johnson
00,Henry Lyne
00,Henry LeFebvre
17,Hudson Borchardt
b,r,e,a,k
St John's (Minnesota),12
teamInfo,Minnesota) (BAM,"Collegeville, Minnesota",,https://www.facebook.com/pages/Saint-Johns-Ultimate/169796783097127,https://twitter.com/SJUultimate
00,Austin Laing
00,Benjamin Mimick
00,Carter Versaevel
00,Charlie Auge
00,Chenxu Yu
00,Colin Glynn
00,Dylan Perrill
00,Graham Imholte
00,Henry Pirner
00,Isaac Johnson
00,Kason Olson
00,Luke Pfeifer
00,Max Meyer
00,Noah Zent
00,Tristin Thillmany
b,r,e,a,k
Purdue (B),19
teamInfo,CTRL-Z,"West Lafayette, Indiana",,,
0,Atlas Lehoczky Escobar
0,Austin Roach
0,Caden Jarausch
0,Chengen Tsan
0,Jake Broy
0,Jason Yi
0,Jeremy Moon
0,Justin Tate
0,Michael Martin
0,Miles Cohen
0,Nickolas Azanov
0,Noah Burkhardt
0,Samuel Zipes
0,Finley Bray
0,Ty Banks
0,Tyler Schmitt
12,Samuel Yager
14,Diego Morales
21,Jake Altom
69,Joseph  McLoughlin
b,r,e,a,k
Southern Illinois-Edwardsville,8
teamInfo,SIEGE,"Edwardsville, Illinois",,,
00,Kevin Chavers
01,Hector Chaidez
02,Jadin Johnson
03,Patrick Driscoll
04,Harrison  Feco
05,Kaden Schleeper
07,Augustino Ojeda
08,Jonathan Zawitkowski
09,Lucas Hanson 
10,Jacob Geisen
11,Dillon McGinnis
12,Nathan  Burrell
13,Christian Kult
14,Victor Chaidez
15,Colin Mclaren
16,Nicholas  Smith
18,Keaton Anderson
26,Evan Driscoll
30,Jesse Zawitkowski
32,Evan Squire
88,Sam Dawson
b,r,e,a,k
Iowa,3
teamInfo,IHUC,"Iowa City, Iowa",https://sites.google.com/site/iowahawkeyeultimateclub/,https://www.facebook.com/groups/564875686867551/,https://twitter.com/UofIowaUltimate
coaches,Lucas Boyle
0,Jack McIntyre
2,Oliver Bostian
3,Max Swinton
4,Wyatt  Sailer
7,Hale Halvorson
8,Luke Rubin
9,Chris Markiewicz
9,Joshua Vierke
11,Nicholas Quast
12,Jason Chen
14,Riley Dobush
20,Tony Abdel-Malek
22,Kyle Lavrisa
24,Alec Detzel
27,Mario Ortiz
32,William Walters
41,John Lorenz
72,Harvey Fiorato
91,Thomas Helm
97,Michael Roper
b,r,e,a,k
Illinois State,13
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
1,Dillon Yocum
2,Kacper Wujda
3,Thomas  Diveley
4,Rishi Boghra
6,Logan Dudley
7,Carter Whitlow
11,Jacob Lyszczarczyk
12,Ethan  Moore 
15,Zachary Zietara
16,Zach Ohlsson
17,Maksymilian Zajdel
20,Jalen Thomas
22,Brandon Hill
27,Peder Sevig
29,Reilly Nawrocki
33,Truman Arie
34,Patrick Corlett
37,Levi Cardoso De Campos
44,Andrew Roth
55,Alessandro Gibson
95,John Chambers
99,Alex Zielinski
b,r,e,a,k
Wisconsin-Eau Claire (B),18
teamInfo,Breauzone,"Eau Claire, Wisconsin",,,
0,Colin Pham
0,Elliot Mitchell Larson
0,Gabriel Tapia Martinez
0,Gabriel MacFarland
0,Karma Wangdue
0,Kyler Buse
0,Maslow Pekarek Krohn
0,Matthias Stokosa
0,Max Grosland
0,Miles Zimmerman
b,r,e,a,k
Marquette,7
teamInfo,Birdhouse,"Milwaukee, Wisconsin",https://www.birdhouseultimate.com/home,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
0,Myles Boehm
1,Isaac  Shimek
9,Jonathan Snell
12,Evan Frias
13,Cade Neubauer
14,Jackson Seltzer
24,Adam Bauman
27,Ben Hanson
28,Kyle Reader
30,Sean Habash
33,nathan shannon
34,William Halm
35,Robert Sedlack
39,Francis Nuguid
50,Kaden Christiansen
51,Tom Budka
56,Ryan Laughlin
66,Noah Anders
75,Joshua Hubble
80,Reid Lancaster
89,Noah Kaye
b,r,e,a,k
Wisconsin-Eau Claire,4
teamInfo,EauZone,"Eau Claire, Wisconsin",https://www.instagram.com/eauzoneultimate/,https://www.facebook.com/pages/Eauzone/123562074416368,https://twitter.com/eauzoneultimate
0,Alex Theriot
0,Braeden Murphy
0,Carter Klug
0,Evan Carter
0,Gabriel Smerillo
0,Jon Caravella
0,Maximilian  Petitjean 
0,Michael Dick
0,Mino Whitley Mott
0,Torrian Samuels
1,Brett Duncan
2,John Stevenson
3,James Harvey
7,Max Muench
13,Haakon Neske
16,Jay Lonetree
17,James Briscoe
18,Reed Selvey
20,Adrian Haugee
23,Benjamin Anderson
55,Liam Lamb
88,Dylan Schohn
b,r,e,a,k
DePaul,14
teamInfo,DUC,"Chicago, Illinois",http://www.instagram.com/depaulultimate,,https://twitter.com/depaultimate
0,Evan Lutz
0,Mikkal Hvidsten
0,Piere Joyner
2,Carter Altruda
4,Jackson Bear
5,Elias Smith
7,Daniel Finney
9,Levi Taylor
06,Lachlan Bond
11,Lucius Johnson
11,Matthew Chapin
13,Sean Hoch
14,Zachary Weiner
15,Jaden Simpson
20,Jonathan Hanold
21,Reece Bastyr
22,Chuck Rogers
24,Matthew Berryman
25,Shea McKeough
28,Eli Hoffmann
35,Carson Malone
38,Peter Milburn
47,Alex Kielbasa
51,Aiden Rathmann
80,William Hollis
99,Giri Peters
b,r,e,a,k
Knox,17
teamInfo,River Rats,"Galesburg, Illinois",,,
0,Christian Wallace
0,Divyesh Shrestha
0,Finnegan Hautau
0,Jacob Calan-Tolle
0,Jake Shelton
0,James Thompson
0,Luka Vorobyov
0,Max Hoffman
0,Richie Dix
0,Vyaas Subramanian
0,Zach Shack
0,Zachary Benson
17,Martin Herrera
46,Ethan Lundblad
78,Colton Degen
b,r,e,a,k
Iowa State,5
teamInfo,ISUC,"Ames, Iowa",https://www.stuorg.iastate.edu/isuc,https://www.facebook.com/IowaStateUltimate,https://twitter.com/ISUltimate
coaches,Dayton Wright
0,Andrew Chizek
0,Caleb Kugel
0,Ellery Sabado
0,Ellis Perniel
0,Jake Ebersole
0,Matthew Glanzmann
0,Nicholas Messerges
0,Owen Jewell
0,Stephen Gaul
1,Logan Castle
1,Gabe Schoepke
2,Joey Clarke
3,Destiny Adams
4,Zachary Bye
6,Logan Heileman
9,Emerson Sabado
11,Hrushi Bhatt
25,Brian Cacioppo
32,Holden Fahnhorst
33,Sean Fjellman
42,Tanner Holtz
62,Justin  Hua
64,Tommy Rohlinger
87,Jason Dejung
98,Luke Walsh
b,r,e,a,k
Macalester,6
teamInfo,Macalester Open Ultimate,"Saint Paul, Minnesota",https://macalesteropenulti.weebly.com/,,https://twitter.com/macalesterulti
coaches,Sean Prichard,Elizabeth Curtiss
0,Austin Flatness
0,Benjamin Westergren
0,Boaz Lieberman
0,Brayden Mathias
0,Caleb Bartlett
0,Alex Brinkman
0,Erik Lindell
0,Isaac Gilchrist
0,Kyle Suelflow
0,Liam Athas
0,Nathan Blatman
0,Sanjeev Sridhar
0,Spencer Hazleton
0,Theo Zuckerman
0,William Chapman-Renaud
2,Addison Zheng
3,Ezra Cohen
7,Rocky Slaymaker
11,Stellah Marienthal-Legendre
14,Andrew Dong
22,Nicholas Miller
36,Gavin Davis
37,Seamus McMurrer
69,Dylan Lian
77,Owen Suelflow
b,r,e,a,k
Illinois (B),15
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
6,Matthew Conroy
7,Ronin Banerjee
8,Sujay Subramanian
9,JT DeLongchamp
10,Sam Dong
11,Ryan Hof
13,Jackson Kiedaisch
15,Samuel Wleklinski
16,Michael Hu
19,Declan Delgado
21,Kevin Tanner
23,Erik Rothenberger
24,Rohil Saxena
25,Arnav Poddar
29,Jeff Gao
36,Jeff Burda
38,Nick Owen
41,Abbey Mullen
67,Robert Skrentny
78,Patrick Huang
84,Ben Lareau
87,Elliot Weisfeld
88,Eric Ho
b,r,e,a,k
Washington University (B),16
teamInfo,Contraband,"St. Louis, Missouri",https://sites.wustl.edu/contraband/,,https://www.twitter.com/wucontraband
0,Andre Leger
0,Benjamin Modiano
0,Benny Septer
0,Doug Wagner
0,Ethan Engelman
0,James Richard
0,Joseph Lynch
0,Owen Rice
0,Theodor Martin
0,Thomas Biggs
0,Zachary Lew
43,JP Torack
b,r,e,a,k
