2025 Mid-Atlantic Mixed Regional Championship,Club - Mixed ,20,9,2025
Frederica,DE,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-Mid-Atlantic-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Rally,1
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/DCRallyUltimate,https://twitter.com/RallyUltimate
coaches,Geoff Horsfield,David Maniloff,Layne Scherer
0,Margot Nissen
01,Theo Shapinsky
02,Katina Russell
03,Maya Kikuchi
04,Ellen Mueller
05,Austin Bartenstein
07,Margaret Pendleton
08,Kristin Franke
09,Emily Kiver
10,Jenny Fey
13,Ethan Ruh
15,Julia Harris
18,Brandon Lamberty
19,Noah Newberger
20,Daniel Gribbin
21,Keara Crook
23,Sami Smalling
24,Anthony McLean
32,Rebecca Driver
42,Ben Sadis
51,Shane Jones
55,Gabriel Webster
56,Jimmy Clarke
66,Marcus Thaw
90,Sydney Rehder
99,Alan Kolick
b,r,e,a,k
AMP,2
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
0,Chris Zaleski
01,Robert Roos
02,Ryan Cornelius
03,Rachel Alfano
05,Lindsay McKenna
06,Thomas Nye
09,Erica Collin
10,Neena Kashyap
11,Leo Warren
15,Marta Lynch
18,Emily Shields
21,Linda Morse
23,Allan Michel
24,Danielle Walsh
25,Sabrina Bonaci
27,Luke Greenley
33,Will Zamsky
34,Olivia Steinberg
45,Zoe Costanza
66,Nolan McCloskey
70,Jake Butrica
73,Katie Stack
73,Chelsea Semper
91,Ethan Sarles
98,David Snead
99,Eric Nardelli
b,r,e,a,k
Anthem,4
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/profile.php?id=100090895539227&mibextid=LQQJ4d,https://twitter.com/AnthemUltimate/status/1617652961299279872?s=20&t=gFOPhZpWzglqQWxTQUxcTA
0,Alexis Faccone
0,Anne Saba
0,Christopher Leung
0,Claudia Wang
0,Destiny Lim
0,Jessica  Oh
0,Kaitlyn Harper
0,Margaret Zuelsdorf
0,Mitchell Lauer
0,Nate Harnish
0,Sean McDermott
0,Sesha McMinn
0,Stephanie Creighton
0,Tanner Marshall
0,Trevor Collins
0,Warner Brockman
1,Francesca Corna
5,Jack Engle
10,Elias White
12,Shai Brown
18,Stacy Lu
19,Kyle Morgan
29,Jesse Moore
33,Isabella Wahl
42,Tanner Lee Gesell
73,Mark Flores
b,r,e,a,k
Spice,11
teamInfo,,"Charlottesville, Virginia",,,https://twitter.com/SpiceUltimateVA
0,Anarae howe-flint
0,Andrew Kennedy
0,Brian Walter
0,Chloe Schueman
0,Christopher Messmore
0,Elisabeth Doty
0,Emma Colavincenzo
0,Jaxon Boudreau
0,LeeAnn Dempsey
0,Lynn Mandeltort
0,Malia Gardner
0,Matthew Callen
0,Olivia Bearman
0,Parham Ghassemi
0,Phillip Johnson
0,Ray Varner
0,Josh Rosenberg
0,Ryann Boudreau
0,Sabrina Combs
0,Tristan Shafer
3,Franklin Ahrens
5,Rita Feder
7,Joseph Terrana
25,Katelyn Birchfield
40,Dyon Vega
47,Rhiannon Begley
b,r,e,a,k
Cupcakes,9
teamInfo,,"Philadelphia, Pennsylvania",https://www.instagram.com/cupcakesulti/,,
0,Brian Nevison
0,Carla Tilchin
0,Elena Lopez
0,Jack Steketee
0,Jesse Shank
0,Jessica Dugo
0,Jonah Grossberg
0,Nicholas Purifico
0,Nick Maida
0,Robin Lowe-Skillern
0,Megan Morales
3,Tyler Mackey
8,Angela Petrus
10,Belle Sullivan
11,Joanna Chen
14,Joshua Norton
16,Jenn Dai
17,Melinda Alvey
19,Ryan Lynch
33,Jesse Thornton
47,Anna Bingham
85,Chase Rawlins
99,Veronica Kolegue-Spalaris
b,r,e,a,k
Revival,12
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RevivalFlatball,
0,Brittany Taylor
0,Ellie Cymrot
3,Jacob Harnage
7,David Slade
8,Kris Harrison
9,Sarah Spall
11,Michael Snead
12,Tyler Davis
13,Keys Pattie
14,Victoria Higgins
17,Cullen Monahan
18,Matthew Neeley
22,James Godwin
23,Matthew Beaudet
24,Tim Jackson
25,Crystal Lowery
29,Rachel Shannon
31,Hannah Elledge
33,Emma Cole
40,Bart Turney
43,Nolan Randolph
44,Keila Strick
64,Victoria Davis
77,Maria del Carmen Lafita Navarro
80,Jonathan Bledsoe
87,Griffin Lang
b,r,e,a,k
Pittsburgh Port Authority,3
teamInfo,,"Pittsburgh, Pennsylvania",https://tinyurl.com/xteamvalues,,https://twitter.com/portauth0rity
0,Alyssa Yang
0,Benjamin Attal
0,Christie Lawry
0,Dylan Best
0,Haley Young
0,Isabella Krisky
0,Jake Murray
0,Kristin Dudley
0,Patrick McMullen
0,Ryan Harty
0,Tony Thomas
6,Darra Ahluwalia
8,Vivian Shen
9,Ryan Kindell
11,Owen Watt
11,Harry Park
12,Logan Wright
12,Nicole Fiorentino
14,Jenna Nold
18,Jed Farber
24,Alexander Thomas
25,Ian Piper
26,Annette Kukunas
27,Kit Asterin
32,Shani Rosenthal
84,Nicholas Blair
b,r,e,a,k
HVAC,10
teamInfo,,"Washington DC, District of Columbia",,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
0,Ayla Volante
0,Ben Frattini
0,Ellie Ngo
0,Erica Yee
0,Josh Levin
0,Karen Shim
0,Krista Woodward
0,Helen Turvene
0,Levi Crossan
0,Patrick Kenney
0,Rosemary Ventura
0,Malcom Fox
0,Maya Collins
0,William Strang
1,Christian Daniel
10,Lydia Schaar
11,Emily Andre
17,Landrum Beard 
18,Has Bhatti
20,Sean Mizoguchi
23,Jonathan Tiernan
27,Tyler Coleman
27,Wallis Grant
27,Nora Wagner
28,Kyle Duffy
29,David Leibert
b,r,e,a,k
Philly Twist,16
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/TwistUltimate/,https://twitter.com/philly_twist
0,Alex Kerensky
0,Anna Kasper
0,Barrett Doering
0,Charles Harrity
0,Ella Kesler
0,Emma Wennberg
0,Ethan Smith
0,Ethan Daum
0,Ivan Sanchez
0,Janelle Gerardi
0,Rebecca Shustack
0,Tyler Vandergriff
0,Zachary Jacobs
0,Zachary Oppler
0,Keira Schoffler
4,Emily Gallagher
4,Johnny Cruz
4,Brian  Murphy 
7,Ben Fournier
27,Ella Rothermel
56,Lauren Feder
75,Abraham Schroeder
b,r,e,a,k
Delabear,8
teamInfo,,"Wilmington, Delaware",,,
01,Angela Campanella
02,Jillian Cohen
03,Eric Hoover
04,Dustin Damiano
05,Rory Smith
06,Jessica Brand
07,Caitlin Gleason
08,Leo Claney
09,Steven Broome
10,Ryan Dealy
11,Andrea Anger
12,Rachel Owrutsky
13,Hunter Weibley
14,Matt Reenstra
15,Graham Coughlin
16,Jonathan Cohen
17,Elise Colomb
20,Andrew Klarner
22,Hailey Braunstein
24,Alice Laughlin
25,Kristen Shannon
26,Suzanne Sirianni
27,Patrick Shannon
32,Jeffrey Andrews
66,Emily Smulowitz
91,Kenneth Wells
b,r,e,a,k
Jughandle,5
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
0,Cara Silvestri
0,Cole Stevens
0,Colin Cahill
0,Damon Luk
0,Declan French
0,Jana Graham
0,Janet  Ro
0,Jason Schwartz
0,Jeffrey Zhou
0,Kate Witzgall
0,Marissa Coolidge
0,Maya Karl
0,Robert Altieri
0,Vedant Sachdeva
5,Brendan McCluskey
9,Ryan Lee
9,Sam Gilden-Weiner
9,Gerard Bryson
9,Dean Klimek
10,Ayaaz Versi
10,Benish Benjamin
17,Eileen Peach French Regan
30,Jadin Stoffel
36,Tanner Yuhas
41,Kalea Dodge
97,Kelly Skewis
b,r,e,a,k
Farm Show,13
teamInfo,,"Harrisburg, Pennsylvania",,https://www.facebook.com/farmshowulti,
0,Cassandra Boesenhofer
0,Kyle Larsen
2,Thomas Preston
