June Bloom,Club - Mixed ,14,6,2025
San Diego,CA,2025-06-14,2025-06-15
https://play.usaultimate.org/events/June-Bloom/schedule/Mixed/Club-Mixed
Erosion,6
teamInfo,,"Costa Mesa, California",,,
03,Tyler Emig
05,Sabrina Hsu
06,Alexa Carter
08,Tessa Shates
10,Brandon Martelli
10,David Horrell
11,Ashley Glenn
16,Jiheng Nie
16,Lian Lash-Rosenberg
18,Erin Dillon
25,Christian Go
27,An Trieu
27,Kevin Zhang
32,Colin Suehiro
32,Amelia Becker
33,Sophia Bulander
34,Nathan Leong
55,Allison Welch
87,Matt Lambrose
91,Andrew Singer
97,Claire Gunderson
b,r,e,a,k
Spoiler Alert,4
teamInfo,,"Los Angeles, California",,https://www.facebook.com/SpoilerAlertUltimate/,@Spoileralertult
0,Alexandra Scholefield
0,Alison Yoho
0,Andrew Whittle
0,Andrew LeMaster
0,Derek Lay
0,Jackson Winter
0,Katrina Rizzuto
0,Leyla Williams
0,Megan  Stock
0,Molly Winter
0,Rachel  Weinberg
0,Stephanie Schaffer
0,Theodore Lannert
0,Tyler Kenney
7,Kyle Stinson
13,Alex Tacescu
14,Anthony Paoli
17,Benjamin Aiga
18,Megan Lannert
23,Sara Herta
26,Sarah Swanseen
27,Mei-Lien Converse
b,r,e,a,k
Octonauts,1
teamInfo,,"Culver City, California",,,
01,Luke Hart-Moynihan
02,Shirley Zhang
03,Mark Ramada
06,Jackson Knox
08,Crystal Au
12,Libby Knapp
13,Karla Brady
15,Bryan  Cloutier
17,Joseph Giampaoli
18,Christopher Moetell
19,Maeve Buchanan
21,Rylee White
22,Finnian Day
24,Baker Sharp
30,Andrew Chen
32,Alison Elliott
44,Michael Hayden
47,Thalia  Tzetos
51,Ethan Barron
62,Annamarie Ellazar
77,Youran Cai
88,Lauren Nyczak
97,Charles Dolph
b,r,e,a,k
Shipwreck,3
teamInfo,,"San Diego , California",,,https://www.instagram.com/sdshipwreckultimate
0,Andrea Duran
0,Anjali Gopinathan
0,Courtney Lau
0,Cynthia Love
0,Elias Marsh 
0,Kenneth Magoon
0,Lisa Stal
0,Paul Han
0,Sanjay Sampat
0,Sierra Landaiche
0,Teaghan Lynch
0,Vincent Liang
0,Wesley Bowen
4,Sara Zhang
4,Emily Blazar
5,Ty Torregrosa
7,Jack Sarles
9,Amita Stowitts
10,Aidan Lopez Escarez
12,Jake Hare
13,Nick Hollon
16,Nicole Follman
19,James Rapoza-Lee
24,Tyler Wallace
b,r,e,a,k
Family Style,2
teamInfo,,"Los Angeles, California",https://www.instagram.com/playfamilystyle/,,https://twitter.com/playfamilystyle
0,Abe Ho
0,Addison Marsh
0,Ava Kazemi
0,Eli Dorn
0,Eugene Hong
0,Hana Effron
0,Jacob Barr
0,Lynn Truong
0,Nathaniel Ankrum
0,Norah Patel
0,Renee Wilkening
0,Sadie Abernathy
0,Sage Frock
0,Samantha Huddleston
0,Theodore Wilkening
0,Thomas Gartman
0,Uniss Tan
2,Paul Klinger
5,Miguel Hector
10,Ryan Tuthill
21,Patrick Krantz
24,James Chianglin
24,Jackie Hall
46,Sarah Kibler
b,r,e,a,k
Birds of Paradise,5
teamInfo,,"San Diego, California",,https://www.facebook.com/BirdsUltimateSD/,
0,Ari Berk
0,Ashley Shen
0,Aaron Zeng
0,Catherine Paulson
0,Iris Kubler-Dudgeon
0,Jasmine Allred
0,Jing Cheng
0,Justen Hitchcock
0,Kayla Keegan
0,Kent Cuevas
0,Michael Yee
0,Peter Newman
0,Shawn Olsavsky
0,Steven Cheng
0,Tori Buss
0,Trina Elley Javellana
1,Lynn Weisberg
14,John Geller
15,Lynette Nguyen
17,Christille Jave Vega
17,Paul Goral
19,Brandon Segraves
25,Andrew Wells
33,Shih-Ting Huang
36,Sumon Chattopadhyay
42,Caitlin Bouchard
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin Pool Play
pool,Pool A
Octonauts,Shipwreck,0,0,"06/14/2025, 09:00",Pool A,Scheduled
Family Style,Spoiler Alert,11,12,"06/14/2025, 09:00",Pool A,Final
Birds of Paradise,Erosion,9,13,"06/14/2025, 09:00",Pool A,Final
Spoiler Alert,Birds of Paradise,0,0,"06/14/2025, 11:00",Pool A,Scheduled
Family Style,Shipwreck,0,0,"06/14/2025, 11:00",Pool A,Scheduled
Octonauts,Erosion,0,0,"06/14/2025, 11:00",Pool A,Scheduled
Shipwreck,Birds of Paradise,0,0,"06/14/2025, 13:00",Pool A,Scheduled
Spoiler Alert,Erosion,0,0,"06/14/2025, 13:00",Pool A,Scheduled
Octonauts,Family Style,0,0,"06/14/2025, 13:00",Pool A,Scheduled
Family Style,Birds of Paradise,0,0,"06/15/2025, 09:00",Pool A,Scheduled
Octonauts,Spoiler Alert,0,0,"06/15/2025, 09:00",Pool A,Scheduled
Shipwreck,Erosion,0,0,"06/15/2025, 09:00",Pool A,Scheduled
Family Style,Erosion,0,0,"06/15/2025, 11:00",Pool A,Scheduled
Octonauts,Birds of Paradise,0,0,"06/15/2025, 11:00",Pool A,Scheduled
Shipwreck,Spoiler Alert,0,0,"06/15/2025, 11:00",Pool A,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
bracket,3rd Place
bracket,5th Place
b,r,e,a,k
