Boston Invite 2025,Club - Mixed ,12,7,2025
Devens,MA,2025-07-12,2025-07-13
https://play.usaultimate.org/events/Boston-Invite-2025/schedule/Mixed/Club-Mixed
Big Rig,1
teamInfo,,"Burlington, Vermont",,,
0,Abby Bunting
0,Anna Isselhardt
0,Evan Benoit
0,Grant Goodale
0,Jovan Strange
0,Kayla Tashiro
0,Maren Hennessy
0,Seth Fisher-Olvera
0,True Hanson
1,Innocent Ndikuriyo
2,Erik Arnold
3,Zoe Bishop
4,Wyatt Smith
9,Meribel Collin
9,Kuochuan Ponzio
9,Jack Rice
13,Cale Ellingson
17,Scout Harper
18,Ella Polli
19,Beorn Morrow-Caron
99,Kalei Foley-Rutherfurd
b,r,e,a,k
The Buoy Association,8
teamInfo,,"Portland, Maine",,,
0,Adelle Pitsas
0,Andrew Applegate
0,Cecelia Blackwell-Moore
0,Daniel Butler
0,Devany Pitsas
0,Ella Leding
0,Haley  Hemeon
0,Joe Newlin
0,Julian Erickson-Watson
0,Phoebe Schembre
0,Rachael Westgate
0,Robby Perkins-High
0,Olivia Phillips
0,Sammi Smith
0,Walker Hatchett
2,Ian McClelland
3,Kate Powers
4,Myles Maxson
5,Pearce Kelley
6,Liz Crawford
9,Samantha Munson
15,Layla  Wissink
20,Cameron Barth
27,Audrey Love
47,Alex Rowell
56,Landis Hackett
b,r,e,a,k
Axolotls,9
teamInfo,,"Hoboken, New Jersey",https://www.instagram.com/theaxolotlsultimate/,,
0,Eveline Shiao
1,Reed Rawhouser
2,Austin Uhl
3,Bridget Williams
5,Scott Harvey-Arnold
7,Kafre O'Connell
8,Kahchi Fong
9,Casey Kulik
12,Daniel Lee
13,Pete Isler
14,Katie Fazio
16,Sarah Bright
18,Jeremy Lonnman
24,Olivia Woodruff
25,Benjamin Nichols
26,Megan Ma
27,Tomoe Dew
31,William Hines
33,Russell Borenstein-Burd
35,Rae Conklin
37,Ann-Ping Shangguan
70,Robert Patten
88,Moi Li
98,Kyle Dew
b,r,e,a,k
Lampshade,14
teamInfo,,"Cambridge, Massachusetts",,,
coaches,Abijith Krishnan
0,Bobby Lovitch
