2025 Pro-Elite Challenge East,Club - Men ,28,6,2025
Sylvania,OH,2025-06-28,2025-06-29
https://play.usaultimate.org/events/2025-Pro-Elite-Challenge-East/schedule/Men/Club-Men/
PoNY,1
teamInfo,,"New York, New York",,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
coaches,Cody Mills
01,Tej Murthy
02,Matt LaBar
03,Solomon Rueschemeyer-Bailey
04,Benjamin Jagt
05,Joshua Stevens-Stein
07,Clark Cofer
09,Samuel Little
10,Shashank Alladi
11,Ben Dameron
14,Ethan Lieman
16,Anders Juengst
17,Benjamin Katz
17,Isaac Kaplan
21,Vinay Valsaraj
22,Jacob Cowan
23,Jimmy Mickle
24,Cameron Wariner
30,Josue Alorro
31,Chris Kocher
34,John Randolph
41,Oliver Fay
44,Scott Heyman
46,Tristan Yarter
80,Antoine Davis
81,Calvin Brown
b,r,e,a,k
Florida Untied,16
teamInfo,,"Ocala, Florida",https://www.instagram.com/untiedultimate?igsh=MWVmYTJtcDJ2YjB4cQ==,,https://twitter.com/UntiedUltimate
0,David Witte
01,Brendan Keith
02,William OBryan
03,Ricardo DeLeon
04,August Specht
05,Justin Montalbano
06,Daniel McNamara
08,Jaime Perez
09,Clayton Partlow
10,Michael Arbutine
12,Bradley  Paul
13,Bhagya Patel
15,Dustin Travaglini
18,Jacob Gaines
19,Bodie Cole
20,Joshua Webb
21,Anish Indhupuru
25,Unmil Patel
26,Scott Sakow
28,Ryan Thomas
29,Andy Chiang
32,Jonathan Holladay
53,Wazan Hoshino
85,Cody Coates
88,Lucas de Almeida Neves Aguiar
91,Garrett Knobel
b,r,e,a,k
Mallard,7
teamInfo,,"Minneapolis, Minnesota",https://www.mplsmallard.com/,https://www.instagram.com/mplsmallard,https://www.instagram.com/mplsmallard
0,Cody Curran
0,Connor Anderson
0,Eli Schaberg
0,Ellis Newhouse
0,Gabriel Jagt
0,Alex Kraft
0,Johnny Haas
0,Leland Engelking
0,Matthew Gunter
0,Otto Edgren
0,Parker Knudson
0,Zander Sachs
1,Ryan Osgar
9,Jack Karlen
13,Josh Kautz
19,Joshua Gabella
20,Blake Trantina
22,Travis Pratt
23,Michael (Mike) Petersen
29,Josh Klane
56,Ian Tsai
71,Nicholas Simonelli
b,r,e,a,k
Sprout,10
teamInfo,,"Amherst, Massachusetts",,,
coaches,Ben Nelson
0,Ben Ayres
0,Cameron Levine
0,Carl Crawford
0,Christopher Kiepert
0,Gavin Rice
0,Jonah Barry
0,Jordan  Lazer
0,Eli Standard
0,Forrest Williams
0,Roan Dunkerley
0,Will Christian
1,Nima Lhamo
3,Michael Ising
6,Rustin Ingold-Smith
7,Tomo Liou
12,Gabriel Franklin
13,Alex Evangelides
13,Calan Kirkpatrick
23,Kristof Rohaly-Medved
27,Caelan McSweeney
33,Parker Lin-Butler
33,William Thornton
42,Liam Gallinagh
72,Dylan Frank
b,r,e,a,k
Raleigh-Durham United,8
