Needle in a Ho-Stack 2025,College - Men ,29,3,2025
Charlotte,NC,2025-03-29,2025-03-30
https://play.usaultimate.org/events/Needle-in-a-Ho-Stack-2025/schedule/Men/CollegeMen/
Tennessee-Chattanooga,1
teamInfo,Swamp Donkeys,"Chattanooga, Tennessee",,https://www.facebook.com/pages/UTC-Ultimate-Frisbee/688460324541637,https://twitter.com/UTCSwamp
0,Christian Strom
0,Jon Arnold 
0,Luke  Speyrer
0,Michael Novarese 
0,Riley Rickstrew
0,Will Hanger 
1,Sterling Grant
2,Pryce Bevins
3,Jared Beazley
4,Braden Beebe
8,Christian Spining
9,Landon Kyle
10,Meshach Jones 
13,Blake Webber
16,Davis Camp
18,Ethan Arnold
20,David Wilkins
23,Aiden Holman
33,Charles Wheeler
44,Evan Denny
64,John Robinson
b,r,e,a,k
Wake Forest,9
teamInfo,"Well Oiled Machine, Baby","Winston-Salem, North Carolina",http://groups.wfu.edu/ultimate/,https://www.facebook.com/groups/64778716459,https://twitter.com/WFUltimate
0,Aaron Nataline
0,Ben Pestana
0,Bryson Tener
0,Elliot Miller
0,Ethan Rodriguez
0,Gavin Godfrey
0,George Lane
0,Henry Wolfe
0,Jackson Baker
0,Jackson Phelan
0,Jake Spain
0,Jiahua Lyu
0,Josh Chu
0,Lion Liang
0,Mark Tribble
0,Matthew Behm
0,Miguel Burgos
0,Nate Phadnis
0,Russell Stewart
0,Spencer Caouette
0,Torren Lewis
0,Ty Bogdanovich
0,Cole Jennings
0,David Maschler
8,Aidan Norris
17,Donovan DeWitt
18,Kieran Petrunich
27,Matthew Kulynych
35,Holden Schmidt
96,Caden Quinn
b,r,e,a,k
Cedarville,8
teamInfo,Swarm,"Cedarville, Ohio",,,https://twitter.com/cedarvilleuf
0,Graham Milliron
1,Asher Baer
2,Thor Peterson
4,Johnny Estrema
5,Caleb Dyer
6,Daniel Lenze
8,Gabriel Hieter
9,Gustave Stralnic
10,Elijah Otto
12,Henry Hedstrand
13,Matthew Wood
14,Drew Eachus
17,Granite Lesko
19,Andy Jang
20,Stephen Reiter
22,Gregory Von Eiff
23,Matt Buriok
24,Jacob Milne
31,Matthew  Kilareski 
37,Johnathon Revell
42,Elijah Shaw
44,David Hubbard
45,Micah Davidson
49,Benjamin Hubbard
51,Josh Kenniv
52,Joshua Shearer
62,Timothy Piasecki
b,r,e,a,k
South Carolina (B),16
teamInfo,South Carolina,"Columbia, South Carolina",,,https://twitter.com/DirtyBirdsUSC
8,Aspen Levine
9,Jack Connor
12,Matthew Hitchcock
17,Drayson Macdonald
20,Nathan Skinner
29,Liam Chandler
30,Drew Percy
32,Jared Kristall 
37,Joshua Blase
39,Hayden Fulcher
43,Victor Alfieri
44,Zion Payne
46,Christian  Wolff
47,Charles Poe
50,Trotter Roberts
54,Kevin Howrigan
55,Ryan Hays
59,Colin Quinn
66,George Cerimele
73,Nathan Gurwitz
75,Logan Eidell
77,Reid Grizzle
80,Alex Salguedo
81,Jason Skau
82,Kevin Moran
84,Noah Pflugrath
85,Trey Thomas
88,Derek Rosenbaum
95,Evan Maluszczak
97,Morgan Ramirez
98,Kaden Moracco
b,r,e,a,k
Tennessee,2
teamInfo,Tennessee,"Knoxville, Tennessee",http://web.utk.edu/~ultimate/,http://facebook.com/TennUltimateM/,https://twitter.com/TennUltimateM
1,Dylan Catton
2,Jesse Butler
3,Luke Cornelius
5,Ethan Bartlett
6,Will McAfee
7,Eugene Michael Campos
8,Zeke Plewniak
9,JohnThomas Atema
10,Will McGilvra
11,Marshall  Hodges 
13,Wolfgang Sulk
15,Drew Irons
22,Will Thompson
24,Jacob Guzi
25,Peter Wilson
27,Andrew Harmon
33,Conor Coakley
36,Dillon Carney
39,Elijah Greene
42,Kohen Kilburn
48,Jackson Lange
54,Lyle Clanton
b,r,e,a,k
East Carolina,7
teamInfo,Irates,"Greenville, North Carolina",,https://www.facebook.com/ECUUltimateFrisbee,https://twitter.com/ECUUltimate
0,Tanner Plentl
1,Elliot Meyer
2,Nick Carter
4,Blake Bostic
5,Terrence Johnson
6,Connor Rowand 
8,Connor Wood
10,Aaron Gregory
14,Isaiah  Faulkner
16,John Riddle
18,Bryce Krewson
19,Quinn Scott
22,Alexander Solimene
23,Kaden Labor
28,Emory Petro
29,Joseph Laliberte 
44,Preston Davis
45,Colton Atkinson
55,Daniel Scalf
69,Nathan Hecht
72,Deashawn Taylor
80,Bryan Cox
97,Stephen Gregg
b,r,e,a,k
Georgia Southern,10
teamInfo,Eagles,"Statesboro, GA, Georgia",https://gasouthernultimate.wixsite.com/mens,,https://twitter.com/GASo_Ultimate
0,Aaron Wynn
0,Blake Bakaric
0,Carter Puckett
0,Charles Salmons
0,Chris Armstrong
0,Christopher Scalzi
0,Chuck Jackson
0,Cooper Griffis
0,Davis Day
0,Ethan Ness
0,Gabriel  Zwicker 
0,Jack Murray
0,James Everly
0,Josh Tuttle
0,Kyle Brewer
0,Morgan Christian Martin
0,Ryan Smith
0,Steven Rodriguez
0,Thomas Clennan
0,Nathaniel Shirley
0,Nicholas Bragg
2,Nalynn Pathomkrut
43,Riley Hughes
69,Tyler  Coffman
99,Hayden Edwards
b,r,e,a,k
North Carolina State (B),15
teamInfo,SixPack,"Raleigh, North Carolina",,,@NCSUSixPack
coaches,Matthew Raskind
0,Blaine Garner
0,Charan  Relangi
0,Graden  O’Connor
0,Maddox Bass
0,Noah Lennon
0,Walker McDonald
1,Ryan Chen
3,John Morris
5,Noah Anderson
6,James Heritage
7,Elias Williamson
7,Justin Wieties
11,Cameron Beaver
12,Ian VandeLinde
13,Joshua Hester
16,Noah Lawrence
17,Graham Bass
21,Connor Langley
22,Matthew Degele
25,Caleb Hofheinz
28,Benjamin Litterio
29,Alex Hammond
34,Cameron MacDougall
