Easterns Qualifier 2025,College - Men ,22,2,2025
Wilmington,NC,2025-02-22,2025-02-23
https://play.usaultimate.org/events/Easterns-Qualifier-2025/schedule/Men/CollegeMen/
South Carolina,1
teamInfo,Gamecock Ultimate,"Columbia, South Carolina",https://garnetgate.sa.sc.edu/organization/ufrisb,https://facebook.com/GamecockUltimate/,https://twitter.com/CocksUltimate
0,Jack Wilson
1,Caspar Tarr
2,Michael Ziehl
3,Gavin Russell
4,Nicholas Lopez
5,Jacob McClary
6,Thomas Atkinson
7,Colin Schmidt
9,Thomas Davidson
11,Aidan Sauls
11,Ethan Johnson
15,Koen Reiter
16,Josiah Hartman
21,Michael Cote
22,Evan Pellegrino
23,Allen Meese
25,Connor Kitley
26,Owen Pellegrino
28,David Olsen
31,Aidan Tomsik
38,Evan Sanderson
45,Benjamin Kaiser
48,Charlie Lewin
52,Tyler Catton
73,Ethan Ho 
83,Nate Reiss
86,Brad Thomson
b,r,e,a,k
Auburn,8
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Ethan Polk
0,Evan Amon
0,Gavin Collins
0,Gray King
0,Grayson Smith
0,Jared Eudy
0,Joshua Rigby
0,Lee Thomas
0,Noah Gill
0,Ron Warren
0,Ruston Bassett
0,William Appleby
1,Garrett Nix
2,Justin Evans
5,Tyler Riemer
8,Jake Givens
11,Isaac Warren
16,Azim Kanjiyani
17,Carson Owen
19,Daniel Myatt
20,Trent Baldwin
22,Robert Johnson
25,Kenneth Tyburczy
26,Kody Shively
27,Aaron Reeves
50,Matthew Melton
89,Joshua Reed
b,r,e,a,k
James Madison,9
teamInfo,Hellfish,"Harrisonburg, Virginia",jmu.edu,,
0,Alex Ricci
0,Alexander Roman
0,Brett Marchant
0,Gray Middleton
0,Jack McFarlin
0,Jeffrey Gale
0,John Maxwell
0,Max Eisenman
0,Ryan Lowe
0,Thomas Edwards
0,Ty Buermeyer
0,Westerberg Bowers
0,Quinn Redick
0,Robert Karas
1,Benjamin Scott
5,Charles Gaylord
7,Ryan McGowan
9,George Liacouras
12,Zachary Harrington
16,Luke Barry
21,Ethan Moore
22,Patrick Vorathiankul
34,Benjamin Barnett
42,Evan Moss
43,Michael Servidio
84,Dylan Wallace
b,r,e,a,k
SUNY-Binghamton,17
teamInfo,SUNY-Binghamton,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
0,Aaron Damsky
0,Aidan Perez
0,Jason Berozi
0,John Edom
0,Jonathan Appel
0,Matthew Nieto
0,Max Russo
0,Maxwell Cheung
0,Patrick Pellittiere
0,praneeth Vijayakumar 
0,Quinlan Schultz
6,Ryan LaBonte
6,Ari Wechsler
7,Lucien Betancourt
8,Leopold Fell
9,Tyler Leitner
23,Ryan Feile
29,Ethan Fried
40,James Pardo
47,Peter Conelli
54,Dylan Guzman
80,Jack Molloy
b,r,e,a,k
Notre Dame,16
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
0,Anders Butsch
0,Christian Maynard
0,Ethan Stack
0,Henry Lytle
0,Isaac Howk
0,Dominic D'Onofrio
0,Luke Fowler
0,Seth Green
0,William Richardson
2,Paul Fletcher
3,Colin Knapp
5,Zachary Koh
04,Sean Miranda
08,Patrick Schwartz
10,Michael Rauch
11,Daniel Harrison
13,Zachary Quirk
14,Carson Nickel
25,Alfredo Huete
28,Marc Chahoud
44,Dylan Greco
50,Colin Stevens
59,Camden Wozniak
78,Kevin Wakakuwa
b,r,e,a,k
Indiana,15
teamInfo,HoosierMama?s,"Bloomington, Indiana",hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
coaches,Connor Regan
0,Chris Azar
0,Collin Rassel
0,Conner Blalack
0,Daniel Messe
0,Ethan Uribe
0,Ethan  Teske
0,Evan Taylor
0,Henry Vahl
0,Jack Galle
0,Jake Rabinowitz
0,John Tyndall
0,Mario Bellavia
0,Nicky Walker
0,Noah Rowland 
0,Rahul R
0,Grayson  Irwin
0,Samuel Greenfield
0,Will Quigley
3,Aidan Ball
12,George Peterson
13,Charlie Riedel
23,Hayden Bosch
66,Sam Berebitsky
b,r,e,a,k
North Carolina State,2
teamInfo,NC State Alpha,"Raleigh, North Carolina",,https://www.facebook.com/NCSUalpha/,https://twitter.com/ncsualpha
0,Graham Allen-Schindler
1,Ethan Dadolf
2,Tate Wilson
3,Peter Xu
5,Andrew Schultz
6,Henri Lessard
7,Marco Butera
9,Walker Sanders
12,Lucas Cardoso Correa
13,Aiden Fields
14,Srikara Prithvi
15,Matti Lee
17,Keaton Barish
18,Sebastian Boccieri
20,Husam Salem
21,John Rickel
23,Tejas Sivarajakumar
25,Allen MacMillan
27,Leonardo Tapia
32,Warren Kinnaman
37,Vincent Zhang
39,Feliks Ciesielski
52,Aanand Yu
59,Sathvik Avulapati
77,Milo Ciccone
87,Ari Izzo
88,Sam Prochnau
95,Jack Hartingh
b,r,e,a,k
Appalachian State,18
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
0,Andrew Patry
0,Cohen Moody
0,Ian Stone
0,Jack Stephenson
0,Kai Norris
0,Liam Raska
0,Nick Talone
0,Pete Cheatham
0,Shepherd Cowan
0,William Benditz
0,James Russell
0,Johnny Campione
1,Cam Shook
8,Liam Eident
9,Jacob Langenbach
10,Joshua Pollard
14,Carter Kletch
24,Nate Sutherland
25,Daniel Huggins
28,Caleb Sizemore
33,Evan Miller
99,Zachary Abbott
b,r,e,a,k
Dartmouth,10
teamInfo,Pain Train,"Hanover, New Hampshire",https://sites.dartmouth.edu/ultimatefrisbee/paintrain/,,https://twitter.com/DMouthPainTrain
0,Ben Kleinman
0,Benjamin Zhao
0,Cameron Cowperthwaite
0,Eben DeSilva
0,Henry Moore
0,Isaiah Bradner
0,Jake Olson
0,Kristian Feed
0,Linus Law
0,Micah Angehr
0,Oliver Smith
0,Omar Sharief
0,Simeon Hartman
0,Tom Sankovitz
0,Walker Ball
0,William Chapin
0,Jonathan Lewis
10,Josiah Angehr
11,Alexander Fick
13,James Flaggert
33,Drew Loughnane
59,Benjamin Jenkins
b,r,e,a,k
William & Mary,7
teamInfo,Merry Men,"Williamsburg, Virginia",,https://www.facebook.com/WMUltimateM/,https://twitter.com/WMultimateM
0,Atticus Nafziger
0,Braxton Breed
0,Christopher Kornblum
0,Gabriel Lloyd
0,Harrison Greenberg
0,Jacob Barnard
0,Joshua Yoo
0,Marcus Lee
0,Sam Brothers
0,Thatcher Morgenstern
0,Theo Stehle-Smith
0,Wyatt Travers
1,Griffin Must
2,Erik Quam
3,Kent Grantz
4,Benjamin Greenberg
7,Jacob Herz
8,Ethan Brookshier
11,Jonah Moran
11,Luke Sahli
12,Leif Schuster
14,Mark Strand
21,Benjamin O'Neill
33,Anders Carlson
53,Ian Wissel
87,William Basham
b,r,e,a,k
North Carolina-Wilmington,6
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
coaches,Dalton Vestal,Colin Hines
0,Caleb Wilson
0,Cam Spong
0,Charlie  Mosner
0,Christian Belus
0,Cole Carter
0,Grant Barbour
0,Ian Cobb
0,Isaac Abelson
0,Isaac Castiglione
0,Jackson Walser 
0,James Thomas
0,Jared Tomasetti
0,John Synowsky
0,Justin Silver
0,Karsten Heimel
0,Logan Beane
0,Mustafa Hamed
0,Alexander Woodall
0,Benjamin Kinnaird
0,Sawyer Williamson
0,Ty Yandle
8,Ryan Manuel
11,Stewart Kelley
11,Atharv Patil
16,Busbee Pace
97,Pablo Velosa
b,r,e,a,k
Emory,3
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
coaches,Matthew Shu
0,Daniel Monterroso
0,Dean Damon
0,Jacob Sencer
0,Jason Evans
0,Grayson Stone
0,Kaicheng Chen
0,Lucas Kim
0,Sean lin
0,Theodore (Cisco) Harrison
2,Isaac Huntington
8,Gabriel Hall
9,Nolan Baxendell
14,Toby Fuller
15,Daniel Kotelanski
16,Ricky Davis
19,Krish Patel
20,Ammon Longenecker
21,Reece Davidman
22,Warren Chang
26,Lucas Gunzberg
26,Jesse Rider
29,Kai Diez
81,Joel Lee
95,Reed Karman
b,r,e,a,k
Syracuse,19
teamInfo,Doom,"Syracuse, New York",,,
0,John Vanderwege
00,Julian  Boscoo
00,Kfir Shoham
00,Matt Latvis
00,Matthew Pepper
00,Nathaniel Buskirk
00,Nicholas Rubino
00,Noah Sullivan
00,Quinn Daly
00,Risen Zhang
00,Ross DiOrio
00,Samuel Sutton
00,Sawyer Falkenbush
00,Alexander O’Neil
00,Arthur Maiorella
00,Casey Kelley
00,Charles Aubitz
00,Christopher Kilbridge
00,David Urban
00,Dean Lourenco
00,Eamon Conneely
00,Frank Tan
00,Grady Bosch
02,Griffin Spear
07,James Tibolla
b,r,e,a,k
Temple,14
teamInfo,Alert,"Philadelphia, Pennsylvania",,,https://twitter.com/templeultimatem
0,Ben Bruzek
0,Colin Clapper
0,Daniel Zimmer
0,Ethan Hall
0,Jack Monte
0,John Currie
0,Joseph Meixler
0,Joseph Pimble
0,Kye Haniph
0,Nicholas Railey
0,Oskar Glahn
3,JaJuan Sanders
12,Nicholas Alexander
27,Miguel Romero-Stevenson
43,Lucas Oberholtzer Hess
96,Jacob Prunes
b,r,e,a,k
Georgetown,11
teamInfo,Justice,"Washington, District of Columbia",https://www.georgetownultimate.com/,https://www.facebook.com/GeorgetownJustice/,https://twitter.com/georgetownultim?lang=en
0,Aaron  Magtoto
0,Aidan Williams
0,Albert Malhotra
0,Benjamin Portner
0,Bilal Nizamani
0,Brooks Clifford
0,Chris Strawn
0,Jacob Graybow
0,Matt O'Connor
0,Nikolai Seferian
0,Sassan Fiske
0,Will Thomas
3,Simon Mulrooney
4,Javier Isaza
7,Kaden Saad
10,Erik Anaya
11,Benjamin  Schray
21,Andreas Moeller
22,Sajan Blum
24,Joshua Datz
25,Ezra Tinsky
30,Charlie  Panarella
39,Joshua Chilmaid
51,Thomas Schmitt
84,Isaac Hawkins
88,David Song
b,r,e,a,k
McGill,4
teamInfo,MUT,"Montreal, Quebec CA",https://mcgillultimate.com/,https://www.facebook.com/mcgillultimateteam/,https://twitter.com/mcgillultimate?lang=en
0,Malcolm Kolinski
1,Ryan Marshall
3,Maia List
3,Ruben Hari
6,Niko Bardacke
8,Aidan Mckibben
9,Andre Savard
10,Kai O'Donnell
11,Oscar Hébert-Creeggan
16,Vlad Zimmerl
17,Siddharth Ghali
18,Daniel Mao
20,Nathan Wu
22,Emmett Andrews
27,Solomon Podorovsky
31,Sam Dummer
32,Rafael Imbert Rivas
36,Shaolun(Lambert) Zhang
39,Owen Kolinski
44,Lucius Conlin
69,Ruari McEwan
77,Jaden Verlaan
99,Fritz Rehmus
b,r,e,a,k
Virginia,5
