Ski Town Classic 2025,Club - Men ,16,8,2025
Salt Lake City,UT,2025-08-16,2025-08-17
https://play.usaultimate.org/events/Ski-Town-Classic-2025/schedule/Men/Club-Men/
Nighthawk,1
teamInfo,,"Phoenix, Arizona",,,
0,Mario Verdugo
6,Tucker Olson
01,Dylan Irwin
05,Brandon Watabe
07,Jake Hageman
08,Elijah Salmon
09,Jake Paulson
10,Brayden Beeman
11,Shane Davidson
13,Walker Johnson
18,Leonardo Echeverria
25,Jake Thomason
30,Steven Akerson
34,Nathan Paauw
42,Cael Kubly
45,Rudy Jimenez
51,Nathan Page
77,Christian Saralegui
81,Caden Sigerud
89,Adam Whitton
99,Martin Mason
b,r,e,a,k
Wavestorms,4
teamInfo,,"Santa Cruz, California",,,
0,Connor McGinley
0,Cullen Keefe
0,Elliot Mok
0,Jackson Waite-Himmelwright
0,Joseph Donovan
0,Nirel Barthelom
0,Son Mai-Clark
0,Theodore Poor
0,Thomas McCrone
0,Ryan Weng
7,Lincoln Grench
9,Ben McAuliffe
12,Bailey Prochaska
12,Davin Sieu
16,Xavier Prochaska
19,Jackson Friday
24,Ronan Mai
29,Caleb Mok
42,Benjamin Pratt
45,Tyler Weng
72,Sam Jo
b,r,e,a,k
Cache Valley High Ground,5
teamInfo,,"Logan, Utah",,,
0,Zach Larsen
02,Zach Balls
03,Kysen Lyons
04,Boston Musgrave
06,Tucker Jewkes
08,Benjamin Hoffman
09,Dallin Opperman
10,Cullen Landry
11,Seth Wilson
14,Skyler Jones
16,Truman Phillips
20,Ryan Beck
21,Scott Jackson
22,Mason Musgrave
27,Jacob Hoffman
32,Jackson McBride
43,Spencer Seedall
45,Alan Poulsen
48,Thomas Newton
69,Brad Ellis
77,Aidan Vogel
88,Christian Berger
95,Brock Hyatt
99,Jared Waite
b,r,e,a,k
Hazard,8
teamInfo,,"Los Angeles, California",https://www.instagram.com/hazardultimate/,,
0,Josiah Gamble
01,Andrew Shen
02,Liam Bestian
04,Lukmanafis Babajide
06,Royce Grundy
07,Andrew Padula
13,James Ivey
15,Clayton Entrekin
16,David Gardiner
19,Garrett Yung
20,Adam Paicely
23,Kevin Sparacino
24,Mateo Dominguez
25,Francesco Russo
28,Nolan Emis
31,Ethan Falat
33,Tucker Lemos
43,Kevin Goldberg
44,Remy Smith
63,Victor Zhivich
77,Hudson Stuck
88,Jason Paul
b,r,e,a,k
Gamble,6
teamInfo,,"San Marcos, Texas",,,
0,Alexander Janelle
0,Caiden Burt
0,David Haeussler
0,Garrett Wilson
0,Jordan Salazar
0,Kyle Kolafa
0,Mitchell Blaha
4,Oakley Armstrong
4,Trenton Hebert
6,Scott Hearne
7,Jordan Taylor
10,Owen Johnson
13,Tyler Reinhardt
17,Henry Charbeneau
17,Anthony Shelton
21,Connor DeLuna
21,Francisco Gomez
22,Luke Norby
27,Jake Reinhardt
43,Vance Mader
45,Samuel Heslep
55,Brock Thibodeaux
57,Samuel Roberts
66,Ryan Stomp
b,r,e,a,k
Switchback,3
teamInfo,,"Seattle, Washington",https://switchbackultimate.com/,,https://twitter.com/Switchback_Ulti
02,Phoenix  Laliberte
03,Jacob Richey
06,Maxwell Sheffield
08,Samuel Hinson
14,Michael Fielden
17,Max Bommarito
18,Daman Mulye
19,Jonas Golden
20,Calvin Dodge
24,Steven Benaloh
26,Arthur Abbate
28,Connor Hanify
36,Louie Bertoncin
37,Jack Landrigan
42,Nolan Stoppel
48,Elias Hinson
53,Jorre Dahl
71,Sahaj Olivar
92,Jacob Keister
95,Brendan Bogel
b,r,e,a,k
OAT,2
teamInfo,,"East Bay , California",,instagram.com/OatUltimate,
0,Antonio Rueda
0,Charles Bitler
0,Cole Mires
0,Daniel Collier
0,Devin Hom
0,Gabriel Schwartz-Ketchner
0,Ian Geertsen
0,Jackson Kim
0,Johnny Chen
0,Lane Mires
0,Maxwell Barr
0,Micah Fong
0,Nicolas Rusa
0,Ryan Shephard
0,Ryan-Phi Nguyen
0,Selim Jones
1,Muhammad  Awais 
1,Charlie Jia
3,Finnegan Barr
4,Alex Pien
12,Jason Huang
12,Henry Lawton
18,Thomas Page
42,Alvin Feng
b,r,e,a,k
Wretched Refuse,7
teamInfo,,"Lehi, Utah",,,
0,Daniel Whitlock
0,Jacob Boyce
0,Jared Sorensen
0,Jarom Brandow
0,Jeron Dastrup
0,Joseph Cash
0,Joshua Rust
0,Kaden Froebe
0,Koven Card
0,Landon Walters
0,Aleksei Felt
0,Benjamin McBride
0,Mason Gordon
0,McKay Snell
0,RJ Christensen
0,Ryan McCready
0,Samuel Goodwin
0,Shane Froebe
0,Stuart Card
0,Brock Jensen
5,Sam Pugh
7,Alexander Gerber
9,Brad McKeen
11,Taylor Barton
15,Lincoln Petersen
99,Dan Doxey
b,r,e,a,k
Skipjack,17
teamInfo,,"San Diego, California",,https://www.facebook.com/sdstreetgang,https://twitter.com/SDskipjack
0,Brendan McGuinness
02,Alejandro Reyes
11,Graham Gerhart
12,Zac Goldberg
16,Landon  McDowell
19,Joe Roberts
24,Javid Aceil
27,Landon Block
33,John Loftus
33,Wesley Groth
41,Spencer Rebman
48,Jonathan Aycock
68,Vivek Gadicherla
76,Daniel Bonkowsky
78,Zachary Rosen
82,Jeff Taylor
91,Nico Nonemaker
99,Steven Brooks
b,r,e,a,k
Drought,9
teamInfo,,"Phoenix, Arizona",https://www.instagram.com/drought.ultimate?igsh=MXJ6c3pxenhuMmQzcw==,,https://twitter.com/DroughtUltimate
02,Steven Niemczynski
03,Thomas Verner
06,Harrison Tratnik
07,Tymur Vidyakin
11,Chanchai Hongdoxmai
12,Ethan Gaiser
17,Alex Van Der Geest
19,John Kuchachik
20,Andrew MacIsaac
21,Brendan Carriel
22,Kyle Johnson
24,Harrison Tucker
25,Tyler Pearson
30,Michael Simeone
31,Kellen Potocsnak
33,Phillip Samuels
39,Hibiki Jige
43,Nicholas Kelly
51,Noah Taetle
59,Jeremy Harris
66,Connor Garrison
80,Paul Otto
86,Mark Mendelevitz
88,Joshua Saad
b,r,e,a,k
Fat Stacks,16
teamInfo,,"St George, Utah",,,
0,Josh Bateman
0,Nayland Stuart
0,Ryan Frump
8,Daniel Shannon Smith Davidson
9,Matt Standen
13,Ryan Logan
18,Peyton Schulte
19,Jaylee Sorenson
20,Parker Smith
22,Colton Frady
23,Sean Gray
28,Elijah Nix
28,JD Quinn
37,Jahmal Ruaporo-Namana
56,Grant Johnson
58,Nichalas Neid
63,Saathvik  Koka
69,Zachary Johnson
88,Jonner Steck
98,Dan Boston
b,r,e,a,k
OC Crows,18
teamInfo,,"Irvine, California",https://www.instagram.com/crowsultimate/,,
0,Ben Schroeder
0,Jacob Snodgress
0,Liam Ginsberg
0,Nathan Leslie
0,Sam Thompson
0,Sam Kennedy
0,Tayte Olson
0,Zach Kwast
0,Zachary Tanabe
1,Shawn McCarthy
3,Jacob Walsh
11,Layne Sutton
23,Jackson Wells
40,Jonas Holdaway
49,Zibi Braniecki
b,r,e,a,k
X Wives,10
teamInfo,,"Salt Lake City, Utah",,,
0,Cooper Bost
01,Daniel Watson
04,Henri de St. Germain
05,Rainor Alin
06,Ian Cunningham-Ward
09,Ethan Hilding
11,Gerry McManus
19,Dustin Schrader
22,Isaiah Klepfer
24,George Shelby
26,Asher Iacob
27,Bridger Everette
33,Owen Pieper
40,Grant Newkirk
46,Lorenzo  Davis
54,Maxwell White
55,Bryce Rundell
77,Jackson Hammond
78,Maxwell Majersik
99,Grayson Rettberg
99,Eli Bloch
b,r,e,a,k
The Incline,15
teamInfo,,"Colorado Springs, Colorado",,,
0,Adam Neu
0,Adam Sandstedt
0,Alexander van der Veen
0,Billy Neumeister
0,David Sun
0,IAN VICKERS
0,Jeno Saghi
0,Jeremiah Smith
0,Nato Jacobson
2,Carl Matysek
6,Cole King
21,David Popp
52,Nicholas Battaglino
74,David Jensen
b,r,e,a,k
Brawl,11
teamInfo,,"Dallas, Texas",,,@dallasbrawl
0,Suneet Patel
1,Eric VerPloeg
2,Luke Stipanovic
5,Nand Patel
6,Ivan Yau
7,Samuel Garza
8,Mason Kelley
9,Lucas Morgan
10,Lennon Dycus
11,Matthew Sutton
12,Andrew Dorf
16,Aaron Smith
22,Scott Zachary
23,Andrew Sullivan
24,Asher Niedzwiedz
25,Ben Meister
32,Joseph Welkener
34,Ryan Neumann
43,Brian Honea
44,David Higuchi
48,Christian Parker
77,Willy Goal
89,Jack Wooldridge
98,Luiz Astorga
b,r,e,a,k
Battery,14
teamInfo,,"San Francisco, California",,https://www.facebook.com/batteryultimate/,https://twitter.com/SF_Battery
coaches,Andrew Riggs
0,Arden Markin
0,Arya Goutam
0,Garrett Silski
0,Hayden Mans
0,Cole Wilkinson
0,Kieran Wagner
0,Kyle Marquis
0,Kyran Buggy
0,Theo Lee
0,Thomas Gerard
4,Kanishk KS
6,Ido Ofek
7,Theo Gonzales-Tapley
11,Eugene Chong
19,Joe McMinn
22,Ricardo Rosas
30,Austin Doucette
31,JB Smith
42,Manasven Grover
86,Jordan Seaberg
97,Zachary Murez
99,Brendan Mackel
b,r,e,a,k
Carbon,19
teamInfo,,"Broomfield, Colorado",,,
0,Alex Miller
0,Caleb Anderson
0,Danny Nguyen
0,Jhoan Castellanos
0,Julián  Cortés 
5,Sanjeev Anand
00,Tim McSweeney
00,Matthew Dirkes
00,Maxwell Bogue
00,Nathan Huffman
00,Ziming (Josh) Shan
00,Drew Kaprielian
00,Gonzalo Velasquez
00,Christopher Baines
00,Daniel Warner
00,Andrew Soto
00,Caleb Eiden
50,Utkarsh Mandavilli
97,Kaleb Pickering
b,r,e,a,k
PowderHogs,12
teamInfo,,"Salt Lake City, Utah",,,https://twitter.com/powderhogs
0,Jason McKeen
0,Noah Li
0,Travis Wright
03,Trey Riera-Gomez
04,Will  Hopkins
12,Zachary Hillard
13,Eli Wolk
14,Nathaniel Whitten
18,Joey Ginsburg 
20,Russ Barr
22,John Mismash
24,Matt Fredrickson
27,Sean Stackhouse
33,Benjamin Payson
37,Aiden Coutin
45,Nate Reavy
54,Mike Merzel
55,Carter Franklin
61,Timothy Predmore
70,Lucas Reavy
77,Patrick Eikens
80,Hayden Lyu
82,Andrew Elliott
93,Taylor Williams
97,Phineas Johnson
b,r,e,a,k
Swordfish,13
teamInfo,,"Sacramento, California",,,
0,Adam Schobinger
0,Aidan McKelvey
0,Ashton Nunn
0,Austin Joseph
0,Cody  Leveau 
0,Cranston Johnson
0,Nick Goelz
0,Nico Laurenson
0,Owen Welch
0,Scott Ballinger
0,Steven Swartz
0,Maxwell Waechter
0,Aaron Nunn
0,Jacob Ode
5,Nick Shepard
9,Matthew Luk
9,Jonathan Martindill
12,Aaron Li
20,Jonathan Yeoh
37,Logan Dolim
42,David Croft
50,Simon Kriech
62,Elliot Wilde
86,Daniel Speer
95,Brandon Widner
b,r,e,a,k
"BGF SL,UT",20
teamInfo,,"San Francisco , California",,,
0,Aaron Colverson
0,Alex Lau
0,Alex LaPadula
0,Augustine Santillan
0,Charles Kerl
0,Christopher Harvey
0,Daniel Chung
0,John Vogelgesang
0,Joshua Fassett
0,Keith Yamashita
0,Kody Crockett
0,Lei Zhou
0,Min Hong
0,Nathan Jones
0,Noah Schwartz
0,Eli Friedman
0,Evan Weinstein
0,Felix Yucheng Zhou
0,Ian Robertson
0,Jacob Jespersen
0,James Wang
5,Devan Biggs
7,Jeremy Teela
36,Alexander Berrian
73,Jamison Orton
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pool Play
pool,Pool A
Nighthawk,Hazard,11,8,"08/16/2025, 09:00",Pool A,Final
Wavestorms,Cache Valley High Ground,11,10,"08/16/2025, 09:00",Pool A,Final
Nighthawk,Wavestorms,10,9,"08/16/2025, 10:45",Pool A,Final
Cache Valley High Ground,Hazard,11,10,"08/16/2025, 10:45",Pool A,Final
pool,Pool B
OAT,Wretched Refuse,13,8,"08/16/2025, 09:00",Pool B,Final
Switchback,Gamble,9,12,"08/16/2025, 09:00",Pool B,Final
OAT,Gamble,7,13,"08/16/2025, 10:45",Pool B,Final
Switchback,Wretched Refuse,13,7,"08/16/2025, 10:45",Pool B,Final
b,r,e,a,k
pools,Pool Play
pool,Pool C
Fat Stacks,Skipjack,10,12,"08/16/2025, 09:00",Pool C,Final
Drought,Skipjack,8,9,"08/16/2025, 10:45",Pool C,Final
Drought,Fat Stacks,11,10,"08/16/2025, 12:30",Pool C,Final
pool,Pool D
The Incline,OC Crows,7,11,"08/16/2025, 09:00",Pool D,Final
X Wives,OC Crows,8,12,"08/16/2025, 10:45",Pool D,Final
X Wives,The Incline,13,9,"08/16/2025, 12:30",Pool D,Final
pool,Pool E
Battery,Carbon,12,5,"08/16/2025, 09:00",Pool E,Final
Brawl,Carbon,13,3,"08/16/2025, 10:45",Pool E,Final
Brawl,Battery,13,6,"08/16/2025, 12:30",Pool E,Final
pool,Pool F
Swordfish,"BGF SL,UT",13,4,"08/16/2025, 09:00",Pool F,Final
PowderHogs,"BGF SL,UT",13,3,"08/16/2025, 10:45",Pool F,Final
PowderHogs,Swordfish,11,10,"08/16/2025, 12:30",Pool F,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Nighthawk,Wretched Refuse,0,0,"08/16/2025, 16:00",Quarters,Scheduled
Switchback,Cache Valley High Ground,0,0,"08/16/2025, 16:00",Quarters,Scheduled
Gamble,Hazard,0,0,"08/16/2025, 16:00",Quarters,Scheduled
Wavestorms,OAT,0,0,"08/16/2025, 16:00",Quarters,Scheduled
Nighthawk,Drought,7,6,"08/16/2025, 14:15",Pre-Quarters,Final
OC Crows,Wretched Refuse,6,7,"08/16/2025, 14:15",Pre-Quarters,Final
Switchback,Swordfish,6,2,"08/16/2025, 14:15",Pre-Quarters,Final
Brawl,Cache Valley High Ground,5,7,"08/16/2025, 14:15",Pre-Quarters,Final
Gamble,X Wives,7,5,"08/16/2025, 14:15",Pre-Quarters,Final
Skipjack,Hazard,3,7,"08/16/2025, 14:15",Pre-Quarters,Final
Wavestorms,Battery,6,5,"08/16/2025, 14:15",Pre-Quarters,In Progress
PowderHogs,OAT,5,6,"08/16/2025, 14:15",Pre-Quarters,In Progress
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,Sat. 13th Play In Bracket
Fat Stacks,The Incline,0,0,"08/16/2025, 16:00",Play In Finals,Scheduled
Fat Stacks,"BGF SL,UT",7,3,"08/16/2025, 14:15",Play In Semis,Final
The Incline,Carbon,9,4,"08/16/2025, 14:15",Play In Semis,Final
bracket,Sat. 13th Play In 3rd
"BGF SL,UT",Carbon,0,0,"08/16/2025, 16:00",Play In 3rd,Scheduled
bracket,Ninals
Drought,OC Crows,0,0,"08/16/2025, 16:00",9th Quarters,Scheduled
Swordfish,Brawl,0,0,"08/16/2025, 16:00",9th Quarters,Scheduled
X Wives,Skipjack,0,0,"08/16/2025, 16:00",9th Quarters,Scheduled
Battery,PowderHogs,0,0,"08/16/2025, 16:00",9th Quarters,Scheduled
bracket,11th Place
bracket,T-13th Bracket 1
bracket,T-13th Bracket 2
bracket,T-17th 1
bracket,T-17th 2
b,r,e,a,k
