2025 North Central Mixed Regional Championship,Club - Mixed ,20,9,2025
Milwaukee,WI,2025-09-20,2025-09-21
http://play.usaultimate.org/events/2025-North-Central-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
teamInfo,,"Minneapolis, Minnesota",http://www.dragnthrust.com,https://www.facebook.com/dragnthrust,https://twitter.com/dragNthrust
coaches,Maggie Peck,David Klink
0,Becker Mathie
0,Bret Bergmeier
0,Bryan Vohnoutka
0,Cassidy Krawczak-Kummrow
0,Emma Piorier
0,Clare Frantz
0,Jane Koch
0,Jason Tschida
0,Kyle Suelflow
0,Marty Adams
0,Sarah Mondschein
4,Erica Baken
7,Danielle Byers
11,Ian Mccosky
11,Rachel Johnson
14,Tanner Barcus
14,Jessica Hendrickson
17,James Pollard
17,Chagall Gelfand
19,Ben Joerger
20,Aria Kischner
35,Ryan Pesch
37,Audrey Goeddeke
49,Caleb Denecour
77,Owen Suelflow
99,Tristan Van De Moortele
b,r,e,a,k
ConSTLation,12
teamInfo,,"St. Louis, Missouri",https://www.instagram.com/constlationultimate/,,
0,Ian Soderlund
1,William (Will) Imming
2,Kiersten Ruff
3,Catherine Evers Smith
4,Sabrina Lavezzi
5,Raiyan Hamilton
6,Rusty McDonald
8,Henry Fremont
10,Devin Belvin
11,Rebecca Storey
13,Kristina Kohl
17,Madison Stiebel
19,April Ratliff
21,Lucien Kisch
23,Ryan Whisenhunt
24,Raymond Moylan
25,Anne Underwood
26,Carla Danica Macay
29,Nina Fogel
32,Diya Diwakaran
36,Brandon Skoba
39,Sandy Gu
42,Hannah McCullough
44,Nathan Gibbons
54,David Storey
73,Dustin Tierney
b,r,e,a,k
Madison United Mixed Ultimate,8
teamInfo,,"Madison, Wisconsin",,,
0,Amanda Strickland
0,Anna Wozniak
0,Keith McCarthy
0,Kylee Martens
0,Kylie Moynihan
0,Luke Bodnar
0,Sarah Guenther
0,Theresa Olson
0,Zach Hallum
3,Jordan Speicher
9,Ronaldo Lopez Vega
12,Kaylin Weber
12,Kevin Scopoline
15,Amanda Roesch
16,Kyle Halstater
16,Jeremy Wilson
18,Erin Niesen
21,Ana Alejandre-Lara
22,Margrethe Hippensteel
22,Maximilian Nytko
25,David Cann
32,Maggie Lincoln
36,Alec Wallach
89,Patrick Kopp
96,Andrew Taber
99,Emma Cosby
b,r,e,a,k
Frostbite,13
teamInfo,,"Milwaukee, Wisconsin",https://linktr.ee/frostbiteult,https://www.facebook.com/FrostbiteUlt/,https://twitter.com/FrostbiteUlt
0,Joseph Blankenheim
02,Oliver Rytman
03,Carly Serketich
04,Jason Moens
05,Andrew Sheehan
07,Jared Peyer
08,Charlette Peyer
09,Hayes Barry
10,Elle Smith
11,Alix Raymond
13,Taylor Jacobsen
14,Jeff Schubert
15,Aubrey Motherwell
16,Claire Lo
18,Belle Vining
22,Alicia Sprecher
27,Kensington Naze
28,Kristin Pelzel
30,Tyler Ignatowski
31,Lauren Gilmartin
34,Grant Wagner
42,Daniel Burss
82,Peter Kuenzle
83,Noah Katz
85,Lilliana Ruggini
99,Riley Johnson
b,r,e,a,k
NOISE,2
teamInfo,,"Madison, Wisconsin",http://noiseultimate.wordpress.com,https://www.instagram.com/noiseultimate,https://twitter.com/NOISEUltimate
03,Kelsen Alexander
04,Margo Stanger
05,Rose Glinka
06,Saul Diaz
07,Avery Johnson
09,Taylor Grace Zietz
10,Tom Annen
11,Graeme Alexander
12,Sydney French
13,Ken Adams
14,Kai DeLorenzo
17,Jacob Schlaefer
19,Emily Cohen
21,Anneke Vermaak
22,Alex Ballinger
23,Kyle Conniff
38,Noah Petersen
41,Lina  Montenegro 
42,Ashley Welsh
43,Emily Xu
74,Luke Brennan
77,Jack Kelly
84,Sarah Lipscomb
87,Austin Prucha
91,Sadie Reding
94,Pieran Robert
b,r,e,a,k
No Touching!,11
teamInfo,,"Twin Cities, Minnesota",,,https://twitter.com/notouchingult
0,Alex Kensgaard
0,Alyson Gagner
0,Arthur Harris
0,Brenna Sund
0,Kathryn Cleveland
0,Katie Godfrey
0,Patrick Cashman
0,Rachel Elbing
0,Rachel Gage
0,Rebekah Swanson
0,Roberto Caballero Jr
1,Jeffrey Trosvig
4,Andrew Lawrence
4,Tony Michaelson
5,Daniel Schultz
7,Jeremiah Gagner
8,Alison Ling
9,Tyler McKean
16,Lindsay Trosvig
17,Kristina Golling
17,Taylor Van Oosbree
41,Jenni Konigsburg
78,Jeremy Keiser
88,Patrick Jensen
96,Brian Edgerton
97,Megan Asturias
b,r,e,a,k
Northern Comfort,7
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
0,Allison Neumann
0,Easton Dobson
0,Elliott Blackburn
0,Hayden Kozmer
0,Josephine Strauss
0,Leann Malenke
0,Liam VandeZande
0,Mackenzie Carpenter
0,Robbie McChesney
2,Rhea Arora
5,Rachel Moore
6,Finwe Wiedenhoeft
8,Matt Maksimoski
8,Rozelynn Becker
9,Joshua Wilson
13,Hanna Leight
14,Jackson Seltzer
18,Asa Hatcher
19,Ryan Waller
22,Max Carpenter
24,Andrew Fischer
27,Ben Hanson
33,Joe Rogers
42,Raleke Hughes
47,Olivia Casper
77,Peyton Miller
b,r,e,a,k
Mad Udderburn,14
teamInfo,,"Madison, Wisconsin",https://www.Instagram.com/madudderburn,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,Sarah Ross
02,Hannah Nygard
03,Alex Henige
04,Joey Knutson
05,Adam Klopfenstein
06,Eva Eckel
07,Megan Timm
09,Alex Larsen
11,Brittany Hoegh
12,Gabriela Stark-Torrentera 
15,Preet Talwar
16,Tom Dolan
18,Julia Sauerhaft
19,Peter Reinhart
20,Jordyn Connaughton
24,Bo Strauss
25,Abby Davison
28,Catherine Patterson
28,August Wietfeldt
29,Peter Scott
33,Kelly O'Connor
38,Emma Marrs
55,Joshua Wang
59,Nicholas Gerber
95,Glenn Poole
99,Emma Elliot
b,r,e,a,k
Good Company,6
teamInfo,,"St. Louis, Missouri",,,
0,Sean Eberle
4,Caitlin Lisk
5,Sarah Stoker
01,Noah Stovitz
03,Cameron Freeman
08,Cody Rebholz
13,Shannon Granger
14,Janani Ragothaman
16,Trevor Griesman
17,Allen Jones
20,Cristina Carreon
21,Jaime Befeler
22,Blake Larson
23,Melissa Gibbs
24,Eliza Hutchings
28,Chase Johnson
31,Laura Halfmann-Morris
31,Paige Blasberg
33,Elizabeth Hooper
35,Benjamin Reimler
