Presidents' Day Invite 2025,College - Women ,15,2,2025
La Jolla,CA,2025-02-15,2025-02-17
https://play.usaultimate.org/events/Presidents-Day-Invite-2025/schedule/Women/CollegeWomen/
British Columbia,1
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
coaches,Edward Guo,Jonathan He
02,Abigail Grunenberg
03,Claire Weng
07,Noor Al-Tabbaa
12,Audrey Nichols
13,Nina Tsai
15,Ella Bolan
17,Madison Ong
19,Mandy Li
21,Emily Ma
22,Makenzi Basas Harris
27,Phoebe Chen
34,Madoka Wowk
35,Amelie Marshall
36,Bryelle Wong
44,Theresa Xiao
49,Yun Hua
70,Miu Shiraiwa
73,Jamie Jung
74,Jun Fu (Michelle) Yang
93,Mika Kurahashi
98,Lauren Szeto-Fung
b,r,e,a,k
Utah,8
teamInfo,Spiral Jetty Ultimate,"Salt Lake City, Utah",spiraljettyultimate.weebly.com/,https://www.facebook.com/pages/Spiral-Jetty-Ultimate/113676238733086,@spiraljettyulti
0,Eleanor Wachtel
0,Elise Francis
0,Emily Dalley
0,Jane Putnam
0,Jasmine Bowman
0,Kathryn Lawrence
0,Lily Nygard
0,Lily Terpstra
0,Lucy Leary
0,Madison Lodico
0,Maisie Prendergast
0,Mary Francis
0,Mazzy Snow
0,Megan Blommel
0,Sadie Cutler
0,Shannon Anderson
0,Spencer Ewing
0,Sydney Fingerhut
0,Abigail Tauraa
0,Allie Richards
27,Carly Atwell
31,Andie Madsen
b,r,e,a,k
California-Davis,12
teamInfo,Rogue,"Davis, California",http://ucdrogueultimate.weebly.com/,https://www.facebook.com/UCDRogue,https://twitter.com/ucdrogue
01,Kennedy Lain
02,Morgan Strong
03,Lucy Mertz
05,Pamela Sacko
08,Sarah Azrin
09,Mackenna Weems
10,Quinlin Schug
11,Caroline Donohew
12,Breana Marin
13,Leah Cole
14,Kasey Zeng
16,Katelyn Mann
17,April Lu
18,Kelly Kankowski
19,Ria Rajput
21,Katie Angstadt-Leto
22,Emily Denio
23,Alina Smutz
24,Amanda Zabriskie
28,Natalie Chueh
33,Emily Chou
77,Mia Emerson
b,r,e,a,k
Colorado State,13
teamInfo,Hell's Belles,"Fort Collins, Colorado",https://csuhellsbelles.netlify.app,https://www.facebook.com/csuwomensultimate,@HellsBellesUlti
coaches,Hannah Hinchsliff,Jack Hinchsliff,Grace Goldenberg
0,Amelia Ernst
0,Calvin Cvar
0,Elsa Semroc
0,Giselle Gabel
0,Sierra Johnson
5,Alex Hasenkamp
6,Sonai Donnell
7,Maya Beck-Kjer
10,Lauren Feeney
17,Kate Philson
18,Rachel  Prager
22,Ella Barker
24,Cassandra  Banuelos
42,Kiera Schreiber
44,Jasmine Puska
46,Julia Giesenhagen
55,Char Bokhof
66,Klaudia Poplawski
b,r,e,a,k
Oregon,2
teamInfo,Fugue,"Eugene, Oregon",http://oregonfugue.weebly.com/,https://www.facebook.com/Fugueultimate/,https://twitter.com/OregonFugue
coaches,Katherine Wilson,Morgan Zajonc
0,Chloe Isaacman
0,Molly Talbot
1,Isabella Harker
2,Acacia Hahn
3,Shea Lily Whelan
4,Lily Ellsworth Yow
5,Tess Keyes
6,Jeannie Feng
8,Syris Linkfield
9,Becca Weinberg
10,Nghia Warren
11,Mara Hindery-Glasinovic
12,Cecilia Seldera-Bahnson
13,Anna Carlson
17,Keira Lanegraff
18,Bee Marquiss
19,Evelyn Wagner
21,Samaya Madrone
22,Elizabeth Nelson
23,Brielle Ramsdal
24,Erin MacMiller
32,Kallie Hansel-Tennes
55,Sophie Mullaney
69,June Ellsworth Yow
72,Ezra Weybright
73,Eli Donohue
88,Jessie Lew
92,Michiko Ishii-Magnant
b,r,e,a,k
Victoria,11
teamInfo,Vikes,"Victoria, British Columbia CA",,https://www.facebook.com/UVicWomensUltimate,https://twitter.com/uvicwultimate
0,Blythe Paetkau
0,Breanna Roussin
0,Claire Bates
0,Ericka Edgell
0,Erin An
0,Georgia  Smith
0,Jaime Ovstaas
0,Kaja Pedersen
0,Leah Demsey
0,Mackenzie Dawson
0,Madeline  Shimoda 
0,Calla Grafton-Freeze
0,Taylor Betonte
9,Leah Fulton
19,Brynn Freeland
21,Catherine  Davison
22,Caila Brittain
36,Larkin Allan
55,Taryn Webster
b,r,e,a,k
California-Santa Barbara,7
teamInfo,Burning Skirts,"Goleta, California",,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
0,Aya Smoot
0,Cora Reese
0,Emaline Alikian
0,Marlaina Lascano
0,Mikayla Seidler
0,Olivia Crump
0,Tara Escobar
2,Sofia Eden
4,Kailani Latimer
6,Jillian Fischer
08,Laura Blume
13,Riley Raker
16,Kaia Emery
17,Catrina Sada
18,Ella Khoury 
20,Carrie Teichrow
23,Ariana O'Shea
24,Gabby Wang
32,Cindy Yang
33,Emma Crump
44,Daisy Cuthbert
45,Amelia Whitacre
82,Helen Sweeney
b,r,e,a,k
Southern California,14
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
3,Kelly Lukito
7,Elizabeth Saunders
9,Komal Kackar 
01,Victoria Lawton
02,Tsz Ching Chen
04,Jayne Bottarini
08,Paige Gonzales
10,Shijia Liu
10,Allison Huang
12,Amelie Nah
13,Stella Dziedzic
14,Melody Li
17,Araiza Soto
18,Mary Muir
20,Preyashi Poddar
21,Raquelle Hendrix
22,Delilah Masket
26,Annamarie Ellazar
27,Arabella Pearson
29,Mack Mallon
41,Natalie So
44,Makenna Harding-Davis
57,Amanda Wilson
64,Charlotte Dixon
73,Tanvi Shankar
88,Caroline Yim
90,Tang-Hung Yao
99,Aiyanna Co
b,r,e,a,k
Colorado,3
teamInfo,Quandary,"Boulder, Colorado",,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/quandaryult
coaches,Veronica Eder,Cassandra Swafford
0,Leyla Williams
3,Fiona Cashin
02,Ellie  Kenney 
03,Simone Pierotti
04,Eliana Weinstein
07,Emma Williams
08,Clil Phillips
09,Nicole Sheerin
10,Madelyn Schmidt
11,Julia Treusein
12,Taylor Smith
13,Faye Burdick
15,Reegan Ketzenberger
17,Jada Abdalati
18,Emma Smith
21,Nora Graham
27,Sarah Laughlin
38,Campbell O'Neal
48,Jamilah Toure
58,Liana Bradley
59,Rose Bransford
73,Corinne Kloss
77,Emma Williamson
b,r,e,a,k
Stanford,6
teamInfo,Superfly,"Stanford, California",http://ultimate.stanford.edu,https://facebook.com/superflyulti,https://twitter.com/SuperflyUlti
coaches,Shayla Harris
0,Devy Weir
0,Hallie Schiffman
0,Isabella Walsh
0,Kiran Lucas
0,Lea Wang-Tomic
0,Lillen Montague-Alamin
0,Nicole Lambert
0,Nora Knudsen
0,Patricia Tran
0,Rachel Lit
0,Ruby Gates
0,Sage McGinley-Smith
0,Shaili Mathur
0,Tsz Yan Yip
1,Dora McCotter-Hulett
5,Esther Filipek
7,Brianna Johnson
7,Heather Szczesniak
16,Anna Fisher Lopez
19,Anika Quon
22,Amelia Hawkins
33,Sorika Weir
43,Harper Baer
b,r,e,a,k
Brigham Young,10
teamInfo,CHI,"Provo, Idaho",,,
0,Becky Stevens
0,Brooke Hammond
0,Carly Nash
0,Emma Reeves
0,Errolyn Slaugh
0,Karinn Sharp
0,Lindsey Barlow
0,Mahalie Barlow
0,Margaret Davis
0,Michelle Haddock
0,Olivia Munns
12,Tami Lee
13,Kate Barry
16,Nicole Merrill
46,Sadie Flanary Denney
49,Tara McBride
81,Autumn Porter
b,r,e,a,k
UCLA,15
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
0,Crystal DeWeese
2,Sabrina Belkin
3,Willa Campion
4,Grace Loia-Lopez
6,Zoe Saxer
10,Minoo Bastani
15,Leah Wildmann
18,Kasey Parks
20,Sylvia Ng
21,Natalie Min
24,Anokhi Luthra
28,Leyao (Ina)  Chang
32,Mya Mitchell
34,Louise Goldman
37,Erina Sam
47,Charlotte Kurre O'Heaney
48,Anneliese Phillips
95,Isabelle Germain
b,r,e,a,k
California-Santa Cruz,9
teamInfo,Sol,"Santa Cruz, California",,,
0,Abigail Barrett
0,Alexandra Lehrer
0,Carmen Morris
0,Goodness Nwakudu
0,Haruna Krumholz
0,Helena Hess
0,Juliette Delany
0,Lexie Buckley
0,Madeline Trilling
0,Makena Johnson
0,Kai Agueros
0,Molly Bingham
0,Paige Jenkins
0,Rachel  Chang
0,Ruby Gholston
0,Ruby Sutherlin Sovern
0,Sienna Weinstein
0,Tara Advani
0,Yael Kaplan
4,Justine Martinez
7,Monica O'Brien Saez
11,Gretchen Berndt
23,Katharina Leitner
24,Grace Bradley
32,Viola Deszily
55,Marley Standard
89,Zane Bird Smith
b,r,e,a,k
California-San Diego,4
teamInfo,UCSD D-Co Womxn's Ultimate,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/pg/dragoncoultimate/about/?ref=page_internal,@d_co_ultimate
0,Margot Nissen
01,Ananya Shaligram
04,Sophia Fitch
05,Emiko Shiota
07,Nicole Moran
08,Samantha  Medina
13,Emma  Toussaint
14,Dylan Mullaney
15,Yariel Perkins
18,Sanam Rozycki-Shah
19,Annika Ross
22,Jessie Finkelor
24,Tori Gray
27,Teaghan Lynch
28,Parissa Teli
31,Cassidy Morgan
36,Mars Bau
38,Abigail Shilts
44,Kezha Neale-Sacks
47,Josefina O'Toole
51,Adele Motamedi
67,Kaitlyn Straight
69,Beliz Akbulut
81,Yun Han
97,Danielle  Weatherwax
b,r,e,a,k
Western Washington,5
teamInfo,Chaos,"Bellingham, Washington",https://wp.wwu.edu/wultimate/,https://www.facebook.com/pages/WWU-Chaos-Ultimate/374278315920245,https://twitter.com/WWUchaos
coaches,Alyssa Weatherford
0,Alexandria Oberholtzer
0,Anna Ammann
0,Ollie Bunson
0,Pema Van Voast
0,Sophia Dellapenta
0,Tamsen Henry
1,Alexa Jeantette-Coca
5,Lilliana Werner
8,Lily Howard
09,Amaya Krutsinger
13,Amaya Shean-Jones
13,Lillian Nelson
14,Elsa Lindenmeyr
16,Emi Moreno
18,Elena Korch
19,Ruby Bond
21,Marin Cohan
24,Sierra Gaynor
31,Claire Voelk
33,Yana Wink
34,Ksenia Gotham
40,Ainsley Waechter
42,Natalie Collier
69,Ellie Martin-Tai
95,Gwen Murray
b,r,e,a,k
Texas,16
teamInfo,Melee,"Austin, Texas",https://texaswomensultimate.github.io/home/,,https://twitter.com/txmelee?lang=en
coaches,Jaime Estes,Lorraine Guerin,Bennett Wachob
0,Abbey Johnson
0,Abigail Koehn
0,Advika Kamatar
0,Amelia Smith
0,Brittney Hoang
0,Caroline Mulry
0,Catie Graves
0,Christine Goh
0,Elizabeth Meyer
0,Emily Thompson
0,Karalie Morrison
0,Karina Kumar
0,Lauren Jones
0,Lilliana Forrest
0,Megan Palladino
0,Mikayla Smith
0,Reshmi Patel
0,Sydney White
4,Harper Hall
16,Ana Mussiett
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Clipped Pools
pool,Pool A
Utah,California-Davis,11,7,"02/15/2025, 13:20",Pool A,Final
British Columbia,Colorado State,13,3,"02/15/2025, 14:40",Pool A,Final
British Columbia,Utah,13,4,"02/15/2025, 16:00",Pool A,Final
California-Davis,Colorado State,13,3,"02/15/2025, 16:00",Pool A,Final
pool,Pool B
Oregon,Southern California,13,2,"02/15/2025, 08:00",Pool B,Final
California-Santa Barbara,Victoria,6,10,"02/15/2025, 08:00",Pool B,Final
Oregon,Victoria,11,9,"02/15/2025, 09:20",Pool B,Final
California-Santa Barbara,Southern California,13,6,"02/15/2025, 09:20",Pool B,Final
pool,Pool C
Stanford,Brigham Young,12,10,"02/15/2025, 08:00",Pool C,Final
Colorado,UCLA,13,8,"02/15/2025, 09:20",Pool C,Final
Colorado,Stanford,8,7,"02/15/2025, 10:40",Pool C,Final
Brigham Young,UCLA,12,8,"02/15/2025, 10:40",Pool C,Final
pool,Pool D
California-San Diego,Texas,11,7,"02/15/2025, 10:40",Pool D,Final
Western Washington,California-Santa Cruz,7,12,"02/15/2025, 12:00",Pool D,Final
California-San Diego,California-Santa Cruz,9,11,"02/15/2025, 13:20",Pool D,Final
Western Washington,Texas,10,8,"02/15/2025, 13:20",Pool D,Final
b,r,e,a,k
clusters,Saturday Crossovers
cluster,Crossovers
Victoria,Brigham Young,7,9,"02/15/2025, 12:00",,Final
California-Santa Barbara,Stanford,7,6,"02/15/2025, 12:00",,Final
Utah,Western Washington,8,9,"02/15/2025, 17:20",,Final
California-Davis,California-San Diego,6,9,"02/15/2025, 17:20",,Final
b,r,e,a,k
pools,Sunday Reshuffle
