Flower Power 2025,Club - Mixed ,9,8,2025
San Diego,CA,2025-08-09,2025-08-10
https://play.usaultimate.org/events/Flower-Power-2025/schedule/Mixed/Club-Mixed
BW Ultimate,1
teamInfo,,"Bay Area, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
coaches,Sunny Saini,Tina Saini
0,Akhil Nori
0,Alex Ecker
0,Bettina Chen
0,Cooper Joy
0,Cullen Coyne
0,Ashton Paulus
0,Hidemasa Kato
0,Iman  Haq
0,Juliette Delany
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Michelle Chen
0,Sarah Pihl
0,William Snyder
5,Grady Watkins
7,Molly Cluff
7,Michelle Slaughter
7,Angela Louh
9,Kayleigh Vu
11,Diana Huang
15,John Dugan
18,Nathan Levy
24,Benjamin Jafek
40,Anthony Davis
b,r,e,a,k
Family Style,8
teamInfo,,"Los Angeles, California",https://www.instagram.com/playfamilystyle/,,https://twitter.com/playfamilystyle
0,Addison Marsh
0,Bryan DeVore
0,Caleb Boyer
0,Dhara Gebo
0,Eli Dorn
0,Eugene Hong
0,Hana Effron
0,Jacob Barr
0,Jennifer De la Torre
0,Jesse Newman
0,Nathaniel Ankrum
0,Nora Youngelson
0,Norah Patel
0,Renee Wilkening
0,Sadie Abernathy
0,Samantha Huddleston
0,Theodore Wilkening
0,Uniss Tan
2,Paul Klinger
5,Miguel Hector
10,Ryan Tuthill
21,Patrick Krantz
24,James Chianglin
24,Jackie Hall
46,Sarah Kibler
b,r,e,a,k
Birds of Paradise,13
teamInfo,,"San Diego, California",,https://www.facebook.com/BirdsUltimateSD/,
0,Aaron Zeng
0,Ari Berk
0,Ashley Shen
0,Catherine Paulson
0,Jasmine Allred
0,Jing Cheng
0,Justen Hitchcock
0,Kayla Keegan
0,Kent Cuevas
0,Magdalen Palzewicz
0,Michael Yee
0,Peter Newman
0,Shawn Olsavsky
0,Steven Cheng
0,Tori Buss
0,Trina Elley Javellana
1,Lynn Weisberg
14,John Geller
15,Lynette Nguyen
17,Paul Goral
17,Christille Jave Vega
19,Brandon Segraves
25,Andrew Wells
29,Isabella Zaragoza
33,Shih-Ting Huang
36,Sumon Chattopadhyay
b,r,e,a,k
Party Wave,12
teamInfo,,"Honolulu, Hawaii",,,https://twitter.com/PartyWaveUlti
0,Daisy Har
0,Danielito Prevost-Reilly
0,Divya Roberts
0,Giovanni DeMartini
0,Jae McLendon
0,Joshua Texeira
0,Kat Blanchette
0,Kauanoe Greene
0,Megan Onuma
0,Catherine Nansalo
0,Nicholas Blenis
0,Robert Parke
0,Sofia Murtaugh
1,Michael Palmer
14,Cedric Petty Jr
51,Andrew Ryan
85,Michael Stephen
b,r,e,a,k
Erosion,14
teamInfo,,"Costa Mesa, California",,,
0,Katherine Hubeny
02,Matt Lambrose
03,Tyler Emig
04,Enrique Wallace
06,Alexa Carter
09,Jeffrey Ran
10,Brandon Martelli
10,David Horrell
11,Ashley Glenn
13,Liam Earley
16,Lian Lash-Rosenberg
16,Jiheng Nie
17,Claire Gunderson
22,Ashley Whitaker
27,An Trieu
27,Kevin Zhang
32,Melanie Harvey
32,Amelia Becker
32,Colin Suehiro
33,Sophia Bulander
55,Allison Welch
b,r,e,a,k
Hive,2
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
0,Brian Paulus
0,Cameron Lamont
0,Elizabeth Kolb
0,Jeremy Randolph-Flagg
0,Katherine Schauer
0,Marissa Bertuccio
0,Mira Larrance
0,Paul Telford
0,Pete Overright
0,Sierra Gray
2,Colleen Nakanishi
7,Devon Graham
7,Madeleine Thompson
7,Noah Martin
