Ohio D-III College Men's CC,College - Men ,15,4,2017
Franciscan
01,Matt Mirabello
02,Stephen Babcock
05,Nicholas OBrien
06,Thomas Lannen
07,Jack Scott
08,Charlie Amrein
09,Edmund Colliflower
10,John Clemente
11,James Downs
17,Austin Volk
20,Michael Aldrich
21,Louis Heisler
22,Dominic Schuster
24,JOHN PAUL BORT
25,John Hyland
34,JAY RATAJCZAK
50,Luke Strott
84,Samuel Deal
b,r,e,a,k
Ohio Northern
 ,Nathan Bacchi
 ,Samuel Powell
 ,Sean Lavelle
0,SAM NEMETH
0,Nick Steinke
0,Ross Thrams
0,Addison Carter
0,Bradley Troyer
0,Brandon Emshoff
0,Bryce Payne
0,Christopher Justus
0,Jake Maher
0,Jason Rains
0,Joe Pitts
0,Nathan Green
21,Ryan Depinet
b,r,e,a,k
Xavier
 ,Eric Coglianese
 ,Trey Blake
0,Will Keitel
0,Samuel Fox
0,Thomas Siva
0,Andrew Batchelder
0,Benjamin Howard
0,Blake Eichenberger
0,Chris Alber
0,Cristian Adams
0,John Morytko
0,M. Solomon Salvador
0,Reilly Jones
0,robert crowder
0,Ryan Warner
0,Ryan McAvoy
10,Connor Killian
11,Sam Dreyfuss
12,Leo Schmitt
13,Jacob Lamier
14,Sam Settlemyre
15,Luke Byerly
21,Frank Geiser
32,Steven Demboski
35,Andrew Currul
62,Thomas Judy
b,r,e,a,k
Ohio Wesleyan
 ,Alec Martin
 ,Evan Guein
 ,Gabe Kaufman
 ,Jimmy Burgess
0,Andrew Woods
0,Armando Polizzi
0,Justin Overhulse
22,Alec Weyneth
28,Joshua Martineau
42,Espen Stalder
69,Jonathan Laria
80,James Peterson
b,r,e,a,k
Oberlin
 ,Julian Bregstone
 ,Eli Presberg
0,Eoin Mullaney
0,Eric Thompson
0,Jacob Arons
0,Jonah Bregstone
0,Dante Giramma
0,Lucien Fitzpatrick
0,Noam Fisherman
0,Peter LaFreniere
0,Ramzy Lakos
0,Rex Fortgang
0,Robert Lewis-Nash
0,Samuel Quillin
0,Samuel Waranch
0,Sebastian Schneider
0,Tadhg Young
0,Tobias Harvey
0,Victor Lau
0,Zeyuan Zhang
b,r,e,a,k
Wooster
0,Dominic Muccio
0,Emilio Bartlett Asenjo
0,Ezekiel Zelman
0,Gabriel McCarthy
0,Garo Matossian
0,Gregory  Bell
0,Jacob Schwartz
0,Jalen Lee
0,Jason Lillie
0,Aidan Mackenzie
0,Charles Quigley
0,Clark Wang
0,Collin Hendershot
0,Nick Hodges
0,Peter Arts
0,Preston Pozderac
0,Robert Mueller
0,Taylor Myers
34,Daniel Lynch
42,Michael Herman
b,r,e,a,k
Kenyon
 ,Dominic Camperchioli
 ,Eli Kernis
 ,John Thompson
 ,Nicholas Kaufman
 ,Shaun Stewart
0,Storm Sears
0,Ty Boyd
0,Colin Reardon
0,Peter Reinhart
0,Liam Moran
0,Lucas Kreuzer
0,Justin Sun
0,Geir Falck-Pedersen
0,Adam Brown
0,Aidan Ohning
0,Alexander Levy
10,Liam Brodigan
15,Doni Moffa
18,Henry Williams
24,Cole Meier
27,Emory Burrough
29,Joshua McClain
37,Alex Comerci
42,Al Gourrier
44,Burke Irwin
55,Charlie Lehman
b,r,e,a,k
Cedarville
 ,Grace Christiansen
 ,Jacob Fierer
 ,Jake Kenniv
 ,Jessica Westenberg
 ,Lauren Payne
 ,Sarah Meisel
 ,Sarah Pitts
 ,Tony Donato
 ,Matthew Wiebe
0,Nathan Linville
0,Ryan Klinker
0,Zach Von Eiff
0,Malachi Marshall
0,Joel Sweeney
0,James (Jimmy) Von Eiff
0,Aaron Cannon
0,Andrew Carr
0,Brandon Delcamp
0,Christian Klinker
21,Kyle  Glickert
44,Josh Shamburger
b,r,e,a,k
Denison
 ,Ben Dutkin
 ,Emma Halpern
 ,Lindsey Kenyon
 ,Owen Crum
0,Rachel Weaver
0,Zachary Schmidt
0,Mihai Fratian
0,Andrew Eley
0,Asher Berkson-Gold
0,Ian Decker
0,James Braham
0,Jarrett Horne
0,John Emory
0,Kevin Herman
0,Brendan Murphy
0,Chris Nakon
0,Dan Shapiro
b,r,e,a,k
Franciscan,Ohio Northern,13,6,"04/15/2017, 09:00"
Xavier,Ohio Wesleyan,13,8,"04/15/2017, 09:00"
Franciscan,Xavier,13,5,"04/15/2017, 10:40"
Oberlin,Ohio Wesleyan,13,7,"04/15/2017, 10:40"
Ohio Wesleyan,Ohio Northern,2,13,"04/15/2017, 12:20"
Oberlin,Xavier,10,13,"04/15/2017, 12:20"
Franciscan,Ohio Wesleyan,13,5,"04/15/2017, 14:00"
Oberlin,Ohio Northern,10,9,"04/15/2017, 14:00"
Franciscan,Oberlin,13,4,"04/15/2017, 15:40"
Xavier,Ohio Northern,11,6,"04/15/2017, 15:40"
Wooster,Kenyon,10,9,"04/15/2017, 10:40"
Cedarville,Denison,11,4,"04/15/2017, 10:40"
Wooster,Denison,9,5,"04/15/2017, 12:20"
Cedarville,Kenyon,13,11,"04/15/2017, 12:20"
Wooster,Cedarville,8,11,"04/15/2017, 14:00"
Kenyon,Denison,13,7,"04/15/2017, 14:00"
Wooster,Oberlin,8,13,"04/16/2017, 11:00"
Xavier,Kenyon,13,12,"04/16/2017, 11:00"
Oberlin,Denison,12,4,"04/16/2017, 09:00"
Wooster,Kenyon,10,9,"04/16/2017, 13:00"
