North Central Mixed Masters Regional Championships,Masters - Mixed ,10,6,2017
Hey Babe
 ,Emily Woolridge
0,Graham Brayshaw
0,Jeremiah Gagner
0,Alexander Stanislaw
0,Alison Ling
0,Tony Michaelson
0,Christine Mader
0,Christine Dosch
0,Dan VanBergen
0,Lizabeth Held
0,Matthew Glenn
0,Nathan Woolridge
0,Rachel Elbing
0,Jonathan Zagel
0,Vu Nguyen
0,Wade Moravec
00,Kirsten Walters
00,Sam Valesano
00,Tobie Miller
00,Tyler McKean
00,Paul Norgaard
00,Jolien Munsterhuis
00,G. Scott Walters
b,r,e,a,k
Old Fashioned
01,April Peterson
02,Edward Kaul
05,Christopher Qualle
06,Holly Chen
07,Benjamin Hsu
08,Kevin DeCoux
10,Matt Schuster
11,Emily Loew
13,SARAH ZINGSHEIM
17,Anne Millen
18,Brian Frederick
21,John Schaefer
22,Emily Kuder
23,Debra Minahan
24,Jake Ghilardi
27,Seana Lindenthaler
28,Clare Lawrence
29,Sarah Doege
31,Adam Zingsheim
32,Jessica Schuster
34,MOLLY JAFFE
43,Toby Wex
44,ALEXANDRIA HALL
55,Mallory Prouty
66,BENJAMIN JAFFE
82,Logan Campbell
98,Chris Davis
b,r,e,a,k
Millennial Falcons
0,Ciara Murphy
0,James (Drew) Walters
0,Ross Welch
03,Joel Williams
10,Paul Linhardt
11,Rebecca Storey
12,Lauren Matrka
24,Chung Lee
26,Allison Gray
31,Melissa Huegerich
35,Seth Colaner
54,David Storey
56,Alan O'Brien
58,TIM LANDSTRA
66,James McKenzie
67,Jenny McKenzie
77,Calvin Maginel
84,Timothy Halfmann-Morris
99,Galen Spong
b,r,e,a,k
Hey Babe,Old Fashioned,14,6,"06/10/2017, 09:00"
Millennial Falcons,Old Fashioned,10,11,"06/10/2017, 11:00"
Hey Babe,Millennial Falcons,15,8,"06/10/2017, 13:00"
