Atlantic Coast Showcase (ACS) NCSU vs Duke,College - Women ,22,2,2018
North Carolina State
 ,Ashley Powell
0,Becky Widmayer
0,Abigail Campbell
0,Alice Widman
0,Alix Robbins
0,Ana Solberg
0,Carmen Tormey
0,Catherine Nansalo
0,Charity Robinett
0,Christa Parrish
0,Danielle Sawyer
0,Ellie Scott
0,Emma Bartlett
0,Holly Nelson
0,Jacqueline Hausle
0,Jen Bradley
0,Julia Sawin
0,Lisa Keller
0,Mary Clarke Worthington
0,Melissa Gronske
0,Rowan Jaynes
12,Briana Campbell
b,r,e,a,k
Duke
02,Angela Liu
03,Peyton Schafer
06,Katherine Li
09,Claire Stout
10,Nicole Patterson
14,Elianna Bier
16,Ameya Sanyal
17,Christine O'Connell
18,Rachel Berlowe Binder
20,Madeleine Shade
22,Elizabeth Nowlin
24,Selena Qian
25,Brielle Tobin
31,Linh Bui
33,Amanda Murphy
36,Jiwoo Kim
39,Tiffany Wei
b,r,e,a,k
North Carolina State,Duke,15,9,"02/22/2018, 19:45"
