Great Falls Invitational 2018,College - Men ,11,3,2018
Bates
 ,Matt Goldberg
0,Max Rein
0,Nick Holmes
0,Randy Peralta
0,RJ Bingham
0,Sam Hastings
0,Sam Holmes
0,Tyler Fuller
0,Benjamin Wilson
0,Christian Welch
0,Colin Eimers
0,Harris Manganiello
0,Jack Monahan
0,Jake Atwood
0,JAMES PARDO
0,Jan Cornelius-Knudsen
0,Joakim Cohen
45,Will McPherson
80,Jacob  Freedman
b,r,e,a,k
Colby
0,Alan Leggett
0,Alec Jacobson
0,Baillie Stein
0,Ben Retik
0,Bennett Allen
0,Christopher Wang
0,Dakota Thompson
0,DANIEL BOUDREAU
0,Dominic Malia
0,Ethan vanderWilden
0,Jacob Adner
0,Josh Goldberg
0,Joshua Keith-Hardy
0,Mathias Kallick
0,Matt Connolly
0,Matthew Johnson
0,Matthew Martin
0,Matthew Sabin
0,Noah Gewirtz
0,Riter Hoopes
0,Scott Batchelder
b,r,e,a,k
Bates (B)
0,Douglas McNab
0,Adam Dohn
0,Adam Banks
0,Ethan McGinnis
0,Nathaniel Newman
0,Nicholas Osborn
0,Nick Sergay
b,r,e,a,k
Colby (B)
00,Andrew Turley
00,Bentley Meyer
00,Caleb Patterson
00,Dakota Thompson
00,Henry Doud
00,Michael Kramer
00,Sam Krumholz
b,r,e,a,k
Maine-Farmington
0,Blair Bailey
0,Brittany Hemphill
0,Daniel Abbatello
0,Dominic Martorano
0,Ian Lejonhud
0,Jacob Violette
0,Joe Haggerty
0,Joe Brichetto
0,Justin Davis
0,Owen Lattin
0,Reed Bridge-Koenigsberg
0,Risa Marble
0,Robert Mulligan
0,Samuel Carignan
0,Sylvie Fenderson
0,Tim Bullard
0,Timothy  Pacini
0,Zachary  Wheeler
b,r,e,a,k
Bates,Colby,12,10,"03/11/2018, 12:00"
Bates (B),Colby (B),12,10,"03/11/2018, 15:00"
Colby,Maine-Farmington,13,4,"03/11/2018, 15:00"
Bates,Colby (B),13,0,"03/11/2018, 16:30"
Bates,Maine-Farmington,13,0,"03/11/2018, 18:00"
Colby,Bates (B),13,4,"03/11/2018, 19:30"
Maine-Farmington,Bates (B),13,8,"03/11/2018, 22:30"
