Eugene Summer Solstice 2019,Club - Women ,22,6,2019
Eugene,OR,2019-06-22,2019-06-23
https://play.usaultimate.org/events/Eugene-Summer-Solstice-2019/schedule/Women/Club-Women/
Fury,1
03,Anna Reed
05,Kaela Helton
06,Sarah Griffith
07,Octavia Payne
08,Nancy Sun
09,Marika Austin
10,Sharon Lin
12,Diana Charrier
13,Cree Howard
14,Yelena Gorlin
15,Julia Butterfield
19,Amel Awadelkarim
20,Bree Cahn
21,Meeri Chang
29,Kirstin Johnson
33,Anna Nazarov
38,Claire McKeever
44,Maggie Ruden
47,Bethany Kaylor
51,Claire Desmond
61,Lakshmi Narayan
70,Marisa Mead
71,Magon Liu
77,Carolyn Finney
91,Jessica O'Connor
b,r,e,a,k
Traffic,5
0,Betsy Chan
0,Brianne Wager
0,Carly Sakai
0,Jennifer Kwok
0,Jessica Chung
0,Jessica Rockliff
0,Jessie Tai
0,Daisy Lin
0,Katie Hikida
0,Lisa Wong
0,Monica Hsu
0,Nagisa Fukuoka
0,Nicola Parker
0,Paula Wong
0,Terri Whitehead
0,Victoria McCann
0,Zellema Mot
2,Laurel Jay
5,Naomi Morcilla
13,Denise Su
20,Collefas Mot
24,Julia Zhang
33,Kailin Chang
b,r,e,a,k
Nightlock,3
0,Eliza Chang
0,Julia Kwasnick
0,Maggie O'Connor
0,Manisha Daryani
0,Megan Pera
2,Marisa Rafter
9,Audrey Lyman
10,Angela Aie
11,Iris Leung
15,Alison Griffith
18,Michelle McGhee
19,Adrienne Lemberger
21,Alexandra Hasan
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
27,Kira Lou
42,Jackelyne Nguyen
44,Kara Hammer
51,Shayla Harris
81,Lani Nguyen
84,Hallie Dunham
89,Kimberly Long
b,r,e,a,k
Colorado Small Batch,9
0,Brady Cowiestoll
0,Christine Kamin
0,Claire Morrissy
0,Fern Beetle Moorcroft
0,Katherine Macri
0,Maia Nguyen
0,Rebecca Mitchell
0,Rebecca Roden
3,Emily Stege
3,Molly Clay
4,Lorraine Guerin
4,Ellen Mueller
8,Julia Longinotti
10,Danielle Tran
11,Madelyn Easton
12,Anna Hrovat-Staedter
17,Melinda Alvey
19,Mickela Heilicher
25,Kati Turner
25,Emily Harrell
28,Candace Yeh
34,Carolyn Vlach
35,Sarah Hoistad
44,Aelish Aoki
45,Katie Ciaglo
b,r,e,a,k
Elevate,7
0,Abby Merrifield
0,Alicia Seeley
0,Brooke Stanislawski
0,Courtney Connole
0,Hannah Bruns
0,Jemi Ong
0,Jessica Crowley
0,Mackenzie Perkett
2,Christina Maruyama
3,Maggie Bale
7,Brittany McCready
8,Donna Nelson
10,Natalie Merrill
14,Emily Jensen
16,Breanna Bozzuto
17,Erica Bindas
18,Kylee Behunin
19,Kaylie Caldwell
23,Casstique Williams
24,Kendra  Mitchell
26,Leah Smith
27,Tania Reitz
31,Jenni Ladutko
41,Kyra Khoroujnikova
68,Kaylin Durmick
b,r,e,a,k
Seattle Riot,2
0,Samantha Rodenberg
01,Kelly Johnson
03,Molly Sinnott
07,Calise Cardenas
08,Rachel Bradshaw
09,Qxhna Titcomb
10,Shira Stern
11,Kaede Yoshida
14,Hana Kawai
15,Bailey Zahniser
16,Cassandra Swafford
17,Dominique Fontenette
18,Madeline Gilbert
19,Hannah M Kreilkamp
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
23,Aimie Kawai
25,Alyssa Weatherford
26,Samiya Ismail
27,Julia Snyder
31,Stephanie Lim
32,Linnea Soo
33,Valeria Cardenas
44,Abbie Abramovich
81,Charlie Mercer
b,r,e,a,k
Schwa,4
0,Katie Weatherhead
1,Lillian Weaver
2,Makena Strand
4,Emily Flock
5,Kimber Coles
7,Shea Brennan
8,Eva Popp
9,Brenna Bailey
11,Rachel Egan
12,Mariel Hammond
15,Katie Blise
16,Jenica Villamor
16,Kristen Rosenblum
18,Julia Sherwood
19,Georgina Tetlow
22,Natalie Hancock
25,Lauren Truxillo
27,Elizabeth Longmire
33,Laura Bitterman
34,Angelica Chambers
37,Rebecca Perston
43,Ella Hansen
44,Lyudmila Likhonina
55,Emery Otopalik
99,Noelle Takahashi
b,r,e,a,k
Underground,6
01,Jessica Spaulding
02,Alexa Yadama
04,Nicole Cramer
05,Tiffany Phan
07,Taylor Hartman
09,Nina Janjic
10,Julia Johnson
11,Nora Landri
12,Katie Raynolds
14,Madeline Stephenson
15,Noel Hanzel
16,Alyssa Worsham
19,Meagan Brown
20,Grace Noah
23,Anh-Thu Chang
25,Elise Rasmussen
25,Emma Kahle
26,Emily Zukowski
27,Marlie Somers
31,Ikran Elmi
33,Catherine (Cate) Roscoe
45,Alyssa Kelly
47,Anne Silver
77,Jillian Goodreau
88,Julia Wilkins
b,r,e,a,k
Sneaky House Hippos,8
0,Annie Wang
0,Chantal Costa
0,Delaney Ignatieff
0,Emelie Lundstrom 
0,Eva Cham
0,Jasmine Chan
0,Jessie Bell
0,Julia Zhou
0,Katherine Lee
0,Katie Berezan
0,Kelly Wunderlich
0,Kim Sy
0,Lauren Law
0,Paige Muir
0,Toni Li
9,Serena Tam
16,Talia Cole
19,Amy Luo
25,Esther Au
32,Danie Proby
36,Emma  Madden-Krasnick
44,Janelle Siwa
b,r,e,a,k
FAB,10
00,Laura Dale
04,Thalia Ward
05,Kelly Liu
06,Allegra Mayer
07,Mara Saltzman
09,Jennifer Pashley
10,Halsey Hoster
13,Allyson Lutz
15,Ellen Yuska
16,Mei Zhang
18,Emily Goodwin
21,Kelly Dickinson
22,Elena Good
23,Julianne Bozzini
23,Maddie Pielert
29,Katrina Kalantar
39,Elizabeth Curtiss
49,Reena Badyal
73,Nicole McDaniel
77,Bryn Levitan
b,r,e,a,k
PDXtra,13
0,Abigail Kraai
0,Audrey Watson
0,Cheri Young
0,Corrie  Sizemore Arnold
0,Erin Maloney
0,Jess Smith
0,Melanie Thomas
0,Sara Taylor
4,Lindsay Higa
11,Emily Flanders
11,Christine Beaulieu
15,Alice White-Cyr
15,Rachel Auerbach
34,Mir Bowring
42,Haley Love
b,r,e,a,k
Venom,11
0,Erin Prucha
0,Kareina Lee
0,Katy Holt
3,Lisa Shipek
5,Laura Prelsnik
7,Kyria Kershner
9,Erin Gray
9,Renata Vallecillo
22,Lisa So
27,Carly Morrison
36,Stefanie Hymovitch
b,r,e,a,k
Seven Devils,19
0,Bethany  Burgess
0,Jamie Yurick
0,Madeline DeForge
0,Makenzie Laven
0,Mary Rodriguez
0,Rebekah Spille
0,Emalee Feaster
0,Renee Cuillier
2,Audrey Schwabe
5,Emma Thoennes
7,Sydney Bullock
8,Chantelle Salas
02,Ali Haag
21,Breanna Young
28,Rebekah Beacham
b,r,e,a,k
Koi,17
02,Janny Chan
03,Claire Watts-Grant
05,Kimberly Ng
09,Liana Glass
12,Jessica Giltrap
14,Maria Fung
15,Hanna Jones-Eriksson
16,Emma Young
17,Jessica Lai
21,Cheryl Mano
23,Anna Zhang
26,Lily Miao
28,Melissa Woodward
32,Jennifer Chin
38,Emily Camuso
66,Natalie Cheah
88,Daniela  Garcia
91,Faye Iris Evangelista
92,Baillie Graham
99,Jennifer Lee
b,r,e,a,k
Throwback,15
0,Angeline Quek
0,Emily Sangster
0,Katherine Wilson
4,Erin Eacott
01,Shazma Mithani
19,Disa Brownfield
20,Tricia Jenkins
25,Danielle Enns
27,Ann Simmonds
32,Emma Kartes
35,Jessica Foulds
38,Lindsey Monderman
41,Katie Teeuwsen
82,Vanessa Burke
87,Erika Heiberg
b,r,e,a,k
Korra,16
0,Kaylan Berg
0,Kelbey Woytowich
0,Keltie Brigham
0,Kimberly Doll
0,Linh La
0,Raynelle Fisher
0,Robbi Humble
0,Tze Yuin Tay
0,Amanda Harle
0,An La
0,Asya Dakis
0,Caitlin Brock
0,Erica Doucette
1,Bobbi Anderson
3,Georgina Lee
b,r,e,a,k
Seattle Soul,12
0,Emma Sheehy
0,Eugenia Prezhdo
0,Anika Burrell
0,Krysia Davis
0,Margaret Mickelson
0,Maria Carla Marigmen
0,Natasha Parman
0,Sachie Hayakawa
0,Sarah Read-Brown
0,Sonya Morris
2,Genavie Boots
3,Kendall Jorgensen
4,Mary Nozykowski
10,Ruby Cassidy
13,Lindsey Miller
14,Claire Kimball
15,Kaitlin Kirkpatrick
17,Shaina Langley
19,Kellie Koester
22,Ximenna Hofsetz
24,Grace Baron
42,Britta Jones
44,Leah Gooden
92,Hannah Filley
b,r,e,a,k
Portland Ivy,18
0,Claire Schwyhart
0,Emmilea Short
0,Grace Cromie
0,Julia Downing
0,Leah Kenney
0,Phoenix Adams
0,Rachel Huckans
0,Saeda Suhm
0,Saioa Lostra
1,Seraphie Allen
2,Acacia Hahn
3,Arenaria Cramer
4,Alice Wayte
6,Julia Flores
7,Kysa McSky
8,Maya Stewart
9,Soju Hokari
12,Madigan Rear
21,Elise Hollowell
22,Mikaela Zukaitis
25,Anna Dreher
