Heavyweights 2019,Club - Mixed ,3,8,2019
Aurora,IL,2019-08-03,2019-08-04
https://play.usaultimate.org/events/Heavyweights-2019/schedule/Mixed/Club-Mixed
Toast,3
teamInfo,,"Grand Rapids, Michigan",,https://www.facebook.com/toastultimate/,https://twitter.com/toastultimate
0,Carmella Vizza
0,Corie Auger
0,Edward Taylor
0,Madeline Guimond
0,Mitchell DeNooyer
1,Sean Clark
1,Michael Mansfield
2,Lucinda Toppen
5,Owen O'Neil
5,Ryan Lee
9,Anna McClurkan
13,Brian Keefe
14,Trevor Polisuk-Balfour
15,Brittany  Dooley
16,Samantha Phillips
19,Stephen Hoffman
19,Aaron Riess
20,Zach Jawahir
22,Jamie Petroelje
25,Anna Schmalzel
29,Jayleen Rossi
54,Aaron Schwieterman
84,Michael Weber
85,Michael Stephen
92,Greg Hensen
99,Mya Hernandez
b,r,e,a,k
Northern Comfort,2
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
coaches,Madison Olesen
02,Oliver Rytman
03,Erika Watson
04,Kaleigh Wurster
05,Brittney Joy
07,Matthew Caballero
08,Heather Vilbrandt
11,Mackenzie Carpenter
12,Brian Benge
13,Jay Kinzel
14,Osvaldo Velez-Martinez
19,Heather Posl
20,Justine Espisito
21,Jake Leutenegger
22,Max Carpenter
24,Lauren Williams
27,Annalise Heuser
29,Mike Armstrong
32,Annie Waniger
34,Sarah Garstecki
44,Hannah Frank
45,Matthew Branham
49,Tim Posl
77,Dan Margulis
84,Peter Guerin
88,Daphne Branham
96,William Mansfield
99,Wyatt Meyer
b,r,e,a,k
Nothing's Great Again (aka Babymaker),1
teamInfo,aka Babymaker,"Chicago, Illinois",,,@NOTHINGuc
0,Cameron Bennett
0,David Woods
0,Evan Hock
0,Mary Sullivan
0,Max Hodgson
0,Ryan Hock
0,Stephen LaCrosse
0,Tanya Landsman
0,Lily LeDonne
0,Loraina Stinson
7,Heidi Heslinga
8,Lynne Nolan
23,Brian Sullivan
34,John Hock
35,Emilee LeDonne
45,Gary LeDonne
84,CJ O'Brien
88,Leo Wang
b,r,e,a,k
Shakedown,4
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/Chicago-Shakedown-1531203790521504/?fref=ts,https://twitter.com/chi_shakedown
0,Caitlin Hayner-Slattery
0,Emily Muscat
0,Katelynn Zacharias
0,Larkin Johnson
0,Leigh Dairaghi
0,Max Trotter
0,Michael Lipman
0,Sarah Warren
0,Simon Johansen
1,Adam Klaus
2,James Roush
12,Rodrigo Arcibar
13,Phoebe Evans
19,Nathan King
23,Kathryn Kembitzky
23,Kyle Trojan
23,Dominic Guzzarde
25,Elaine Sundberg
47,Grant Whitman
48,Matt Godfrey
81,Jake Smith
81,Erika Wagner
b,r,e,a,k
Prion,14
teamInfo,,"Champaign, Illinois",modules/common/www.prionultimate.com,,
0,Alex Liu
0,Alli Young
0,Cora Wessman
0,Eden Brewer
0,Gabriel Posluszny
0,Gregory Schwarz
0,Katherine Koch
0,Maria Janina Sarol
0,Matt Skarha
0,Megan Brazelton
0,Michelle Lore
0,Rebecca Napoli
2,Jeremy Goodsitt
2,"Luisa ""RJ"" Ruge-Jones"
7,Laura Rolfes
9,Brittney Gorman
20,Scott Nelson
22,Andrew Almeter
26,Erik Huemiller
29,Jake Corley
29,Lucas Newman-Johnson
42,Manasven Grover
42,Brandon Carrel
46,Anthony Heath
69,Eric Badger
74,Anthony Ruzzo
b,r,e,a,k
Pandamonium,5
teamInfo,,"Saint Paul, Minnesota",,,https://twitter.com/pandamentals
0,Chuck  Dudek
0,Daniel Snyder
0,Julie Bender-Awalt
0,Julia Clare
0,Kaiya Sygulla
0,Katelin Goebel
0,Katherine Johnson
0,Kelsey Daly
0,Kevin Pochatila
0,Arbor Otalora-Fadner
0,Peter Schmitt
0,Ryley Tennyson
2,Ben Finkelstein
17,Raechell Nelson
33,Aidan Boyle
89,Micah Peterson-Brandt
b,r,e,a,k
Jabba,15
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/JabbaULT,https://twitter.com/JabbaChi
0,Ben Stanger
0,Christian Owen
0,Colleen DeVries
0,Francesca Rascati
0,Grace Hauser
0,Jeremy Jones
0,Jessica Fairhurst
0,Abby Jones
0,Alex Dudzik
0,Alyssa Bennett
0,Jorey Dvorak
0,Josh Cahn
0,Lindsey Steeg
0,Rey Tang
0,Sachi Seilie
0,Terren Moore
0,Travis Salk
7,Amber Waite
13,Timothy Burnett
20,Matt Afryl
27,Ryan Logan
59,Joseph Cacciatore
64,Joe Leibforth
82,Steven Jeka
99,Lisa Johnson
b,r,e,a,k
PanIC,6
teamInfo,,"Iowa City, Iowa",,,https://twitter.com/panic_ultimate
0,Alexis Rose
0,Claire Meyer
0,Gabe Etzel
0,David Dalton
0,Jessica Derry
0,Nicole Johnson
0,Peter Shayman
0,Rahul Seshappa
0,Samantha Bartlett
0,Nathan Gibbons
0,Troy Stapleton
0,Zane Pennock
0,Zoe Bakken-Heck
4,Sean Schoephorster
10,Jacob Jahnke
16,Amanda Stapleton
17,Shivam Patel
19,Johanna Chambers
20,Rebecca Crown
21,James Hean
22,Nick Culver
24,Thomas Robinson
27,Evan Kerr
33,James (Drew) Walters
42,Raleke Hughes
66,Tyler Stutzman
99,Dana Demmert
b,r,e,a,k
EMU,13
