Presidents' Day Invite 2019,College - Men ,16,2,2019
La Jolla,CA,2019-02-16,2019-02-18
https://play.usaultimate.org/events/Presidents-Day-Invite-2019/schedule/Men/CollegeMen/
Oregon,1
0,Theodore Sither
03,David Barram
09,Colby Chuck
11,Hai Luong
12,Cylas Schooley
13,Chase Matthews
14,Michael Fielden
15,Raven Miller-Berg
19,Steven Pearlman
22,Lukas Ambrose
23,Xander Cuizon Tice
24,Leandro Marx
27,Kuochuan Ponzio
31,Robert Richardson
34,Max Spiegel
36,Kai Fuji
42,Will Lohre
43,Henry Jackman
57,Gunter Przystawik
59,Noah Coolman
77,Kit Asterin
88,Duncan Fitzgerald
b,r,e,a,k
UCLA,9
0,Alex Broering
0,Andrew Chen
0,David Dumas
0,Elias Baker Allen
0,Ethan Major
0,Jack Brewer
0,John Campbell
0,Nelson Campbell
0,Noah Anderson
0,Paul Ramstad
0,Paul Pfeiffer
4,Michael Peng
9,Cooper Tanquary
12,George Faour
13,Austin Hwang
14,Derek Vance
15,Bryan  Cloutier
16,James Zhou
32,Eric Siegel
35,Edward White
44,Bryson Levisay
50,Ram Goli
55,Lorenzo Duvergne
b,r,e,a,k
Western Washington,8
0,Ryan Schluter
2,Amanze Oleru
3,Paul Goins
4,John George
5,Logan Chantelois
7,Tyler Maruoka
8,Isaiah Schneeweis-LaRene
10,Nico Cappella
11,Ian Browning
13,Graham Manson
15,Drake-Anthony Pearisaeff
17,Christopher Penuelas
19,Jonas Golden
24,Daniel Mah
27,Aaron Glickman
28,Tim Klacik
31,Josh McNamara
33,Quinn Edgerton
43,Daniel Lorigan
58,Finn O'Hea
63,Victor Ramirez
69,Stephen Oun
80,Liam Bateman
99,Gavin Maxwell
b,r,e,a,k
California-Santa Cruz,16
0,David Woodfin
0,Eli Fay
0,Ethan Kleinman
0,Gilbert Chong
0,Ashton Paulus
0,Johnny Chen
0,Kai Schniedergers
0,Kristopher Rollert
0,Liam Jay
0,Liem Pham
0,Robert Parke
0,Roberto Alvaro
0,Roland Christ
0,Sachin Deepak
0,Tate Pieper
1,Joseph Chanin-Meiers
3,Aaron Kees
3,Xaul  Starr
5,Grady Watkins
7,Billy Fague
14,Justin Tsuchiyama
16,Sean Hyslop
17,Robert Gallagher
23,Annan Harray
24,Aaron Mercado
25,Simon Filippenko
26,Zack Renick
27,Aaron Hom
b,r,e,a,k
Cal Poly-SLO,2
02,Chris Kaspar
05,Matt Miller
08,Dillon Whited
11,Hudson Stuck
12,Ed Ryon
13,Theodore Watkins
14,Dean Otsuka
15,Allen Zhai
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
22,William Wilcox
23,Jake Thorne
24,Nate Johnson
27,Kenrick Koo
28,Morgan Sommer
31,Samuel Wedegaertner
33,Ian Sweeney
35,Justin Ting
42,Keaton Bates
52,Andrew Stratford
70,Emmet Holton
80,Tate Hoyer
81,Calvin Brown
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
California-San Diego,15
1,Jackie Wong
3,Michael Huang
6,Tyler Koo
7,Quomel Imani
9,Bernard Suwirjo
02,Bryce Lozinski
10,David Knapp
13,Ethan Li
14,John Geller
15,James Kasic
17,Brennen Mahon
19,Kiran Potula
24,Eric Hytönen
25,William Suryajaya
25,Mazden Mastromauro
36,Stefan Samu
37,Wesley Bowen
38,Kellen  Nani
41,Lucas Lin
43,Andrew Ma
47,Blake Gabel
50,Gaoweiang Dong
51,Yixuan  Zhou
64,Chris Luke
72,Gene He
73,James McGuinness
78,Krishna Gomatam
b,r,e,a,k
Utah,7
0,Kyle Weinberg
0,Jarom Brandow
5,Dylan Cox
00,Harrison Sucher
00,Jace Duennebeil
00,Jacob Argue
00,Alejandro Palomino
00,Alexander Knock
00,Branden Frieden
00,Cole Stenseth
00,Connor Hess
00,Michael Giere
00,Nat Evans
00,Nathan Huff
00,Nicholas Peters
00,Patrick  Beckett 
00,Robert King
00,Simon Greenhalgh
00,Trey Taylor
00,Kevin Castell
b,r,e,a,k
California-Santa Barbara,10
0,Nathan Steinert
2,Stefan Crigler
3,Isaac Hsu
6,Alex Chin
7,Jordan Cortes
10,Lorenzo Yabut
13,Jivan Khakee
15,Brice Redmond
17,Robert Odum
21,Jason Zeidman
22,Duncan Brin
23,Patrick Godfrey
23,Stephen Smoots
26,Brendan Champlin
27,Ryan Barry
32,Kieran Bates
37,Kyle Johnson
43,Xavier Prochaska
44,Trevor Arbab
55,Christian Go
64,Varun Iyer
77,Tristen Moran
88,Adam Thompson
99,Max de Visser
b,r,e,a,k
California,6
1,Neil Thomas
2,Winston Tran
3,Mason Chupka
4,Rafael Castro
6,Alexander Pan
7,Jules Fogarty
8,Drew Palmer
10,Myron Liu
11,Glenn Wysen
12,Munis Thahir
14,Joshua Yuan
15,Jacob Bruner
17,Ashwin Vaidyanathan
18,Jacob McCurdy
22,Christopher Lung
23,Trevor Aquino
25,Tommy Lin
29,Vincent Su
30,Bo Rasmussen
32,Evan Magsig
47,Christopher Akers
59,Liam Kreiss
77,Brian Kooperberg
87,Max Williams
88,Ryan Lee
b,r,e,a,k
Colorado,3
00,Alex Atkins
02,Alex Tatum
05,Saeed Semrin
06,Christopher Larson
07,Sean Chapel
09,Matthew Loughridge 
10,Danny Langevin
11,Son Nguyen
12,Girish Narayanswamy
13,Gregory Blumer
15,Brendan Sheets
16,Michael Fruge
17,Zane Barber
18,Jakob Rheins
19,Isaac Chestler
20,Jace Pivonka
21,Jason Otsuki
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
42,Jacob Reed
44,Cole Besser
88,Quinn Finer
99,Aston Horton
b,r,e,a,k
California-Davis,11
0,Anders Eckburg
0,Austin Lourie
0,Austin Joseph
0,Benjamin Elliott
0,Brooks Olesek
0,Casey Shugarman
