Philly Invite 2019,Club - Mixed ,13,7,2019
https://play.usaultimate.org/events/Philly-Invite-2019/schedule/Mixed/Club-Mixed
Loco,1
0,Ashley Cantasano
0,Beata Artz
0,Christopher Pokorny
0,Claire Milton
0,Dustin Sullivan
0,Ian Coyne
0,Meghan Wadlinger
0,Paul Klimkowski
0,Quinn Hunziker
0,Layne Dodge
0,Richard Robinson
0,Robert Catzen
0,Sarah Roberts
0,Steven Broome
0,Will Hoehne
1,Abigail Thompson
3,Sarah Coyne
6,Alexa Wing
6,Jessica Brand
10,Ryan Dealy
18,Shayna Reppermund
21,Regina Wilkinson
32,Jeffrey Andrews
35,Ryan Forster
65,Robert Yu
84,Matt Lubitz
91,Kenneth Wells
b,r,e,a,k
Fleet,16
0,Chris Neitzey
0,Daniel Selwyn
0,Emily Christ
0,Gabriella Hunt
0,Alexis Faccone
0,Jonathan Ginsberg
0,Kara Schulden
0,Matt Williams
0,Matthew Radhe
0,Patrick Gerald
0,Samantha Sesum
6,Michael Sharma
9,Casey Vaughn
12,Andrew Ishikawa
19,Kyle Morgan
20,Nadia BenAissa
21,Will Oktavec
27,Molly Schneider
42,Jeffrey Hoch
63,Jon Pressimone
69,Kristina Humm
69,Manuel Miranda
69,Ryan Bates
b,r,e,a,k
Soft Boiled,9
0,Eric Gallagher
1,Francesca Corna
2,Zoe Lewis
3,Scott Neupauer
4,Michael Moses
7,Katherine Neupauer
10,Daniel Stokes
12,Devin Malanaphy
13,Jacob Doss
14,Courtney Dougherty
17,Jeffrey Zhou
20,Annie Want
26,Alden Daniel
27,Katie Dai
31,Samuel Wedegaertner
36,Charlotte Edelstein
51,Victoria Spofford
64,Adam Alper
73,Faith Geating
77,Jez Dunnett
80,Tara Peng
b,r,e,a,k
Heavy Flow,8
0,Andrew Ryan
0,Andrew Young
0,Cara Murray
0,Danica Palacio
0,David Ness
0,Erica Yee
0,Erin Barclay
0,John Brun
0,Meghan Gloyd
0,Scott Wheeler
0,Timmy Gelles
0,Zoe Levine
4,Amy Whetter
7,Derrick Fyfield
10,Elias White
11,Rachel White
16,Simeon Lee
16,Alec Hirschauer
22,Lance Gardner
23,Jordan Lewis
25,Natalie Drake
42,Daniel Moore
43,Anya Lagasse
66,Jefferson Crum
73,Brian Jollie
78,Sam Shiao
88,Justin Chu
b,r,e,a,k
League of Shadows,2
0,Abby Ritterband
0,Alison Hill
0,Casey  Phalen
0,David Lyle
0,George Robert Halvorsen Jr.
0,George Holt
0,Jack Deschler
0,Jaelee Cruz
0,Jason Shnipes
0,Meredith Duffy
0,Rosanna Vitiello
0,Shi-Min Chin
0,Sofie Netteberg
0,Thomas Barry
1,Patricia Neckowicz
4,Daniel Rosengard
5,Qingyun Lu
10,Nevil Desai
13,Oliver Chartock
13,Leo Blooston
17,Lillian Huang
17,Cici Wang
19,Karissa  Tabtieng
21,Charles Marokhovsky
29,Tate Tabtieng
55,Stephen Mock
77,Matthew Fasano
b,r,e,a,k
Peep Show,10
0,Cara Radino
