Ohio Valley D-I College Men's Regionals,College - Men ,4,5,2019
Allentown,PA,2019-04-27,2019-04-28
https://play.usaultimate.org/events/Ohio-Valley-D-I-College-Mens-Regionals-2019/schedule/Men/CollegeMen/
Pittsburgh,1
0,Nicholas Santana
0,Ridge Bachman
0,Travis Terrell
8,Michael Dzelzgalvis 
10,Lawson Fisher
12,Zach Laubscher
15,Joseph Snider
19,Fred Wolf
22,Tal Cohen
23,Ian Dietrich
25,Nate Long
31,Ryan Bullotta
32,Rob Davis
36,Boris Li
72,Nathaniel Donaher
b,r,e,a,k
Lehigh,14
0,Adam Debus
0,Andrew Ridings
0,Ben Durkee
0,Damon Luk
0,Deven Amann-Rao
0,Evan Comisac
0,Kevin Latwis
0,Thomas McManus
0,Tino Magazzolo
08,John Lund
10,Christian Chapis
20,Sean McCoy
26,Vincent Rienzi
35,Valentin Post
36,Ethan Holmgren
37,Sean Cranney
40,Evan Williams
61,Timothy Predmore
71,David Widdowson
77,August Eurich
83,Noah Katz
84,Samuel Paleologopoulos
b,r,e,a,k
Pittsburgh (B),11
0,Josh Pogue
3,Charles Lee
4,Alex Hain
8,Nicholas Lagerman
11,Ethan Murphy
13,Jacob Doss
14,Dmitri Zalnasky
18,Simon Prushan
19,Mathieu Petit
25,RK Cobb
26,Zac Cook
27,Riley Park
28,Trent Greener
33,Christopher Turocy
34,Michael Sodini
44,Michael Hayden
54,Daniel Tometich
61,Aaron Greenberg
67,Varun Zaver
72,Eli Block
81,Connor McFadden
99,Shay Mallick
b,r,e,a,k
Pennsylvania,10
0,Jeffrey Zhou
0,Zachary Oppler
1,Michael Becker
2,Solomon Goldfarb
3,Per Loufman
11,Edward Devlin
13,Scott Phillips
14,Jason Schwartz
15,Max Fine
17,Nathaniel Hess
19,Eytan Deener-Agus
21,Luca Chiaperotti
22,Charlie Ma
25,Haralambos Mourelatos
28,Corey Parker
32,Andrew Roberts
34,Tom Fry
43,Gabriel Robinson-Barr
44,Tony Qiu
50,Jonah Weinbaum
71,Griffen Croft
81,Paul Owens
93,Griffin Murphy
98,Jacob Quon
99,Gabriel Koo
b,r,e,a,k
West Chester,15
0,Alex Troncelliti
0,Calvin Green
0,Chris Popeck
0,Dan Ruban
0,Edward Eckert
0,Frank Dalton III
0,Jonathan Romero
0,Joshua Diaz
0,Keith Wood
0,Pierce Mahon
0,Ryan Fowler
0,Ryan Carr
0,Ryan Gardiner
0,Samuel Larson
0,Seth Asher
0,steve gregor
0,Victor Yin
3,Austin Lillis
12,Andrew  Poulos
15,Evan Revta
17,Sean Laughlin
19,Nathan Zeyl
23,Shadow Deyo
24,Dustin Henken
38,Christopher Bukacz
41,Charles Villano
45,Nicholas DiGiorgio
53,Carter Grimm
59,Peter  Gerdt
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play
bracket,1st Place Bracket
Pittsburgh,Ohio State,13,14,"05/04/2019, 14:00",1st Place Finals,Final
Pittsburgh,Carnegie Mellon,15,6,"04/28/2019, 12:00",1st Place Semis,Final
Ohio,Ohio State,1,15,"04/28/2019, 12:00",1st Place Semis,Final
Pittsburgh,Villanova,15,3,"04/28/2019, 10:00",1st Place Quarters,Final
Carnegie Mellon,Drexel,13,5,"04/28/2019, 10:00",1st Place Quarters,Final
Ohio,Temple,14,13,"04/28/2019, 10:00",1st Place Quarters,Final
Cincinnati,Ohio State,8,15,"04/28/2019, 10:00",1st Place Quarters,Final
Pittsburgh,Miami (Ohio),15,2,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
Villanova,Case Western Reserve,14,13,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
Carnegie Mellon,Dayton,14,8,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
Drexel,Penn State,15,14,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
Ohio,Lehigh,15,10,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
Pittsburgh (B),Temple,7,14,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
Cincinnati,Pennsylvania,12,11,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
West Chester,Ohio State,5,15,"04/28/2019, 08:00",1st Place Pre-Quarters,Final
bracket,2nd Place Bracket
Pittsburgh,Carnegie Mellon,15,9,"05/04/2019, 16:00",2nd Place Finals - Last Bid to Nationals,Final
Carnegie Mellon,Ohio,14,7,"05/04/2019, 14:00",2nd Place Semis,Final
Carnegie Mellon,Penn State,12,11,"05/04/2019, 12:00",2nd Place Quarters,Final
Villanova,Ohio,0,1,"05/04/2019, 00:00",2nd Place Quarters,Final
Case Western Reserve,Penn State,11,13,"04/28/2019, 14:00",2nd Place Pre-Quarters,Final
Lehigh,Villanova,11,15,"04/28/2019, 14:00",2nd Place Pre-Quarters,Final
Cincinnati,Case Western Reserve,9,15,"04/28/2019, 12:00",2nd Place Play-In 2,Final
Temple,Penn State,9,11,"04/28/2019, 12:00",2nd Place Play-In 2,Final
Drexel,Lehigh,8,15,"04/28/2019, 12:00",2nd Place Play-In 2,Final
Villanova,West Chester,1,0,"04/28/2019, 12:00",2nd Place Play-In 2,Final
Miami (Ohio),Case Western Reserve,0,1,"04/28/2019, 10:00",2nd Place Play-In 1,Final
Dayton,Penn State,7,15,"04/28/2019, 10:00",2nd Place Play-In 1,Final
Lehigh,Pittsburgh (B),15,10,"04/28/2019, 10:00",2nd Place Play-In 1,Final
Pennsylvania,West Chester,6,12,"04/28/2019, 10:00",2nd Place Play-In 1,Final
bracket,9th Place - Tie
Cincinnati,Temple,11,5,"04/28/2019, 14:00",9th Place Final,Final
bracket,9th Place - Tie
Drexel,West Chester,11,6,"04/28/2019, 14:00",9th Place Final,Final
bracket,13th Place
Dayton,Pennsylvania,0,1,"04/28/2019, 14:00",13th Place Final,Final
Miami (Ohio),Dayton,0,1,"04/28/2019, 12:00",13th Place Semis,Final
Pittsburgh (B),Pennsylvania,8,11,"04/28/2019, 12:00",13th Place Semis,Final
bracket,15th Place
Miami (Ohio),Pittsburgh (B),0,1,"04/28/2019, 14:00",15th Place Finals,Final
b,r,e,a,k
