Northwest Plains Mixed Club Sectional Championship 2019,Club - Mixed ,7,9,2019
https://play.usaultimate.org/events/Northwest-Plains-Mixed-Club-Sectional-Championship-2019/schedule/Mixed/Club-Mixed
NOISE,1
0,Ben Parrell
0,Ethan Parrish
0,Francis Kelley
0,Justin Simanson
0,Karen Hill
0,Kevin Cannaday
0,Kyle Weigand
1,Jackie Welsch
2,Ashley Welsh
7,Vanessa Cannaday
10,Tom Annen
10,Caitlin Murphy
12,Kaitlynne Roling
13,Becky LeDonne
18,Mike Kobyra
18,Sarah Mondschein
19,Haley Hudson
22,Rami Paust
26,Simon Kuran
27,Michael Swain
29,Jack Nelson
31,Marianna Malin
32,Daniel Garlock
33,Katy Stanton
55,Kelsen Alexander
95,Glenn Poole
b,r,e,a,k
Melt,8
0,Alex Kaplan
0,Alexander Jirele
0,Allison Collins
0,Alyxandra Averkamp
0,Daniel Herrera
0,Danielle Stacey
0,Carlos Lopez
0,Casey Hoffman
0,Frieda Manthei
0,John Anderson
0,Mark Pennebecker
0,Maureen Donohue
0,Nicholas Guo
0,Shannon Mathews
0,Tiffany Lui
0,Vincent Vik
3,Mckenna Miller
10,Jared Klein
10,Derek Klein
13,Evan Ford
13,Sam Eherenman
14,Maggie  Grunow 
16,Sarah Christie
36,Donald Wood
42,Anna Ruehlow
64,Sophie Nadler
73,Charlie Enders
b,r,e,a,k
Mad Udderburn,9
0,David Kurian
01,Grace Compton
02,David Mohan
03,Jake Wilson
04,Joey Knutson
06,Anders Shropshire
07,Kasey Kenealy
08,Ben Schewe
09,Grant Hellestad
10,Matt Coogan
11,Spike Pike
12,Alyssa Rettler
13,Tessa Berry
14,Katherine Magruder
15,John Miller
17,Thom Kenealy
18,Julia Sauerhaft
20,Briana Morales
22,Lauren Armstrong
24,Bo Strauss
25,Stephanie Smith
27,Clay Schelitzche
30,Helen Walz
31,Amber Heffernan
32,Amanda Hellestad
41,Molly Schelitzche
44,Koby Seaborne
b,r,e,a,k
Great Minnesota Get Together,16
0,Dan Monfre
0,Daniel Le-Tran
0,David Shirley
0,Eric Leppink
0,Gavin McKibben
0,Jesse Stratton
0,Alyssa Maristela
0,Lauren McPherson
0,Lindsey Pieper
0,Madeleine Filloux
0,Seija Stratton
0,Taylor Weeden
1,Cody Hopewell
2,Kyle Crawford
2,Lauren Hagen
6,Kathy Young
9,Brian Thompson
17,Ellie Clarin
50,Carl Aanestad
57,Nathan Jesson
88,Melissa Lo
b,r,e,a,k
Dinosaur Fancy,17
0,Eric Wallendal
0,James Kersten
0,Jessica Pernsteiner
0,Katelyn Hoffman
0,Katie Abrams
0,Kevin Pochatila
0,Margaret Punt
0,Megan Wallendal
0,Melanie Sard
0,Michael Gionet
0,Mitchell Artz
0,Monica Fallon
0,Allison Dungan
0,Bryn Martyna
0,Cassandra Meixelsperger
0,Colin Punt
0,Adam Smith
0,Philip Chen
0,Roman Ryan
0,Todd Henderson
0,Vanessa Villasenor
14,Courtney Trescher
25,Nina Nelsestuen
31,Adam Zingsheim
33,Aidan Boyle
43,Toby Wex
84,Vincent Hsu
b,r,e,a,k
Minnesota Star Power,2
0,Alex Kensgaard
0,Benjamin Longchamp
0,Claire Cech
0,Cole Jensen
0,Eva Maxson
0,Lillian Bailey
0,Rebekah Swanson
0,Nick Heid
1,Tanner Mayo
1,Tristan Grovender
7,Danica Cutshall
8,Kevin Ruda
9,Ben Roske
11,Rachel Thompson
13,Kelsey Mueller
16,Lisa Barnes
19,Eric Vandermolen
20,Kelsey Percy
21,Tyler Mahony
24,Eric Alexander
25,Joe Moravec
26,Ian Hahn
29,Kelsey Peterson
31,Bradley Malmsten
37,Ming Cheng Chew
92,Martin Stecker
97,Megan Asturias
b,r,e,a,k
Point of No Return,7
00,Bryan Cook
00,Dylan Boucher
00,Jennifer Brandt
00,Lillee Stanke
00,Kirk Prince
00,Quest Meyer
03,Kathryn Dumke
04,Gerene Taylor
06,Kevin Reimer
07,Thomas Roltgen
08,Brennan Nelson
09,Kate Propp
10,Emily Rouse
12,Veiga Goethel
