2019 USA Ultimate Masters Championships,Masters - Men ,19,7,2019
https://play.usaultimate.org/events/2019-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Boneyard,1
00,Jonathan Helton
01,Alexander (Sandy) Hartwiger
02,Mike Moore
04,Robbye River Brooks
05,Tim Lupo
06,Ben Dieter
07,George Guthrie
08,Josh Mullen
09,Taylor Pope
10,Brandon Perales
11,Brian Lang
12,Mark Strazzer
13,Jared Inselmann
15,Jesse Overby
16,Bryan Brickhouse
17,Joseph Connelly
18,David Snoke
19,James Mangum
21,Theran Riedel
22,Andrew Allen
24,Joel Wooten
26,Kevin Kelly
29,Ryan Sitler
32,Josh Berkowitz
33,Eric Martin
42,Matthew Thomas
45,Brett Matzuka
66,Jeff Loperfido
77,Casey Degnan
b,r,e,a,k
Viejo,8
00,David Brooks
02,Mickey Kleinhenz
03,Jamey Kleinhenz
04,Santo Giacalone
05,Matthew Bierschenk
06,Chase Hudson
07,Andrew Wright
10,Steven Darroh
12,Andrew Walch
13,Timothy (Bonesaw!) Kepner
14,Patrick Eberle
16,David Assad
20,Casey Hogg
24,Rory Orloff
25,Alex Leblanc
33,Hoag Kepner
34,Dylan Jones
46,Michael Natenberg
51,Judson Moore
83,John Assad
b,r,e,a,k
Beyondors,12
00,Jason Edelman
02,Ryan Reynolds
06,Justin Moore
07,Eric Brach
08,Christopher Ludwig
09,Seth Van Essen
10,Jamison Klang
11,Chuck LaForte
13,James Erdmann
15,Conor Kelly
16,Ryan Plant
23,Ian Meyer
27,Nathan Young
33,Danton Noriega-Goodwin
34,Joaquin Nagle
37,Nate Kirchhofer
40,Ben Friedenson
42,Johnny Walker
44,Jeremy Moneta
54,Daniel Chazin
69,Matt Tacheron
82,Julius Schaffer
91,Grant Boyd
99,Joel Conn
b,r,e,a,k
Naptown,13
00,Josh Phillips
01,Keenan Plew
03,Jonathan Warner
06,John Haselden
09,Nathan Partenheimer
10,Jason Cadwallader
13,Joshua Kemmerling
14,Franklin Hankins
17,James Quill
19,Sam Tobin-Hochstadt
21,Josh Fortney
23,C. Ryan Craven
27,Chase McCoy
28,Chris Hayen
33,Doug Fellegy
35,Paul Avilez
37,Jacob Schumacher
42,Christopher Robbins
47,Brian Olson
49,Troy Stapleton
76,Jason Yoder
86,Dusty (Dustin) Hughes
92,Anthony Panozzo
b,r,e,a,k
All Bashed Out,2
0,Ken (KJ) Dziak
00,Lionel Wininger
00,Lucas Murphy
00,Robert Devoogd
00,Sean Murray
00,Seth Canetti
00,Theodore Mason
00,Vinny Fiacco
00,William Olli
00,Zachary Roy
00,Brendan Awerbuch
00,Chris Zybert
00,Dana Grandoni
00,Dang Khoa DuBay-Dang
00,Elliott Gould
00,Harrison Treegoob
00,John Sardo
00,John Palmer
00,Jonathan Frentzel
00,Jonathan Ginsberg
b,r,e,a,k
"JOIN, or DIE.",14
00,Matt Ross
01,Craig Umland
02,Bryce Wiedenbeck
03,Eric Gallagher
05,Kevin Venose
10,Jason Jones
10,Ted Skaarup
11,Jeff Truskin
13,Bryant Dean
15,Peter Morawski
16,Ryan Kilmer
17,William Reed
19,Chris Gray
21,Andrew Saltz
24,Steven Willis
27,David Boyer
29,David Kiefer
36,Kyle Golrick
47,Peter Kapostasy
71,Tad Wissel
77,Jez Dunnett
83,Michael Ridge
92,Brian Yagel
b,r,e,a,k
Geronimo,11
01,Andrew Maloney
