Southeast Club Mixed Regional Championship 2019,Club - Mixed ,21,9,2019
Advance,NC,2019-09-21,2019-09-22
https://play.usaultimate.org/events/Southeast-Club-Mixed-Regional-Championship-2019/schedule/Mixed/Club-Mixed
Bucket,10
0,Dana Rose
1,James ONeal (Neal) Hollis
3,Aidan Rogers
5,Emily Karoblis
6,Beret Amundson
7,Katherine Yost
8,Timothy Brady
9,Patrick Dougherty
9,Erik Jorgensen
10,Jeffrey Minowa
10,Michael Venezia
13,Matthew Hardman
16,Almaze Lema
20,Aileen Thomas
23,Lizzie Jones
24,Victor Pria
29,Katie Gainer
33,Caroline Taylor
40,Hunter Cutts
44,Samantha Hill
55,Evelina Pierce
58,Brian Walsh
83,Shanye Crawford
88,Brandon Li
96,Logan Bonds
b,r,e,a,k
Toro,1
03,Dean Culver
05,Mary Rippe
06,Kalene Morozumi
07,Grayson Sanner
08,Heather Zimmerman
09,Michael Meilstrup
10,George Guthrie
13,Tyler Smith
14,Tanner Barcus
15,Vikram Sethuraman
16,Frank Qin
17,Brian Clark
18,Jacob McGoogan
19,Tracy d'Arbeloff
21,Cynthia Jones
22,Kiron Allen
25,Michael Pannone
27,Toni Gomes
31,Alex Kaja
32,Jake Coleman
34,Tristan Green
35,Maggie Adams
43,Matthew Wilson
45,Caitlin Gross
52,Sydney Harris
55,Erika Neave
88,Christine Bookhout
b,r,e,a,k
Huntsville Outlaws,8
0,Alaina Daugherty
0,Andrew Tharp
0,Angel Mobley
0,Angelicia Franklin
0,Bradley Fleming
0,Daniel Bekken
0,Elizabeth Knaupp
0,Jacqueline Bekken
0,Jason McKeen
0,Kylie Murphy
0,Lauren Bryant
0,Michael Volz
0,Michael Mobley
0,Soteara Ouk
1,Jake Brouwer
2,Holly Sillivant
6,Sean Allan
12,Anna Lee
13,Sandy Sillivant
17,Matthew Knaupp
19,Victoria Ellingson
22,Jonathan Lee
27,Quincey McKeen
35,Clark Missildine
54,Brooke  Volz
91,Jonathan Sillivant
b,r,e,a,k
Mutiny,15
0,Frank Weng
0,Ronald Peterman
1,Austin Mackey
2,Tytron Bass
3,Cody McAlpine
5,Sharon Pederson
7,Corinne Barrett
8,William Moore
10,Therese Doebler
14,Alexander Guedouar
20,Yale Lin
21,Brandon Perales
22,Natasha Bedoya-Ross
23,Jacob Ihlenfeldt
26,Kaitlyn Santoro
27,Whitney Bastian
28,Trevorn Hodge
31,Kristen Turner
35,Timothy Chafin
55,Trystan Grzyll
77,Saral Kumar
79,Michael Goldsmith
88,Shirlene Sze
91,Mark Schimmel
b,r,e,a,k
Superlame,7
1,Ruth Stokes
4,Christopher Cosgrove
5,Taylor Pope
6,Sara Dieter
7,Michaela Dube
8,Matthew Rushing
9,Ryan Sitler
10,Ann Araps
11,Joel Wooten
15,Ingrid Humphrey
16,Kelly Sullivan
17,Catherine Yackey
18,Allison Bashford
19,Rachel Johnson
22,Harris Woody
23,Blake Hannah
25,Sara Gibson
27,Maureen McCamley
32,Karl Ekwurtzel
34,Ray Davenport
37,Ben Dieter
42,Jeff Nordgren
66,Simone Whale
69,taylor minch
81,Sean Murray
86,Ryan Stokes
99,Andrew Cohen
b,r,e,a,k
Weird,2
0,Lisa Fitton
01,Matt Thompson
02,Bennett Wachob
03,Benjamin Ostman
06,Adam Carr
07,Carlito Que
08,Joshua Layton
09,Sean Plunkett
10,Tori Taylor
11,Craig Anderson
13,Adam Vinson
15,Alex Nelson
16,Jenny Rodriguez
19,Adam Lapikas
20,Mia Griner
22,Julia Gregory
23,Logan Diehl
26,Thomas Milana
27,Rebecca Poznansky
34,Courtney Read
47,Austin Koffarnus
69,Jaime Estes
77,Quentin Voorhees
84,James Franklin
85,Tabitha Mixon
88,Tara Rambo
96,Natalie Wilson
b,r,e,a,k
JLP,9
2,Thomas Bailey
3,Rachel Thurston
4,Elizabeth Leon
5,Leah Barlow
6,Max Leonard
6,Gracie White
9,Erin Chun
10,Ishaan Dave
11,William Sloane
12,Jennie Wainer
14,Jacob Zirbel
16,Leah Gilbert-Odem
20,Caroline Pearson
21,Daniel Jones
22,Meghan Murphy
23,Zachary Cole
30,Benjamin Breault
33,Brianna Stedman
34,Kristi Huang
36,Will Frolich
37,Jonathan Clark
42,Devin Cox
54,Nick Riker
69,Aaron Claytor
99,Amy Kruse
b,r,e,a,k
sKNO cone,16
0,Rebecca Hunter
1,Ellie Stanfield
3,Austin Housewright 
4,Ridge Carter
5,Thomas Larocco
6,Micah Roberts
10,Melanie Lindsey
11,Gabe Warden
12,Carson Chamberlain
12,Sierra Rimmer
13,Artemio Pascual
13,Jacob Lambert
14,William White
15,Logan Aeschlimann
16,Noam Orr
17,Hanna  McClain
20,Cait Newton
21,Marcus  Patton
24,Emily  Branson
25,Larry Brad Smith
26,Bethany Bailey
28,Haley Smith
48,Nettie Stanfield
50,Harrison Barrett
71,Anna Huss
b,r,e,a,k
Storm,3
0,Aaron Coble
0,Cacey-Jane Bunch
0,Eric Olson
0,Grace Engle
0,Matthew May
0,Matthew Cameron
0,Micah Hood
0,Nathan Lyle
0,Paul Grabowski
0,Samuel Lee
0,Sarah May
0,Sean Kelley
0,Sharon Crawford
0,Stephanie Herman
6,Dylan Welchman
7,Jessica Grabowski
9,Miller Yoho
12,Philip Hadwiger
13,Jocelyn Keung
