Garden State 9,College - Women ,30,3,2019
Vineland,NJ,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Garden-State-9/schedule/Women/CollegeWomen/
New Hampshire,1
0,Chloe Smith
0,Danielle Chancey
0,Emma Sauerwein
0,Gabriella  Palermo
0,Anna Botts
0,Kayla Lawlor
0,Mckenzie Finigan
0,Rachael Facey
0,Ryann Boudreau
0,Taryn Lambert
2,Sierra Lamphere
10,Leah Rubinstein
22,Bridget Bailey
24,Meghan Montgomery
62,Anna Snarski
66,Katherine Quillin
b,r,e,a,k
Princeton,8
0,Alexandria Bouchard
0,Angela Mao
0,Christine An
0,Dorothy Zhao
0,Emily Yu
0,Grace Cuenca
0,Iris Rukshin
0,Karen Ying
0,Kimberly Peterson
0,Kimberly Lu
0,Leslie Chan
0,Mayalen Brock
0,Mona Clappier
0,Nora Bradley
0,Sarah Zhou
0,Yoko Urano
b,r,e,a,k
Skidmore,4
00,Brenna Green
00,Caitlin  Kilgore 
00,Claire Slattery
00,Daphne Moskofides
00,Elizabeth Picken
00,Emma Hulbert
00,Gina Pryciak
00,Grace Wehrle
00,Isabel  Blumenthal
00,Justine Bolling
00,Liana Heath
00,Mira Kauffman-Rosengarten
00,Olivia Kupiec
00,Quinn Campbell
00,Sammi Smith
00,Sarah Jones
00,Shaylan Kolodney
00,Sophia Spelman
00,Sophie Wolfman
00,Sylvana Szuhay
b,r,e,a,k
Brandeis,5
0,Allie Mundis
3,Ava Harnick
9,Nakeita Henry
10,Devin Feigelson
12,Lauren Lindman
13,Sarah Abramson
15,Jackie Mundis
16,Allison Frebowitz
17,Grace Barredo
23,Maddie Marx
26,Maya Fields
29,Sophie Needles
30,Anna Sherman
35,Emily See
38,Christina Jiang
42,Katherine Laemmle
45,Dalia Weinstein
55,Sarah Kane
98,Katya Hirsch
b,r,e,a,k
Wesleyan,3
0,Amabel Jeon
0,Imogen Nelson
0,Kelly Jamrog
0,Lily Gould
0,Rose Griffin
0,Sarah Mount
0,Tess Brunner
25,Sydney Taylor-Klaus
b,r,e,a,k
Mount Holyoke,2
0,Ariana Sarmiento Fielding
0,Ayla Osgood
0,Celia Mulcahey
0,Clara Honigberg
0,Emma St John
0,Gabrielle Perry
0,Kay Hughes
0,Madison  Flueckiger 
0,Michelle Wellman
0,Sarah VonDoepp
0,Sarah Bloomgarden
0,Sarah Chen
0,Olivia Brandwein
0,Omie Coyne
0,Xueyi Yang
0,Yue Deng
7,Ysabel Lavitz
9,Sophia Hoenig
11,Emma Bowe
18,Sara Frieze
32,Robin Joyce
69,Natalie Russianoff
b,r,e,a,k
Lehigh,7
0,Aimee Teplitskiy
0,Ashley Wilhelm
0,Caroline Smith
0,Elly Labay
0,Emily Barlow
0,Emma Mirabelli
0,Fiona Nugent
0,Katherine Koval
0,Laura Marsiglio
0,Rebecca Cohen
0,Rebecca Salsburg-Frank
0,Ryan Loftus
3,Claire Ternes
5,Madison Cannon
8,Mary Patwell
9,Nicole Vasoll
10,"Mariel  Weigel ""Wabs"""
13,Alexa Herzog
15,Sarah Cookson
20,Erin Dillon
30,Belle Sullivan
45,Monica Powers
67,Nora Abbott
77,Hannah Flaherty
80,Allison Codi
88,Lexi Meisse
93,Anna Sivinski
97,Kelly Skewis
b,r,e,a,k
Syracuse,6
0,Rebecca Reape
1,Allyson Greenberg
6,Megan  Wilson
8,Rachael Church
09,Elizabeth Jamison
16,Caroline Noone
19,Megan Kirby
20,Daria Latvis
36,Hayley Sussman
72,Qiang Qiang
b,r,e,a,k
Amherst,9
00,Charissa Doerr
00,Gussie Hollers
00,Jacqueline Brooks
00,Julia Burnett
00,Kayla Hall
00,Kelley Baumann
00,Logan Deming
00,Mackenzie Stein
