CWRUL Memorial 2019,College - Women ,23,3,2019
Columbus,OH,2019-03-23,2019-03-24
https://play.usaultimate.org/events/CWRUL-Memorial-2019/schedule/Women/CollegeWomen/
Carnegie Mellon,5
0,Allie Judge
0,Amber Malik
0,Ayanna Guillen
0,Chinyere Ibeh
0,Esther Ajayi
0,Isabel Cueto
0,Katelynn Zacharias
0,Lindsay Winders
0,Madison Chidester
0,Kamille Barrett
10,Sarah Helding
11,Talia Brewer
16,Karson Barrett
18,Sabrina Salvador
18,Mei Li Badecker
24,Jorey Dvorak
31,Rachel Inderhees
95,Jacalyn Gisvold
b,r,e,a,k
Knox,15
teamInfo,Alley Cats,"Galesburg, Illinois",,https://www.facebook.com/Knox-College-Ultimate-170986939622/,https://twitter.com/Knox_ultimate?lang=en
03,Meryl Davis
04,Emily Mosher
05,Mikaela Bonnici
06,Jocelyn Ruby
08,Carly Gilbert
10,Tina Jeon
11,Kelly Feng
12,Chaewon Kim
13,Kylie Hoang
17,Tegan Doherty
21,Keara Crook
22,Bennett Van Meter
23,Allison Garcia
24,Laura Herrand
26,Alyssa Randel
27,April Morales
28,Natalie Juarez
31,Kathryn Coseglia
36,Gloria Ponce
37,Aoi Tomitaka
43,Odessa Sagli
47,Michelle Ni
49,Lila Johnson
64,Tessa Moore
87,Allison Molinari
99,Ava Lu
b,r,e,a,k
Xavier,11
teamInfo,Ignition,"Cincinnati, Ohio",,modules/common/XUignition,@XUignition
coaches,Stephanie Mack,Kate McInerney,Samantha Pukys
0,Ashley Schultz
0,Claire Schwaba
0,Corryn Keener
0,Katherine Jackson
0,Lydia Powell
7,Emily Kehling
9,Grace McGinnis
10,Amelia Kennedy
11,Grace Harley
13,Amanda Winner
14,Lauren Talbot
17,Sophia Needham
18,Claire Fischer
21,Madeline Groff
22,Catie Keck
27,Marissa Leff
28,Bailey Perkins
33,Vivien  Fisher
42,Alexa  Fountain
b,r,e,a,k
Kenyon,20
teamInfo,Ransom,"Gambier, Ohio",,,
1,Margo Goldfarb
3,Catherine Horwitz
5,Milo Eder
7,Georgie Lellman
8,Alice Auerbacher
11,Sigal Felber
13,Hannah Spector
14,Dahlia Gottlieb
14,Lindsay Spitz
15,Julia  Unangst 
17,Fiona Ellsworth
19,Sophie Krichevsky
22,Nina West
23,Blythe Zadrozny
25,Anna Corbett
30,Ezra Moguel
32,Julia Eckberg
55,Samantha Scali
71,Miriam Hyman
b,r,e,a,k
Michigan (B),17
teamInfo,BFLY,"Ann Arbor, Michigan",,,@MichiganBFly
coaches,Scott Hetu,Brittany Wright
0,Samantha Warden
02,Andreea Serban
04,Sarah Green
05,Jillian Haber
09,Jing Ting Lin
11,Kai Myran
12,Sara Herta
15,Emily Webber
16,Haley Martens
17,Sophia Leiter
18,Sophia Katz
19,Melaina Climer
25,Isabel Panepento
27,Lucie Scaglione
29,Jordan Hudgins
30,Hannah Mullaly
36,Meredith Ainsworth
41,Julia Derringer
44,Ashley Bielinski
47,Jayne Hubscher
49,Margaret McGeehan
56,Kei Kohmoto
81,Breanna Berka
87,Maria Elkin
b,r,e,a,k
Northwestern (B),18
teamInfo,GungHo B ,"Evanston, Illinois",,,
0,Carrie Ou
0,Charmaine Tan
0,Hannah Gaertner
0,Isabel Gitten
0,Lauren Simitz
0,Lindsey Steeg
0,Lucy Liu
0,Remy Afong
18,Hannah Paridis
38,Alexandria Wilt
b,r,e,a,k
Eastern Michigan,19
teamInfo,Raging Peacocks,"Ypsilanti, Michigan",,https://www.facebook.com/UltimateatEMU/,
03,Kiersten Olsen
07,Qamar Alsaidi
08,Alex Speakman
09,Shianne Muessig
11,"Moira ""Mo"" Roach "
13,Taylor Root
15,Phoebe Lovatt
17,Shelby Girard
28,Elizabeth Angliss
66,Hannah Parker
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Purdue,Carnegie Mellon,8,13,"03/23/2019, 09:00",Pool A,Final
Michigan State,Dayton,9,8,"03/23/2019, 09:00",Pool A,Final
Purdue,Dayton,9,4,"03/23/2019, 10:40",Pool A,Final
Michigan State,Carnegie Mellon,3,9,"03/23/2019, 10:40",Pool A,Final
Purdue,Michigan State,8,6,"03/23/2019, 12:20",Pool A,Final
Carnegie Mellon,Dayton,8,9,"03/23/2019, 12:20",Pool A,Final
pool,Pool B
Penn State,Case Western Reserve,13,12,"03/23/2019, 09:00",Pool B,Final
Boston College,Ball State,7,10,"03/23/2019, 09:00",Pool B,Final
Penn State,Ball State,9,10,"03/23/2019, 10:40",Pool B,Final
Boston College,Case Western Reserve,8,10,"03/23/2019, 10:40",Pool B,Final
Penn State,Boston College,10,7,"03/23/2019, 12:20",Pool B,Final
Case Western Reserve,Ball State,8,9,"03/23/2019, 12:20",Pool B,Final
pool,Pool C
Ohio,Indiana,13,7,"03/23/2019, 09:00",Pool C,Final
Rochester,Wheaton College IL,10,8,"03/23/2019, 09:00",Pool C,Final
Ohio,Wheaton College IL,13,2,"03/23/2019, 10:40",Pool C,Final
Rochester,Indiana,8,7,"03/23/2019, 10:40",Pool C,Final
Ohio,Rochester,9,3,"03/23/2019, 12:20",Pool C,Final
Indiana,Wheaton College IL,11,5,"03/23/2019, 12:20",Pool C,Final
pool,Pool D
Kentucky,DePaul,9,7,"03/23/2019, 09:00",Pool D,Final
Xavier,Knox,8,11,"03/23/2019, 09:00",Pool D,Final
Kentucky,Knox,12,4,"03/23/2019, 10:40",Pool D,Final
Xavier,DePaul,5,12,"03/23/2019, 10:40",Pool D,Final
Kentucky,Xavier,9,6,"03/23/2019, 12:20",Pool D,Final
DePaul,Knox,9,8,"03/23/2019, 12:20",Pool D,Final
pool,Pool E
Michigan (B),Eastern Michigan,11,1,"03/23/2019, 09:00",Pool E,Final
Northwestern (B),Kenyon,2,12,"03/23/2019, 09:00",Pool E,Final
Michigan (B),Kenyon,5,11,"03/23/2019, 10:40",Pool E,Final
Northwestern (B),Eastern Michigan,13,1,"03/23/2019, 10:40",Pool E,Final
Michigan (B),Northwestern (B),7,6,"03/23/2019, 12:20",Pool E,Final
Eastern Michigan,Kenyon,0,13,"03/23/2019, 12:20",Pool E,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Carnegie Mellon,Penn State,9,12,"03/24/2019, 12:10",Finals,Final
Carnegie Mellon,Case Western Reserve,11,10,"03/24/2019, 10:20",Semi-Finals,Final
Penn State,Dayton,10,5,"03/24/2019, 10:20",Semi-Finals,Final
Carnegie Mellon,Ohio,11,10,"03/24/2019, 08:30",Quarter-Finals,Final
Purdue,Case Western Reserve,9,13,"03/24/2019, 08:30",Quarter-Finals,Final
Penn State,Michigan State,12,8,"03/24/2019, 08:30",Quarter-Finals,Final
Dayton,Ball State,10,9,"03/24/2019, 08:30",Quarter-Finals,Final
Carnegie Mellon,Michigan (B),12,1,"03/24/2019, 14:00",Pre-Quarters,Final
Boston College,Ohio,5,12,"03/23/2019, 14:00",Pre-Quarters,Final
Purdue,Knox,13,4,"03/24/2019, 14:00",Pre-Quarters,Final
Case Western Reserve,Rochester,10,7,"03/23/2019, 14:00",Pre-Quarters,Final
Penn State,Indiana,12,5,"03/23/2019, 14:00",Pre-Quarters,Final
Michigan State,DePaul,12,11,"03/23/2019, 14:00",Pre-Quarters,Final
Dayton,Kentucky,10,3,"03/23/2019, 14:00",Pre-Quarters,Final
Ball State,Kenyon,10,5,"03/23/2019, 14:00",Pre-Quarters,Final
bracket,3rd Place Finals
Case Western Reserve,Dayton,4,10,"03/24/2019, 12:10",3rdals,Final
bracket,5th Place Finals
Ohio,Michigan State,9,7,"03/24/2019, 12:10",Finals,Final
Ohio,Purdue,10,9,"03/24/2019, 10:20",5th Place Semis,Final
Michigan State,Ball State,9,8,"03/24/2019, 10:20",5th Place Semis,Final
bracket,7th Place Finals
Purdue,Ball State,1,0,"03/24/2019, 12:10",Final,Final
bracket,9th Place Finals
Boston College,Kentucky,13,7,"03/24/2019, 14:00",Ninals,Final
Boston College,Knox,15,2,"03/24/2019, 10:20",Ninals Semis,Final
DePaul,Kentucky,8,10,"03/24/2019, 10:20",Ninals Semis,Final
Michigan (B),Boston College,0,15,"03/24/2019, 08:30",Ninals Quarters,Final
Knox,Rochester,10,9,"03/24/2019, 08:30",Ninals Quarters,Final
Indiana,DePaul,7,11,"03/24/2019, 08:30",Ninals Quarters,Final
Kentucky,Kenyon,15,7,"03/24/2019, 08:30",Ninals Quarters,Final
bracket,11th Place Finals
Knox,DePaul,0,1,"03/24/2019, 14:00",11th Finals,Final
bracket,13th Place Finals
Rochester,Kenyon,9,10,"03/24/2019, 14:00",Finals,Final
Michigan (B),Rochester,1,13,"03/24/2019, 10:20",Semi-Finals,Final
Indiana,Kenyon,0,1,"03/24/2019, 10:20",Semi-Finals,Final
bracket,15th Place Finals
Michigan (B),Indiana,1,0,"03/24/2019, 14:00",Finals,Final
b,r,e,a,k
pools,Chumpionship Pools
pool,Pool F
Wheaton College IL,Northwestern (B),W,F,"03/23/2019, 15:40",Pool F,Final
Xavier,Eastern Michigan,14,4,"03/23/2019, 15:40",Pool F,Final
Wheaton College IL,Eastern Michigan,15,2,"03/24/2019, 12:10",Pool F,Final
Xavier,Northwestern (B),13,4,"03/24/2019, 12:10",Pool F,Final
Wheaton College IL,Xavier,11,5,"03/24/2019, 14:00",Pool F,Final
Northwestern (B),Eastern Michigan,9,4,"03/24/2019, 14:00",Pool F,Final
b,r,e,a,k
