I-85 Rodeo 2019,College - Women ,30,3,2019
Axton,VA,2019-03-30,2019-03-31
https://play.usaultimate.org/events/I-85-Rodeo-2019/schedule/Women/CollegeWomen/
Georgia,1
0,Sumire Minagawa
59,Mags Colvett
b,r,e,a,k
George Washington (B),24
teamInfo,Lady Bippos,"Washington, District of Columbia",http://gdubladyhippos.wordpress.com/,,https://twitter.com/gdub_bippos
0,Allison  Chandler
0,Bridget Bantner
0,Elizabeth Sheppard
0,Erin Cornelius
0,Grace Moore
0,Kelsey Sanderson
0,Maddie Rosser
0,Melody Lee
0,Jessica Gates
0,Julia Sheaffer
0,Rebecca Small
0,Sophia Kujawski
38,Michelle Gung
43,Kate Anderson
49,Naomi Main
50,Jessica Flagg
b,r,e,a,k
William & Mary (B),17
teamInfo,Woolly Mammoths,"Williamsburg, Virginia",,https://www.facebook.com/mammothultimate/,https://twitter.com/mammothultimate?lang=en
0,Campbell Scheuerman
0,Carolyn Price
0,Emma Silverman
0,Evelyn Chang
0,Kylara Mundy
0,Lauren Kohout
0,Alexis Jenkins
0,Mackenzie Nihill
0,Maeve Naughton-Rockwell
0,Molly Charles
0,Olivia Spencer
0,Paige Little
0,Sarah Doebley
7,Megan Gillen
14,Alicia Loebl
33,Lillian Waddill
b,r,e,a,k
Cedarville,14
teamInfo,Queen Bee,"Cedarville, Ohio",,,@queenbeeuf
0,Alise Cheeseman
0,Anna Longhurst
0,Cecelia Ferris
0,Julia Olsen
0,Leah Harper
0,Lisa Zimmermann
0,Michaela Duncan
3,Malary  Morse
4,Magalie Chapman
11,Morghan O'Neil
12,Chelsea Baker
14,Sarah Meisel
21,Shelby Payne
31,Teagen Bolin
32,Kyrie Johnston
50,Melissa Gernert
63,Katherine Fry
b,r,e,a,k
Virginia (B),20
teamInfo,Virginia,"Charlottesville, Virginia",,,
0,Geneva  Weidhaas
0,Hannah Lederle-Ensign
0,Kira Baugh
0,Lata Goudel
0,Lauren Ivey
0,Manaal Khwaja
0,Meredith Palmore
0,Valerie Cyphers
7,Ashley Huang
8,Rachel Branman
22,Olivia Tate
b,r,e,a,k
Swarthmore (B),23
teamInfo,Warmothers B,"Swarthmore, Pennsylvania",,,
0,Adora Zhang
0,Helen Hu
0,Lauren James
0,Rachel  Sinex
0,Sojin Lim
2,Mia Kwan
4,Aanya Dalmia
14,Esther Couch
15,Sarah Chang
19,Dong Ok  Kim
20,Hee Won Chung
26,Sidhika Tripathee
29,Alexandra  Ye
32,Hyun Kyung Lee
37,Yanyi Liu
38,Zitong Chen
40,Susannah Broun
b,r,e,a,k
Pittsburgh (B),16
teamInfo,High Voltage,"Pittsburgh, Pennsylvania",,,https://twitter.com/PittUltimateW_B
coaches,Sam Schurer,Goda Tarcijonas,Lucy Bender
02,Victoria Mountz
04,Gina Cancilla
05,Emma Finucane
06,Alexandra Raso
09,Katherine Greener
10,Audrey Valentine
12,Jaimie  Barca
14,Amelia Marx
15,Morgan Johnson
20,Haley Frey
23,Annette Kukunas
24,Grace Eden
25,Katie Legatzke
28,Kaitlin Fischer
33,Elise Foster
50,Anita Bargaje
63,Julia Buss
b,r,e,a,k
Davidson,22
teamInfo,DUFF Women,"Davidson, North Carolina",http://davidsonwildcats.com/sports/2012/10/11/Womens%20Club%20Ultimate.aspx?id=520,,
0,Annabel Winters-McCabe
0,Caroline Sigl
0,Cassie Stoltenberg
0,Heidi Meyer
0,Jamie Montagne
0,Julia Bainum
0,Julia Tayloe
0,Julia Cardwell
0,Katie Lyle
0,Katie Craig
0,Mary Nell
0,Yashaswini Gunawardena
b,r,e,a,k
Wake Forest,15
teamInfo,Ruckus,"Winston-Salem, North Carolina",http://wfuwomensultimate.weebly.com/,https://www.facebook.com/groups/440939869267260/,https://twitter.com/WfRuckus
3,Lauren Raveret
4,Jacquelyn Sharpe
5,Christina Boyce
7,Hannah Scanlon
7,Lauren Latham
10,Priscilla Djarbenj
14,Lauren DeMarco
16,Kate Hanson
21,Katherine Phillips
28,Mingxuan Zhu
b,r,e,a,k
Cornell (B),21
teamInfo,Thorny Roses,"Ithaca, New York",,https://www.facebook.com/Cornell-Thorny-Roses-2150085978550757/,https://twitter.com/thornyultimate
coaches,Bethany Angeliu
0,Colleen Casey
02,Nancy Jiang
03,Zoe McNerney
12,Lydia LaGorga
13,Laasya Renganathan
14,Clara Dwyer
18,Grace McCartney
19,Josette Barrans
20,Aneesha Aggarwal
21,Tara van Nieuwstadt
22,Kira Lee-Genzel
23,Ellen Yao
26,Julia Atkins
28,Emily Bramhall
37,Isabella Culotta
63,Cindy Wang
70,Carina Gwennap
82,Emily Xu
96,Ilona Zamdmer
97,Adele Kong
b,r,e,a,k
s,t,a,g,e,s
pools,W PP
pool,Pool A
Georgia,Middlebury,13,6,"03/30/2019, 14:15",Pool A,Final
Georgetown,Richmond,13,4,"03/30/2019, 14:15",Pool A,Final
Georgia,Richmond,13,3,"03/30/2019, 16:00",Pool A,Final
Georgetown,Middlebury,8,9,"03/30/2019, 16:00",Pool A,Final
Georgia,Georgetown,13,6,"03/30/2019, 17:45",Pool A,Final
Middlebury,Richmond,13,7,"03/30/2019, 17:45",Pool A,Final
pool,Pool B
North Carolina State,Dayton,13,4,"03/30/2019, 14:15",Pool B,Final
Vanderbilt,Liberty,10,4,"03/30/2019, 14:15",Pool B,Final
North Carolina State,Liberty,11,6,"03/30/2019, 16:00",Pool B,Final
Vanderbilt,Dayton,12,4,"03/30/2019, 16:00",Pool B,Final
North Carolina State,Vanderbilt,12,9,"03/30/2019, 17:45",Pool B,Final
Dayton,Liberty,11,2,"03/30/2019, 17:45",Pool B,Final
pool,Pool C
Cornell,Carnegie Mellon,12,6,"03/30/2019, 14:15",Pool C,Final
South Carolina,Tennessee,13,1,"03/30/2019, 14:15",Pool C,Final
Cornell,Tennessee,12,9,"03/30/2019, 16:00",Pool C,Final
South Carolina,Carnegie Mellon,13,3,"03/30/2019, 16:00",Pool C,Final
Cornell,South Carolina,5,13,"03/30/2019, 17:45",Pool C,Final
Carnegie Mellon,Tennessee,12,10,"03/30/2019, 17:45",Pool C,Final
pool,Pool D
Swarthmore,Ohio State (B),13,2,"03/30/2019, 09:00",Pool D,Final
North Carolina (B),George Washington (B),13,1,"03/30/2019, 09:00",Pool D,Final
Swarthmore,George Washington (B),13,1,"03/30/2019, 10:45",Pool D,Final
North Carolina (B),Ohio State (B),10,4,"03/30/2019, 10:45",Pool D,Final
Swarthmore,North Carolina (B),12,7,"03/30/2019, 12:30",Pool D,Final
Ohio State (B),George Washington (B),12,2,"03/30/2019, 12:30",Pool D,Final
pool,Pool E
Cedarville,Virginia (B),9,3,"03/30/2019, 09:00",Pool E,Final
William & Mary (B),Swarthmore (B),13,0,"03/30/2019, 09:00",Pool E,Final
Cedarville,Swarthmore (B),12,1,"03/30/2019, 10:45",Pool E,Final
William & Mary (B),Virginia (B),13,4,"03/30/2019, 10:45",Pool E,Final
Cedarville,William & Mary (B),2,13,"03/30/2019, 12:30",Pool E,Final
Virginia (B),Swarthmore (B),8,6,"03/30/2019, 12:30",Pool E,Final
pool,Pool F
Wake Forest,Cornell (B),9,7,"03/30/2019, 09:00",Pool F,Final
Pittsburgh (B),Davidson,12,8,"03/30/2019, 09:00",Pool F,Final
Wake Forest,Davidson,8,11,"03/30/2019, 10:45",Pool F,Final
Pittsburgh (B),Cornell (B),9,4,"03/30/2019, 10:45",Pool F,Final
Wake Forest,Pittsburgh (B),6,9,"03/30/2019, 12:30",Pool F,Final
Cornell (B),Davidson,5,8,"03/30/2019, 12:30",Pool F,Final
b,r,e,a,k
brackets,W BP
bracket,W CHAMPIONSHIP
Georgia,South Carolina,10,11,"03/31/2019, 12:30",FINALS,Final
Georgia,Cornell,15,1,"03/31/2019, 10:30",SEMIS,Final
North Carolina State,South Carolina,9,13,"03/31/2019, 10:30",SEMIS,Final
Georgia,Dayton,15,1,"03/31/2019, 08:30",QUARTERS,Final
Cornell,Vanderbilt,12,11,"03/31/2019, 08:30",QUARTERS,Final
North Carolina State,Georgetown,14,11,"03/31/2019, 08:30",QUARTERS,Final
South Carolina,Middlebury,10,9,"03/31/2019, 08:30",QUARTERS,Final
bracket,W 3RD PLACE
Cornell,North Carolina State,12,14,"03/31/2019, 12:30",3RD PLACE,Final
bracket,W 5TH PLACE
Middlebury,Vanderbilt,0,1,"03/31/2019, 12:30",5TH PLACE,Final
Dayton,Middlebury,8,11,"03/31/2019, 10:30",5TH SEMIS,Final
Georgetown,Vanderbilt,8,12,"03/31/2019, 10:30",5TH SEMIS,Final
bracket,W 7TH PLACE
Dayton,Georgetown,7,10,"03/31/2019, 12:30",7TH PLACE,Final
bracket,W 9TH PLACE
Carnegie Mellon,Liberty,0,0,"03/31/2019, 14:30",9TH PLACE,Final
Carnegie Mellon,Swarthmore,10,9,"03/31/2019, 10:30",9TH SEMIS,Final
Tennessee,Liberty,6,14,"03/31/2019, 10:30",9TH SEMIS,Final
Carnegie Mellon,Davidson,15,10,"03/31/2019, 08:30",9TH QUARTERS,Final
Richmond,Swarthmore,5,15,"03/31/2019, 08:30",9TH QUARTERS,Final
Tennessee,Pittsburgh (B),14,9,"03/31/2019, 08:30",9TH QUARTERS,Final
Liberty,William & Mary (B),10,9,"03/31/2019, 08:30",9TH QUARTERS,Final
Davidson,Cedarville,13,7,"03/30/2019, 16:00",9TH PLAY-IN,Final
Swarthmore,Virginia (B),15,1,"03/30/2019, 16:00",9TH PLAY-IN,Final
Pittsburgh (B),North Carolina (B),12,10,"03/30/2019, 16:00",9TH PLAY-IN,Final
William & Mary (B),Ohio State (B),15,5,"03/30/2019, 16:00",9TH PLAY-IN,Final
bracket,W 11TH PLACE
Swarthmore,Tennessee,11,4,"03/31/2019, 14:30",11TH PLACE,Final
bracket,W 13TH PLACE
Richmond,Pittsburgh (B),7,6,"03/31/2019, 14:30",13TH PLACE,Final
Davidson,Richmond,7,13,"03/31/2019, 10:30",13TH SEMIS,Final
Pittsburgh (B),William & Mary (B),12,4,"03/31/2019, 10:30",13TH SEMIS,Final
bracket,W 15TH PLACE
Davidson,William & Mary (B),0,1,"03/31/2019, 14:30",15TH PLACE,Final
bracket,W 17TH PLACE
Cedarville,North Carolina (B),0,1,"03/31/2019, 14:30",17TH PLACE,Final
Cedarville,Ohio State (B),10,6,"03/31/2019, 12:30",17TH SEMIS,Final
North Carolina (B),Virginia (B),11,5,"03/31/2019, 12:30",17TH SEMIS,Final
bracket,W 19TH PLACE
Ohio State (B),Virginia (B),9,3,"03/31/2019, 14:30",19TH PLACE,Final
bracket,W 21ST PLACE
Wake Forest,Cornell (B),11,4,"03/31/2019, 14:30",21ST PLACE,Final
Wake Forest,George Washington (B),13,2,"03/31/2019, 12:30",21ST SEMIS,Final
Cornell (B),Swarthmore (B),15,0,"03/31/2019, 12:30",21ST SEMIS,Final
bracket,W 23RD PLACE
George Washington (B),Swarthmore (B),7,5,"03/31/2019, 14:30",23RD PLACE,Final
b,r,e,a,k
