Boston Invite 2019,Club - Women ,22,6,2019
https://play.usaultimate.org/events/Boston-Invite-2019/schedule/Women/Club-Women/
Siege,1
0,Alicia Collins
0,Claire Babbott-Bryan
0,Delaney Reardon
0,Jordan Bricknell
0,Leija Helling
0,Rebecca Foster
0,Sage Loomis
0,Valerie Willocq
2,Chelsea Mower
3,Analise Huysentruyt
4,Jacqueline Willwerth
6,Chloe Rowse
9,Sherry Li
9,Tracey Lum
14,Charlotte Doran
15,Laura Fradin
22,Melissa Ellis
27,Audrey Love
33,Samantha Gray
38,Nikki Ross
44,Kennedy McCarthy
99,Annie Shriver
b,r,e,a,k
Frolic,8
0,Caitlin O'Connell
0,Elizabeth Blackwell-Moore
0,Emma DeMelim
0,Emma Massey
0,Evelyn (Evie) Clement
0,Heather Foran
0,Jess Wedell
0,Jess Mizzi
0,Josie Gillett
0,Kacy Thibodeau-Harvey
0,Kaitlin Minnehan
0,Kelly Rehberg
0,Kristen Stasinowsky
0,Laura Mistretta
0,Lydia Pepi
0,Kate Patterson
0,Kathryn Snyder
0,Sheila Conlan
3,Kate Powers
07,Annie McNally
08,Bhavatarini Carr
16,Madeleine Purcell
19,Marina Myers
21,Katrina Meserve
43,Jessica Jandreau
44,Emily Pozzy
52,Jennifer O'Connell
b,r,e,a,k
Salty,5
0,Elizabeth Weld
0,Emily Lamoureux
0,Erica Barber
0,Jessica Simm
0,Jessie Brown
0,Kelsey  Hayden
0,Lauren Ballantyne
0,Laurie Starr
0,Adria Quigley
0,Amanda Ring
0,Betty Roethlisberger
0,Catherine MacPhail
0,Sarah  Ross
0,Samantha Ellis
1,Breagh Wallebeck
2,Meggie MacMichael
2,Shelby Hewitt
4,Makenzie Gallagher
7,Sara Sparavalo
17,Chiara Ferrero-Wong
71,Molly Wedge
93,Spencer Leslie
93,Tanis Trainor
b,r,e,a,k
Vintage,4
0,Eve Gervais-Quenneville
0,Genevieve Lamarche-Moore
0,Guylaine Girard
0,Anne Robitaille
0,Joelle Pion-Massicotte
0,Joelle Tremblay
0,Marie-Eve Trudel
0,Melanie Prescott-Gagnon
0,Sarah Bouchard-Cyr
0,Suzanne Wavroch
2,Isabelle Bigras
3,Marie-Christine Morisset
11,Jessica Richard
22,Natash Dumont-Carey
23,Alexandra Paille
27,Caroline Dore
87,Noémie Latendresse
b,r,e,a,k
Pine Baroness,9
1,Michaela Dudley
2,Sarah Badawi
3,Jennifer Willemsen
4,Sabrina Todaro
5,Hannah Calkins
6,Emily Reckenbeil
8,Jessica Waugaman
9,Elena Adams
11,Anne-Sofie Ahm
13,Katherine Copenhagen
14,Kimberly Brown
16,Abigail Stolowski
17,Jessica Schaub
19,Alice Weng
23,Dana  Marxen
26,Kate Douthat
30,Stephanie Hartson
33,Emily Chiang
33,Rachel Rivera
43,Lauren Reidy
44,Judy Arnobit
b,r,e,a,k
TOX6ix,12
0,Betlihem Tadesse
0,Candice Lam
0,Cynthia Deng
0,Emily Temple
0,Jade Huangfu
0,Alexa Skinner
0,Andrea Kurahashi
0,Katherine Zhang
0,Maggie Li
0,Makayla Power
0,Reve Chan
0,Tyama Lyall
2,Joey Cheung
4,Sabrina Chapman
9,Lucy Chu
20,Bethany Wong
22,Ava Chiu
31,Neelima Basra
91,Lindsay Musalem
93,Naomi Redmond
99,Leah Tackaberry-Giddens
b,r,e,a,k
Iris,3
0,Caitlin Fowler
0,Catherine Carrier
0,Chloé Emond
0,Julia Biris
0,Florence Dionne
0,Gabrielle Comtois
0,Marina Beaudoin
0,Pénélope Robert
1,Virginie Côté
2,Laure Drouin-Jacques
3,Virginie Maltais
4,Marie Genest
5,Alexandra Abboud
13,Melissa Dunbar
15,Shaunagh Howard
16,Marie-Ève Beauchemin
18,Elsa Chu
21,Diana Trinh
22,Alisha Zhao
25,Corine Masse
27,Nyna Prevost
29,Amélie Bergeron
30,Marie-Andrée Pambrun
44,Catherine Poirier
70,Gabrielle Ouellet
b,r,e,a,k
BENT,2
00,Amanda Dobbyn
00,Brittany Kaplan
00,Christie Yeh
00,Elissa Sutherland
00,Elizabeth Merritt
00,Emma March
00,Janine Hlavaty
00,Jessica Whelan
00,Jessie Sun
00,Julie Xia
00,Kayla Seeger
00,Larissa Wohl
00,Lauren Woods
00,Margo Cody
00,Marié Weverka
00,Martha Gregory
00,Melanie Sawyer
00,Michelle Landis
00,Wei Gao
07,Luisa Maria Neves
18,Abagael Cheng
88,Nastasia Tangherlini
b,r,e,a,k
Vice,10
0,Alicia Chang
0,Amanda Wang
0,Amber Lombard
0,Anya Moradian
0,Caley Dickinson
0,Carly Morrison
0,Claire Dutton
0,Hannah Marr
0,Judith Garber
0,Kathryn Peake
0,Lee Bashant
0,Monica Donegan
0,Tahlia Quartin
0,Theresa Cloutier
3,Chi Chi Wakabayashi
9,Michelle Tran
11,Molly April
13,Carolina Brager
21,Taylor Stewart
22,Megan Chen
27,Naomi Campbell
64,Anna Blasiak
90,Abigail Cough
b,r,e,a,k
Tempest,11
04,Kari Jenkins
05,Sarah Davis
07,Jessica  Wade
09,Kathleen Sullivan
11,Lesley O’Neill
12,Tracey Dyer
13,Grace Clarke
14,Jill Henderson
15,Stefanie Walsh
17,Tori Kearney
23,Whitney Mullett
25,Ashleigh Hudson
33,Sophie Blais
