Revolution 2019,Club - Mixed ,20,7,2019
San Francisco,CA,2019-07-20,2019-07-21
https://play.usaultimate.org/events/Revolution-2019/schedule/Mixed/Club-Mixed
Classy,1
14,Matt Slowinski
16,Sarah Sanders
20,Matt Cornish
21,Megan Vanderhooft
26,Courtney Traore
37,Laurel Baker
84,Willard Davis
b,r,e,a,k
Alchemy,11
0,Alexis Whitaker
0,Alyssa Abbey
0,James (Jim)  Boley
0,Lauren Byrne
0,Lydia Auch
0,Malachi Wickman
0,Matthew Kissmann
0,Rebecca Plotnick
0,Thomas Kilmer
0,Xinran Wang
2,Crystal Alton
5,Leilani Nelson
5,Elliot Goodrich
9,Eric Shaw
13,Brett Naul
16,Thomas Konogeris
18,Daniel DeTone
44,Alexander Lloyd-Evans
48,Hannah Gannon
66,Montana Roberts
80,Nick Petru
b,r,e,a,k
California Burrito,14
0,Anders Ruden
0,Andrew Muro
0,Esau Gotlieb
0,Auralee Walmer
0,Blair Messner
0,Catherine Trevino
0,Christina Debowski 
0,Christine Chen
0,Corey Atkins
0,Eimear Keyes
0,Emily Czar
0,Graham Gerhart
0,Jeremy Cho
0,Jesse Song
0,Abe Shklar
0,Jordan Denecour
0,Kylie Shen
0,Maria Zavala
0,Micah Blazar
0,Peter Osseward
0,Vincent Liang
4,Emily Baker
5,Jordan Harmer
7,Juliana Stoner
11,Adam Bronstein
21,Yana Rose
23,Zoe Tessler
b,r,e,a,k
Superstition,15
0,Abbey Estrada
0,Cheyenne Lopez
0,Douglas Elijew
0,Kevin Liu
0,Lauren Berg
0,Leah Kunkel
3,Ryan Blackman
03,Ashley Stahl
10,Laura Tan
11,Nicole Ron
12,Dalton Heppler
12,Ethan Gaiser
13,Jake Hadziev
16,Stephanie Blackman
17,Kelsey Bradley
19,Clairissa Papa
22,Nathan Holzinger
24,William Hanson
30,Michael Simeone
42,Michael Nassief
69,Andrew Trichak
72,Lorraine Carnes
73,Nathan Brodie
80,Paul Otto
b,r,e,a,k
Long Beach Legacy,10
0,Brandon Roa
0,Elizabeth Cowan
0,Ivana Monson
0,Jack Denk
0,Kelsey Wittig
0,Patrick Boyker
0,Thomas Anderson
4,Joanne Chong
8,Jeremy Masterson
13,Kolton Nelder
17,Emily Harrington
20,Henry Argetsinger
22,Christine Nguyen
40,Brendan Marshall
42,Jacob Baumer
72,Justin Reinhardt
97,Naomi Guzman
b,r,e,a,k
VU,20
0,Abigail Henderson
0,Alicia Juang
0,Chris Yan
0,Christine Cashin
0,Ella Dzenitis
0,Guadalupe Arbelaez Uribe
0,Spencer Herrick
0,Parvaneh Toghiani
0,William Baskin
2,Ginger Wong
5,Stefan Kirk
6,Patrick Huston
8,Aseem Kishore
9,Nick Molzahn
10,Maria Dumanis
11,Stephanie Rogers
14,Meryl Charleston
16,Vishal Yadav
17,Matthew Burkert
19,Jennifer Wei
22,Tristan You
55,Kelly Billings
64,Charles Boyd
88,James Gallerani Jr
b,r,e,a,k
Spoiler Alert,17
1,Luke Hart-Moynihan
6,Alison Yoho
7,Julia Britt
9,Yazmin Nunez
04,Theodore Lannert
10,Erwin Davis Jr
11,Connor Cusi-Asquith
12,Adam Sprachman
16,Daniel Peteuil
17,Benjamin Aiga
18,Megan Timmerman
23,Ryeo Kang
27,Landon Shank
36,Mike Schlesinger
36,Cynthia Love
42,Alexandra Scholefield
71,DEREK LAY
76,Alex Sobel
77,Drew Conley
82,Ariel Rascoe
b,r,e,a,k
Feral Cows,21
0,Annika Gabriel
0,Kelly King
0,Kirsten Dean
0,Kyle Louis
02,David Liang
04,Alex Meyer
05,Michael Hotard
06,Henry Brown
10,Kara Horwald
12,William Gargroetzi
13,Skyla Lambeth
15,Austin Leung
17,Mia Kanzawa
18,Lucy Chechik
21,Celia Tsao
22,Ghenki Okumoto
23,Nina Roguski
25,Laura Baker
29,Vincent Su
31,Stephen Johnson
42,Owen Chang
47,Charlotte McGinn
55,Jamie Kalb
85,David Wong
88,Samantha Guidry
89,Rahul Sridharan
98,Jesse Greenberg
b,r,e,a,k
Happy Cows,24
0,Sophia Acker
3,Tanner Flagg
4,Dylan Corona
9,Toby Graf
11,Georgia  Van der Linden
18,Samuel Kaplan
19,Matthew Barcellos
23,Margo Donahue
27,Joshua Kimball
28,Jordan Owens
50,Kellen Sellers
55,Kathleen Gull
58,Gigi Mancuso-Jackson
72,Shankar Ramaswamy
73,Eliza Lerman
77,Jackson Heglie
81,Ella Stiger
86,Fae Rauber
97,Eric Johnson
99,Finnegan Graham
b,r,e,a,k
DR,19
0,Anna Luberoff
0,Anusha Nagabandi
0,Dani Carrillo
0,Jacob Maynard
0,Jonathan Marr
0,Jules Fogarty
0,Matthew Sheehan
0,Miriam Raffel-Smith
0,Nic Domek
0,Stephanie Caro
1,Halleh Balch
2,Katelyn Barrett
2,Marianne Olson
5,Amy Chou
8,Joseph Gorelik
9,Joshua Rickert
12,Kim Laflin
18,Michael Suey
24,Joey Durkin
24,David Whiteneck
25,Jennifer Ames
44,Jacob Buckley
80,Scott Beamer
b,r,e,a,k
Megalodon,18
0,Christopher Roberts
1,Laura Morell
6,Chrissy Shuh
7,Marta Shocket
8,Jonathan Brand
9,Aaron Gemmell
10,Vishnukarthik Lakshmanan
12,Alison Schmitz
18,Chelsea Verhasselt
21,Louis LaCroix
23,Arthur Gonigberg
34,Matthew Brown
40,Katelyn Sweeney
42,David Towey
45,Jack Zhang
47,Sicong Li
72,Tim Lindberg
82,Malcolm Deck
83,John Moore
88,Niklas Beck
99,Xinzhi Zou
b,r,e,a,k
Birds of Paradise,22
0,Blake Gabel
0,Aidan Brown
0,Alexis Sellers
0,David Sellers
0,John Bowman
0,Kimberly Soltmann
0,Kimberly Dickerson
0,Michael Duong
0,Michelle Lee
0,Maggie Zhang
0,Ryan Lee
0,Sylvia Liang
5,Cindy Polanco
7,Curtis Kinz
9,Robert Clayton
15,Lynette Nguyen
16,David Roussel
19,Robyn Ridley
24,Andrew Wells
43,Allison Brown
45,Gregory Pettus
80,Matt Richards
b,r,e,a,k
Party Cats,23
0,Adam Kafka
0,Angelica Arellano
0,Cecilia Bao
0,Daniel Forssman
0,Inbal Sarig
0,Jacob Steinhardt
0,Jacob Douglas
0,Kara Ramos
0,Max Lesser
0,Michael Rowland
0,Mimi Broderson
0,Neil Chandra
0,Peter Nachbaur
16,Declan Lynch
23,"Emilie ""Shep"" Shepherd"
77,Matthew Wong
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Classy,Absolute Zero,12,7,"07/20/2019, 10:00",Pool A,Final
Lotus,Firefly,12,9,"07/20/2019, 10:00",Pool A,Final
Classy,Firefly,10,8,"07/20/2019, 11:35",Pool A,Final
Lotus,Absolute Zero,11,6,"07/20/2019, 11:35",Pool A,Final
