Mid-Atlantic Mixed Club Regional Championship 2019,Club - Mixed ,21,9,2019
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Club-Regional-Championship-2019/schedule/Mixed/Club-Mixed
AMP,1
01,Robert Roos
04,Raha Mozaffari
05,Michael Panna
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
10,Spencer DeRoos
11,Ryan Flamberg
12,Malti McKinnon
13,Bethany  Eldridge
14,Stuart Hean
18,Emily Shields
19,Anna Thompson
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
25,Andrew O'Connor
26,Julia Mankoff
33,Jordan Rhyne
44,Max Charles
55,Michael Campanella
70,Jake Butrica
79,Michael Ing
81,Sean Mott
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
8 Bit Heroes,8
0,Emily Grimes
0,Justin Solis
6,Chris Pliszak
02,Bryson Cramer
07,Allyson Golightly
08,Tasha Hendershot
09,Alvin Matute
11,Liz Grimes
12,Bryan Nadeau
13,Daniel Kaste
13,Daniel Downs
14,Nicole LaDue
15,Zach VanDerwerker
16,Diana Burke
17,Celina Holler
19,Eric Helm
20,Mike Randow
24,Jordan Vanasdale
25,Ethan Krokonko
27,Scott Bennett
28,Lennart Knight
33,Jamie Roan
47,Rachel Moser
69,Marie Collins
73,Mark Flores
84,Abigail Antolick
88,Robert Pratt
b,r,e,a,k
Fleet,10
0,Alexis Faccone
0,Annalise Humm
0,Chris Neitzey
0,Daniel Selwyn
0,Emily Christ
0,Gabriella Hunt
0,Jonathan Ginsberg
0,Joseph DiPaula
0,Kara Schulden
0,Matt Williams
0,Matthew Radhe
0,Patrick Gerald
0,Samantha Sesum
6,Michael Sharma
9,Casey Vaughn
12,Andrew Ishikawa
19,Kyle Morgan
20,Nadia BenAissa
21,Will Oktavec
27,Ada Maxwell
27,Molly Schneider
42,Jeffrey Hoch
63,Jon Pressimone
69,Kristina Humm
69,Manuel Miranda
69,Ryan Bates
b,r,e,a,k
Soft Boiled,15
0,Jake Murray
1,Francesca Corna
2,Zoe Lewis
3,Scott Neupauer
4,Michael Moses
7,Katherine Neupauer
10,Daniel Stokes
12,Devin Malanaphy
13,Jacob Doss
14,Courtney Dougherty
17,Jeffrey Zhou
20,Annie Want
23,Gabriel Webster
26,Alden Daniel
31,Samuel Wedegaertner
36,Charlotte Edelstein
51,Victoria Spofford
64,Adam Alper
73,Faith Geating
77,Jez Dunnett
80,Tara Peng
87,Matt Kerrigan
b,r,e,a,k
Space Heater,2
1,Zachary Norrbom
3,Peter MacArthur
4,Patrick Shriwise
7,David Boylan-Kolchin
8,Ashley Sylvester
9,Kyle Khalifa
10,Jenny Fey
12,Ella Juengst
15,Ryan Cooper
19,Georgia Bosscher
22,Theresa Hackett
23,Mia Greenwald
27,Cody Johnston
32,Anthony McLean
35,Katherine Sanz
37,Sandra Jorgensen
38,Gabe Westergren
43,Megan McVey
45,Beau De Koninck
50,Hannah Boone
53,Jonny Malks
61,Erik Salmi
69,Clea Poklemba
81,Sydney Rehder
88,Kelly Hyland
99,Alan Kolick
b,r,e,a,k
Fireball,16
0,Christina Chang
0,Chuck Cantone
0,David Zarkowsky
0,Ernest Svenson
0,Francoise Delisle
0,Laura Lu
0,Lauren Sitlinger
0,Mark Kresowik
0,Melissa Iwaszko
0,Nicole Kresowik
0,Adam Hoehn
0,Aden Richards
0,Adrienne Nicholson
0,Allison Hanson
0,Calvin Oung
0,Sara Peczkowski
0,Steven Gaittens
0,Tina Yen
0,Wei Lu
0,Winston Chang
4,Christian Heneghan
22,Robert Luhrs
47,Thomas Nicholson
88,Aaron Swaney
b,r,e,a,k
Ant Madness,9
0,Aidan McLeod
0,Anthony Bernard-Sasges
0,Bethany Turner
0,Cassandra Skapek
0,Delana Sobhani
0,Eliana Harnage
0,Emily Kreisel
0,James Robb
0,Katrien Hinderdael
0,Kevin Chiang
0,Lauren Wojcik
0,Meaghan McSorley
0,Nicholas Kwan
0,Amy Wedmore
0,Sydney Kane
6,Jacob Smith
9,Peter Anderson
9,Alexander Lichtenstein
11,Alex Srisuwan
19,Bridgette Heine
21,Harper James
24,Adam Shrager
25,Carl Schoenherr
27,Rebecca Meeker
29,Matthew Dennin
31,Andrew Ferraro
53,Jackson Gode
b,r,e,a,k
Sparkle Ponies,7
00,Andrew Gravunder
00,Caroline Loh
01,Paul Butterfoss
03,Chris Muller
05,Keerti Goorah
08,Max Trifillis
09,Kelsey Hales
12,Reagan Grabowski
13,Dan Jacobson
14,Lily Eisner
17,Isabella Cova
18,Calvin Tam
19,Christine Tomasic
20,Abigail Obuchowski
22,Michaela Gramzinski
24,Jack Reickel
28,Hanna Finigan
30,James McIntyre
34,Austin Do
35,Jack Carol
36,Lauren Edwards
40,Dan Grabowski
44,Gunnar Olgren
71,Donovan Hambley
76,Lia Yamamoto Schwartz
88,Corrie Willson
99,Jarnail Bajwa
b,r,e,a,k
Loco,3
0,Beata Artz
0,Christopher Pokorny
0,Claire Milton
0,Dustin Sullivan
0,Ian Coyne
0,Ashley Cantasano
0,Meghan Wadlinger
0,Paul Klimkowski
0,Quinn Hunziker
0,Layne Dodge
0,Lindsay McKenna
0,Richard Robinson
0,Sarah Roberts
0,Steven Broome
0,Will Hoehne
1,Abigail Thompson
3,Sarah Coyne
3,Austin Lillis
6,Jessica Brand
10,Ryan Dealy
18,Shayna Reppermund
21,Regina Wilkinson
32,Jeffrey Andrews
35,Ryan Forster
65,Robert Yu
84,Matt Lubitz
91,Kenneth Wells
b,r,e,a,k
Jughandle,6
0,Andrew Auyeung
0,Cara Silvestri
0,Drew Rasmussen
0,Emma Ignaszewski
0,Harrison Treegoob
0,Iris Rukshin
0,Jeff Shipkin
0,Jessica Renninger
0,Jimmy Wang
0,Matt Lefebvre
0,Natalia De Jesus
0,Rebecca Halleran
0,Susanna Jivotovski
0,Thomas Johnson
0,Timothy Naumovitz
6,Dmitry Suvorov
7,Juliet Chung
11,Mason Compton
17,Rebecca Cooney
22,David Harrison
24,Jax Salustro
26,Megan Ma
38,TJ Stanton
42,Lucas  Richie
47,Ethan Smith
88,Jessica Louie
88,Nicole Hair
b,r,e,a,k
Stoke,13
0,Adora Zhang
0,Chris Schauble
0,Clerisse Lardieri
0,Ben Crescenzo
0,Eric Lachance
0,Hannah Short
0,James Roop
0,Rachel Crew
0,Richard Barrett
0,Robert Catzen
0,Stephanie Coward
0,Stephen Magerr
0,Tate Gugino
4,Joseph Corcoran
13,John Bocian
17,Nathaniel Hess
18,Sumi Onoe
19,Iris Wang
20,Austin Doucette
22,Ariana Bhatia
29,Calvin Green
35,Daniel Arnold
36,Alison Joyce
42,Edwin Finley
45,Emily Smulowitz
72,Justin Creighton
74,Andrew Creighton
b,r,e,a,k
Rat City,12
0,Alice Bauman
0,Britta Schaffmeyer
0,Dylan McDonough
0,Dylan Leighton
0,Edgar Kunz
0,Gabrielle Aufderheide
0,Golsa Yazdy
0,Jessie Walter
0,Kaitlyn Harper
0,Kelly Wallace
0,Kelsey Dennis
0,Kristen Mitsinikos
0,Lex Overholt
0,Tanner Marshall
3,Matthew Maclay
4,Geoffrey Chan
5,Eva Fury
7,Daniel Paoletti
8,Bridget Gallagher
13,Echo Presgraves
13,Christopher Schulze
27,Edward Speyer
31,Christopher Cahoon
33,Jesse Goldstein
38,Sophia Rosenfeld
41,Gabriel Kaptchuk
61,Carlos Lalimarmo
b,r,e,a,k
Rally,5
0,Brittany Taylor
0,Carolyn Ng
0,Janie Mockrish
0,Jillian Banner
0,Katina Russell
0,Leo Pierson
0,Meg Tucker
0,Sami Smalling
0,Tsuki Hoshijima
0,Xavier Maxstadt
1,Anna Wysen
4,Will Yetvin
6,Thomas Piper
6,Dane Warner
7,Steven Wartinbee
17,Stephen Ng
17,Margaret Pendleton
18,Graham Turner
19,Noah Newberger
19,Scott Campbell
20,Samuel Brecker
21,Andrew Allen
29,O'Linda (Blaise) Sevier
32,Rebecca Driver
38,Maggie Soto
54,Genevieve Leo
70,Brian O'Hara
b,r,e,a,k
Alloy,4
3,Sara Gnolek
01,Christie Lawry
02,Sean Newell
03,Maria Bajzek
06,Matthew Poole
08,Victoria Rollin
11,Leo Warren
12,Nicole Fiorentino
13,Jesse Kummer
15,Will Helenski
17,Robin Eng
18,Jed Farber
20,Charlotte Koerner
21,Elizabeth Manturuk
22,Mark Pitts
24,Sam Schurer
26,Kelsey Cowles
27,Darra Reppermund
34,Will Hoffenkamp
37,Alan Gruntz
46,Amy Buck
52,Ellis Baehr
72,Joseph Norby
82,Isaac Smith
85,William Hefferon
88,Christopher Martin
91,Jeremy Kanter
b,r,e,a,k
HVAC,11
0,Christine Derieux
01,Jeremy Neff
02,Gil Eisbruch
03,Grace Alston
04,Richard Boyle
05,Ryan Mann
07,Jane Peabody
08,Travis Lynch
09,Hannah Lincoln
10,Phat Nguyen
13,Nicole Getter
16,Carolyn Fante
17,Edna Aguilar
18,Fred Wolf
19,Markus Wolf
20,Marlee Akerson
21,Debbie Yoo
24,Jacob Watts-St. Germain
25,Nicole Wilkinson
27,Tyler Coleman
28,Krista Woodward
30,Joanne Tomaszkowicz
44,Eric Yoon
65,Josh Levin
81,Ben Frattini
84,Jason Davidson
99,Kees Humes
b,r,e,a,k
Blowing Heat 3.0,14
0,Caitlin Ferguson
0,Caitlin Gleason
0,David Hampson
0,Dustin Damiano
0,Elise Colomb
0,Himalaya Mehta
0,Jillian Cohen
0,Jonathan Cohen
0,Krystal Ferguson
0,Matt Zumbrum
0,Nathaniel Reiter
0,Rachel Alfano
0,Rachel Bova
0,Simon Feeman
0,Stayc Piecyk
0,Andrea Schulze
0,Brett Pfeil
1,Alex Peters
10,Calvin Trisolini
10,David Boyer
21,Kevin McCormick
30,Brian McAloon
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
AMP,Fleet,13,5,"09/21/2019, 09:00",Pool A
8 Bit Heroes,Soft Boiled,9,12,"09/21/2019, 09:00",Pool A
AMP,Soft Boiled,13,1,"09/21/2019, 11:00",Pool A
8 Bit Heroes,Fleet,11,8,"09/21/2019, 11:00",Pool A
AMP,8 Bit Heroes,13,5,"09/21/2019, 13:00",Pool A
Fleet,Soft Boiled,11,8,"09/21/2019, 13:00",Pool A
pool,Pool B
Space Heater,Ant Madness,13,6,"09/21/2019, 09:00",Pool B
Sparkle Ponies,Fireball,11,12,"09/21/2019, 09:00",Pool B
Space Heater,Fireball,13,6,"09/21/2019, 11:00",Pool B
Sparkle Ponies,Ant Madness,8,13,"09/21/2019, 11:00",Pool B
Space Heater,Sparkle Ponies,13,6,"09/21/2019, 13:00",Pool B
Ant Madness,Fireball,10,13,"09/21/2019, 13:00",Pool B
pool,Pool C
Loco,Rat City,13,4,"09/21/2019, 09:00",Pool C
Jughandle,Stoke,13,9,"09/21/2019, 09:00",Pool C
Loco,Stoke,13,7,"09/21/2019, 11:00",Pool C
Jughandle,Rat City,13,6,"09/21/2019, 11:00",Pool C
Loco,Jughandle,13,6,"09/21/2019, 13:00",Pool C
Rat City,Stoke,11,13,"09/21/2019, 13:00",Pool C
pool,Pool D
Alloy,HVAC,13,4,"09/21/2019, 09:00",Pool D
Rally,Blowing Heat 3.0,13,11,"09/21/2019, 09:00",Pool D
Alloy,Blowing Heat 3.0,13,7,"09/21/2019, 11:00",Pool D
Rally,HVAC,13,5,"09/21/2019, 11:00",Pool D
Alloy,Rally,11,13,"09/21/2019, 13:00",Pool D
HVAC,Blowing Heat 3.0,13,10,"09/21/2019, 13:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
AMP,Space Heater,15,11,"09/22/2019, 13:00",1st Place Finals
AMP,Rally,15,8,"09/21/2019, 15:00",1st Place Semis
Loco,Space Heater,7,15,"09/21/2019, 15:00",1st Place Semis
bracket,2nd Place Bracket
Space Heater,Loco,12,10,"09/22/2019, 15:00",2nd Place Finals
Rally,Loco,8,14,"09/22/2019, 13:00",2nd Place Semis
Rally,Jughandle,15,8,"09/22/2019, 11:00",2nd Place Quarters
Alloy,Loco,9,15,"09/22/2019, 11:00",2nd Place Quarters
Jughandle,Fleet,11,10,"09/22/2019, 09:00",2nd Place Prequarters
Ant Madness,Alloy,6,15,"09/22/2019, 09:00",2nd Place Prequarters
Jughandle,HVAC,15,9,"09/21/2019, 15:00",2nd Place Play In
Fleet,Fireball,13,11,"09/21/2019, 15:00",2nd Place Play In
8 Bit Heroes,Ant Madness,10,12,"09/21/2019, 15:00",2nd Place Play In
Stoke,Alloy,8,15,"09/21/2019, 15:00",2nd Place Play In
bracket,7th Place
Fleet,Ant Madness,0,1,"09/22/2019, 11:00",7th Place
bracket,9th Place Bracket
Fireball,8 Bit Heroes,12,13,"09/22/2019, 11:00",9th Place Finals
HVAC,Fireball,13,14,"09/22/2019, 09:00",9th Place Semis
8 Bit Heroes,Stoke,13,8,"09/22/2019, 09:00",9th Place Semis
bracket,11th Place
HVAC,Stoke,11,12,"09/22/2019, 11:00",11th Place
bracket,13th Place Bracket
Blowing Heat 3.0,Rat City,11,15,"09/22/2019, 11:00",13th Place Finals
Soft Boiled,Blowing Heat 3.0,11,13,"09/22/2019, 09:00",13th Place Semis
Rat City,Sparkle Ponies,12,10,"09/22/2019, 09:00",13th Place Semis
bracket,15th Place 
Soft Boiled,Sparkle Ponies,9,13,"09/22/2019, 11:00",15th Place
b,r,e,a,k
