Long Island Classic 2019,College - Women ,9,3,2019
Hempstead,NY,2019-03-09,2019-03-10
https://play.usaultimate.org/events/Long-Island-Classic-2019/schedule/Women/CollegeWomen/
Mount Holyoke,5
0,Jiayu Li
0,Madison  Flueckiger 
0,Michelle Wellman
0,Anli Raymond
0,Clara Honigberg
0,Olivia Brandwein
0,Sarah VonDoepp
0,Sarah Chen
0,Xueyi Yang
0,Ruoying Chu
0,Yue Deng
7,Ysabel Lavitz
11,Emma Bowe
18,Sara Frieze
32,Robin Joyce
69,Natalie Russianoff
b,r,e,a,k
Wellesley,1
0,Riann Tang
0,Samantha Stewart
0,Savannah  Cary 
02,Lily Xu
07,MollyAn Killingbeck
12,Tamara Deshong
13,Grace Callahan
15,Laura Cassetty
17,Adrianna Tan
31,Kalauonaona Tanaka-Pesamino
37,JULIA KLUGHERZ
44,Karina Lin
45,Grace Chen
48,Teresa Li
b,r,e,a,k
Colby,3
0,Lanie Kropp
0,Lauren Gervais
0,Lauren Moriarty
0,Madeline Brodrick
0,Madeline Pierson
0,Marjorie McDonough
0,Natalie Joyce
0,Nora Kempainen
0,Radhika Vu Thanh Vy
0,Sally Simpson
0,Abigail Mulligan
0,Addie Thompson
0,Artricia Nou
12,Ella Walton
26,Anna Shorb
66,Veronica Jones
96,Annie Holden
96,Julia von Ehr
b,r,e,a,k
SUNY-Geneseo,2
0,Alexandria  Ferrentino
6,Nicole Horn
7,Kaitlyn West
9,Katelyn Church
03,Grace Edmonds
05,Emily Shapiro
08,Margaret Hall
10,Camille Montalbano
12,Elyse Brickner
13,Stephanie Mellin
14,Madeline Schwenker-Punnett
18,Liza Amirault
19,MaryKelly Hilton
20,Lauren Kueper
23,Grace Schaefer
24,Margaret Pigliacelli
26,Abigail O'Brien
27,Tess Robinson
30,Grace Marvin
33,Maria Papas
37,Isabelle Cirulli
77,Isabella Higgins
97,Talia Crisafulli
b,r,e,a,k
Hofstra,4
0,Jordan Zalewski
3,Bridget Weston
4,Lauren Small
5,Jessica Siskind
6,Haley McPartland
12,Kathleen Brussell
16,Barbara Marquez
18,Pauline Seibert
26,Victoria Wetmore
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Colby,Hofstra,13,1,"03/09/2019, 09:00",Pool A,Final
Wellesley,SUNY-Geneseo,12,10,"03/09/2019, 09:00",Pool A,Final
Wellesley,Hofstra,13,0,"03/09/2019, 10:45",Pool A,Final
SUNY-Geneseo,Mount Holyoke,6,10,"03/09/2019, 10:45",Pool A,Final
Colby,Mount Holyoke,9,10,"03/09/2019, 12:30",Pool A,Final
SUNY-Geneseo,Hofstra,13,0,"03/09/2019, 12:30",Pool A,Final
SUNY-Geneseo,Colby,9,10,"03/09/2019, 14:15",Pool A,Final
Wellesley,Mount Holyoke,8,10,"03/09/2019, 14:15",Pool A,Final
Wellesley,Colby,0,0,"03/10/2019, 09:00",Pool A,Cancelled
Hofstra,Mount Holyoke,0,0,"03/10/2019, 09:00",Pool A,Cancelled
b,r,e,a,k
brackets,Bracket Play
bracket,Championships
bracket,Consolation
b,r,e,a,k
