Santa Barbara Invite 2019,College - Men ,26,1,2019
https://play.usaultimate.org/events/Santa-Barbara-Invite-2019/schedule/Men/CollegeMen/
Southern California,8
00,Alexander Tovar
00,Benjamin Ma
00,Camilo Barrera
00,Chris Doehring
00,Cy Toriello
00,Daniel Rabinovich
00,David Sealand
00,Diego Frankel
00,Drew Okenfuss
00,Evan Ostrowski
00,Jack Damiani
00,Jonathan Jalajas
00,Kevin Stearns
00,Mitchell Maruyama
00,Phillip Yang
00,Rowan McEvoy
03,Ricky Kirkpatrick
b,r,e,a,k
Washington,1
02,Max Benedetti
03,Dante Lopez-Escarez
04,Gabriel Ross
05,Jakob Steen
06,Robert Crist
07,Maximilian Landa
08,Nathaniel Wipfler
09,Spencer Lofink
10,Jeff Zhao
11,Kevin Tellez
12,Weicheng Lou
14,Mohammud Tilmo
15,Derek Mourad
16,Kenny Tong
17,Will Simms
18,Matthew Liu
19,Alva Wei
21,Lucas Chen
22,Zach Airth
29,Michael Buyco
38,Manuel Eckert
44,Noah Kregenow
70,Gabe Port
77,Nicolas Leitmann-Niimi
b,r,e,a,k
California,9
1,Neil Thomas
2,Winston Tran
3,Mason Chupka
4,Rafael Castro
6,Alexander Pan
7,Jules Fogarty
8,Drew Palmer
10,Myron Liu
11,Glenn Wysen
12,Munis Thahir
14,Joshua Yuan
15,Jacob Bruner
17,Ashwin Vaidyanathan
18,Jacob McCurdy
22,Christopher Lung
23,Trevor Aquino
25,Tommy Lin
29,Vincent Su
30,Bo Rasmussen
32,Evan Magsig
47,Christopher Akers
59,Liam Kreiss
77,Brian Kooperberg
87,Max Williams
88,Ryan Lee
b,r,e,a,k
Arizona,17
0,Caden Sigerud
0,Garrett Hable
0,Jake Hageman
0,Kyle Schraven
0,Nicholas Ferrone
0,Richard Baczek
0,Sam Freitas
0,Thomas Zych
0,Jaron Omololu
2,Jake Thomason
16,Ethan Bolze
17,Tripp Turchik
22,Jordan Lisse
23,Alexander Prescott
25,Chris Baker
28,Ben Taylor
32,Austin Vandenburgh
54,Jule Streety
b,r,e,a,k
Michigan State,16
0,Ben Plumstead
1,Sean Mulka
3,Aaron Troilo
7,Brennen Scholten
11,Mac Weber
13,Dylan Hall
15,Cheng-Yu Ho
16,Dex Dremann
17,Ryan Plumstead
22,Drew Frenzel
26,Souichi Terada
39,Evan Hamp
47,Sawyer Ruben
77,Matthew Martell
83,Drew Norton
99,Nick Ryan
b,r,e,a,k
Cal Poly-SLO,2
02,Chris Kaspar
05,Matt Miller
08,Dillon Whited
11,Hudson Stuck
12,Ed Ryon
13,Theodore Watkins
14,Dean Otsuka
15,Allen Zhai
19,Conor Schofield
20,Sean Liston
21,Caleb Merriam
22,William Wilcox
23,Jake Thorne
24,Nate Johnson
27,Kenrick Koo
28,Morgan Sommer
31,Samuel Wedegaertner
33,Ian Sweeney
35,Justin Ting
42,Keaton Bates
52,Andrew Stratford
70,Emmet Holton
80,Tate Hoyer
81,Calvin Brown
87,Matthew Ryan
95,Jake Biancur
b,r,e,a,k
Texas-Dallas,10
0,Andrue Guerrero
0,Benny Rubanov
0,Brian Honea
0,Garrett Fish
0,Jason Hustad
0,Jason Dick
0,Joey Campain
0,Joseph Welkener
0,David Hammer
0,Logan Harless
0,Michael Strack
0,Nicolas West
0,Nidhish Lokesh
0,Victor Mao
1,Aaron Schuette
2,Emmanuel Bilolo
4,Julius Hubby
5,Christian Cortes
7,Aaron Thompson
10,Neel Reddy
13,Christopher Fogel
25,Alvaro Guzman
29,Charles McNeil
29,Kirtan Patel
29,Steven Gomez
55,Eric Kleckner
97,Wesley Miaw
98,Luiz Astorga
b,r,e,a,k
Western Washington University,15
0,Ryan Schluter
2,Amanze Oleru
3,Paul Goins
4,John George
5,Logan Chantelois
7,Tyler Maruoka
8,Isaiah Schneeweis-LaRene
10,Nico Cappella
11,Ian Browning
13,Graham Manson
15,Drake-Anthony Pearisaeff
17,Christopher Penuelas
19,Jonas Golden
24,Daniel Mah
27,Aaron Glickman
28,Tim Klacik
31,Josh McNamara
33,Quinn Edgerton
43,Daniel Lorigan
58,Finn O'Hea
63,Victor Ramirez
69,Stephen Oun
80,Liam Bateman
99,Gavin Maxwell
b,r,e,a,k
Dartmouth,7
01,Alec Miller
02,John Elliott
03,Graham Sisson
08,Connor Coale
09,Stephen Crowe
10,Isaac Gluck
11,Robert Livaudais
12,Spencer Heim
13,Oliver Chartock
14,Barrett Noone
17,Thanh Nguyen Jr
18,Brady McCallister
19,Rohan Bose
24,Benjamin Ashley
27,Callum Hening
28,Wendell Beane
31,Karim Itani
36,Kevin Mercado
72,Garrett Johnston
88,Connor Haines
95,Dakota Thompson
b,r,e,a,k
California-Santa Cruz,18
00,Annan Harray
00,Ashton Paulus
00,David Woodfin
00,Eli Fay
00,Ethan Kleinman
00,Grady Watkins
00,Johnny Chen
00,Joseph Chanin-Meiers
00,Justin Tsuchiyama
00,Aaron Mercado
00,Kristopher Rollert
00,Liam Jay
00,Robert Parke
00,Roland Christ
00,Sachin Deepak
00,Sean Hyslop
00,Simon Filippenko
00,Tate Pieper
00,Xaul  Starr
03,Aaron Kees
17,Robert Gallagher
22,Gilbert Chong
27,Aaron Hom
58,Kai Schniedergers
b,r,e,a,k
Victoria,11
0,Jonathan Hewlett
01,Jozef Gaber
03,Duncan Armstrong
04,Dawson Pasin
05,Adrian Chow
06,Jesse Wallace-Webb
09,Evan Reynolds
11,Patrick Church
13,Jamie Fox
14,Luka van Randen
15,D Owen Paetkau
17,Eric Scott-Iversen
19,Casey Skrepneck
22,Jonah Thiele
24,Peter Galbraith
26,Joel Lepper
27,Sean Battiston
29,Kurtis Manke
31,Keegan Freeland
34,Sean Bennett
35,David Shaw
44,Devon Thomson
51,Justin Pettenuzzo
55,Scott Spanier
88,Michael LeRoss
b,r,e,a,k
California-Santa Barbara,14
0,Nathan Steinert
02,Stefan Crigler
03,Isaac Hsu
06,Alex Chin
07,Jordan Cortes
10,Lorenzo Yabut
13,Jivan Khakee
14,Max de Visser
15,Brice Redmond
17,Robert Odum
21,Jason Zeidman
22,Duncan Brin
23,Patrick Godfrey
23,Stephen Smoots
26,Brendan Champlin
27,Ryan Barry
32,Kieran Bates
37,Kyle Johnson
43,Xavier Prochaska
44,Trevor Arbab
55,Christian Go
64,Varun Iyer
77,Tristen Moran
88,Adam Thompson
b,r,e,a,k
Stanford,3
0,Baker Sharp
0,Cody Cook
0,Colin Grant
0,Dryden Myers
0,Isandro Malik
0,Jonathan Victorino
0,Juan Carlos Meave Ojeda
0,Matan Abrams
0,Ravi Smith
9,Sean Vajanaphanich
10,Phillip Cathers
11,Nicolas Rodriguez
16,Sergio Licon
17,James Reed
22,David Mondry
24,Kevin Tien
28,Michael Becich
32,Ryan Ressmeyer
33,Nicholas Hirning
47,Henry Hill-Gorman
99,Sam Masling
b,r,e,a,k
California-San Diego,19
0,Daniël Kroes
1,Jackie Wong
3,Michael Huang
6,Tyler Koo
7,Quomel Imani
9,Bernard Suwirjo
02,Bryce Lozinski
10,David Knapp
13,Ethan Li
15,James Kasic
17,Brennen Mahon
19,Kiran Potula
24,Eric Hytönen
25,Mazden Mastromauro
25,William Suryajaya
36,Stefan Samu
37,Wesley Bowen
38,Kellen  Nani
41,Lucas Lin
43,Andrew Ma
47,Blake Gabel
50,Gaoweiang Dong
51,Yixuan  Zhou
64,Chris Luke
72,Gene He
73,James McGuinness
78,Krishna Gomatam
b,r,e,a,k
Connecticut,6
0,Aaron Rosenbloom Snow
0,Aidan Chariton
0,Ben Gousse
0,Calvin Wardle
0,Carson Fitzner
0,Christopher Bohr
0,Eric DeWitt
0,Jack Herms
0,Jackson Hillner
0,James Siuta
0,Jeffrey Hannigan
0,Daniel Manger
0,Navarre Pratt
0,Philip Murray
0,Steven Purugganan
3,Aaron  Beams
7,Clayton Duffy
11,Albert Ackerson
12,Taylor  Pochetti
21,Tal Niv
21,Jeremy Bernier
23,Daniel Conner
33,Seth Fortin
43,Alex Murray
b,r,e,a,k
Brigham Young,4
02,Luke Yorgason
03,Jacob West
04,Devon Terry
06,Clinton James
09,Bryson Chipman
10,Braden Eberhard
11,Daniel Pettingill
11,Taylor Barton
15,Eric Jamison
15,Benjamin Hodson
16,Ben Guthrie
17,"Alexander ""Sascha"" Vogel"
18,Logan Clarke
22,Quinn Everett
23,Andrew Stephen
25,Andrew Larsen
27,Alex Frandsen
32,Hugh Cole
33,Joseph Merrill
43,Jacob Miller
63,Nolan Hutchings
66,Jordan Kerr
b,r,e,a,k
British Columbia,20
00,Chris Small
00,Colin Herrington
00,Connor McFadyen
00,Jin Loong Lee
00,Jonah Lee-Ash
00,Justin Chan
00,Karim Jamal
00,Levi Keay
00,Louie Weng
00,Nicolas Sanchez
00,Nicolas Choy
00,Ryan Hoy
00,Shaun Tan
00,Trevor McCann
00,Victor Cheng
00,Vincent Bulloch
00,Yu Chi Lin
17,Kyle Chan
42,Steve Farra
b,r,e,a,k
Colorado State University,5
0,Daniel Crump
0,Joel Cavaliere
0,Jonathan  Wegleitner
0,Keaton Schreiber
0,Lucas Beal
0,Mason Kiefer
0,Sam Goldstein
0,Ted Dhanens
2,Dylan Latham McGraw
3,John Miller
4,Mo Scott
5,Jackson Akin
7,Will McDonald
8,Jonathan Olavarria
11,Jack McGinnis
16,Jake Marrapode
22,Hudson Martin
23,Nick Banks
24,David Miller
33,Ren Pretkelis
46,James Berger
54,Sean Peskin
65,Trevor Isaacson
b,r,e,a,k
UCLA,12
0,Alex Broering
0,Andrew Chen
0,David Dumas
0,Elias Baker Allen
0,Ethan Major
0,Jack Brewer
0,John Campbell
0,Nelson Campbell
0,Noah Anderson
0,Paul Ramstad
0,Paul Pfeiffer
4,Michael Peng
9,Cooper Tanquary
12,George Faour
13,Austin Hwang
14,Derek Vance
15,Bryan  Cloutier
16,James Zhou
32,Eric Siegel
35,Edward White
44,Bryson Levisay
50,Ram Goli
55,Lorenzo Duvergne
b,r,e,a,k
Santa Clara,13
0,Fredrik Siemund
3,Benjamin Rupp
02,Andy Bredar
03,Robert Stallman
09,Simon Senter
11,Sam Weinstein
12,Michael Fodor
13,James Kipper
