Centex 2019 (Men) ,College - Men ,16,3,2019
Austin,TX,2019-03-16,2019-03-17
https://play.usaultimate.org/events/Centex-2019-Men-/schedule/Men/CollegeMen/
Wisconsin,4
0,Oscar Felcan
1,Kevin Tan
4,Sam Hebert
5,Joseph Nelson
6,Anders Shropshire
7,Max Wolk
8,Nicholas Vogt
9,Tynan Eurwongpravit
10,Logan Martin
11,Henry Goldenberg
12,Ben Pavelka
19,Simon Brooks
21,Karter Keller
22,Rami Paust
24,Jacob Wham
28,Harrison Bielski
29,Jack Mallmann
31,Ben Schewe
32,Daniel Garlock
33,Sam Radack
40,Cody Milstein
42,Maddox Hill
49,John Tan
51,Matthew Grinde
55,Ben Kishter
64,Jeff Maskalunas
66,Ted Schewe
71,Jake Rubin-Miller
b,r,e,a,k
Texas,1
0,Alexander Hirsch
0,Andrew (AJ) Marks
0,Bryan Barrientos
0,Christopher Layden
0,Dylan Deshler
0,Garrett Odom
0,Hayden Rich
0,Jacob Sames
0,James Lewis
0,Kevin Roux
0,Matt Chambers
0,Nathan Marsales
0,Reese Bowman
0,Robert Foster
0,Sebastien Lauzy
0,Shane Heath
0,Oliver Powers
0,Zain Asher
1,Kolbe Bauer
10,Gage Edblom
10,Paul Choi
11,Brian Street
12,Noah Chambers
14,Mutahir Ahmad
16,Brock Davis
17,Vinay Valsaraj
23,Will Goodwin
50,Matthew Armour
66,John Hardin
83,Alexander You
96,Keivaun Waugh
b,r,e,a,k
Texas A&M,5
0,Timothy Robison
01,Jarett Tyler
02,Ryan Smith
03,Erik Atwell
04,Kyle Sculley
05,Zachary Steffensmeier
07,Alexander Thompson
08,Drew Fitzwater
09,Hayes Duffy
10,Kyle Pellino
11,Connor Dolan
12,Connor Ughetta
14,Bryce Klosterboer
15,Micah Craig
17,Joshua Gregory
20,Christopher Ault
21,Nicolas Lanas
22,Charlie Clark
23,Nicholas Viggato
24,Shaun Seidenberger
25,Toya Chukwumerije
26,Mark Baldauf
27,Matthew Wilson
28,Parker Rzasnicki
33,Michael Wilson
37,Connor Okonski
41,Reece Rose
b,r,e,a,k
Illinois,8
1,Drake Hill
2,Ben Sabourin
4,Asa Bowen
6,Jacob  Cuthbert
7,Alex Liu
8,Devin Kelly
13,Reid Martin
14,Aidan Levin
19,Joey Kennedy
20,Ryan Kantor
24,Josh Deeman
28,Frank Dore
