TCT Select Flight Invite - East 2019,Club - Mixed ,27,7,2019
Columbus,OH,2019-07-27,2019-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2019/schedule/Mixed/Club-Mixed
Chalice,12
04,Andriana Tompary
05,Ryan Gorman
06,Patrick McCarthy
07,Bryan Walsh
08,Tim Settles
09,Ellie Jose
10,Hector Rivera
12,Sydney Olund
13,Kristin Baxter
17,Claire Schwaba
19,Kate McInerney
21,Daniel Latz
22,Brittany Winner
23,Xavier Payne
28,Jeff Haney
29,Machen Bihrle
33,Austin Winner
38,Joe Mozloom Jr
45,Kristen Kaweck
77,Daniel Khoe
91,Noah Krumme
b,r,e,a,k
8 Bit Heroes,15
teamInfo,,"Frederick, Maryland",,,
0,Bryson Cramer
0,Celina Holler
0,Daniel Kaste
0,Daniel Downs
0,Jamie Roan
0,Jordan Vanasdale
0,Marie Collins
0,Tasha Hendershot
1,Robert McClughan
7,Allyson Golightly
12,Bryan Nadeau
15,Zach VanDerwerker
16,Diana Burke
18,Mike Randow
19,Eric Helm
25,Ethan Krokonko
27,Scott Bennett
28,Lennart Knight
47,Rachel Moser
73,Mark Flores
88,Robert Pratt
94,Abigail Antolick
99,Alvin Matute
b,r,e,a,k
Northern Comfort,10
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
coaches,Madison Olesen
02,Oliver Rytman
03,Erika Watson
06,William Owens
07,Matthew Caballero
08,Heather Vilbrandt
11,Mackenzie Carpenter
12,Brian Benge
14,Osvaldo Velez-Martinez
19,Heather Posl
20,Justine Espisito
21,Jake Leutenegger
22,Max Carpenter
23,Paul Watson
29,Mike Armstrong
32,Annie Waniger
34,Sarah Garstecki
43,Sharon Cross
45,Matthew Branham
49,Tim Posl
77,Dan Margulis
88,Daphne Branham
92,Ian Oakes
96,William Mansfield
b,r,e,a,k
Hybrid,16
teamInfo,,"Ann Arbor, Michigan",,https://www.facebook.com/HybridUltimate/,https://twitter.com/HybridUltimate
01,Alex Edinger
02,Justin Perticone
05,Hannah Cheng
07,Elizabeth Benedetto
08,Dan Donovan
10,Connor Lukas
11,Jacob Scobey-Polacheck
12,Leah Cann
14,Tessa Champoux
15,Alex Bertoia
16,Marissa Ray
17,John Goodwin
20,Madalyn Simko
21,Christina Hanson
22,Michael Dagher-Margosian
23,Alex Kapiamba
25,Amanda Decker
27,Bailey Besser
30,James Highsmith
34,Annie Mei
35,Joseph Besser
42,Mike Ogren
61,Riely Kuznicki
84,Nathan Champoux
88,Mark Whitton
90,Eryn Ogren
94,Ryan Ivey
b,r,e,a,k
The Chad Larson Experience,5
teamInfo,,"Ames, Iowa",,,https://twitter.com/clxbttp
0,Annee Rempel
0,Annemiek Arkema
0,Austin Gangel
0,Charlie Hubbard
0,Cody Rohlf
0,Colin Lord
0,Ethan Levine
0,Janna Coulter
0,Jillian Olson
0,Katherine Goode
0,Katie Miller
0,Linda Morton
0,Rachel Rohlf
2,Logan Grothus
5,Matt Stoker
5,Sarah Stoker
6,Scott Hearne
12,Katie Walther
16,Jon Olson
19,Ben Joerger
24,Megan Jameson
30,Tanner Boyle
33,Peter Miller
61,Kelly Hubbard
69,Jia Yue Sum
99,Dylan DeClerck
b,r,e,a,k
Alloy,4
teamInfo,,"Pittsburgh, Pennsylvania",modules/common/pghmixed.com,https://www.facebook.com/pghalloy/,https://twitter.com/pghalloy
01,Christie Lawry
02,Sean Newell
03,Maria Bajzek
08,Victoria Rollin
11,Leo Warren
12,Nicole Fiorentino
13,Jesse Kummer
15,Will Helenski
17,Robin Eng
18,Jed Farber
20,Charlotte Koerner
21,Elizabeth Manturuk
22,Mark Pitts
24,Sam Schurer
26,Kelsey Cowles
27,Darra Reppermund
34,Will Hoffenkamp
37,Alan Gruntz
46,Amy Buck
72,Joseph Norby
82,Isaac Smith
85,William Hefferon
88,Christopher Martin
92,Jesse Evans
b,r,e,a,k
American Barbecue,9
teamInfo,,"San Francisco, California",modules/common/www.abbq.org,,@ABBQfamily
0,Alex Pien
0,Alison Main
0,Claire Toth
0,Elise Bruguera
0,Georgia Valentine
0,Isabel Clayter
0,Jacqueline Martinez
0,Mathilda Farrell
0,Nicholas Weiss
0,Noel Arsenault
0,Paul Sohn
0,Peter van de Burgt
0,Philip Chang
0,Samuel Sohn
0,Sydney Horanic
0,Teresa Feng
16,Jason Seidler
17,Alison Mathews
34,Elizabeth Sohn
46,Owen Bell
99,Maxwell Friedmann
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Columbus Cocktails,Chalice,7,13,"07/27/2019, 10:50",Pool A,Final
Storm,Bird,13,5,"07/27/2019, 10:50",Pool A,Final
Columbus Cocktails,Bird,13,4,"07/27/2019, 12:40",Pool A,Final
Storm,Chalice,11,10,"07/27/2019, 12:40",Pool A,Final
Columbus Cocktails,Storm,11,9,"07/27/2019, 14:30",Pool A,Final
Chalice,Bird,13,7,"07/27/2019, 14:30",Pool A,Final
pool,Pool B
Wild Card,JLP,13,10,"07/27/2019, 09:00",Pool B,Final
Woodwork,Tequila Mockingbird,13,5,"07/27/2019, 09:00",Pool B,Final
Wild Card,Tequila Mockingbird,13,4,"07/27/2019, 10:50",Pool B,Final
Woodwork,JLP,13,7,"07/27/2019, 10:50",Pool B,Final
Wild Card,Woodwork,12,9,"07/27/2019, 14:30",Pool B,Final
JLP,Tequila Mockingbird,12,9,"07/27/2019, 14:30",Pool B,Final
pool,Pool C
Bucket,Northern Comfort,13,4,"07/27/2019, 09:00",Pool C,Final
Steamboat,8 Bit Heroes,13,9,"07/27/2019, 09:00",Pool C,Final
Bucket,8 Bit Heroes,13,5,"07/27/2019, 10:50",Pool C,Final
Steamboat,Northern Comfort,13,8,"07/27/2019, 10:50",Pool C,Final
Bucket,Steamboat,12,7,"07/27/2019, 12:40",Pool C,Final
Northern Comfort,8 Bit Heroes,10,13,"07/27/2019, 12:40",Pool C,Final
pool,Pool D
Alloy,American Barbecue,13,7,"07/27/2019, 09:00",Pool D,Final
The Chad Larson Experience,Hybrid,10,13,"07/27/2019, 09:00",Pool D,Final
Alloy,Hybrid,10,12,"07/27/2019, 12:40",Pool D,Final
The Chad Larson Experience,American Barbecue,13,10,"07/27/2019, 12:40",Pool D,Final
Alloy,The Chad Larson Experience,5,13,"07/27/2019, 14:30",Pool D,Final
American Barbecue,Hybrid,7,13,"07/27/2019, 14:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
