Northeast Club Men's Regional Championship 2019,Club - Men ,21,9,2019
https://play.usaultimate.org/events/Northeast-Club-Mens-Regional-Championship-2019/schedule/Men/Club-Men/
PoNY,1
2,Sean Keegan
5,Joshua Stevens-Stein
6,Michael Brenner
7,Clark Cofer
8,Harper Garvey
9,Samuel Little
10,Grant Lindsley
12,Matthew Lemar
13,Evan Padget
15,Kevin Norton
16,Michael Drost
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
21,Alex Thorne
23,Jimmy Mickle
27,Jack Hatchett
31,Chris Kocher
47,Conrad Schloer
50,Beau Kittredge
50,Milo Snyder
60,William Dean
66,Jibran Mieser
69,Benjamin Jagt
82,Marques Brownlee
87,Jeffrey Babbitt
97,Benjamin Spielman
b,r,e,a,k
Lantern,8
0,Brendan Blaney
1,James Sabean
2,Matthew Silverman
3,Derek Wiseman
4,Patrick Jerome
5,Thomas Dougherty
8,Nathan Brown
9,Stephen Banning
11,Patrick Collins
12,Michael Carando
15,Brayton Maxson
16,AJ Hutchins
17,John Repucci
18,Andrew Fredrickson
19,Isaac Peters
21,Brian Munroe
22,Matt Rizzo
23,Ethan Sternberg
24,Stephen Panasuik
26,Matthew LePere
29,Justin Palin
33,Charlie Reiff
35,Russell Katz
37,Dylan Baroody
40,Alex Jenkins
41,William Hartog
73,Eric Peters
b,r,e,a,k
Deathsquad,11
0,Asher Lehrer-Small
0,Evan Massa
0,James Smart
0,Matthew Johnson
0,Ryan Holmes
3,Henry Laseter
02,Henry Brecher
03,Jonathan Young
04,Matthew Barnes
05,Walker Mayerchak
07,Tom Bassett
08,Sam Dushay
12,Adam Newman
13,Alex Liu
15,Ethan Nash
18,Jim Foster
21,Brendan Chin
22,Michael Busa
23,Manit Munshi
27,Bryan Rothenberg
28,Rob Baker
29,Dan Hourigan
39,Matthew Cote
44,Brian Clarkson
45,Jack Kenney
77,Alex Foo
80,Joseph Kane
b,r,e,a,k
Genny The Boys (GTB),14
0,Brandon Eng
0,Brian Cotter
0,Charles Barbieri
0,Chris Ambrosio
0,Jeff Diduro
0,Matt Fuller
1,Josiah Zoodsma
02,Alexander Paulos
07,David Abbott
10,Kyle Morgan
10,Timothy Nguyen
11,Patrick Stegemoeller
12,Matthew Hepburn
13,Cody Brady
14,Nolan Wells
17,Max Moritz
18,Sean McDermott
19,Dillon Peterson
22,Evan Reid
34,Jacob Ryder
42,Kevin Burke
51,Paul McDermott
54,Anthony Prato
57,Paul Oleyourryk
69,Ethan Perregaux
69,Connor Evans
88,Daniel Stern
b,r,e,a,k
GOAT,2
01,Akifumi Muraoka
02,Kieran Charnock
03,Andrew Carroll
05,Luc Comire
06,Jason  Lam
08,Paul Mensah
09,Jaret Meron
11,Jonathan (JJ) Edwards
13,Iain MacKenzie
15,Jacky Hau
16,Ben Pries
17,Isaiah Masek-Kelly
18,Toly Vasilyev
19,Thomson McKnight
21,Geoffrey Powell
24,Jeremy Norden
26,Bryan Kuo
27,Nathan Hirst
34,Philip Turner
36,Scott Graham
77,Michael MacKenzie
80,Kevin Quinlan
86,Dan LaFrance
89,Mark Lloyd
91,Cameron Harris
b,r,e,a,k
Phoenix,7
0,Andrew Lefler
00,Erich Phang-Lyn
02,Mathew Berg
04,Luke Phelan
06,Kielan Way
07,Geoffrey Bevan
08,Walker Gee
09,David Colic
11,Matt O'Brien
16,Ryan Wallace
18,Léon Forest-Nault
19,Bryce Ring
20,Brian O'Callaghan
21,Colin Froats
29,Carson Turner
31,Jon Hallett
33,Christopher Lay
49,Dan  Benvenuti
61,Adam O'Donnell
65,Jonah Munoz
86,Alex Cameron
89,Nick Boucher
91,Alec Arsenault
95,Jeremy Hill
b,r,e,a,k
Magma Bears,12
0,Owen Robinson
01,Andrew Purugganan
02,Brooks Wallace
03,Jacob Margolis
04,Andrew  Seiden
06,John Maher
08,Martin Bustamante
09,Brandon Chan
13,Kevin O'Brien
14,Dylan Leitner
15,Elan Kane
16,Jamie Lawler
17,John Walsh
18,John Brancato
21,James Leonard
22,Colton Lubaszka
23,Tal Niv
26,Gabriel Hage
27,Justin Ondrof
34,Christopher Novielli
39,Steven Calebrese
48,Jake Kaufman
51,Brandan Quinn
62,Chris Bonifati
69,Maxwell Johnson
87,Daniel Wekstein
99,Alex Pistolesi
b,r,e,a,k
Log Jam,13
0,Alec Krasinski
0,Ben Lounsbery
0,Brian Dahlben
0,Chris Lavery
0,Christopher Hummel
0,David Koch
0,David Bowers
0,Emmett Williamson
0,Evan Creer
0,Jack Kirby
0,Josh Hite
0,Peter Hodge
0,Ryan Melone
0,Timothy Stuitje
0,Zachary Hilton
0,Matt Duffy
0,Matthew Reluzco
10,Mathieu Savarit-Cosenza
11,Isaac Appel
33,Jonah Amron
37,Nick Alfonso
95,Nicholas Granados-Kramer
b,r,e,a,k
DiG,3
2,Ryan Dinger
3,Gabriel Colton
4,Tanner Halkyard
5,Noah Backer
6,Rocco Essex-Linehan
7,Jason (Jay) Clark
8,Michael Sender
9,Ben Field
10,William Stewart
11,Mat Little
12,Mac Hecht
14,Andrew Hooker
16,Nathaniel Dick
17,Jonah Kurman-Faber
21,Ethan Bloodworth
22,Benjamin Tseytlin
23,Jeremy Bernier
24,Henry Babcock
25,Ilya Yudkovich
31,Ben Krupp
32,Spencer Diamond
33,Michael Dillard
42,Brent Lo
44,Tyler Chan
65,Topher Davis
97,Alex Dagley
99,Josh Markette
b,r,e,a,k
Big Wrench,9
0,Andy Yu
0,Ben Simmons
0,Erik Liu
0,Jack Facey
0,Jacob Marsh
0,John Wellers
0,Joseph Min
0,Luke Diorio
0,Mark Kharakh
0,Tomaso Mukai
0,Walden Ng
2,Colby Jacques
3,Brian Wyer
4,Ryan Woodhouse
5,Alexander Riahi
7,Alexander Roche
10,Nirek Sharma
11,Samuel Letcher
12,Phillip Joyce
