USA Ultimate National Championships,Club - Mixed ,24,10,2019
San Diego,CA,2019-10-24,2019-10-27
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2019/schedule/Mixed/Club-Mixed
BFG,8
77,Emily Prader
80,Kevin Smith
85,Evan Brydon
96,Patricia Anderson
99,Max de Visser
b,r,e,a,k
Toro,11
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ToroUltimate/,https://twitter.com/ToroUltimate
00,Kiron Allen
03,Dean Culver
05,Mary Rippe
06,Kalene Morozumi
07,Grayson Sanner
08,Heather Zimmerman
09,Michael Meilstrup
10,George Guthrie
13,Tyler Smith
14,Tanner Barcus
15,Vikram Sethuraman
16,Frank Qin
17,Brian Clark
18,Jacob McGoogan
19,Tracy d'Arbeloff
21,Cynthia Jones
25,Michael Pannone
27,Toni Gomes
31,Alex Kaja
32,Jake Coleman
34,Tristan Green
35,Maggie Adams
43,Matthew Wilson
45,Caitlin Gross
52,Sydney Harris
88,Christine Bookhout
b,r,e,a,k
AMP,3
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,Patrick Sherlock,Matt Zumbrum
01,Robert Roos
04,Raha Mozaffari
05,Michael Panna
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
10,Spencer DeRoos
11,Ryan Flamberg
12,Malti McKinnon
13,Bethany  Eldridge
14,Stuart Hean
18,Emily Shields
19,Anna Thompson
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
25,Andrew O'Connor
26,Julia Mankoff
33,Jordan Rhyne
44,Max Charles
55,Michael Campanella
70,Jake Butrica
79,Michael Ing
81,Sean Mott
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
Polar Bears,14
teamInfo,,"Berkeley, California",http://www.pbrawr.com,https://www.facebook.com/pbrawr/,https://twitter.com/pbrawr
coaches,Andrew Galiger
00,Aaron Hom
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
05,Aaron Shi
07,Charles Cao
09,Ellen Jacobus
10,Steven Chang
11,Carolyn Drewry
12,Ziyue Chen
13,Robert Yeagle
14,Kate Schlag
17,Margot Stert
18,Nicholas Alexander
19,Alexander Pan
21,Lisa Couper
22,Andrew Ouyang
23,Ryan Messersmith
24,Joe Thompson
25,Daniel Naruo
34,Jesse Buchsbaum
36,Sara Nolan
42,Matt Jaffe
51,Tommy Lin
52,Samantha Applegate
88,Linh Hoang
90,Annie Lee
b,r,e,a,k
Public Enemy,12
teamInfo,,"Dallas/Fort Worth, Texas",,https://www.facebook.com/ultimatepublicenemy,https://twitter.com/UltiPublicEnemy
coaches,Adam Goff,Harrison Schwarzer
00,Brandon Malecek
01,Julie Eagle Malecek
02,Jason Christian
04,Eric Carter
05,Chris Casey
06,Chris Pleshek
07,Ariana Glantz
09,Josh Moore
10,Nicolas Ceaser
11,Veronica Coombs
12,Kevin Christian
13,Megan Tormey
15,Abe Gambert
16,Michael Hays
18,Emma Ackels
19,Jonathan Costello
20,Casey Hogg
21,Danielle Runzo
24,Jenna Bigbie
26,Maricar Lafita Navarro
27,Jamie Eriksson
34,Madison Tomasek
42,Skye Fernandez
46,Helen Eifert
50,Jon DeAmicis
72,Alan Villanueva
95,Brooke Wooldridge
b,r,e,a,k
Columbus Cocktails,13
teamInfo,,"Columbus, Ohio",,,@cbusmixed
01,Elizabeth Diamond
02,Funing Zhang
03,Ben Sever
04,Emily Barrett
06,David Valentine-Elam
07,Jeffrey Brauning
08,Michael Kromer
09,Ryan Kindell
10,Jordan O'Neill
11,Jackie Matonis
12,Sion Agami Contreras
13,Caitlin Duffner
14,Caroline Gulla
17,Benjamin Reith
18,Axel Agami Contreras
21,Mallory Griffith
26,Cara Sieber
31,Eliot Alexander
33,Lexie Thomas
43,Chloe Lim
47,Phil Cherosky
88,Madeleine Pletzke
92,Neil Taylor
98,Zachary Braun
99,Lloyd Furuta
b,r,e,a,k
