Summer Glazed Daze 2019,Club - Mixed ,22,6,2019
https://play.usaultimate.org/events/Summer-Glazed-Daze-2019/schedule/Mixed/Club-Mixed
Rally,8
0,Brittany Taylor
0,Carolyn Ng
0,Janie Mockrish
0,Jillian Banner
0,Lauren Sitlinger
0,Leo Pierson
0,Meg Tucker
0,Sami Smalling
0,Tsuki Hoshijima
0,Xavier Maxstadt
1,Anna Wysen
4,Will Yetvin
5,Cody Smith
6,Dane Warner
6,Thomas Piper
7,Steven Wartinbee
17,Margaret Pendleton
17,Stephen Ng
18,Graham Turner
19,Noah Newberger
21,Andrew Allen
32,Rebecca Driver
38,Maggie Soto
54,Genevieve Leo
70,Brian O'Hara
b,r,e,a,k
Toro,1
0,Alan Best
0,Jianna Torre
3,Dean Culver
05,Mary Rippe
07,Grayson Sanner
08,Heather Zimmerman
09,George Guthrie
13,Tyler Smith
14,Tanner Barcus
17,Brian Clark
18,Jacob McGoogan
19,Tracy d'Arbeloff
21,Vikram Sethuraman
21,Cynthia Jones
25,Michael Pannone
27,Toni Gomes
31,Alex Kaja
33,Michael Meilstrup
34,Tristan Green
35,Maggie Adams
43,Matthew Wilson
45,Caitlin Gross
88,Christine Bookhout
b,r,e,a,k
JLP,9
02,Thomas Bailey
03,Rachel Thurston
04,Elizabeth Leon
05,Leah Barlow
06,Gracie White
07,Timothy Martin
08,Max Leonard
09,Erin Chun
10,Ishaan Dave
11,William Sloane
12,Jennie Wainer
13,Yusuf Abdullah
14,Jacob Zirbel
16,Leah Gilbert-Odem
18,Chad Borer
20,Caroline Pearson
21,Daniel Jones
22,Meghan Murphy
23,Zachary Cole
30,Benjamin Breault
33,Brianna Stedman
34,Kristi Huang
36,Will Frolich
37,Jonathan Clark
42,Devin Cox
54,Nick Riker
99,Amy Kruse
b,r,e,a,k
Jackpot,16
0,Alicia Bender
0,Alicia Vogt
0,Drew Ladage
0,Anthony Vogt
0,Brad Clarkson
0,Briana Talasko
0,Bryan Jagemann
0,Charlotte Talham
0,Corey McCall
0,Emily Bennett
0,Erich Hess
0,Jeremy Brenner
0,Kaitlin O'Keefe
0,Lia Dixon
0,Lindsey Brenner
0,Mackenzie Matheny
0,Mandy Weinstein
0,Matt Matheny
0,Pilar Alvarez
0,Vinny Losito
4,Justin Dean
5,Tyler Falcao
24,Jonathan  Pabon
30,Ryan Hoger
b,r,e,a,k
Loco,2
0,Beata Artz
0,Christopher Pokorny
0,Claire Milton
0,Dustin Sullivan
0,Ian Coyne
0,Ashley Cantasano
0,Meghan Wadlinger
0,Paul Klimkowski
0,Richard Robinson
0,Layne Dodge
0,Lindsay McKenna
0,Robert Catzen
0,Sarah Roberts
3,Sarah Coyne
3,Austin Lillis
6,Jessica Brand
6,Alexa Wing
