Oak Creek Challenge 2019,College - Men ,23,2,2019
https://play.usaultimate.org/events/Oak-Creek-Challenge-2019/schedule/Men/CollegeMen/
Liberty,9
0,Benjamin Reutener
0,Caleb Stow
0,Joel Hartzler
2,Ethan Allison
3,Sam Swinson
4,Ben McCoy
6,Jake Norman
12,Jack Fleischer
13,John Simmons
16,John  Matthews
21,Daniel Mills
22,Joshua Sumpter
41,Andrew Lewis
42,Jacob Byron
66,Sam Petersen
87,Austin Heston
88,Caleb Weldy
b,r,e,a,k
Rutgers,1
0,Cole Stevens
0,Dylan Stratton
0,Kyler McKee
0,Paul Savarskyy
0,Sukrut Sonty
1,Daniel Kline
3,Will DiSturco
7,Louis Kang
8,Brian DiNicola
9,Dean  Klimek
10,Armaan Jayanth
11,Zachary Cincotta
12,Bobby Puhak
14,Brendon Pierce
15,Peter Jeng
16,Isaac Duan
17,Ronil Mavinkurve
21,Alec Bakholdin
23,Otto Gomez
24,Dyllon Jeng
27,Declan Alvidrez
31,Francis Joe
32,Kalman Carmel
36,Tanner Yuhas
64,Benjamin Levy
81,Patrick Chirichella
b,r,e,a,k
North Carolina (B),8
0,Alexander Ludwig
0,Andrew Rhoads
0,Arjun Keshava
0,George Ni
0,Grant Miller
0,Jaocb Stroud
0,Justin Ledinh
0,Michael Chao
0,Michael Carter
0,Ryan Ma
0,Samuel  Manske 
0,Sebin Gil
0,Neel Herfarth
0,Noah LeFevre
0,William Moran
0,Zack Taebel
1,Michael Zhang
4,Richard Ly
5,Benjamin Bourret
6,Chris Mateer
6,Vikas Vannappagari
9,Kento Yamamoto
15,Jack McCluskey
22,Mukil Guruparan
26,Brian Mateer
42,Abhishek Komandur
54,Matt Schinsky
b,r,e,a,k
Wake Forest,17
0,Adam Kraus
0,Anders Elzey
0,Christopher Steinhacker
0,Christopher Daniels
0,Cole Straughn
0,Dillon Coffey
0,Dustin Rosh
0,Garrett Turner
0,Matthew David
0,Nick Chihlas
0,Prasanth Gudur
0,Robert Hatcher
0,Robin Zhang
0,Shay Patel
0,Stephen Pan
1,Coby Schneider
5,Robert Winter
9,Brendan McCree
10,Abinav Udaiyar
11,Matthew Bevilacqua
12,Sean Freed
14,Stephen Lee
22,Benjamin Black
24,Cesar Grisales
99,Alexander Boyer
b,r,e,a,k
American,16
0,Dylan Johnson
0,Fraser Bird
0,Ian Proctor
0,Jack Nusenow
0,Jack Mannix
0,Jason Kawa
0,Joshua Ludden
0,Luc Marzano
0,Max Peyra Grau
0,Maxime Oget
0,Ben Davis
0,Nick Dohemann
0,Parker Baird
0,Sam Phelps
0,Spencer Nusbaum
0,Sultan Almojel
0,Will Kim
4,Myles Maxson
5,Tim McPhillips
6,Alex Schlegel
18,Avraham Presberg
21,Christian Von Rotz
23,Dashiell Nusbaum
24,Beau Swallow
b,r,e,a,k
Princeton,2
0,Adam Ziff
0,Alexander Taylor-Lash
0,Andrew Wang
0,Erik Taylor-Lash
0,Ethan Tyler
0,Julian Alvarez
0,Kapil Chandran
0,Max Land
0,Nadeem Demian
0,Nathaniel Moses
0,Nathaniel Moore
0,Nicholas Nelsonwood
0,Patrick Chen
0,Sean Gai
0,Jason King
0,Thomas Colen
0,Tim Feng
0,Yang Tu
1,Alan Wong
4,Seho Young
7,John Sullivan
11,Shamay Agaron
11,Charles Coburn
21,Steven Chien
27,Victor Zhou
36,Jake Waksbaum
37,Dylan Baroody
42,Noah Hastings
91,Calvin Deng
b,r,e,a,k
Drexel University,7
00,Harry Chace
01,Cameron Williams
02,Christopher Markowitz
03,Paul Doyle
08,Kyle Watson
09,Simon O'Sullivan
11,Kyle Shallow
13,Nicholas Nugent
15,Jonah Shortall
18,Cameron Rabinowitz
19,Michael Donahue
20,John Madden
21,Patrick Oniate
22,Dylan Smith
24,Mike Worth
25,Nolan Boyle
31,Daniel Admirand
32,Chris Maher
33,Adam Federbusch
36,Kent Hubert
62,Darius Grosch
86,Alexander Vasserman
87,Andrew Seibert
88,Jeff Zeng
b,r,e,a,k
Shippensburg,10
0,Christopher Drasher
0,Jan Vazquez
0,Kyle Kuon
0,William Sharadin
2,James Roop
3,Evan Hake
4,Christopher Wurtz
4,Logan Hall
5,Grant Maurer
6,Anthony Rapposelli
8,Austin Moreno
10,Andrew DiTullio
12,Zachary Cahill
16,Ryan Waguespack
21,Ryan Kolimaga
23,Christopher Lehman
24,Brett Stewart
26,Ian Reid
32,Zack Hunsberger
34,Tanner Hepner
b,r,e,a,k
Maryland-Baltimore County,15
0,John Jackson
0,Joseph Davis
3,Christopher Haslbeck
16,Garrett Goltz
17,David Ramarui
20,Noah Wallack
27,Scott Bennett
32,Christopher McCormick
37,Max Trifillis
47,Brandon Turnbaugh
48,Mason Hillmar
52,Blake Hipsley
69,Manuel Miranda
78,Samuel Butler
83,Sean Hill
b,r,e,a,k
Towson,18
0,John  Gallagher
9,Michael Hagepanos
02,Ryan Manion
05,Joseph Gallagher
06,Luca Artista
07,David Zimmerman
08,Matthew Vollmuth
10,Nate Laws
11,John Morrow
13,Logan Call
14,Zachary Greaver
15,Xavier Stewart
17,Tyler Lance
19,Max Shevchenko
20,Spencer Stuff
23,Jason Hopkins
31,Josue Reyes
36,Anthony Swiecicki
51,Kevin Versteeg
66,Michael Valdes
72,Daniel Feuerberg
84,Andrew Payne
b,r,e,a,k
Brandeis,3
0,Elijah Sinclair
0,Jonas Tjahjadi
0,Micah Alexander
1,Elan Azrieli
9,Steven Chen
06,Alden Sanford
10,Adam Dean
13,Eric Home
17,Joshua Heller
19,Ethan Sternberg
21,Benjamin Korman
22,Dylan Quinn
23,Benji Kemper
25,Cameron Park
32,Andrew Marshall
33,Tommaso Girelli
40,Gabriel Fontes
42,Robert Singer
44,Matt Sehgal
50,Daniel Lay
87,Connor Chin
97,Oliver Daniels-Koch
99,Jordan Kaufman
b,r,e,a,k
Cedarville,11
0,Austin Land
0,Caleb Tague
0,Matthias Campion
0,Spencer Kussmaul
0,Zachary Bope
1,Malachi Marshall
3,Aaron Cannon
7,Mark Handel
9,Philip White
11,Joshua D'Anna
15,Jake Kenniv
16,Nathanael Olander
17,Stephen Ingis
21,Andrew Harshbarger
24,Zach Von Eiff
25,Aaron Keck
42,Jacob Fierer
46,Nicolas Hill
47,Peter Duttweiler
69,Ethan Beachy
88,Christian Klinker
b,r,e,a,k
Lehigh,6
0,Adam Debus
0,Andrew Ridings
0,August Eurich
