2019 Wisconsin Swiss,Club - Mixed ,15,6,2019
Verona,WI,2019-06-15,2019-06-16
https://play.usaultimate.org/events/2019-Wisconsin-Swiss/schedule/Mixed/Club-Mixed
NOISE,1
teamInfo,,"Madison, Wisconsin",http://noiseultimate.wordpress.com/,,www.twitter.com/NOISEUltimate
0,Ben Parrell
0,David Nester
0,Dayu Liu
0,Francis Kelley
0,Justin Simanson
0,Karen Hill
0,Kevin Cannaday
0,Kyle Weigand
0,Sebastian Brauer
1,Jackie Welsch
2,Ashley Welsh
7,Vanessa Cannaday
8,Maria Signore Becker
10,Tom Annen
10,Caitlin Murphy
11,Izzy Quattrucci
12,Kaitlynne Roling
13,Becky LeDonne
18,Mike Kobyra
18,Sarah Mondschein
19,Haley Hudson
22,Rami Paust
22,Stephen Haynes
26,Simon Kuran
27,Michael Swain
29,Jack Nelson
31,Marianna Malin
32,Daniel Garlock
33,Katy Stanton
55,Kelsen Alexander
95,Glenn Poole
b,r,e,a,k
Drag'n Thrust,2
teamInfo,,"Minneapolis, Minnesota",http://www.dragnthrust.com,https://www.facebook.com/dragnthrust,https://twitter.com/dragNthrust
coaches,John Groess
02,Brett Sullivan
03,Patrick Niles
04,Erica Baken
05,Ellie Sjordal 
06,Logan Weiss
07,Blake Trantina
08,Greta Regan
09,Emily Regan
10,Erin McCann
12,Marty Adams
13,Jacob Lien
14,Austin Lien
15,Leona DeRango
16,Brian Schoenrock
17,James Hron
18,Sam Berglund
19,Tavis Leighton
20,Neal Hanke
24,Holly Denecour
26,Rebecca Ludford
30,Leo Sovell-Fernandez
31,Maggie Peck
33,Jaime Glader
39,Jessica Halverson
44,Sarah Meckstroth
49,Caleb Denecour
59,Claire Thallon
77,Zach Trosvig
b,r,e,a,k
Northern Comfort,5
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
coaches,Madison Olesen
02,Oliver Rytman
04,Kaleigh Wurster
05,Brittney Joy
06,William Owens
07,Matthew Caballero
08,Heather Vilbrandt
10,Laura Nelson
11,Mackenzie Carpenter
12,Brian Benge
13,Jay Kinzel
14,Osvaldo Velez-Martinez
19,Heather Posl
20,Justine Espisito
21,Jake Leutenegger
22,Max Carpenter
27,Annalise Heuser
29,Mike Armstrong
32,Annie Waniger
33,Alix Raymond
34,Sarah Garstecki
43,Sharon Cross
44,Hannah Frank
45,Matthew Branham
49,Tim Posl
