Gulf Coast Women's Club Sectional Championship 2019,Club - Women ,7,9,2019
Birmingham,AL,2019-09-07,2019-09-08
https://play.usaultimate.org/events/Gulf-Coast-Womens-Club-Sectional-Championship-2019/schedule/Women/Club-Women/
Queen Cake,2
teamInfo,,"New Orleans, Louisiana",,,
0,Ansley Sackett
0,Audrey Isaac
0,Clara Pappenfort
0,Courtney Foster
0,Dianna Kimball
0,Emelia Marshall
0,Emma Pettit
0,Grace Hack
0,Hannah Weisbecker
0,Hannah Gregory
0,Hannah Schroeder
0,Ilana Obuchowski
0,Jaycie Macdonald
0,Jessica Twombly
0,Jocelyn Jessop
0,Madison Bolt
0,Marguerite Tyson
0,Marie Kimball
0,Meredith Acocella
0,Molly Cowley
0,Rebecca Berry
0,Sarah Tyson
0,Sophie Miller
9,Kimberly Micotto
22,Lila Lasecki
22,Sue-Claire Lichtveld
24,Karen Liao
b,r,e,a,k
Steel,1
teamInfo,,"Birmingham, Alabama",,https://www.facebook.com/SteelUltBham/,@SteelUltimate
0,Abbey Sedlacek
0,Catherine Spencer
0,Hayley Djuric
0,Jacq Wood
0,Lesley  Turner
0,Lilianne Doron
0,Madison Boyd
0,Mary Hulcher
0,Merideth Byl
0,Rachel Yang
0,Savannah Ferch
0,Tara Massouleh
0,Emily Yeend
0,Katelyn McGee
0,Kathleen Hulcher
0,Kirsten Strawn
3,Jennifer Taylor
5,Andrea Munoz
6,Hallie Hudson
13,Ellie Wood
17,Jessica Howell
20,Laura Midkiff
24,Jordan Stewart
89,Katherine  McCormick
b,r,e,a,k
Huntsville Laika,3
teamInfo,,"Huntsville, Alabama",,https://www.facebook.com/hsvLaika/?ref=bookmarks,@hsv_Laika
0,Andrea Del Balso
0,Sarah Gunn
02,Mary Cagle
03,Sara Mog
04,Sarah Tylka
09,Hannah Yates
10,Amy Guiles
17,Mattea Swegles
18,Allyson Smith
20,Erin Hunter
22,Desiree Garcia
24,Courtney Montague
27,Ava Kazemi
28,Hannah Szcepanski
37,Laura  Dunaway
72,Liz Craig
77,Abigail Waldron
81,Lydia Stehle
b,r,e,a,k
s,t,a,g,e,s
pools,Finals
pool,Pool A
Steel,Huntsville Laika,15,6,"09/07/2019, 08:00",Pool A,Final
Steel,Queen Cake,10,12,"09/07/2019, 09:40",Pool A,Final
Huntsville Laika,Queen Cake,7,12,"09/07/2019, 11:20",Pool A,Final
b,r,e,a,k
