Texas 2 Finger - Men's and Women's,Club - Men ,29,6,2019
The Colony,TX,2019-06-29,2019-06-30
https://play.usaultimate.org/events/Texas-2-Finger---Mens-and-Womens/schedule/Men/Club-Men/
H.I.P,1
teamInfo,,"Texas City, Texas",,,https://twitter.com/hip_flatball/
0,Casey LeMay
0,Cody Holloway
0,Patrick Marco
0,Reese Bowman
9,Peter Clarke
12,Connor Ughetta
14,Reid Bacon
18,Kevin Land
21,Mitchell Bennett
23,Thomas Slack
26,Richard Bovio
27,Brandon Dial
30,Mick Walter
b,r,e,a,k
Dreadnought,9
teamInfo,,"Fayetteville, Arkansas",,,https://twitter.com/DreadnoughtUlti
coaches,Thomas Dockery
0,Benjamin Rogers
0,Brandon Swindle
0,Ian Kyle Antonio
0,Nate Goodlin
2,Thomas Dockery
5,Sheldon Shinn
10,Lennon Dycus
10,Jalen West
14,Ethan Penner
15,Jacob Moore
17,Cameron Umbarger
20,Aric Powers
22,Pierce Teeuwen
32,Mitchell Guthrie
36,Justin MIlls
57,Jared Hines
81,Joel Stennett
b,r,e,a,k
E.V.I.L.,16
teamInfo,,"Fort Worth, Texas",,,
0,Garrett Odom
3,Austin Uhl
4,Jonathan Conway
5,Colton McDorman
6,Paul Sumner
7,Austin Ferrari
8,Ryan McAndrew
9,Ethan Storm
10,Jared Fox
14,Omar (Leonel) Arellano
15,Frederick Christen
16,Andy Evans
19,William Brinkmeyer
21,Logan Dillman
22,Justin England
23,Austin Bronson
25,Stewart Williamson
27,Daniel Hooks
31,Sean Torres
40,Carson Turner
48,Jonathan Cosmann
87,Joshua Rainey
98,Luiz Astorga
99,Greg Loftis
b,r,e,a,k
Supercell,8
teamInfo,,"Oklahoma City, Oklahoma",,,@SuperCellOKC
0,Camil Gosmanov
0,Cheng Hao Tan
0,Corbin Joel Milchesky
0,Craig Batchelder
0,Jacob McCormick
0,Jacob Pleasant
0,J.D. Ingendorf
0,Matthew Beckner
0,Nathaniel Loyd
0,Robert Taylor
0,Zachary Freistedt
01,Brian McHatton
04,Frankie Fermo
07,Alex Southard
