College Southerns XVIII,College - Men ,23,3,2019
Statesboro,GA,2019-03-23,2019-03-24
https://play.usaultimate.org/events/College-Southerns-XVIII/schedule/Men/CollegeMen/
South Carolina,1
teamInfo,Gamecock Ultimate,"Columbia, South Carolina",https://garnetgate.sa.sc.edu/organization/ufrisb,https://facebook.com/GamecockUltimate/,https://twitter.com/USC_Ultimate
0,Dalton Sheeks
0,Joseph  Cammarata
0,Justin Ernsberger
0,Matthew Hogue
0,Michael Miller
1,Douglas Lee
3,Hunter Lazan
7,Kyle Woodberry
10,Stuart Hughes
11,Nicholas Headden
12,James Davis
16,Andrew White
18,Jason Hoffman
20,Corey Branam
22,Samuel DiStefano
24,Stephen Trello
28,Ricky Brokaw
31,Luke Colwell
32,Thomas Nye
41,Kevin Strothman
42,Hugh Aiken
44,Reid O'Brien
45,Lukas McClamrock
49,Jamie Bryson
66,Robert Gunshefski
84,Cleve Fisher
92,John Colyer
99,Aaron Coble
b,r,e,a,k
South Florida,9
teamInfo,Scallywags,"Tampa, Florida",,https://facebook.com/usfultimate,https://twitter.com/usfultimate
0,Brendan Camareno
0,Daniel Humphreys
0,Dylan Schreiber
0,Garrett Knobel
0,Jose Franco
0,Mahmoud Akinyode
0,Mitchell Blanchard
2,Cameron Blevins
7,Christian Villar
12,Jake Webster
20,Robert Moore
21,Andrew  Cooley
25,Richard Miller
37,Christopher Tiedge
69,Roland Job Orengo
69,Stephen Smith
75,Henry Trent
77,Vonterio Duncan
81,John Boscia
85,Cody Coates
b,r,e,a,k
North Carolina-Asheville,8
teamInfo,UNC Asheville Bulldogs,"Asheville, North Carolina",,https://www.facebook.com/bulldogultimateunca,https://twitter.com/UNCAshUltimate
0,Mac Schilder
1,Logan Dye
2,Quillan Manning
4,Jacob Warshauer
5,Alex Mancini
6,Collin Wilkes
7,Kavin Srikanth
10,Harrison Ungert
11,Wilson Matthews
12,Brackett Lyons
13,Darius Anglin
17,Jadon Clark
18,Ethan Cole
19,David Pulse
20,Jamie Douglass
21,Martin Phillips
22,Paul Ikenberry
23,Trevor Pentland
24,Ben Hollrah
26,Jonas Buser
30,Nathaniel Griffith
34,Dakota Herzig
42,Henry Hill
55,Dean Merritt
69,Evan Johnson
84,Thomas Morton
88,Bow Rudolph
99,Aaron Sumner
99,Laramie Nifong
b,r,e,a,k
Georgia (B),17
teamInfo,Chillydawgs,"Athens, Georgia",,https://www.facebook.com/Chillydwags,https://www.twitter.com/Chillydwags
0,Flynn Vogt
02,Alexander Vencill
03,Jesse Adkins
07,Michael Catucci
08,Mitchell Glore
14,Gregory Pullen
16,Michael McLoughlin
23,Tapan Patel
24,Matthew Kurien
30,Jesse Li
32,James Dusenbury
37,Bryan Soto
42,Christopher Molnar
43,Christopher Broomhead
44,Ben Lewis
48,Alex Cronin
51,Grayson Seelke
69,Christopher Bywaletz
83,Nicolas Leis
b,r,e,a,k
Charleston,16
teamInfo,Palmetto Bums,"Charleston, South Carolina",,,
0,Angus Ogilvie
0,Jeb  Lesch
0,Mitchell Morosey
0,Robert Weiss
0,Zaire Wardlaw
2,Robert Davenport
8,Mason Huebsch
15,Matthew Doohan
15,Jonah Price
17,Christopher Richmond
27,Vincent James
41,William Minter IV
47,Derek Davidson
66,Zack Pickler
b,r,e,a,k
Luther,10
teamInfo,LUFDA,"Decorah, Iowa",https://www.luther.edu/mens-ultimate/,https://www.facebook.com/lutherultimate,https://twitter.com/LutherLUFDA
01,Blake Krapfl
02,Jacob Gonnerman
04,Joel Alvarado
06,Marshall Creech
09,Samuel Moyer
10,Matthew Deetz
12,Jack Jagielski
13,Arlen Bonson-Anderson
19,Calvin Harper
20,Chad Messerich
22,Jamison Schuh
23,Peter Murry
24,Henry Craig
28,Duncan Macklem-Johnson
32,Jimmy Conway
44,Jonathan Lovagnini
47,John Mai
b,r,e,a,k
Emory,2
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
0,Daniel Sperling
0,Eli Zelle
0,Gustavo Capo
0,Jack Grubman
0,John Rolfes
0,Joshua Manuel
0,Michael Bartell
0,Pratik Rout
0,Sibo Wang
0,Sreekar Bommireddy
0,Timothy Jernigan
1,Thai-Binh Le
7,William Yun
8,Max Rotenberg
10,Enzo Cianelli
11,Matthew Shu
14,Gabriel Hart
18,Everett Dang
27,David Kim
43,Isaac Sencer
50,William Johnson
71,Houston Shrader
89,Brett Landau
b,r,e,a,k
Chicago,7
teamInfo,Junk,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChiUltimate
0,William Jaffe
2,Hiro Schmidt
3,Kaden Han
4,Matthias Ling
5,Michael Thew
9,Robin Erdakos
10,Mateo Garcia
11,Shravan Ravishankar
14,Eric Weine
18,Dale Decatur
19,Dylan Petiprin
21,Guilherme Soares
25,Hayden Mans
27,Alexander Franzese
27,Milan Rivas
29,Isaac Harris
32,Sean McSweeney
34,Marc Gerdin
40,Alan Countess
43,Will Stone
45,Will Clay
56,DeAngelo Barragan
94,Jason  Vallee
b,r,e,a,k
Florida Atlantic,18
teamInfo,Catalyst,"Boca Raton, Florida",,https://www.facebook.com/groups/FAUltimate/,Twitter.com/catalyst_ult
0,William Widoff
7,Juan Tascon
04,Wesley Best
11,John White
21,Anish Indhupuru
21,Joshua Talbot
24,Jordan McLaughlin
55,Chase Lewis
75,Khai Thompson
87,Christian Hunt
b,r,e,a,k
North Florida,15
teamInfo,Category 5,"Jacksonville, Florida",,https://www.facebook.com/groups/653951534617192/,https://twitter.com/UNF_Category5
0,Catherine Tortorici
0,Jake Gritter 
0,Noah Lawrence
3,Ian Smith
5,Courtney Brening
10,Daniel Smith
14,Cameron Paul
16,Riley Clark
81,Daniel Silva
95,Nicholas Mellor
b,r,e,a,k
Middlebury,3
teamInfo,Pranksters,"Middlebury, Vermont",https://go.middlebury.edu/uf,,https://twitter.com/pranksters69
0,Adin Insoft
0,Asher Lantz
0,Benjamin Morris
0,Corey Scheinfeld
0,Daniel Grubbs-Donovan
0,Edward Hoffman
0,Kevin Strenski
0,Noah Fine
0,Zack Maluccio
6,Joshua Sims Speyer
7,Zach Levitt
10,Henry Ganey
14,Kai DeLorenzo
69,Ian Hanson
69,Jack Landrigan
69,Sean Fallon
69,Warren Lundsgaard
69,Leo Sovell-Fernandez
69,Eli Wolfgang
69,George Drumheller
69,Dylan Salzman
69,Benjamin Allan-Rahill
69,Alex Forde
b,r,e,a,k
Carleton College-GoP,6
teamInfo,Gods of Plastic,"Northfield, Minnesota",https://apps.carleton.edu/student/orgs/gop/,,https://twitter.com/goprocks
coaches,Michael Massad
0,Abi Goldenberg
0,Brendan Laliberte
0,Bryce Barton
0,Charlie Bushman
0,Dawson d'Almeida
0,Ezra Sergent-Leventhal
0,Ian McCarthy
0,Ian Klein
0,Noah Robiner
0,Oren Lieber-Kotz
0,Paul Ready
0,Quinn Mayville
0,Saul Wildavsky
0,Will Gleason
0,Zach DiNardo
4,Aidan Wolff-King
7,Samuel Miles
8,Jacob Cohen
11,Nathan Mannes
20,Jack Rybarczyk
21,Ry Alexander
23,Gabriel Lobet
35,Alex Rafkin
35,Austin Sorscher
b,r,e,a,k
Florida Tech,14
teamInfo,Florida Tech Competitive,"Melbourne, Florida",,https://www.facebook.com/floridatechultimate/,
00,Alex Martin
00,Daniel Buwalda
00,Hayden Bowen
00,Jacob Gaines
00,Jay Boder
00,Joshua Mullholand
00,Kerrington Witherspoon
00,Owen Shea
00,Paul Jaime
00,Peter Martin
00,Ryan Maughan
00,Seamus Burns
03,James Krenger
07,Robert Barrett
15,William McCormick
19,Hunter Davis
42,Joshua Newman
77,Reed Antonich
b,r,e,a,k
Wisconsin-Eau Claire,11
teamInfo,EauZone,"Eau Claire, Wisconsin",,https://www.facebook.com/pages/Eauzone/123562074416368,https://twitter.com/eauzoneultimate
0,Eli Rubin-Calvert
0,Jacob Huffaker
0,Jayden Flipp Connolly
0,Riley Call
3,Jacob Ertz
4,Dalton Dowd
7,Kristian Johnson
10,Adam Egemo
11,Simon Koeper
14,Micah Link
18,Andrew Cotter
24,Spencer King
27,Josh Yira
28,Sawyer Brown
33,Ryan Schultz
38,Beck Ruzicka
42,Eric Stadtmueller
44,Colin Williams
49,Cordell Kapusta
51,Joshua Benning
52,Joseph Quaal
56,Michael Ulbricht
69,Allen Thoresen
74,Patrick Eikens
77,Weston Martin
82,Anthony Doan
83,Joseph Schmitz
99,Michael Brandt
b,r,e,a,k
Florida (B),19
teamInfo,Florida B,"Gainesville, Florida",,,
0,Brendan Myers
0,Brian Choi
0,Andy Therathanakorn
0,Arvind Shankar
0,Daniel Mecca
0,David Pinheiro
0,Henry Dorking
0,Jared Downing
0,Jay Kubida
0,Eric Luo
0,Joshua Mederos
0,Juan Arnoletti
0,Matthew Griffith
0,Michael Cohn
0,Michael Cory
0,Kyle Fray
0,Zachary Kostamo
8,Dylan Ford
11,Mathew Martins
15,Ryan Longley
16,Karl McNeal
17,Fernando Rivera
19,Carson Swope
20,Robert Overstreet
26,Jonathan Kash
47,Logan Molaschi
54,Zachary Roberts
69,Christopher Bright
98,Austin Urso
b,r,e,a,k
California-San Diego,4
teamInfo,Air Squids,"San Diego, California",,,
00,Stefan Samu
01,Jackie Wong
02,Bryce Lozinski
03,Michael Huang
06,Tyler Koo
