 FCS D-III Tune Up 2019,College - Men ,2,3,2019
Bermuda Run,NC,2019-03-02,2019-03-03
https://play.usaultimate.org/events/-FCS-D-III-Tune-Up-2019/schedule/Men/CollegeMen/
Richmond,19
0,André Shannon
0,Ethan Ross
0,George Coffey
0,Hutson Williams
0,Jeremy Mednik
0,Josh Magee
0,Maxwell Wallach
0,Pranay Bhootra
0,Robert Silipigni
0,Ryan Kern
2,Evan Steinfield
6,Tynan Englert
8,Ben Weinstein
10,Mitchell Lauria
12,Chester Todd
13,Liam Day
16,Christopher Selwood
22,Harris Cannon
25,Jacob Rich
27,Patrick  Murray
30,Graydon Cowan
31,Daniel Scherzer
34,Zachary Perkins
39,Xavier McCormick
52,Robert Croxson
55,Hunter Lang
70,Christopher Cassella
99,Alex Pistolesi
b,r,e,a,k
Middlebury,13
0,Adin Insoft
0,Asher Lantz
0,Daniel Grubbs-Donovan
0,Edward Hoffman
0,Kevin Strenski
6,Joshua Sims Speyer
7,Zach Levitt
14,Kai DeLorenzo
69,Ian Hanson
69,Jack Landrigan
69,Dylan Salzman
69,Alex Forde
69,Leo Sovell-Fernandez
69,Sean Fallon
69,Warren Lundsgaard
b,r,e,a,k
Mary Washington,11
0,Beau De Koninck
0,Simon Maybee
0,Will Harrison
0,Owen Donovan
1,Anthony Clark
2,Orran Mandt
4,William Carpenter
7,Zack Richardson
03,Jared Height
14,James Fendley
15,Sam Wainwright
17,Landrum Beard 
21,Harper James
21,Andrew Sharpe
27,Amos Dufore
47,Daniel Schlichtig
52,Benjamin Masse
68,Caleb Picard
77,Matthew Sutherland
99,Joseph Richards
b,r,e,a,k
Franciscan,8
1,Matt Mirabello
2,Louis Heisler
5,Nicholas OBrien
7,Nick Judge
9,Edmund Colliflower
04,John Craig
12,Ben Lyle
13,Adam Hawk
15,Jared Stommes
17,Austin Volk
21,Justin Bennett
22,Dominic Schuster
32,Gaven Alcantara
42,Alex Spieldenner
54,Matthew Muldoon
86,Matthew Evans
89,Paul Henley
97,Scott Forrester
99,Dominic Gabriele
b,r,e,a,k
Air Force,1
0,Jeremy Moran
0,Logan Morrison
0,Nicholas Forbes
3,Zach Arns
4,Kainoa Chun-Moy
7,Michael Delatte
9,Keanu Komar
14,Caden Kulp
17,Theodore Jantscher
19,Wyatt Lake
22,Solomon Hanson
23,Matthew Frierson
26,Matthew Chmiel
34,Matthew Moshea
36,William Cooper
38,Isaiah Butcher
42,Alan Villanueva
43,Charles Wasz
44,Robert Warner
46,Michael Higgins
48,Andrew Clapp
54,Frank Duvall
88,Juan Ramos
b,r,e,a,k
Berry,3
0,Brett Cain
0,Caleb Enright
0,Chris Gmeiner
0,Hunter Abell
0,Joel Levinson 
0,Joseph Martell
0,Luke Edwards
0,Matthew Magill
0,Sean Martinelli
0,Townsend Stewart
2,Conlan  Delorenzo
4,Ryan Shaw
11,Walter Ellard
12,Adekale Ande
28,Bruno Rosa
50,Miles Lally
b,r,e,a,k
North Carolina-Asheville,16
0,Mac Schilder
1,Logan Dye
2,Quillan Manning
4,Jacob Warshauer
5,Alex Mancini
6,Collin Wilkes
7,Kavin Srikanth
10,Harrison Ungert
11,Wilson Matthews
12,Brackett Lyons
13,Darius Anglin
17,Jadon Clark
18,Ethan Cole
19,David Pulse
20,Jamie Douglass
21,Martin Phillips
22,Paul Ikenberry
24,Ben Hollrah
26,Jonas Buser
30,Nathaniel Griffith
34,Dakota Herzig
42,Henry Hill
55,Dean Merritt
69,Evan Johnson
84,Thomas Morton
88,Bow Rudolph
99,Aaron Sumner
99,Laramie Nifong
b,r,e,a,k
Elon,6
0,Alex DiMassimo
0,Amon Ferrell
0,Austin Kreeger
0,Ben Helpin
0,Carson Blythe
0,Christofer Moreira
0,Christopher Ervin
0,Devin Lewis
0,Harrison Ornest-Leslie
0,Jacob  Wheeler
0,Jake Brewster
0,Jansen Redler
0,Jesse Newman
0,Jonathan  Duen
0,Joshua  Wimer
0,Kyle Cho
0,Liam Brailey
0,Matthew Oertel
0,Remy Benzel
0,Richard DeWine
0,Michael Lesmez
0,Mikey Golaski
0,Wil Fiegoli
1,Sam Alston
2,Garrett Wibbelsman
4,Ethan Gould
5,Andy Galkin
5,Josh Strauss
6,Jake Parrish
8,Jack Libby
9,Daniel Ryan
13,Daniel Byrne
16,Blake Fang
24,Connor Whiffen
36,Peter Brennan
49,Matthew Minford
69,Josh Poland
87,Thomas Murphy
b,r,e,a,k
Messiah,12
00,Bryan Slusser
00,Corey Bean
00,Daniel Vallette
00,Geoffrey McClary
00,Jacob Whipple
00,Joshua Beiler
00,Logan Knepper
00,Matthew O'Neil
00,Andrew Hernandez
00,Reece Horne
00,Xavier Diaz
11,Mitchell Lauer
14,Billy Minner
26,Nathan Henry
28,Josh Kripas
81,Zachary Feister
94,Nate Harnish
b,r,e,a,k
Missouri S&T,14
3,Jake Welsh
02,Ray Mauntel
04,John Mauntel
05,Quinten Volz
06,Paul Knapp
07,Ryan Hays
08,Dustin Rolfe
10,Ezekiel Peterson
12,Brendan Carriel
16,Nate Clancy
20,Jared McKay
24,William (Will) Imming
25,Nathan Kamp
27,Cameron Leonard
28,Eric Chavez
32,Kyle Johnson
34,"Anthony Terry, Jr"
35,Matthew Gentry
44,Lawrence Eastman
69,Robert Taylor
78,Mitchell Zimmmermann
b,r,e,a,k
High Point,10
1,Matthew Redbord
4,Alex Smith
7,Ashley King
10,Austin Murray
11,Justin Stafford
12,christopher Trudeau
13,Pete Isler
14,Michael Sellers
17,Colin McCarrie
18,Jason Haber
20,Jake Heins
22,Ryan Willome
23,Hunter Ayyad
24,Ben Reedy
45,Gage Rachels
69,Luke Verdeur
69,Rory Pako
83,Joseph Crowley
88,William Peters
99,Conner Sager
b,r,e,a,k
Samford,20
0,Brian Richey
0,Camp Wilhelm
0,Crews Kay
0,Daniel Maynard
0,Garrett Payton
0,John Rooney
0,Jonathan Taylor
0,Justin Samuel
0,Kevan Coyle
0,Preston Bates
0,Ryan Condra
0,Ryan Cliff
0,Will Gatlin
0,William Tucker
0,Zach Brown
2,Colton Bassett
3,David Yancey
