Chesapeake Open 2019,Club - Mixed ,10,8,2019
https://play.usaultimate.org/events/Chesapeake-Open-2019/schedule/Mixed/Club-Mixed
Steamboat,5
01,Scott Schriner
02,Sophainara Long
04,Andriana Tompary
05,Ryan Gorman
06,Patrick McCarthy
07,Bryan Walsh
08,Tim Settles
09,Ellie Jose
10,Hector Rivera
12,Sydney Olund
13,Kristin Baxter
19,Kate McInerney
21,Daniel Latz
22,Brittany Winner
23,Xavier Payne
24,Michael Settles
28,Jeff Haney
33,Austin Winner
38,Joe Mozloom Jr
42,Ashley Farnkopf
45,Kristen Kaweck
77,Daniel Khoe
91,Noah Krumme
99,Jennifer Golan
b,r,e,a,k
Alloy,1
0,Matthew Poole
01,Christie Lawry
02,Sean Newell
03,Maria Bajzek
08,Victoria Rollin
11,Leo Warren
12,Nicole Fiorentino
13,Jesse Kummer
15,Will Helenski
17,Robin Eng
20,Charlotte Koerner
21,Elizabeth Manturuk
22,Mark Pitts
24,Sam Schurer
26,Kelsey Cowles
27,Darra Reppermund
34,Will Hoffenkamp
37,Alan Gruntz
46,Amy Buck
72,Joseph Norby
82,Isaac Smith
85,William Hefferon
88,Christopher Martin
92,Jesse Evans
b,r,e,a,k
Rally,4
00,Alexander Koch
00,Andrew Allen
00,Anna Wysen
00,Brian O'Hara
00,Brittany Taylor
00,Carolyn Ng
00,Dane Warner
00,Genevieve Leo
00,Graham Turner
00,Janie Mockrish
00,Jillian Banner
00,Katina Russell
00,Maggie Soto
00,Margaret Pendleton
00,Meg Tucker
00,O'Linda (Blaise) Sevier
00,Owen Churchill
00,Rebecca Driver
00,Sami Smalling
00,Samuel Brecker
00,Scott Campbell
00,Stephen Ng
00,Steven Wartinbee
00,Will Yetvin
00,Xavier Maxstadt
06,Thomas Piper
19,Noah Newberger
b,r,e,a,k
Sparkle Ponies,8
0,Caroline Loh
0,Andrew Gravunder
1,Paul Butterfoss
3,Chris Muller
5,Keerti Goorah
8,Max Trifillis
9,Kelsey Hales
11,Maria Packard
12,Reagan Grabowski
13,Dan Jacobson
14,Lily Eisner
17,Isabella Cova
19,Christine Tomasic
20,Abigail Obuchowski
22,Michaela Gramzinski
24,Jack Reickel
28,Hanna Finigan
30,James McIntyre
34,Austin Do
35,Jack Carol
36,Lauren Edwards
40,Dan Grabowski
44,Gunnar Olgren
76,Lia Yamamoto Schwartz
82,Seth Buchsbaum
88,Corrie Willson
99,Jarnail Bajwa
b,r,e,a,k
Metro North,9
0,Anna Tarren
0,Cara Brown
0,Elizabeth Clark
0,Eric Hemphill
0,Garrett Clay
0,Kaitlyn Clay
0,Alex (Wei Yuh) Chang
2,Jenna Forman
7,Katherine England
7,James Greeno
7,Gabriel Schmitt
7,Elizabeth Middleton
9,Austin Raymond
9,Victoria Sanchez
9,Patrick Laramee
10,Matt Chun
12,Emma Stoltze
19,Jacob Komenda
24,Seth Canetti
42,Mary Glickman
44,Luke Perkins
47,Lucas Murphy
80,John Palmer
91,Daniel Vandam
92,Bryan Forman
b,r,e,a,k
Bucket,2
0,Dana Rose
1,James ONeal (Neal) Hollis
3,Aidan Rogers
5,Emily Karoblis
6,Beret Amundson
7,Katherine Yost
8,Timothy Brady
9,Patrick Dougherty
9,Erik Jorgensen
10,Jeffrey Minowa
10,Michael Venezia
13,Matthew Hardman
16,Almaze Lema
20,Aileen Thomas
23,Lizzie Jones
24,Victor Pria
29,Katie Gainer
33,Caroline Taylor
40,Hunter Cutts
44,Samantha Hill
55,Evelina Pierce
58,Brian Walsh
83,Shanye Crawford
88,Brandon Li
96,Logan Bonds
b,r,e,a,k
League of Shadows,6
0,Alison Hill
0,Amanda Giles
0,Casey  Phalen
0,Connor Haines
0,Daniel Hartsoe
0,David Lyle
0,George Holt
0,Jack Deschler
0,Jaelee Cruz
0,Jason Shnipes
0,Meredith Duffy
0,Shi-Min Chin
0,Thomas Barry
1,Patricia Neckowicz
4,Daniel Rosengard
5,Qingyun Lu
10,Nevil Desai
13,Oliver Chartock
13,Leo Blooston
17,Lillian Huang
17,Cici Wang
19,Karissa  Tabtieng
21,Charles Marokhovsky
24,Danae Rammos
29,Tate Tabtieng
55,Stephen Mock
77,Matthew Fasano
b,r,e,a,k
Storm,3
0,Aaron Coble
0,Cacey-Jane Bunch
0,Eric Olson
0,Grace Engle
0,Matthew May
0,Matthew Cameron
0,Micah Hood
0,Nathan Lyle
0,Paul Grabowski
0,Samuel Lee
0,Sarah May
0,Sean Kelley
0,Sharon Crawford
0,Stephanie Herman
6,Dylan Welchman
7,Jessica Grabowski
9,Miller Yoho
12,Philip Hadwiger
13,Jocelyn Keung
16,Briana Campbell
19,Alyssa Belsito
22,Brian Casey
28,Andrew Gruninger
30,Savannah Hadwiger
33,Abigail Barry
49,Bethany McDill
49,Sullivan Wilkes
b,r,e,a,k
8 Bit Heroes,10
0,Bryson Cramer
0,Celina Holler
0,Daniel Kaste
0,Daniel Downs
0,Jamie Roan
0,Jordan Vanasdale
0,Justin Solis
0,Emily Grimes
0,Marie Collins
0,Tasha Hendershot
1,Robert McClughan
6,Chris Pliszak
7,Allyson Golightly
11,Liz Grimes
12,Bryan Nadeau
15,Zach VanDerwerker
16,Diana Burke
18,Mike Randow
19,Eric Helm
25,Ethan Krokonko
27,Scott Bennett
28,Lennart Knight
47,Rachel Moser
73,Mark Flores
88,Robert Pratt
94,Abigail Antolick
b,r,e,a,k
Grand Army,7
0,Christopher Cox
0,Gina Stees
0,Hazuki Irie
0,Henry Zhang
0,Iris Malfetano
0,Jae Lee
0,Jeannine Opie
0,Jimmy Chen
0,Abigail Schuster
0,Alicia Monfre
0,Andrew Bustle
0,Andrew Werblin
0,Annie Yang
0,Kevin Hsu
0,Kyle Blaeuer
0,Kylie Sterling
0,Miranda Moore
0,Noah Christians
5,Kyla Dayer
13,John Sakon
14,Brianna Dayer
17,Kevin Donlin
24,Sean Petterson
69,Peter Luo
77,Mafe Alizo
b,r,e,a,k
HVAC,12
0,Christine Derieux
00,Connor Dolan
02,Gil Eisbruch
03,Grace Alston
04,Richard Boyle
06,Travis Lynch
07,Jane Peabody
09,Hannah Lincoln
10,Phat Nguyen
13,Nicole Getter
17,Edna Aguilar
19,Fred Wolf
19,Markus Wolf
20,Marlee Akerson
21,Debbie Yoo
24,Jacob Watts-St. Germain
25,Nicole Wilkinson
27,Tyler Coleman
28,Krista Woodward
30,Jeremy Neff
30,Joanne Tomaszkowicz
44,Eric Yoon
65,Josh Levin
81,Ben Frattini
84,Jason Davidson
89,Brendan Thompson
99,Kees Humes
b,r,e,a,k
Ant Madness,11
0,Aidan McLeod
0,Amy Wedmore
0,Anthony Bernard-Sasges
0,Bethany Turner
0,Cassandra Skapek
0,Delana Sobhani
0,Eliana Harnage
0,Emily Kreisel
0,James Robb
0,Katrien Hinderdael
0,Kevin Chiang
0,Lauren Wojcik
0,Meaghan McSorley
0,Nicholas Kwan
0,Sydney Kane
6,Jacob Smith
9,Peter Anderson
9,Alexander Lichtenstein
11,Alex Srisuwan
21,Harper James
24,Adam Shrager
25,Carl Schoenherr
27,Rebecca Meeker
29,Matthew Dennin
31,Andrew Ferraro
53,Jackson Gode
b,r,e,a,k
Rat City,13
0,Dylan McDonough
0,Dylan Leighton
0,Edgar Kunz
0,Kaitlyn Harper
0,Kelly Wallace
0,Kelsey Dennis
0,Kristen Mitsinikos
0,Lex Overholt
0,Gabrielle Aufderheide
0,Golsa Yazdy
0,Tanner Marshall
3,Matthew Maclay
4,Geoffrey Chan
5,Eva Fury
8,Bridget Gallagher
13,Christopher Schulze
13,Echo Presgraves
20,Sean Mizoguchi
27,Edward Speyer
31,Christopher Cahoon
33,Jesse Goldstein
38,Sophia Rosenfeld
41,Gabriel Kaptchuk
61,Carlos Lalimarmo
b,r,e,a,k
Tequila Mockingbird,14
0,Aaron Wida
2,Alexandra Moxley
3,Allison Chmaj
4,Aaron Del Real
6,Chesca Calicdan
7,Jennifer Wu
8,Aaron Bryant
9,Amanda Farah
10,Uzoma Okeke
12,Jonathan Berggren
13,Jimmy Robin
15,Gabby Skifstad
16,Jesse Handler
20,Erika Murray
21,Ben Foster
24,Eric Hallow
27,Daniel Sullivan
30,Jessica Johnson
37,Jessica Hanlon
38,Meredyth Staunch
42,James Sykora
51,Max Hamilton
86,Conrad Nguyen
b,r,e,a,k
Heavy Flow,15
0,Andrew Young
0,Cara Murray
0,Danica Palacio
0,Erica Yee
0,Erin Barclay
0,John Brun
0,David Ness
0,Kristen Collar
0,Meghan Gloyd
0,Russell Scrivens
0,Stephanie Ray
0,Stephen Nichols
4,Amy Whetter
7,Derrick Fyfield
10,Elias White
11,Rachel White
16,Simeon Lee
16,Alec Hirschauer
22,Lance Gardner
23,Jordan Lewis
25,Natalie Drake
42,Daniel Moore
43,Anya Lagasse
44,Christian Lund
73,Brian Jollie
78,Sam Shiao
88,Justin Chu
b,r,e,a,k
Chaotic Good,16
0,Andrew Applegate
0,Axis Sivitz
0,Benjamin Rosenfeld
0,Christopher Mark
0,Claire Rostov
0,Erica Tangney
0,Jaime Benites
0,Jaquille Jones
0,Kathryn Haapala
0,Matthew NK Smith
0,Meghan O'Hearn
1,Shawna Zielstorff
2,Matt Goldberg
3,Samantha Paulsen
5,Raymond Tetreault
6,Lauren Bertino
9,Andrew Yale
10,Olivia Player
11,Jacob Dummeldinger
26,Hannah Barnstone
40,Holden Cookson
99,Dan Huddell
99,Nicholas Lucchesi
b,r,e,a,k
Fleet,17
0,Alexis Faccone
0,Annalise Humm
0,Chris Neitzey
0,Daniel Selwyn
0,Emily Christ
0,Gabriella Hunt
0,Jonathan Ginsberg
0,Kara Schulden
0,Matt Williams
0,Matthew Radhe
0,Patrick Gerald
0,Samantha Sesum
6,Michael Sharma
9,Casey Vaughn
12,Andrew Ishikawa
19,Kyle Morgan
21,Will Oktavec
27,Molly Schneider
42,Jeffrey Hoch
63,Jon Pressimone
69,Manuel Miranda
69,Kristina Humm
69,Ryan Bates
b,r,e,a,k
Legion,18
0,Katherine Clark
0,Taylor Engen
2,Kevin Habermas
3,Ashley Mast
5,Connor High
6,Jake Norman
7,Taylor Brooks
8,Kristiana Preus
9,Alexis Taylor
12,Jonathan Mast
13,Ali Rockett
15,Brendan Kinne
18,Krista Habermas
21,Daniel Mills
22,Rebekah Forrer
24,Jillianne  Engen
25,Elizabeth Ware
26,James Howell
27,Maddy Spear
34,Andrew Sharpe
37,Brandon Lison
42,Justin Morrison
47,Billy Harmon
82,Hannah VerasAlba
88,Geoffrey Bernardo
b,r,e,a,k
Crucible,19
0,Angelena Bohman
0,Annette Kukunas
0,Aaron Weiss
0,Christina Poole
0,Ian Piper
0,Kellie Lindstrom
0,Laura Perkins
0,Lauren Franke
0,Lora Waybright
0,Matt Stavinga
0,Nathan Conroy
2,Chloe Stiles
3,Taha Udyawar
4,Marla Breitbarth
8,Amanda Erlandson
9,Katelyn Stavinga
13,Zachary Risinger
20,Andrew Turgeon
22,Connor Tipping
25,Rachel Olszewski
28,Steven May
31,Anthony Erlandson
31,Brady Zbikowski
80,Jay Walker
89,Eric Petrow
b,r,e,a,k
District Cocktails,20
0,Anne Scholle
0,Benjamin Holgash
0,Charles Yu
0,Daniel Bowman
0,Eric Beier
0,Erik Larmore
0,Galen Reifsnider
0,Ian Edgell
0,Jennifer Pridemore
0,Elias Benda
0,Karenna Genzlinger
0,Kelly Anderson
0,Samantha Melconian
2,Michael Margala
2,Justin Fang
9,John Giannini
11,Diane Simunek
16,Andrew White
16,Collin Brooks
16,Margaret (Meg) Shea
17,Rylee Cone
27,Alex Kimmelman
29,Eric Lempa
38,Michelle Gung
49,Sophie Crochet
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Alloy,Metro North,13,6,"08/10/2019, 09:00",Pool A
Steamboat,Sparkle Ponies,13,6,"08/10/2019, 09:00",Pool A
Alloy,Steamboat,8,9,"08/10/2019, 10:45",Pool A
Rally,Sparkle Ponies,13,3,"08/10/2019, 10:45",Pool A
Sparkle Ponies,Metro North,11,7,"08/10/2019, 12:30",Pool A
Rally,Steamboat,8,13,"08/10/2019, 12:30",Pool A
Alloy,Sparkle Ponies,12,9,"08/10/2019, 14:15",Pool A
Rally,Metro North,12,7,"08/10/2019, 14:15",Pool A
Alloy,Rally,12,10,"08/10/2019, 16:00",Pool A
Steamboat,Metro North,12,6,"08/10/2019, 16:00",Pool A
pool,Pool B
Bucket,8 Bit Heroes,13,10,"08/10/2019, 09:00",Pool B
League of Shadows,Grand Army,13,10,"08/10/2019, 09:00",Pool B
Bucket,League of Shadows,10,7,"08/10/2019, 10:45",Pool B
Storm,Grand Army,12,10,"08/10/2019, 10:45",Pool B
Grand Army,8 Bit Heroes,8,12,"08/10/2019, 12:30",Pool B
Storm,League of Shadows,7,11,"08/10/2019, 12:30",Pool B
Bucket,Grand Army,13,8,"08/10/2019, 14:15",Pool B
Storm,8 Bit Heroes,13,4,"08/10/2019, 14:15",Pool B
Bucket,Storm,12,7,"08/10/2019, 16:00",Pool B
League of Shadows,8 Bit Heroes,11,10,"08/10/2019, 16:00",Pool B
pool,Pool C
Ant Madness,Heavy Flow,13,4,"08/10/2019, 09:00",Pool C
Rat City,Tequila Mockingbird,13,12,"08/10/2019, 09:00",Pool C
Ant Madness,Rat City,12,7,"08/10/2019, 10:45",Pool C
HVAC,Tequila Mockingbird,12,10,"08/10/2019, 10:45",Pool C
Tequila Mockingbird,Heavy Flow,10,3,"08/10/2019, 12:30",Pool C
HVAC,Rat City,13,8,"08/10/2019, 12:30",Pool C
Ant Madness,Tequila Mockingbird,13,5,"08/10/2019, 14:15",Pool C
HVAC,Heavy Flow,13,6,"08/10/2019, 14:15",Pool C
Ant Madness,HVAC,10,12,"08/10/2019, 16:00",Pool C
Rat City,Heavy Flow,12,8,"08/10/2019, 16:00",Pool C
pool,Pool D
Chaotic Good,District Cocktails,13,4,"08/10/2019, 09:00",Pool D
Legion,Crucible,11,8,"08/10/2019, 09:00",Pool D
Chaotic Good,Legion,12,8,"08/10/2019, 10:45",Pool D
Fleet,Crucible,10,11,"08/10/2019, 10:45",Pool D
Crucible,District Cocktails,11,6,"08/10/2019, 12:30",Pool D
Fleet,Legion,10,7,"08/10/2019, 12:30",Pool D
Chaotic Good,Crucible,13,5,"08/10/2019, 14:15",Pool D
Fleet,District Cocktails,10,5,"08/10/2019, 14:15",Pool D
Chaotic Good,Fleet,11,9,"08/10/2019, 16:00",Pool D
Legion,District Cocktails,11,7,"08/10/2019, 16:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Steamboat,Bucket,14,13,"08/11/2019, 14:30",Finals
Steamboat,Rally,10,9,"08/11/2019, 12:30",Semifinals
Bucket,Alloy,15,8,"08/11/2019, 12:30",Semifinals
Steamboat,8 Bit Heroes,15,6,"08/11/2019, 10:30",Quarterfinals
League of Shadows,Rally,7,13,"08/11/2019, 10:30",Quarterfinals
Bucket,Sparkle Ponies,13,12,"08/11/2019, 10:30",Quarterfinals
Alloy,Storm,13,8,"08/11/2019, 10:30",Quarterfinals
8 Bit Heroes,Metro North,13,11,"08/11/2019, 08:30",Pre-Quarters
Rally,HVAC,14,12,"08/11/2019, 08:30",Pre-Quarters
Sparkle Ponies,Grand Army,14,12,"08/11/2019, 08:30",Pre-Quarters
Storm,Chaotic Good,14,5,"08/11/2019, 08:30",Pre-Quarters
bracket,13th Place Bracket
Ant Madness,Fleet,15,10,"08/11/2019, 14:30",13th Place Game
Ant Madness,Tequila Mockingbird,12,9,"08/11/2019, 12:30",13th Place Semis
Fleet,Rat City,14,8,"08/11/2019, 12:30",13th Place Semis
Ant Madness,District Cocktails,13,8,"08/11/2019, 10:30",13th Place Quarters
Legion,Tequila Mockingbird,9,13,"08/11/2019, 10:30",13th Place Quarters
