Great Lakes Mixed Club Regional Championship 2019,Club - Mixed ,21,9,2019
https://play.usaultimate.org/events/Great-Lakes-Mixed-Club-Regional-Championship-2019/schedule/Mixed/Club-Mixed
Steamboat,1
01,Scott Schriner
02,Sophainara Long
04,Andriana Tompary
05,Ryan Gorman
06,Patrick McCarthy
07,Bryan Walsh
08,Tim Settles
09,Ellie Jose
10,Hector Rivera
12,Sydney Olund
13,Kristin Baxter
17,Claire Schwaba
19,Kate McInerney
21,Daniel Latz
22,Brittany Winner
23,Xavier Payne
24,Michael Settles
28,Jeff Haney
29,Machen Bihrle
33,Austin Winner
38,Joe Mozloom Jr
42,Ashley Farnkopf
45,Kristen Kaweck
74,Victoria Smith
77,Daniel Khoe
91,Noah Krumme
99,Maddie Samson
b,r,e,a,k
EMU,13
0,Andrew Patel
0,Cindy Mei
0,Collin Klenke
0,Jacob Wham
0,Jessica Esteves
0,Jordan Brooks
0,Kenneth Allen
0,Rey Tang
0,Talia Willmert
1,Sarah Johnson
12,Taylor  Pochetti
15,Max Moore
19,Anna Scarbrough
25,Hindeke Tewodros
41,Christian Rozolis
44,Grace Young
55,Grace Goulson
85,Hunter Latson
88,Catherine Chen
88,Jason Paul
99,Joe Harari
b,r,e,a,k
Nothing's Great Again (aka Babymaker),8
0,Amy Young
0,Angelo Artemakis
0,Cameron Bennett
0,Evan Hock
0,Lily LeDonne
0,Lourdes Pimentel
0,Mary Sullivan
0,Max Hodgson
0,Nicole Cantello
2,Ben Sabourin
05,CJ O'Brien
07,Heidi Heslinga
08,Lynne Nolan
10,Eleanor Flanagin
11,Mac Weber
17,Rob Greenberg
22,Molly Greenberg
24,Michelle Kruse
28,Ricky Chung
30,Sam Lang
34,John Hock
35,Emilee LeDonne
45,Gary LeDonne
47,Dan Kang
54,Andrew Delorenzo
77,David Woods
88,Leo Wang
b,r,e,a,k
Los  Heros,12
0,Gus Klofta
1,Madilynn Werbianskyj
3,Parker Harding
4,Ryan Opal
5,Connor Regan
6,Megan Peplinski
7,James Quill
9,Shannon Regan
10,Benjamin Gerroll
14,Alicia Freel
15,Audrey Williams
16,Jacqueline Lai
17,Forrest Jackson
19,Benjamin Adams
22,Emily Wyckoff
24,Claire Soisson
25,Raymundo Lopez
32,Mackenzie Alameda
34,Geri McInerney
40,Jacob Lucas
43,Caleb Ritchey
44,Kye Butler
69,Mey McLean
72,Trevor Cook
84,Vaughn Vargo-Alevras
89,Daniel Clement
91,Eric Johnson
b,r,e,a,k
Columbus Cocktails,2
0,Ben Sever
0,Caitlin Duffner
0,Cara Sieber
0,Caroline Gulla
0,Eliot Alexander
0,Elizabeth Diamond
0,Emily Barrett
0,Jeffrey Brauning
0,Jordan O'Neill
0,Lexie Thomas
0,Lloyd Furuta
0,Michael Kromer
0,Neil Taylor
0,Whitney Schott
2,Sion Agami Contreras
2,Funing Zhang
2,Alex Flamm
4,Zachary Braun
4,David Valentine-Elam
9,Ryan Kindell
11,Jackie Matonis
17,Benjamin Reith
18,Axel Agami Contreras
22,Mallory Griffith
43,Chloe Lim
47,Phil Cherosky
88,Madeleine Pletzke
b,r,e,a,k
Shakedown,7
0,Caitlin Hayner-Slattery
0,Caroline Mueller
0,Emily Muscat
0,Katelynn Zacharias
0,Larkin Johnson
0,Leigh Dairaghi
0,Max Trotter
0,Michael Lipman
0,Sarah Warren
0,Simon Johansen
1,Adam Klaus
2,James Roush
7,Kelvin Koster
12,Rodrigo Arcibar
13,Phoebe Evans
19,Nathan King
23,Kyle Trojan
23,Kathryn Kembitzky
23,Dominic Guzzarde
25,Elaine Sundberg
25,Jordan Lange
47,Grant Whitman
48,Matt Godfrey
54,Lauren Guzman
81,Jake Smith
81,Erika Wagner
b,r,e,a,k
Liquid Hustle,11
0,Benjamin Hannan
0,Briana Mork
0,Charlette Peyer
0,Freddie Dixson
0,Jared Peyer
0,Jesse Jenkins
0,Joseph Byerly
0,Kelsie Sparks
0,Noah Peyer
0,Sarah Haynie
0,Zion Huber
2,Trevor Russell
3,Catherine Soto Lozada
9,Nathan Partenheimer
10,Kole Pempek
11,Emma Sirkin
11,Margaret Nelson
13,Jared Saltsman
13,Nathan Hershberger
14,Sam Settlemyre
23,Julie Raduenz
25,Kyle Brun
35,Paul Avilez
42,Kelly Kerker
66,Collin Koury
69,Brittney Ballard
74,Collin McCartney
b,r,e,a,k
ELevate,14
1,Will Hsieh
3,Bridget Doherty
4,William Horwitz
5,Dennis Gisler
11,Lauren Miller
12,Pedrom Rejai
13,Samantha Sadlier
14,Kelly Hopps
18,Grace Feehan
21,Benjamin Macalalad
22,Giovi Kelly
23,Kristine McLellan
26,Scott Anding
27,Molly O’Donnell
36,Talia Fishman-Strait
40,Alex Kowalczuk
42,Ryan Albright
43,Kyle Bayes
44,Meredith Sommars
47,Jeff Sommars
48,Alina Dain
71,Matt Gubernick
79,Tim Hopps
99,Samuel Fishman-Strait
b,r,e,a,k
U54 Ultimate,3
0,Laura Moore
01,Taylor Kraemer
02,Michael Shiel
03,Kathleen Dyer
04,Lizzy Shiel
05,Andrew Sheehan
07,Kevin Yngve
09,Charles Furse
10,Christine Huffer
11,Craig Poeppelman
12,Emlia Garcia
15,Kimberly Streff
21,David Wiseman
22,Kyle Cox
23,Emily Hadel
26,Kevin Kelly
27,Angelina Kim
29,Michael Schwenk
32,Carol Li
33,Carl Deffenbaugh
36,Timothy Fergus
37,Daniel Williams
51,Cullen Geppert
64,Neal Phelps
77,Sara Miller
80,Valentina Shiel (Ngai)
99,George Hughes
b,r,e,a,k
Petey's Pirates,6
0,Claire Ackerman
0,Dakota Regan
0,Dylan Elder
0,Eric Border
0,Gordon (Gordy) Sjostrom
0,Alora Reiff
0,Karli Bigler
0,Kelly Ross
0,Monica Tournoux
0,Rebecca Rings
0,Sarah San Pedro
0,Stephan Dober
0,Trimon Lamson
0,Tyler Higgins
3,Austin Eilbeck
7,Luke Groom
12,Alec Mathena
16,Jennifer Dai
17,Kelsey  Dober
19,Sebastian Miner
32,Nate Dikeman
34,James (Drew) Barkley
59,Todd Miller
69,Chan Woo Park
78,Tiffany Lim
95,Kristen Behrens
b,r,e,a,k
Moonshine,15
0,Cory Radcliff
0,Elizabeth Meyer
0,Eric  Sellers
0,Ian Spangler
0,Isabella Hansen
0,Jaimie Esaki
0,Jason Rueger
0,Jessica Neal
0,Amanda Morris
0,Asher Finkel
0,Kasey Schock
0,LJ Spurlock
0,Matthew  John
0,Mark Carr
0,Rebekah Taylor
2,Matt Brown
3,Ben Luckey
5,Joshua Wu
9,Caleb Montgomery
12,Kendall Archer
21,Micah Smith
32,Alexandra McMackin
36,Nate Maddux
45,Matt McMackin
54,Olivia Pokoski
72,Lula Dutille
b,r,e,a,k
Tequila Mockingbird,10
0,Aaron Wida
0,Kevin Selm
2,Alexandra Moxley
3,Allison Chmaj
4,Aaron Del Real
6,Chesca Calicdan
7,Jennifer Wu
8,Aaron Bryant
9,Amanda Farah
10,Uzoma Okeke
13,Jimmy Robin
15,Gabby Skifstad
16,Jesse Handler
20,Erika Murray
21,Ben Foster
24,Eric Hallow
27,Daniel Sullivan
30,Jessica Johnson
37,Jessica Hanlon
38,Meredyth Staunch
42,James Sykora
45,Brenton Hard
51,Max Hamilton
86,Conrad Nguyen
b,r,e,a,k
Hybrid,4
01,Alex Edinger
02,Justin Perticone
05,Hannah Cheng
07,Elizabeth Benedetto
08,Dan Donovan
10,Connor Lukas
11,Jacob Scobey-Polacheck
12,Leah Cann
14,Tessa Champoux
15,Alex Bertoia
16,Marissa Ray
17,John Goodwin
20,Madalyn Simko
21,Christina Hanson
22,Michael Dagher-Margosian
23,Alex Kapiamba
25,Amanda Decker
27,Bailey Besser
30,James Highsmith
34,Annie Mei
35,Joseph Besser
42,Mike Ogren
61,Riely Kuznicki
84,Nathan Champoux
88,Mark Whitton
90,Eryn Ogren
94,Ryan Ivey
b,r,e,a,k
Toast,5
0,Brendan Schwalm
0,Carmella Vizza
0,Cian Johnson
0,Corie Auger
0,Edward Taylor
0,Madeline Guimond
0,Mitchell DeNooyer
1,Sean Clark
1,Michael Mansfield
2,Lucinda Toppen
5,Owen O'Neil
5,Ryan Lee
9,Anna McClurkan
13,Brian Keefe
14,Trevor Polisuk-Balfour
15,Brittany  Dooley
16,Samantha Phillips
19,Aaron Riess
20,Zach Jawahir
22,Jamie Petroelje
29,Jayleen Rossi
32,Justine Volz
54,Aaron Schwieterman
84,Michael Weber
85,Michael Stephen
92,Greg Hensen
99,Mya Hernandez
b,r,e,a,k
Stripes,9
0,Audrey Sanchez
0,Emily Molloy
0,Erin Newman
0,Gail Reich
0,Jeffrey Spetter
0,Jessica Sipperley
0,Kevin Hanzel
0,Kyle Sternkopf
0,Martha Dunbar
0,Michelle Mingay
0,Nate Boddy
0,Nick Myhre
0,Nick Sanchez
0,Alex Nimmer
0,Alex Birko
0,Sarah Arnberger
0,Sean Parker
2,Rob Hirsch
3,Michael Egan
9,Jorge Duarte
10,Robert Lau
11,Kevin Wickman
16,Alison Ellis
81,Michael McCafferty
b,r,e,a,k
Goose Lee,16
02,Mary Timmons
05,Connor Shirley
06,Matt Woods
07,Michael Partusch
08,Timothy Hale
09,Dominic Camperchioli
10,Chris Alber
11,Sam Dreyfuss
12,Sophia Needham
13,John Cassidy
14,Kameron Horn
15,Aaron Bacon
18,Kegan Carroll
19,Samuel Fox
22,Liz Anderson
24,Julia Desrosiers
27,Emilee Armbruster
28,Sylvia Ulmer
29,Bailey Perkins
31,Kit Carle
31,Maria Dienger
33,Aaron Cannon
44,Malika Smoot
54,Jacob Fields
59,Daniel Brissette
66,Daniel Conrad
81,Kimberly Cooper
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Nothing's Great Again (aka Babymaker),EMU,9,13,"09/21/2019, 09:30",Pool A
Steamboat,Los  Heros,13,5,"09/21/2019, 09:30",Pool A
Nothing's Great Again (aka Babymaker),Los  Heros,13,6,"09/21/2019, 11:10",Pool A
Steamboat,EMU,13,4,"09/21/2019, 11:10",Pool A
Los  Heros,EMU,9,12,"09/21/2019, 12:50",Pool A
Steamboat,Nothing's Great Again (aka Babymaker),13,7,"09/21/2019, 12:50",Pool A
pool,Pool B
Shakedown,ELevate,11,6,"09/21/2019, 09:30",Pool B
Columbus Cocktails,Liquid Hustle,13,6,"09/21/2019, 09:30",Pool B
Shakedown,Liquid Hustle,13,10,"09/21/2019, 11:10",Pool B
Columbus Cocktails,ELevate,12,5,"09/21/2019, 11:10",Pool B
Liquid Hustle,ELevate,13,7,"09/21/2019, 14:30",Pool B
Columbus Cocktails,Shakedown,13,6,"09/21/2019, 14:30",Pool B
pool,Pool C
Petey's Pirates,Moonshine,13,8,"09/21/2019, 09:30",Pool C
U54 Ultimate,Tequila Mockingbird,13,6,"09/21/2019, 09:30",Pool C
Petey's Pirates,Tequila Mockingbird,10,9,"09/21/2019, 11:10",Pool C
U54 Ultimate,Moonshine,13,1,"09/21/2019, 11:10",Pool C
Tequila Mockingbird,Moonshine,9,13,"09/21/2019, 14:30",Pool C
U54 Ultimate,Petey's Pirates,13,3,"09/21/2019, 14:30",Pool C
pool,Pool D
Toast,Goose Lee,13,9,"09/21/2019, 09:30",Pool D
Hybrid,Stripes,14,12,"09/21/2019, 09:30",Pool D
Toast,Stripes,11,9,"09/21/2019, 11:10",Pool D
Hybrid,Goose Lee,13,1,"09/21/2019, 11:10",Pool D
Hybrid,Toast,11,7,"09/21/2019, 12:50",Pool D
Stripes,Goose Lee,13,10,"09/21/2019, 12:50",Pool D
b,r,e,a,k
brackets,Championship Brackets
bracket,1st Place
Hybrid,Columbus Cocktails,8,13,"09/22/2019, 14:50",1st/2nd Place
Steamboat,Hybrid,8,12,"09/22/2019, 13:10",1st Semifinals
U54 Ultimate,Columbus Cocktails,10,12,"09/22/2019, 13:10",1st Semifinals
Steamboat,Shakedown,13,2,"09/22/2019, 11:30",1st Quarters
Hybrid,Petey's Pirates,13,5,"09/22/2019, 11:30",1st Quarters
U54 Ultimate,Toast,13,4,"09/22/2019, 11:30",1st Quarters
Columbus Cocktails,Stripes,13,5,"09/22/2019, 11:30",1st Quarters
Shakedown,Moonshine,13,11,"09/21/2019, 16:10",1st Prequarters
Petey's Pirates,Liquid Hustle,13,8,"09/21/2019, 16:10",1st Prequarters
Nothing's Great Again (aka Babymaker),Toast,11,13,"09/21/2019, 15:00",1st Prequarters
Stripes,EMU,13,10,"09/21/2019, 15:00",1st Prequarters
bracket,3rd Place
Steamboat,U54 Ultimate,1,0,"09/22/2019, 14:50",3rd/4th Place
bracket,5th Place
Petey's Pirates,Toast,12,11,"09/22/2019, 14:50",5th/6th Place
Shakedown,Petey's Pirates,7,11,"09/22/2019, 13:10",5th Semifinals
Toast,Stripes,11,8,"09/22/2019, 13:10",5th Semifinals
bracket,7th Place
Shakedown,Stripes,0,0,"09/22/2019, 14:50",7th/8th Place
b,r,e,a,k
brackets,Consolation Brackets
bracket,9th Place
Liquid Hustle,Nothing's Great Again (aka Babymaker),12,13,"09/22/2019, 13:10",9th/10th Place
Moonshine,Liquid Hustle,10,12,"09/22/2019, 11:30",9th Semifinals
Nothing's Great Again (aka Babymaker),Tequila Mockingbird,12,11,"09/22/2019, 11:30",9th Semifinals
Los  Heros,Moonshine,10,15,"09/22/2019, 09:30",9th Quarters
Goose Lee,Liquid Hustle,12,13,"09/22/2019, 09:30",9th Quarters
ELevate,Nothing's Great Again (aka Babymaker),7,14,"09/22/2019, 09:30",9th Quarters
Tequila Mockingbird,EMU,14,10,"09/22/2019, 09:30",9th Quarters
bracket,11th Place
Moonshine,Tequila Mockingbird,10,8,"09/22/2019, 13:10",11th/12th Place
bracket,13th Place
Goose Lee,ELevate,12,11,"09/22/2019, 14:50",13/14th Place
Los  Heros,Goose Lee,0,1,"09/22/2019, 11:30",13th Semifinals
ELevate,EMU,1,0,"09/22/2019, 13:10",13th Semifinals
bracket,15th Place
Los  Heros,EMU,0,0,"09/22/2019, 15:30",15th/16th Place
b,r,e,a,k
