CWRUL Memorial 2019,College - Men ,23,3,2019
Columbus,OH,2019-03-23,2019-03-24
https://play.usaultimate.org/events/CWRUL-Memorial-2019/schedule/Men/CollegeMen/
Indiana,1
17,Joshua Shapiro
19,Hanna  Saba
21,Sam Mlawer
22,Duncan Grubbs
26,Noah Meyers
32,Christian Tolfa
77,Kristian Saeter
79,Joel Reiter
81,Alexander Velberg
85,Nicholas Cimaszewski
95,Eli Burk
99,Aaron Hamilton
b,r,e,a,k
Toledo,22
teamInfo,Savage,"Toledo, Ohio",,,
0,Eseosa Aguebor
03,Jesse Kiefer
04,Quinnlan  Hipp
05,Kurt Crockett
07,Trevor Oxley
08,Benjamin Bosela
10,Christin McCarty
12,Josh Kneisel
13,Erik Schaefer
16,Benjamin Netry
19,Dawson Kirkland
20,Aaron Lobenstein
22,Raymond Navor
23,Joshua Behm
25,Andrew  Muir
27,Tristan Bowerman
28,Tristan Smith
28,Denny Olejniczak
33,Trevor Mack
35,Jon Gibson
44,Justin York
69,James Seiler
74,Jonathan Koning
77,Adam Post
81,Camden Hayden
b,r,e,a,k
Northwestern (B),19
teamInfo,Bolt,"Evanston, Illinois",https://www.nutultimate.com,https://www.facebook.com/NUTUltimate,https://twitter.com/BoltUltimate
00,Jason Paul
27,Kevin Zhang
29,Damien Heng
39,Weslly Pan
40,Stephen Council
50,Andrew Kindseth
54,William Sadowski
55,Dhruv Mehra
60,Roman Gavrila
68,Luke Spencer
70,Octavio Bruetman
72,Wyatt DeYoung
73,Benjamin Laning
76,Ravi Chepuri
77,Evan Nagareda
91,Isaac Morris
91,Christian Contreras
b,r,e,a,k
John Carroll,27
teamInfo,Thor Ultimate,"Cleveland, Ohio",https://sites.google.com/jcu.edu/jcuthor,https://www.facebook.com/jcuthor/?ref=aymt_homepage_panel,
2,Chloe Stiles
3,Anthony Pangori
16,Westin Fishel
17,Sean Newell
21,Salvatore Ferrante
24,Ian Golias
26,Elizabeth Sodini
45,Conrad Alfes
50,Marco Augello
56,Calvin Long
b,r,e,a,k
Michigan (B),12
teamInfo,Michigan-B,"Ann Arbor, Michigan",http://www.magnumultimate.com,,https://twitter.com/Reserve2K19
0,Andrew Dazzo
0,Benjamin DeVries
0,Charles Cheong
0,Isaac Katongole
0,Leonard Miller
0,Patrick Fulton
0,Roland Park
0,Rowan Kent
0,Russell Dale
0,Tao Cai
9,Peter Sonnega
10,Ryan Flattery
11,Samuel Ringold
17,Colin Romine
22,Colin Case
31,Brendan Flannagan
49,Adam Assink
54,Alexander Wang
58,Aaron Parsons
61,Ryan Fattal
72,Paul Vander
98,Logan Kroczaleski
b,r,e,a,k
Cedarville,13
teamInfo,Swarm,"Cedarville, Ohio",,,https://twitter.com/cedarvilleuf
0,Austin Land
0,Caleb Tague
0,Matthias Campion
0,Spencer Kussmaul
0,Zachary Bope
1,Malachi Marshall
3,Aaron Cannon
7,Mark Handel
9,Philip White
11,Joshua D'Anna
15,Jake Kenniv
16,Nathanael Olander
17,Stephen Ingis
21,Andrew Harshbarger
24,Zach Von Eiff
25,Aaron Keck
42,Jacob Fierer
46,Nicolas Hill
47,Peter Duttweiler
69,Ethan Beachy
88,Christian Klinker
b,r,e,a,k
Case Western Reserve (B),28
teamInfo,Fighting Gobies,"Cleveland, Ohio",modules/common/ultimate.case.edu,https://www.facebook.com/GobyWarriors,https://twitter.com/FightingGobies
0,Caleb Main
0,Daniel Luo
0,Barry McCoy
0,Dominic Jolley
0,Ian Pallares
0,Jakob Wegmueller
0,Jarrett Hsieh
0,Julian Robinson
0,Kent Taylor
0,Kevin Du
0,Kyle Boxeth
0,Jonah Bode
0,Jonah Sachs-Wetstone
0,Noah Lisle
0,Tristan Greiner
0,Yidi Huang
0,Zachary Loiter
7,David Rodriguez
13,Lan Hong Chen
30,Brian Lin
30,Joseph Sklansky
33,Jason Lou
42,Yugan Sakthi
49,Quinn Foley
55,Reilly Dalleska
61,Derek Lin
69,Haoren Chen
77,Will Oltjen 
b,r,e,a,k
Ohio State-B,20
teamInfo,Big Buckin' Chicken[B],"Columbus, Ohio",,,
0,Curtis Guthrie
0,Justin Niehaus
0,Logan Walters
7,Adam Rupp
7,Brett Fowler
14,Alif Mohd-Amir
21,Andy Ark
28,Tony Rabe
b,r,e,a,k
Western Michigan,21
teamInfo,Dark Horse,"Kalamazoo, Michigan",,,https://twitter.com/DarkHorseUlt
0,Brendan Parzynski
0,Simeon Britting
2,Joseph Marentette
4,Garrett Davis
5,Zachary Turner
7,Matthew Perez
8,Evan Esper
9,Benjamin Dickens
15,Andrew Ambs
17,Jared Winters
18,Adrian Sokol
19,Keeton Bigham-Tsai
24,Patrick Bartolotta
28,Derek Zagon
40,Allen Britton
49,Scott Fish
54,Elijahwa Ninnemann
77,Garrison Gracey
81,Alec DenBraber
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Indiana,Case Western Reserve,13,11,"03/23/2019, 12:20",Pool A,Final
Kentucky,RIT,10,11,"03/23/2019, 12:20",Pool A,Final
Indiana,RIT,13,7,"03/23/2019, 14:00",Pool A,Final
Kentucky,Case Western Reserve,8,9,"03/23/2019, 14:00",Pool A,Final
Case Western Reserve,RIT,13,10,"03/23/2019, 15:40",Pool A,Final
Indiana,Kentucky,11,5,"03/23/2019, 15:40",Pool A,Final
pool,Pool B
Purdue,University of Pittsburgh (B),13,4,"03/23/2019, 09:00",Pool B,Final
Ohio,Vanderbilt,13,9,"03/23/2019, 09:00",Pool B,Final
Purdue,Vanderbilt,13,7,"03/23/2019, 10:40",Pool B,Final
Ohio,University of Pittsburgh (B),13,8,"03/23/2019, 10:40",Pool B,Final
Purdue,Ohio,13,11,"03/23/2019, 14:00",Pool B,Final
University of Pittsburgh (B),Vanderbilt,12,7,"03/23/2019, 14:00",Pool B,Final
pool,Pool C
Dayton,Trine,13,5,"03/23/2019, 09:00",Pool C,Final
Ball State,Ohio Northern,13,7,"03/23/2019, 09:00",Pool C,Final
Dayton,Ball State,13,6,"03/23/2019, 10:40",Pool C,Final
Xavier,Ohio Northern,13,4,"03/23/2019, 10:40",Pool C,Final
Ohio Northern,Trine,9,13,"03/23/2019, 12:20",Pool C,Final
Xavier,Ball State,13,9,"03/23/2019, 12:20",Pool C,Final
Dayton,Ohio Northern,13,4,"03/23/2019, 14:00",Pool C,Final
Xavier,Trine,13,4,"03/23/2019, 14:00",Pool C,Final
Dayton,Xavier,13,7,"03/23/2019, 15:40",Pool C,Final
Ball State,Trine,13,7,"03/23/2019, 15:40",Pool C,Final
pool,Pool D
Syracuse,Kenyon,13,4,"03/23/2019, 10:00",Pool D,Final
Knox,Wright State,12,11,"03/23/2019, 10:00",Pool D,Final
Syracuse,Knox,11,9,"03/23/2019, 11:40",Pool D,Final
Oberlin,Wright State,13,6,"03/23/2019, 11:40",Pool D,Final
Wright State,Kenyon,4,13,"03/23/2019, 13:20",Pool D,Final
Oberlin,Knox,10,9,"03/23/2019, 13:20",Pool D,Final
Syracuse,Wright State,13,6,"03/23/2019, 15:00",Pool D,Final
Oberlin,Kenyon,13,6,"03/23/2019, 15:00",Pool D,Final
Syracuse,Oberlin,13,7,"03/23/2019, 16:40",Pool D,Final
Knox,Kenyon,13,11,"03/23/2019, 16:40",Pool D,Final
pool,Pool E
Lehigh,John Carroll,13,5,"03/23/2019, 09:00",Pool E,Final
Northwestern (B),Toledo,4,12,"03/23/2019, 09:00",Pool E,Final
Lehigh,Northwestern (B),13,3,"03/23/2019, 10:40",Pool E,Final
Rochester,Toledo,9,6,"03/23/2019, 10:40",Pool E,Final
Toledo,John Carroll,11,7,"03/23/2019, 12:20",Pool E,Final
Rochester,Northwestern (B),10,5,"03/23/2019, 12:20",Pool E,Final
Lehigh,Toledo,13,2,"03/23/2019, 14:00",Pool E,Final
Rochester,John Carroll,13,2,"03/23/2019, 14:00",Pool E,Final
Lehigh,Rochester,9,8,"03/23/2019, 15:40",Pool E,Final
Northwestern (B),John Carroll,13,8,"03/23/2019, 15:40",Pool E,Final
pool,Pool F
Michigan (B),Case Western Reserve (B),13,6,"03/23/2019, 09:00",Pool F,Final
Ohio State-B,Western Michigan,12,13,"03/23/2019, 09:00",Pool F,Final
Michigan (B),Ohio State-B,12,7,"03/23/2019, 10:40",Pool F,Final
Cedarville,Western Michigan,11,8,"03/23/2019, 10:40",Pool F,Final
Western Michigan,Case Western Reserve (B),10,12,"03/23/2019, 12:20",Pool F,Final
Cedarville,Ohio State-B,13,3,"03/23/2019, 12:20",Pool F,Final
Michigan (B),Western Michigan,13,0,"03/23/2019, 14:00",Pool F,Final
Cedarville,Case Western Reserve (B),13,1,"03/23/2019, 14:00",Pool F,Final
Michigan (B),Cedarville,13,10,"03/23/2019, 15:40",Pool F,Final
Ohio State-B,Case Western Reserve (B),12,11,"03/23/2019, 15:40",Pool F,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Indiana,Ohio,15,8,"03/24/2019, 14:00",Finals,Final
Indiana,Case Western Reserve,15,9,"03/24/2019, 12:10",Semi Finals,Final
Ohio,Purdue,13,10,"03/24/2019, 12:10",Semi Finals,Final
Indiana,Syracuse,13,9,"03/24/2019, 10:20",Quarters Finals,Final
Case Western Reserve,University of Pittsburgh (B),14,9,"03/24/2019, 10:20",Quarters Finals,Final
Ohio,Michigan (B),15,6,"03/24/2019, 10:20",Quarters Finals,Final
Kentucky,Purdue,8,15,"03/24/2019, 10:20",Quarters Finals,Final
Indiana,Xavier,15,7,"03/24/2019, 08:30",Pre-Quarters,Final
Vanderbilt,Syracuse,9,12,"03/24/2019, 08:30",Pre-Quarters,Final
Case Western Reserve,Cedarville,13,9,"03/24/2019, 08:30",Pre-Quarters,Final
University of Pittsburgh (B),Lehigh,15,11,"03/24/2019, 08:30",Pre-Quarters,Final
Ohio,Rochester,15,8,"03/24/2019, 08:30",Pre-Quarters,Final
RIT,Michigan (B),14,15,"03/24/2019, 08:30",Pre-Quarters,Final
Kentucky,Dayton,12,11,"03/24/2019, 08:30",Pre-Quarters,Final
Purdue,Oberlin,15,8,"03/24/2019, 08:30",Pre-Quarters,Final
bracket,3rd Place
Case Western Reserve,Purdue,8,15,"03/24/2019, 14:00",Finals,Final
bracket,5th Place
Syracuse,Michigan (B),7,15,"03/24/2019, 14:00",Finals,Final
Syracuse,University of Pittsburgh (B),10,9,"03/24/2019, 12:10",Semi-Finals,Final
Michigan (B),Kentucky,11,8,"03/24/2019, 12:10",Semi-Finals,Final
bracket,7th Place
University of Pittsburgh (B),Kentucky,10,11,"03/24/2019, 14:00",Finals,Final
bracket,9th Place
Lehigh,Oberlin,11,13,"03/24/2019, 14:00",Finals,Final
Vanderbilt,Lehigh,10,14,"03/24/2019, 12:10",Semi-Finals,Final
RIT,Oberlin,7,11,"03/24/2019, 12:10",Semi-Finals,Final
Xavier,Vanderbilt,6,14,"03/24/2019, 10:20",Quarter-Finals,Final
Cedarville,Lehigh,8,15,"03/24/2019, 10:20",Quarter-Finals,Final
Rochester,RIT,11,12,"03/24/2019, 10:20",Quarter-Finals,Final
Dayton,Oberlin,7,11,"03/24/2019, 10:20",Quarter-Finals,Final
bracket,11th Place
Vanderbilt,RIT,14,9,"03/24/2019, 14:00",Finals,Final
bracket,13th Place
Cedarville,Dayton,9,10,"03/24/2019, 14:00",Finals,Final
Xavier,Cedarville,12,13,"03/24/2019, 12:10",Semi-Finals,Final
Rochester,Dayton,8,14,"03/24/2019, 12:10",Semi-Finals,Final
bracket,15th Place
Xavier,Rochester,5,8,"03/24/2019, 14:00",Finals,Final
bracket,Chumpionship
Ball State,Knox,1,0,"03/24/2019, 14:00",Finals,Final
Ball State,Wright State,15,9,"03/24/2019, 12:10",Semi-Finals,Final
Knox,Toledo,12,10,"03/24/2019, 12:10",Semi-Finals,Final
Ball State,John Carroll,15,5,"03/24/2019, 10:20",Quarter-Finals,Final
Case Western Reserve (B),Wright State,11,12,"03/24/2019, 10:20",Quarter-Finals,Final
Knox,Trine,15,11,"03/24/2019, 10:20",Quarter-Finals,Final
Toledo,Ohio Northern,15,10,"03/24/2019, 10:20",Quarter-Finals,Final
Trine,Western Michigan,1,0,"03/24/2019, 08:30",Pre-Quarters,Final
Ohio State-B,Ohio Northern,5,15,"03/24/2019, 08:30",Pre-Quarters,Final
Wright State,Northwestern (B),15,9,"03/24/2019, 08:20",Pre-Quarters,Final
Kenyon,John Carroll,13,14,"03/24/2019, 08:20",Pre-Quarters,Final
bracket,19th Place
Wright State,Toledo,0,1,"03/24/2019, 14:00",Finals,Final
bracket,21st Place
Case Western Reserve (B),Ohio Northern,11,15,"03/24/2019, 14:00",Finals,Final
John Carroll,Case Western Reserve (B),0,1,"03/24/2019, 12:10",Semi-Finals,Final
Trine,Ohio Northern,9,15,"03/24/2019, 12:10",Semi-Finals,Final
bracket,23rd Place
John Carroll,Trine,0,1,"03/24/2019, 14:00",Finals,Final
bracket,25th Place
Kenyon,Ohio State-B,1,0,"03/24/2019, 14:00",Finals,Final
Kenyon,Northwestern (B),12,10,"03/24/2019, 12:10",Semi-Finals,Final
Western Michigan,Ohio State-B,9,11,"03/24/2019, 12:10",Semi-Finals,Final
bracket,27th Place
Northwestern (B),Western Michigan,1,0,"03/24/2019, 14:00",Finals,Final
b,r,e,a,k
