TCT Pro-Elite Challenge (Colorado Cup) 2019,Club - Mixed ,13,7,2019
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2019/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
01,Kieran Kelly
03,Cam Bailey
04,Kat Songer
06,Bryson Fox
07,Henry Phan
09,Jennifer Cogburn
10,Lexi Garrity
11,Michael Brisbois
14,Reed Hendrickson
15,Hazel Ostrowski
16,Zach Sabin
17,Ellen Goldberg
18,Emily  Cai
19,Alexa Romersa
20,Adam Simon
21,Jesse Bolton
23,Nicola Bruce
24,Zhi Chen
32,Emily Smith-Wilson
33,Sophia Palmer
71,Arianne Lozano
99,Khalif El-Salaam
b,r,e,a,k
Love Tractor,13
0,Austin Gregersen
0,Dena Slattery
0,Heather Kraft
0,Hilary Walker
0,Jesse Roehm
0,Maria Schwab
0,Matt Gleason
0,Michael Lun
0,Peter Gleason
0,Robin Fassett-Carman
3,Maggie Chen
3,Eric Hubbard
4,David Protter
5,Jack (John) McShane
7,Frances Gellert
9,James Cantwell
12,Heather Waugh
19,Garrett Moulder
19,Christina Mickle
24,Hilary Egan
27,Steve Schwab
33,David Kamin
35,Kate Pearson
42,Andrew Priester
83,Zachary Nager
88,Kirsten Fahlbusch
b,r,e,a,k
Polar Bears,12
01,Alexander Max
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
05,Aaron Shi
07,Charles Cao
09,Ellen Jacobus
10,Steven Chang
11,Carolyn Drewry
12,Ziyue Chen
13,Robert Yeagle
14,Kate Schlag
17,Margot Stert
18,Nicholas Alexander
23,Andrew Ouyang
23,Ryan Messersmith
24,Joe Thompson
25,Daniel Naruo
27,Aaron Hom
36,Sara Nolan
42,Matt Jaffe
51,Tommy Lin
52,Samantha Applegate
88,Linh Hoang
b,r,e,a,k
Jughandle,8
0,Andrew Auyeung
0,Cara Silvestri
0,Drew Rasmussen
0,Emma Ignaszewski
0,Jeff Shipkin
0,Jessica Renninger
0,Jimmy Wang
0,Harrison Treegoob
0,Iris Rukshin
0,Matt Lefebvre
0,Natalia De Jesus
0,Rebecca Halleran
0,Susanna Jivotovski
0,Thomas Johnson
0,Timothy Naumovitz
6,Dmitry Suvorov
7,Juliet Chung
11,Mason Compton
17,Rebecca Cooney
24,Jax Salustro
26,Megan Ma
38,TJ Stanton
42,Lucas  Richie
47,Ethan Smith
88,Nicole Hair
b,r,e,a,k
Blackbird,2
04,Deanna Bjorkquist
07,Rachel Holz
08,Donnya Ajdari
09,Adam Farren
10,Malina Wiebe
11,Corey Lee
13,Sally Mimms
15,Max Udsen
16,Vincenzo Vitiello
17,John Kolb
19,Ryo Kawaoka
20,Sam Swink
21,Stephen Sullivan
24,Andrea Romano
25,Julia Ting
27,Abigail Edwards VanMuijen
