East Plains Mixed Club Sectional Championship 2019,Club - Mixed ,7,9,2019
Versailles,OH,2019-09-07,2019-09-08
https://play.usaultimate.org/events/East-Plains-Mixed-Club-Sectional-Championship-2019/schedule/Mixed/Club-Mixed
Steamboat,1
01,Scott Schriner
02,Sophainara Long
04,Andriana Tompary
05,Ryan Gorman
06,Patrick McCarthy
07,Bryan Walsh
08,Tim Settles
09,Ellie Jose
10,Hector Rivera
12,Sydney Olund
13,Kristin Baxter
17,Claire Schwaba
19,Kate McInerney
21,Daniel Latz
22,Brittany Winner
23,Xavier Payne
24,Michael Settles
28,Jeff Haney
29,Machen Bihrle
33,Austin Winner
38,Joe Mozloom Jr
42,Ashley Farnkopf
45,Kristen Kaweck
74,Victoria Smith
77,Daniel Khoe
91,Noah Krumme
99,Maddie Samson
b,r,e,a,k
Petey's Scallywags,10
00,Grace Osborn
00,Harrison Davis
00,Jacob Brown
00,Jake Kenniv
00,Javive Diaz Este
00,Jolidexie Ovalles Pulido
00,Keiko Sjostrom
00,Kelsey Henderson
00,Kenton Lawson
00,Marielle Lynch
00,Mary Doherty
00,Matthew Wiebe
00,Meredith McCormack-Mager
00,Nathan Morgan
00,Ryan Stoneberger
00,Stephen Drew
00,Tony Donato
00,Travis Hare
00,Wei Yang
00,Andrew Wiebe
00,Anna Longhurst
00,Cole Hughes
00,Danielle Johnson
00,Aaron Keck
00,Abigail Nypaver
04,David Hazlett
07,Alexandria Hughes
b,r,e,a,k
Rocket LawnChair,7
0,Cherie Netzloff
0,Erica Mehra
0,Ian Pearsall
0,Joe Kowalkowski
0,Lindy Torvinen
0,Loriann Hom
0,Melissa Herta
0,Ryan Pakula
0,Toby Hartman
3,Croix Jastrow
4,Paul Versluis
5,Ian Eisnaugle
9,Rachel Torrez
12,Ann Oldani
13,Kellyann Barnett
13,Ryan Donnelly
14,Nicholas Kraft
17,Andrew Foldesi
18,Ashley Pepple
18,Franchesca Cassanese
23,Sara Herta
25,Rachel Cawkwell
28,Aidan Tank
31,Scott Hetu
36,Stephan Maxe
67,Stephen Bloetscher
88,Maria Aristizabal
b,r,e,a,k
Cleveland Rocks,16
00,Andrea Mael
00,Andrea Hobson
00,Barry McCoy
00,Daniel Luo
00,Daniel Montelione
00,David Casente
00,Derek Lin
00,Elle Marcus
00,Ellis Saupe
00,Joseph Sklansky
00,Kippie Douglas
00,Luke Spencer
00,Melanie Chastka
00,Mia Wang
00,Scott Popa
00,Tory Coyle
b,r,e,a,k
Hybrid,2
01,Alex Edinger
02,Justin Perticone
05,Hannah Cheng
07,Elizabeth Benedetto
08,Dan Donovan
10,Connor Lukas
11,Jacob Scobey-Polacheck
12,Leah Cann
14,Tessa Champoux
15,Alex Bertoia
16,Marissa Ray
17,John Goodwin
20,Madalyn Simko
21,Christina Hanson
22,Michael Dagher-Margosian
23,Alex Kapiamba
25,Amanda Decker
27,Bailey Besser
30,James Highsmith
34,Annie Mei
35,Joseph Besser
42,Mike Ogren
61,Riely Kuznicki
84,Nathan Champoux
88,Mark Whitton
90,Eryn Ogren
94,Ryan Ivey
b,r,e,a,k
Thunderpants the Magic Dragon,8
0,Avery Moeller
0,Brendan Turnbull
0,Celeste Irwin
0,Jana Graham
0,Jo Steva
0,Josh Shamburger
0,Kristan Barczak
0,Lianna Nordwig
0,Liz Keuffer
0,Maeve Meier
0,Malia Stephens
0,Matt Hudson
0,Matthew Dilworth
0,Megan Weyer
0,Michaela Duncan
0,Stephanie Yanosik
0,Tara McLaughlin
1,Andrew Carr
1,Travis Knight
2,Mike Walsh
3,Alex Carpenter
8,Alex Frasz
11,Timothy Barczak
22,Kristi Muhlenkamp
31,Thomas Brewster
76,Tommy Tappel
88,Simon Reiter
b,r,e,a,k
Pi+,15
0,Catherine Beatrice
0,David Wu
0,Rachel Monnin
2,Rebecca Monnin
09,Micah Wu
13,Luke Monnin
17,Aimee Lindemuth
21,Phillip Smith
22,Travis Monnin
23,Michael Schuster
25,Gabriella  Enders
26,Therese Enders
30,Jordan Monnin
33,Meg Teller
39,Joseph Lindemuth
49,Efraim Calicott
65,Julian Misleh
65,Christopher Misleh
72,Jake Montgomery
74,Alaina Johns
78,Caden Malott
79,Margaret Blair
b,r,e,a,k
Pixel,9
0,Claire Blazewicz
0,Elena Ung
0,Ellen Grimes
0,Mark Dziemianowicz
1,Joseph Hacker
2,Hayley Banas
3,Alex Mardlin
4,Tyler ODonnell
6,Jack Havey
7,Jonathan Lee
8,Christopher Hoxsey
10,David  Cole
14,Mark Leja
15,Michael Giles
18,Elaine Dziemianowicz
22,Trey Taliaferro
26,Gretchen Mills
28,Kelsea Fitzpatrick
32,Elizabeth Rott
33,Chad Dunne
33,Rita Hathaway
36,Amelia Dornbush
37,Rees McDevitt
47,Dan Kwass
98,John DePaul
99,Daniel Fonte
b,r,e,a,k
Toast,3
0,Brendan Schwalm
0,Carmella Vizza
0,Cian Johnson
0,Corie Auger
0,Edward Taylor
0,Madeline Guimond
0,Mitchell DeNooyer
1,Sean Clark
1,Michael Mansfield
2,Lucinda Toppen
5,Owen O'Neil
5,Ryan Lee
9,Anna McClurkan
13,Brian Keefe
14,Trevor Polisuk-Balfour
15,Brittany  Dooley
16,Samantha Phillips
19,Aaron Riess
20,Zach Jawahir
22,Jamie Petroelje
29,Jayleen Rossi
32,Justine Volz
54,Aaron Schwieterman
84,Michael Weber
85,Michael Stephen
92,Greg Hensen
99,Mya Hernandez
b,r,e,a,k
Goose Lee,5
02,Mary Timmons
05,Connor Shirley
06,Matt Woods
07,Michael Partusch
08,Timothy Hale
09,Dominic Camperchioli
10,Chris Alber
11,Sam Dreyfuss
12,Sophia Needham
13,John Cassidy
14,Kameron Horn
15,Aaron Bacon
18,Kegan Carroll
19,Samuel Fox
22,Liz Anderson
24,Julia Desrosiers
27,Emilee Armbruster
28,Sylvia Ulmer
29,Bailey Perkins
31,Kit Carle
31,Maria Dienger
33,Aaron Cannon
44,Malika Smoot
54,Jacob Fields
59,Daniel Brissette
66,Daniel Conrad
81,Kimberly Cooper
b,r,e,a,k
Second Wind,14
0,Felicia Bratti
0,Heather Villa
0,Jack Singleton
0,Jade Yang
0,Jason Rosser
0,John Kammerer
0,Jonah Bode
0,Alex Breneman
0,Alysia Nagel
0,Amanda Backus
0,Charlotte Chang
0,Christina Hedges
0,Dustin McConnell
0,Kristy Elwell
0,Kyle Root
0,Lindsey Fallon
0,Neil Mecham
0,Pablo Villa
0,Rachel Sirey
0,Stephen Booth
1,Emily Sharick
6,Kristen Plews
9,Michael Kopechek
12,Natalie Fancher
32,Kevin Crawford
55,Patrick Gleason
86,Michael Lee
b,r,e,a,k
Derby City Thunder,12
0,Brittney Tooker
0,Carter Hawkins
0,Charles Allen
0,Hannah Buckley
0,Hannah Clark
0,Joseph Dininger
0,Joshua McHargue
0,Katherine Meyer
0,Michael Ray
0,Rachel Huster
0,Ray Yeager
0,Regina Carrico
0,Thomas Filiatreau
0,Zach Halcomb
1,Rick Stewart
2,Nathan Huster
2,James Marsh
3,Raymond Palazzo
3,Rae Van Sandt
8,Conor King
15,Dennis Kuo
17,Amanda Gellhaus
17,Rachel Barr
19,Andrew Bessin
37,Seth Pierce
44,Trenton Schroeder
49,Matt Rosenfield
b,r,e,a,k
Petey's Pirates,4
0,Claire Ackerman
0,Dakota Regan
0,Dylan Elder
0,Eric Border
0,Gordon (Gordy) Sjostrom
0,Alora Reiff
0,Karli Bigler
0,Kelly Ross
0,Monica Tournoux
0,Rebecca Rings
0,Sarah San Pedro
0,Stephan Dober
0,Trimon Lamson
0,Tyler Higgins
3,Austin Eilbeck
7,Luke Groom
12,Alec Mathena
16,Jennifer Dai
17,Kelsey  Dober
19,Sebastian Miner
32,Nate Dikeman
34,James (Drew) Barkley
59,Todd Miller
69,Chan Woo Park
78,Tiffany Lim
95,Kristen Behrens
b,r,e,a,k
Moonshine,6
0,Cory Radcliff
0,Elizabeth Meyer
0,Eric  Sellers
0,Ian Spangler
0,Isabella Hansen
0,Jaimie Esaki
0,Jason Rueger
0,Jessica Neal
0,Amanda Morris
0,Asher Finkel
0,Kasey Schock
0,LJ Spurlock
0,Matthew  John
0,Mark Carr
0,Rebekah Taylor
2,Matt Brown
3,Ben Luckey
5,Joshua Wu
9,Caleb Montgomery
12,Kendall Archer
21,Micah Smith
32,Alexandra McMackin
36,Nate Maddux
45,Matt McMackin
54,Olivia Pokoski
72,Lula Dutille
b,r,e,a,k
Midwestern Mediocrity,11
0,Andrew Piet
0,Brandon Woody
0,Brittany Doctor
0,Christopher Dahm
0,Dan  Roelofs
0,Holly Vander Stel
0,Jason Litke
0,Kaciana Champlin
0,Mark Brown
0,Michelle Keohane
0,Rachel Danks
0,Ryan Boxeth
0,Stephan Scicluna
0,Emily Brereton
0,Zachary Dal Pra
0,Zahra Franco
2,Evan Winer
11,Christian Doctor
13,Zac Baker
13,David Danks
17,Matthew Silverhart
18,Charles Blum
19,Stephen Hoffman
22,Grace Kiel
67,Andrew Zoerman
77,Tim Jen
83,Andrew Curtin
b,r,e,a,k
Mishigami,13
24,Patrick Abeli
69,Phil Ewing
69,Rachel Martell
69,Reuben Glasser
69,Ryan Radawiec
69,Ryan Plumstead
69,Sarah Angold-Stephens
69,Alex Carls
69,Alexis Sanders
69,Alyssa Brown
69,Andrew Duquette
69,Ariel Stepniak
69,Aubrey Loftus
69,Catey Regis
69,Coral Muessig
69,Daniel Viggiani
69,Emily Dimperio
69,Ian Koskinen
69,Jennifer Knister
69,Jim Stratton
69,Juan Hernandez
69,Kirsten Welborn
69,Logan Kroczaleski
69,Lynette Gumbleton
69,Maketa Mattimore
69,Megan Isherwood
69,Nathan Frantz
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Steamboat,Petey's Scallywags,13,2,"09/07/2019, 09:00",Pool A,Final
Rocket LawnChair,Cleveland Rocks,13,6,"09/07/2019, 09:00",Pool A,Final
Steamboat,Cleveland Rocks,13,2,"09/07/2019, 11:00",Pool A,Final
Rocket LawnChair,Petey's Scallywags,6,11,"09/07/2019, 11:00",Pool A,Final
Steamboat,Rocket LawnChair,13,6,"09/07/2019, 13:00",Pool A,Final
Petey's Scallywags,Cleveland Rocks,13,7,"09/07/2019, 13:00",Pool A,Final
pool,Pool B
Hybrid,Pixel,13,3,"09/07/2019, 09:00",Pool B,Final
Thunderpants the Magic Dragon,Pi+,13,10,"09/07/2019, 09:00",Pool B,Final
Hybrid,Pi+,13,3,"09/07/2019, 11:00",Pool B,Final
Thunderpants the Magic Dragon,Pixel,12,11,"09/07/2019, 11:00",Pool B,Final
Hybrid,Thunderpants the Magic Dragon,13,3,"09/07/2019, 13:00",Pool B,Final
Pixel,Pi+,9,11,"09/07/2019, 13:00",Pool B,Final
pool,Pool C
Toast,Derby City Thunder,13,2,"09/07/2019, 09:00",Pool C,Final
Goose Lee,Second Wind,13,10,"09/07/2019, 09:00",Pool C,Final
Toast,Second Wind,13,5,"09/07/2019, 11:00",Pool C,Final
Goose Lee,Derby City Thunder,13,6,"09/07/2019, 11:00",Pool C,Final
Toast,Goose Lee,13,7,"09/07/2019, 13:00",Pool C,Final
Derby City Thunder,Second Wind,6,13,"09/07/2019, 13:00",Pool C,Final
pool,Pool D
Petey's Pirates,Midwestern Mediocrity,13,5,"09/07/2019, 09:00",Pool D,Final
Moonshine,Mishigami,13,8,"09/07/2019, 09:00",Pool D,Final
Petey's Pirates,Mishigami,13,4,"09/07/2019, 11:00",Pool D,Final
Moonshine,Midwestern Mediocrity,13,10,"09/07/2019, 11:00",Pool D,Final
Petey's Pirates,Moonshine,13,5,"09/07/2019, 13:00",Pool D,Final
Midwestern Mediocrity,Mishigami,13,9,"09/07/2019, 13:00",Pool D,Final
b,r,e,a,k
brackets,Regionals Qualification
bracket,1st Place
Steamboat,Toast,15,5,"09/08/2019, 11:00",Finals,Final
Steamboat,Petey's Pirates,15,8,"09/08/2019, 09:00",Semis,Final
Toast,Hybrid,16,14,"09/08/2019, 09:00",Semis,Final
Steamboat,Thunderpants the Magic Dragon,15,3,"09/07/2019, 15:00",Quarters,Final
Goose Lee,Petey's Pirates,11,14,"09/07/2019, 15:00",Quarters,Final
Toast,Moonshine,15,3,"09/07/2019, 15:00",Quarters,Final
Petey's Scallywags,Hybrid,13,15,"09/07/2019, 15:00",Quarters,Final
bracket,2nd Place
Toast,Hybrid,0,1,"09/08/2019, 13:00",2nd Place,Final
Petey's Pirates,Hybrid,11,15,"09/08/2019, 11:00",2nd Place Semis,Final
bracket,4th Place
Petey's Pirates,Moonshine,15,7,"09/08/2019, 13:00",4th Place,Final
Thunderpants the Magic Dragon,Moonshine,12,15,"09/08/2019, 11:00",4th Place Semis,Final
Thunderpants the Magic Dragon,Goose Lee,15,10,"09/08/2019, 09:00",4th Place Quarters,Final
Moonshine,Petey's Scallywags,13,12,"09/08/2019, 09:00",4th Place Quarters,Final
bracket,7th Place
Pi+,Goose Lee,9,15,"09/08/2019, 13:00",7th Place,Final
Pixel,Goose Lee,8,12,"09/08/2019, 11:00",7th Semis,Final
Petey's Scallywags,Pi+,12,14,"09/08/2019, 11:00",7th Semis,Final
Midwestern Mediocrity,Pixel,10,12,"09/08/2019, 09:00",7th  Quarters,Final
Pi+,Mishigami,15,12,"09/08/2019, 09:00",7th  Quarters,Final
Pixel,Rocket LawnChair,13,12,"09/07/2019, 15:00",7th Pre-Quarters,Final
Pi+,Cleveland Rocks,15,10,"09/07/2019, 15:00",7th Pre-Quarters,Final
Mishigami,Second Wind,13,10,"09/07/2019, 15:00",7th Pre-Quarters,Final
Midwestern Mediocrity,Derby City Thunder,15,9,"09/07/2019, 15:00",7th Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Games
bracket,9th Place
Petey's Scallywags,Pixel,10,14,"09/08/2019, 13:00",9th Place,Final
bracket,11th Place
Midwestern Mediocrity,Rocket LawnChair,5,11,"09/08/2019, 13:00",11th Place,Final
Midwestern Mediocrity,Second Wind,14,11,"09/08/2019, 11:00",11th Semis,Final
Rocket LawnChair,Mishigami,15,13,"09/08/2019, 11:00",11th Semis,Final
Cleveland Rocks,Second Wind,8,15,"09/08/2019, 09:00",11th Quarters,Final
Derby City Thunder,Rocket LawnChair,7,15,"09/08/2019, 09:00",11th Quarters,Final
bracket,13th Place
Second Wind,Mishigami,13,6,"09/08/2019, 13:00",13th Place,Final
bracket,15th Place
Cleveland Rocks,Derby City Thunder,0,1,"09/08/2019, 11:00",15th Place,Final
b,r,e,a,k
