Tea Cup 2019,College - Men ,30,3,2019
New Haven,CT,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Tea-Cup-2019/schedule/Men/CollegeMen/
Yale,1
teamInfo,Süperfly,"New Haven, Connecticut",http://superfly.sites.yale.edu,https://www.facebook.com/SuperflyUltimate,https://twitter.com/yalesuperfly
0,Samuel Pletcher
1,Masayuki Nagase
3,Seamus Joyce-Johnson
4,Jackson du Pont
6,Leo Lehrer-Small
02,Daniel Monteagudo
11,Anthony Ji
12,Kent Perlmutter
17,Hudson Walberg
21,Andrew Weitzman
22,Joseph Lybik
30,Colin McCloskey
31,Samuel Feder
32,Mac Schmidt
37,Ian Denzer
42,Guangping Chu
64,George Reichenbach
77,Tomaso Mukai
b,r,e,a,k
Tufts (B),9
teamInfo,Tufts B,"Medford, Massachusetts",www.tuftsmensultimate.org,,
0,Francis Straceski
0,Gus Meyer
0,Max Woolf
0,Jonah Zuckerman
0,Lucas Lytel
0,Maxwell Kaye
0,Mikael Hadeshian
0,Alexander Brodeur
0,Ben Santaus
0,Cameron Cummings
0,Connor Bryan
0,Noah Smith
0,Oliver Feder
0,Philip Sprague
0,Bobby Lovitch
0,Danny Nguyen
0,Siddhart Agarwal
0,Tucker Jaenicke
0,Varun Shah
2,Eli Shahar
21,Ethan Schreiber
23,Samuel Wilk
27,Daniel Alderman
76,Neal Chan
b,r,e,a,k
Amherst College,4
teamInfo,Army of Darkness,"Amherst, Massachusetts",,,
0,Tucker Arkin
2,Aaron Rennert
3,William Cohen
4,Mahesh Dhulipala
6,Julian Brubaker
7,David Larson
8,Griffin Lessell
9,Henry Walker
10,Robbie Zielinski
11,Erik March
12,Max Fox-Jurkowitz
14,alexander chaffers
21,Cole Steiger
22,David Brinkley
29,Lucas Newman-Johnson
30,Nathaniel Corley
37,Martin Glusker
98,Aaron Yang
99,Camilo Toruno
b,r,e,a,k
SUNY-Oneonta,5
teamInfo,A),"Oneonta, New York",,,
0,Christopher Andrade
0,Eric Lloyd
0,Eric Swan
0,James Sokol
0,Joseph Ferrara
0,Ryan Rosenblum
1,Edmund Carroll
4,James Stamos
5,Luke Boylan-Hockett
6,Dylan Hannaford 
11,William Jackson
25,Zackary Bonetti
29,Matthew Eicher
33,Ryan Assini
47,Martin Sak
69,Jake Brock
b,r,e,a,k
Boston College,3
teamInfo,Eagles,"Chestnut Hill, Massachusetts",,,https://twitter.com/bcultimate
0,Ryan  Foster
02,David Keene
03,Liam Earley
04,Jack Hepburn
05,John Wilson
07,Henry Crowley
09,Daniel Conte
10,Theo Kruse
11,Nick Bearup
13,Cole Nestler
14,Ben Wishnie-Edwards
17,Walker VonderHaar
18,Eamon Laughlin
19,Jonathon Peters
21,Myles Hahn
24,Brendan Chambers
27,Tristan Howlett
33,David Ding
44,Zachary  Hahn-Du Pont
45,Kevin Sprotte
69,Riley Hanson
b,r,e,a,k
Worcester Polytech,10
teamInfo,Bullets Ultimate,"Worcester, Massachusetts",,,
coaches,Ryan Turner
0,Brendan Gallagher
0,Brian Sayers
0,Ido Katz
0,Jackson Rowland
0,Reed Nowling
0,Ryan Shaw
0,Patrick Macaulay
0,Scott D'Attilio
0,Toby Macaluso
0,Wesley Paul
5,Owen Smallcomb
8,Samuel Moran
13,Alex Tacescu
15,Samuel Winslow
18,Tom Nurse
19,Paul Mara
20,Ethan Schock
21,Avery Cirincione-Lynch
22,Kyle Reese
33,Luke Ypsilantis
34,Frankie De Leo
55,Nicholas Hudgins
66,Jason McGrath
71,Nick Eusman
b,r,e,a,k
Columbia,2
teamInfo,Uptown Local,"New York, New York",http://www.columbia.edu/cu/ultimate/?DB_OEM_ID=9600,https://www.facebook.com/CU.uplo/,
0,Alexander Bienstock
0,Calvin Heiman
0,Daniel Levine-Siegel
0,David Shan
0,Denthew Learey
0,Edoardo Spolaore
0,Eli Kahn
0,Evan Lim
0,Itamar Klein
0,Jake Gutwein
0,Knut Gjertsen
0,Logan Logback
0,Maciej Dzumala
0,Marshall McKenna
0,Noah Igra
0,Oscar Kohut
0,Sagar Lal
1,Aaron Jaffe
7,JiMin Ko
9,Ethan Chen
14,Arthur Chen
21,Clayton Becker
b,r,e,a,k
Hartford,8
teamInfo,Lighthouse,"West Hartford, Connecticut",,,https://twitter.com/UHAultimate
00,David  Wojtowicz
00,Garrett Collins
00,Nicholas Reilly
03,Joshua Roy
05,Kyle Bonvouloir
07,Malcolm  Virgil 
11,Ethan Wagner
12,Jack Mccarthy
15,David Valencia
17,Stephen Vollaro
18,Tristan Arjavich
26,William Franz III
27,gabe alesse
30,Liam Bernier
31,Michael Knight-Allder
36,Adam Culver
41,Collin Wessman
42,Stephen Nahorney
43,Stephen DeRosa
50,Michael Brown
52,Michael DeVore
54,Aleks Nowicki
63,Mathew Payson
85,Dylan Small
87,Mason Wein
95,Kevin Lopez Giraldo
99,Joshua Friedman
b,r,e,a,k
Northeastern (B),6
teamInfo,Beastern,"Boston, Massachusetts",http://www.ultimate.neu.edu,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
0,Chris Yang
0,Evan Massa
0,Finn Fielding
0,Henry Finch
0,Henry Stock
0,Jake Gilden
0,James Keys
0,Alex Ma
0,Alfred Maler
0,Allen Shen
0,Jonathan Stout
0,John Barber
0,Josh Solomon-Culp
0,Kyle Conrad
0,Noah Milman
0,sam barton
0,Thomas Pedbereznak
0,Thomas Un
4,Camden Bickel
5,Kevin Dunne
11,Ateev Nahar
16,Brendon Wong
23,Thomas Gannon
42,Spencer Sochin
52,Benjamin Rubasch
63,Lukas Illion
67,Benjamin Deprez
92,James Greytok
b,r,e,a,k
Boston College (B),13
teamInfo,Boston College Eagles B,"Chestnut Hill, Massachusetts",,,
01,Andrew Kitz
06,Michael McGuigan
11,Antonio Gillespie
12,Jeff Coote
16,Evan Song
20,Jack Stroker
22,Nicholas Hawk
23,Michael Schneider
26,Jonathan Colavita
30,Matthew Garesche
47,John Mohler
77,Theo Jolly
b,r,e,a,k
Connecticut (B),12
teamInfo,Grind,"Storrs, Connecticut",,,https://twitter.com/UConnUltimateB
coaches,Matthew Kearney
0,Cameron Cietek
0,Connor Roderick
0,David Bigos
0,Ethan Hansen
0,Finn Lindstrom
0,Blake Widmer
0,Brandon Smith
0,Kevin Spichiger
0,Noah Sobel-Pressman
0,Robert Dampier
10,Ashkon Rajaee
12,Austin Gallimore
13,Brian Metro
14,Joseph Mikulewicz
19,Michael Rostenberg
21,Nicholas Saracco
30,Andong Li
31,Zachary Putney
37,Rohith Pamidimukkala
42,Andrew Dubsky
43,Anthony Delucia
55,Jimmy Kearney
77,Jake Karetsky
b,r,e,a,k
Wentworth,18
teamInfo,Concrete Jungle,"Boston, Massachusetts",,,https://twitter.com/WITUltimate
00,Aidan Korper
00,Alexander Creem
00,Alexander Garrity
00,Andrew DiLeo
00,Anmol Saini
00,Aren Tulp
00,Benjamin Cassola
00,Cody Robillard
00,Devlin Kenny
00,Evan McCarthy
00,Ian Brown
00,Jacob Crisafulli
00,Jacob Roberge
00,Jayson Pusateri
00,Matthew DiGianvittorio
00,Mikey Peloquin
00,Noah Smith
00,Ryan Shamel
00,Ryan Arsenault
00,Steven D'Onfro
00,Thomas Krouskup
b,r,e,a,k
Yale (B),15
teamInfo,Friends of Gravity,"New Haven, Connecticut",http://superfly.sites.yale.edu/,https://www.facebook.com/SuperflyUltimate/,
0,Conrad Cuevas
0,Daniel Ortega
0,Keduse Worku
0,Zachary Zabib
5,Daniel Hodeta
5,Alexander Hoganson
8,Benjamin Snyder
13,Tim Foldy-Porto
23,Alastair Chuan Yao Loh
28,Jake Levin
38,Robert  Luo
47,Sean Johnson
88,Gaole Dai
97,Nandan Patel
b,r,e,a,k
University of Massachusetts Amherst (B),7
teamInfo,ZoodiscB),"Amherst, Massachusetts",,,
0,Brian Chhouk
0,Forrest Logan
0,Leo Stern
0,liam carolan
0,Nicholas Contardo
0,Patrick O'Connor
0,Robert Shapiro
0,Robert Kennedy
0,Stephen Lynch
0,Thomas Cheng
0,Wilson Dang
0,Zachary Best
6,Ryan Menzie
13,Owen Henry
19,Ryan Kalukin
35,Reuben Hagen
69,Keith Gerstmann
74,Maxwell Karlin
b,r,e,a,k
Southern Connecticut State,11
teamInfo,Mighty Hucks,"New Haven, Connecticut",,,
0,Andrew Keeton
4,Edward Pascale
6,Harrison Stoffel
05,Nathaniel Ziobron
08,Michael Carruthers
14,Joseph Ciambriello
15,Kevin Landrigan
17,Adam Pelz
20,Rocco Veltri
22,Tom Pelton
24,Brandon Davison
27,Avery Biernat
33,Chad Neri
34,David Kudej
39,Duncan Mateer
50,Kyle Siegle
56,Eric Milliard
63,Zach Taylor
78,Christian Cavanagh
b,r,e,a,k
Rutgers (B),17
teamInfo,Mystery Machine,"Piscataway, New Jersey",,,
00,Alexander Huang
00,Andrew Liu
00,Andrew Hu
00,Brandon Egert
00,Daniel Liu
00,Darren Khong
00,Ethan Kan
00,Henry Chang
00,Jaidev  Phadke
00,Jason Zhang
00,Jeffrey Yang
00,Jiayu Zhang
00,Justin Siss
00,Kalea Dodge
00,Kyle Calhoun
00,Nicolaus Stalzer
00,Philip Meltzer
00,Sean Trzaska
00,Sean Ochiagha
00,TJ Giarrusso
00,Casey Xu
b,r,e,a,k
SUNY Oneonta (B),16
teamInfo,SOFA,"Oneonta, New York",,,
0,Brandon Brown
0,Colin Wind
0,Connor McClure
0,Ethan Kane
0,Kyle Terry
0,Meet Shah
0,Paiyam Kardgar
0,Peter Hingle
0,Raphael Palladino
0,Ryan Capocciamo
0,Will Brandt
3,Michael Nunziata
10,Matt Rooney
18,Michael Simile
97,Nicholas McElwee
99,Jake Johnson 
b,r,e,a,k
Amherst College (B),14
teamInfo,Bubba Ho Tep,"Amherst, Massachusetts",,,
0,Ashwin Balaji
0,Dean Gordon
0,Douglas Appenzeller
0,Jacob Gendelman
0,Jacob Frankel
0,Kevin Jin
1,Larkin Reuter
1,Derek Schneider
25,Devon Stuart
34,Jake Shapiro
85,Sam Schulz
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Yale,SUNY-Oneonta,10,8,"03/30/2019, 09:00",Pool A,Final
Amherst College,Tufts (B),7,10,"03/30/2019, 09:00",Pool A,Final
Yale,Tufts (B),10,8,"03/30/2019, 10:30",Pool A,Final
Amherst College,SUNY-Oneonta,8,6,"03/30/2019, 10:30",Pool A,Final
Yale,Amherst College,10,3,"03/30/2019, 13:30",Pool A,Final
SUNY-Oneonta,Tufts (B),9,10,"03/30/2019, 13:30",Pool A,Final
pool,Pool B
Columbia,Hartford,11,9,"03/30/2019, 09:00",Pool B,Final
Boston College,Worcester Polytech,13,1,"03/30/2019, 09:00",Pool B,Final
Columbia,Worcester Polytech,6,8,"03/30/2019, 10:30",Pool B,Final
Boston College,Hartford,11,4,"03/30/2019, 10:30",Pool B,Final
Columbia,Boston College,2,13,"03/30/2019, 13:30",Pool B,Final
Hartford,Worcester Polytech,7,6,"03/30/2019, 13:30",Pool B,Final
pool,Pool C
Northeastern (B),Wentworth,11,8,"03/30/2019, 09:00",Pool C,Final
Boston College (B),Yale (B),13,1,"03/30/2019, 09:00",Pool C,Final
