Texas Men's Club Sectional Championship 2019,Club - Men ,7,9,2019
Round Rock,TX,2019-09-07,2019-09-08
https://play.usaultimate.org/events/Texas-Mens-Club-Sectional-Championship-2019/schedule/Men/Club-Men/
Nitro,1
1,Wesley Miaw
2,Emmanuel Bilolo
3,Tyler Criss
4,Ryan Kyle
4,Julius Hubby
5,Darius Tse
6,Preston Howell
7,Andrue Guerrero
9,Bryan Hoffman
10,Jason Hustad
11,Andrew Maloney
12,Phillip Young
13,Christopher Fogel
19,Victor Mao
21,Alexander Brouwer
22,Scott Zachary
23,Kevin Bowman
25,George Lampron
27,Jeffrey Adams
32,Joseph Welkener
33,Michael Wilson
35,Ryan Buckingham
43,Peter Rangel
48,Jimmy Pignetti
81,Colin Doescher
89,Jack Wooldridge
99,Tanner Roberts
b,r,e,a,k
Papa Bear,8
0,Alasdair Gourlay
0,Andres Chesnut
0,Austin Belknap
0,Chris Tillman
0,Hayden Rich
0,Max Lukoschek
0,Nathan Poese
0,Ryan Stomp
0,Steven Kelly
0,Woodley Simon
0,Zain Asher
1,Rafael Cruz-Garcia
2,Christian Hagan
10,Daniel Erdeljac
12,Joshua Narabal
12,Andrew Hipskind
13,Alexander You
20,Jake Tomczyszyn
21,Austin Highsmith
25,Daniel Oliphint
26,Alejandro Paredes
27,James Strasburg
34,Caleb Ellison
44,Josh Khoury
44,Zach Raab
91,Michael Crosson
99,Mason Henkes
b,r,e,a,k
Glycerine,9
0,Aaron Smith
0,Adam Geller
0,Andy Lee
0,Ben Street
0,Dakota Merritt
0,Gregory Guggenmos
0,Jonathan Hill
0,Jordan Penn-White
0,Luis Orozco
0,Manov Jain
5,Theodore Chang
6,James Paterson
6,Donovan Bankett
7,Sam Johnson
8,Mason Kelley
11,Matthew Sutton
11,Eian Brent
12,Kyle Turner
12,Andrew Dorf
21,Alex Wang
22,Nicholas Cortes
32,Alexander Bacon
37,Michael Arrasmith
42,Gabriel Valdes
42,Aaron Dyreson
48,Christian Parker
55,Eric Kleckner
b,r,e,a,k
Rock Steady,16
0,Dylan Jones
0,Francisco Puga
0,Jay Banner
0,Dan Wachter
0,Kevin Khristian Cosgriff Hernandez
0,Ramiro Santana
0,Reagan Mayces
0,Scott Cilento
9,Rob Seidenberg
11,David Edwards
13,Keith Larsen
28,Paul Winkeler
42,Joseph Knize
b,r,e,a,k
