2019 U.S. Open Club Championship,Youth Club U-20 - Boys ,3,8,2019
https://play.usaultimate.org/events/2019-US-Open-Club-Championship/schedule/Boys/youth-club-u-20-boys/
Triforce,3
0,Jerry He
01,Tobias Brooks
02,Cal Nightingale
03,Josh Singleton
04,Albert Yuan
05,Brennan Kramling
07,Daniel Ferriter
09,Gage Rogers
10,Chris Walsh
11,Levi Tapper
12,Jack McCleary
13,Ramzi Cope-Musleh
14,Bodhi Harmony
15,Rutledge Smith
17,Matthew O'Connell
18,Jake Schwartz
21,Evan Phillips
22,Matti Lee
23,Gavin Russell
27,Jason Manning
31,Sean Wiles
51,Kevin Pignone
58,Simon Covington
88,Christopher Saacks
b,r,e,a,k
Foggy Bottom Boys,1
02,Isaac Lee
03,Noah Gross
04,Benjamin Greenberg
05,Will Tober
08,Jonah Lee
10,Adin McGurk
11,Asher Rosen
13,Benjamin Yam
14,Aaron Bartlett
17,Evan Berger
19,Jace Dean
23,Aaron Rosenthal
24,Jacques Nissen
26,Jack Hayes
29,Patrick Kenney
32,Sasha Frank-Stempel
38,Andrew London
43,Marcelo Ruggiero
50,Matthew McKnight
52,Zeya Min-Fink
83,Walt Johnson
b,r,e,a,k
Utah Swarm U20 Boys,8
05,Ryan Shin
06,Tucker Jewkes
07,Oscar Graff
09,Dallin Opperman
10,Justin Mecham
14,Zach Burnside
16,Sage Nightingale
17,RJ Christensen
19,Ashton McMahon
21,DJ Sorensen
23,Trevor Kelley
24,Jonny Hoffman
25,Kale Winterton
29,Nathan Taylor
30,Benjamin Cruz
49,Rory Beals
51,Hawken Kerr
64,Kadin Coombs
73,Jonathon Vizmeg
88,Elijah Watchalotone
91,Kalten Toone
95,Brock Hyatt
b,r,e,a,k
Flying Pig,6
01,Charles East
02,Aidan Stevens
03,Ryan Hummel
07,Benjamin Stetter
12,Eric Wilson
12,Garrison Wettengel
14,Nicholas Holden
15,Jonathan Buck
17,Granite Lesko
27,Nolan Irons
30,Trevor Jones
32,Jackson O'Daniel
61,Donovan Duffy
88,Isaac Plamondon
91,Gabriel Dorsey
97,Tucker Livermore
99,Vikram Deepak
b,r,e,a,k
ATLiens,2
02,Isaac Huntington
03,Jacob Croskey
05,Ben Dameron
06,Aidan Downey
07,Justin Burnett
08,Matthew Davidorf
09,Julian Shrader
11,David Chalmers
13,Jake Powell
14,Robert Mobley
15,Cole Chanler
16,Wyatt Maher
18,Adam Miller
19,Kendel Ridley
21,Jaden Medley-Fowlkes
23,Jack Krugler
25,Collin Hill
27,Jacob Greenhill
42,Francisco Fernandez
61,Carter Rathur
72,Matthew Dacey-Koo
89,Leo Saltzman
b,r,e,a,k
BUDA U20B,5
9,Jae Lee
01,Chase Drinkwater
03,Christopher Kiepert
04,Wesley Killough-Hill
06,Gabriele Kautz
08,Jaden Busch
09,Jack Rice
10,Wyatt Kellman
11,Bryan Dole
12,Luca  Harwood
13,Langston Lee
15,James Cairn
19,Leo Narbonne
21,Jonah Stang-Osborne
22,Cole Davis-Brand
24,Nathan Buchholz
27,Orion Cable
33,Parker Lin-Butler
35,Nathan Layton
36,Zach Riley
55,Michael Shriver
b,r,e,a,k
Red Dawn,4
00,Michael Tao
03,Jet Bristol-Ramsay
04,Zachary Rosner
08,Daniel Landesman
10,Itay Chang
11,Charlie Jia
12,Jason Huang
14,Keaton Viadro
16,Garrett Bush
17,Leo Gordon
21,Andres Ibarra
24,Riley Kirkman-Davis
25,Marshall Wildmann
26,Seth Wells
27,Elliott Rosenberg
30,Kyle Lew
45,Jackson Knox
47,Aidan Price
56,Luca Spycher
60,Liam Ereneta
71,Aidan Curry
88,Noah Ball-Burack
b,r,e,a,k
Texas United,7
01,Jackson Cole
02,Blake Henke
03,Aaron Barcio
04,Daniel Welkener
05,Peter Ngo
07,Troy Abbott
07,Sean Hall
08,Elan McMinn
09,Jackson Potts
10,Xavier Fuzat
11,Cullen Baker
13,Timothy Mosher
14,Zach Egge
17,Zachary Slayton
18,Jake Worthington
20,Luke Allen
21,Ryan Poe
22,Colton Green
23,Ryan Whisenhunt
35,Matt Chambers
b,r,e,a,k
DEVYL U-20,9
01,Aylen Learned
02,Jack Cioffi
03,Grayson Shovlin
04,Eric Binder
06,Zach Singer
09,Scott Heyman
11,Arthur Liaw
12,Matt LaBar
13,Eric Palia
14,Ryan Lee
16,Luke Barry
18,Matthew Pilla
21,Jacob LaRue
23,Benjamin Harris
24,Lyle Berkley
25,Charlie Smith
27,Matt Krauss
34,Jordan Bacharach
40,Gerard Bryson
46,Tristan Yarter
47,Eric Ellner
66,Oscar Sucre
87,Matthew Shapiro
93,Lucien Kisch
b,r,e,a,k
Colorado Cutthroat: Youth Club U-20 Boys,14
0,Dexter Luecke
02,Calvin Dodson
04,Parker Johnson
05,Chris Ellis
09,Conner Truitt
11,Riley Truitt
16,Max Kugel
19,Drew Grant
24,Joshua-Jamson Smith
27,Wesley Poole
32,Zachary Hunter
36,Jason Dulberg
41,Hunter Tenpas
42,Ian McCollister
44,Luke Buesser
46,Ethan Cordes
49,Ryan Calzone
57,Jack Gleason
67,Alastair Lewis
71,Ben Schwartz
72,Max Van Sickle
76,Josiah Crawford
77,Carson Crouch
b,r,e,a,k
Little Pony,16
00,Bernard Wang
01,Alexander Abrams
02,Jacob  Cowan
03,Hyosam Jeon
10,Christopher Ma
11,Phillip Guan
12,Maxwell Vale
14,Nick Wendell
17,Luke Smith
23,Henry Wildermuth
24,Robin Vickers Batzdorf
28,Isaac Kaplan
30,Victor  Jiang
41,Noel Sierra
44,Stephen Dolan
55,Leo Jordan
64,Leo Xiao
71,Horace  Fusco
80,Bo  Lu
87,Jack Abramson
87,Sean Carroll
b,r,e,a,k
Impulse,11
0,Reid Duncan
06,Ben Zhu
07,Christopher Thomason
11,Joey Wang
16,Darius Zalnasky
18,Sunvy  Yalamarthy
23,Eliot Duncan
24,Stephen Merante
27,Jake Sperry
30,Sathwik Garimella
32,Oliver Sokolski
42,Isaac Degenholtz
45,Carl Martini
51,Ethan Landis
86,Christian Harper
b,r,e,a,k
Minnesota Superior U20B,13
00,Rafael Leviton
01,Eli Showalter-Loch
02,Edward Rosenthal
03,Hayden Kolinski
04,Matt Johnson
05,Will Brandt
06,Max Pumarlo
07,Kai Bowen
10,Anthony Jirele
11,Gunnar  Mikko
12,Alex Hitchler
14,A.J. Larson
15,Mats Hansen
20,Jackson Willits
22,Cody Connolly
23,Paul Krenik
24,Mauricio Badillo Moorman
26,Thomas Salamzadeh
33,Brett Duncan
40,Thomas Walker
43,Anson Parker
53,Thomas Hotvedt
69,Aiden  Lomen
88,Evan Ellis
98,Ethan DeJesus
b,r,e,a,k
Red Hots - u20,10
0,Eli Artemakis
01,Ethan Smith
02,Jack Hollander
03,Nate Cinnamon
05,Brendan McCluskey
06,Kyle Sands
07,Will Reiman
09,Samuel Swiatek
10,Jimmy Davis
13,Luke Bleers
15,Luke Brigman
16,Simon Dastrup
