Illinois Invite 8,College - Men ,30,3,2019
RANTOUL,IL,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Illinois-Invite-8/schedule/Men/CollegeMen/
Wisconsin-Whitewater,5
teamInfo,Sub*Par,"Whitewater, Wisconsin",,,@subparUWW
0,Dominic Ottens
0,Joey Freeman
0,Kyle Ferris
00,Shane Otis 
00,Jacob Dertz
00,Matthew  McNulty
00,Nick Goran
00,Nick Trent
00,Nikolas Yray
00,Dylan Power
00,Glenn Kaboskey
11,Nirwant Pangli
12,Andrew Wilks
15,Jack Pulvermacher
17,Grant Behrens
18,Riley Lamberty
19,Zach Ostermann
20,Jack Weiland
21,Andrew Van Steenbergen
22,Liam McDonald
23,Grant Good
28,Benjamin Duval
33,Jonathan Humer
44,Alex Kreuger
53,Lucas Stuiber
69,Josh Kuse
b,r,e,a,k
Wisconsin-Milwaukee,1
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
3,Jackson McCausland
4,Timothy Garman
6,Paul Weisser
7,Deng Deng
11,Will Casperson
15,Charlie Benforado
18,Ryan Williamson
21,Kyle Gasiorowicz
24,Justin Stubbe
29,Samuel Dirks
30,Stephen Becker
55,Jonah Casimir
80,Easton Dobson
87,John McCune
91,Austin Johnson
b,r,e,a,k
Wisconsin (B),9
teamInfo,Fauxdags,"Madison, Wisconsin",,,
0,Alan Edwards
0,Arlo Strozewski
0,Edward Larson
0,Jacob Calbaum
0,Kye Hanson
0,Luke Boge
0,Malcolm Richardson
0,Matthew Berkholtz
0,Rachel Hildebrand
0,Spencer Blume
2,Garrek Wierzba
4,Evan McNamara
11,Sam Dinerman
16,Sean Markey
16,Mitchell Rose
17,Geordi Haerr-Hartmann
22,Dylan Petersen
25,Andrew Paulson
36,Adam Friedman
63,Benjamin Rubin
77,Kyle Fruhling
b,r,e,a,k
Michigan State,4
teamInfo,ARC,"East Lansing, Michigan",http://www.msultimate.com/,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
coaches,Dan Donovan
0,Ben Plumstead
01,Sean Mulka
03,Aaron Troilo
04,Connor Lang
05,Jaret Carpenter
07,Brennen Scholten
08,Alexander Krantz
09,Dallas Burger
11,Mac Weber
12,Andrew Duquette
13,Dylan Hall
14,Mark Brandly
15,Cheng-Yu Ho
16,Dex Dremann
17,Ryan Plumstead
19,Devon Fitzgerald
20,Jacob Demski
21,Justin Klaus
22,Drew Frenzel
24,David Zoldan
25,dylan reinke
26,Souichi Terada
27,Jake Pruitt
33,Daniel Dodge
39,Evan Hamp
47,Sawyer Ruben
67,Karthik Krishnan
77,Matthew Martell
83,Drew Norton
97,Ryan Radawiec
98,Logan McDonald
99,Nick Ryan
b,r,e,a,k
Toledo,8
teamInfo,Savage,"Toledo, Ohio",,,
0,Eseosa Aguebor
03,Jesse Kiefer
04,Quinnlan  Hipp
05,Kurt Crockett
07,Trevor Oxley
08,Benjamin Bosela
10,Christin McCarty
13,Erik Schaefer
16,Benjamin Netry
17,Daniel Tracey
20,Aaron Lobenstein
22,Raymond Navor
23,Joshua Behm
25,Andrew  Muir
27,Tristan Bowerman
28,Tristan Smith
28,Denny Olejniczak
33,Trevor Mack
35,Jon Gibson
38,Alexander Godzak
44,Justin York
69,James Seiler
74,Jonathan Koning
81,Camden Hayden
b,r,e,a,k
Grand Valley State,3
teamInfo,Lakers,"Allendale, Michigan",,,
01,Brad Sanders
02,Justin Perticone
03,Mitchell LeBlanc
05,Logan MacGregor
07,Aidan Nic
10,Keegan Barth
12,Phouttasone (Preston) Saycocie
13,Ben Magro
16,Collin Nederhood
17,Matthew Silverhart
19,Stephen Hoffman
21,Justin Von Kulajta Winn
21,Elliot Perpich
22,Madalyn Simko
24,Aidan Clawson
25,Brendan  Ulanch
26,Sam Hoffman
27,Cory Wyn
32,Hayden Townley
42,Adam Freeman
45,Cameron Muldowney
52,Daniel Ahearn
88,Mark Whitton
98,Tyler Postema
b,r,e,a,k
Michigan (B),2
teamInfo,Michigan-B,"Ann Arbor, Michigan",http://www.magnumultimate.com,,https://twitter.com/Reserve2K19
0,Andrew Dazzo
0,Benjamin DeVries
0,Blaine Teahan
0,Eric Hillsberg
0,Isaac Katongole
0,Jamie Clauson
0,Joseph Shoyer
0,Leonard Miller
0,Patrick Fulton
0,Roland Park
0,Rowan Kent
0,Russell Dale
0,Tao Cai
9,Peter Sonnega
10,Ryan Flattery
11,Samuel Ringold
17,Colin Romine
22,Colin Case
22,Owen Talmadge
31,Brendan Flannagan
49,Adam Assink
54,Alexander Wang
58,Aaron Parsons
61,Ryan Fattal
72,Paul Vander
88,Samuel Dunlap
98,Logan Kroczaleski
b,r,e,a,k
Loyola-Chicago,10
teamInfo,Darkwing,"Chicago, Illinois",http://loyolaultimate.wixsite.com/darkwing,,
0,Alec Anglin
0,Clay Sheko
0,Collin Dannheim
0,Daniel Lore
0,Grant Carlson
0,Henry Martin
0,Honami Nelson
0,Jack Hopper
0,Jeffrey Aguilar
0,Jeremiah  Jacob-Dolan
0,Joseph Roarty
0,Julian  Brennan-Pomatto 
0,Karl Sheeran
0,Kyle Baker
0,Matthew Fix
0,Nic Nagata
0,Ryan Cunnea
0,Samuel Carlson
0,Stefano Favuzzi
0,Tommy Oswood
0,Troy Richardson
0,William Laveck
3,Jacob Zeidner
4,Alec Ricker
16,Drew Byrne
b,r,e,a,k
Northern Iowa,7
teamInfo,AmmUNItion,"Cedar Falls, Iowa",https://sites.google.com/site/ammunitionultimate/home,https://www.facebook.com/UNI.ultimate,https://twitter.com/UNIUltimate
6,Joshua Timms
7,Timothy Swanson
11,Matt Adams
12,Ethan Schultzen
13,Scott Sivola
14,Cole Valentine
15,Philip Adams
16,Colin Stroehle-Durrah
17,Andrew McCartan
20,John Cannon
25,Matthew Langel
35,Caleb Lundeen
43,David Hindman
55,Michael Bonin
72,Clayton Phillips
99,Mason Wirtz
b,r,e,a,k
DePaul,6
teamInfo,DUC,"Chicago, Illinois",modules/common/depaultimate.weebly.com,https://www.facebook.com/DePaulUltimateClub,https://twitter.com/depaultimate
0,Daniel Friedland
0,Aidan Williams
0,Christopher Stuart
0,Jakob Farness
0,Mathew Gurgel
0,Nicholas Apostolopoulos
0,R Marco Apostolopoulos
0,Sam Simone
0,Stephen Giunta
1,Thomas Freeman
4,Davis Read
7,Conor Hermer
8,Zach Burke
9,Joshua Ludtke
11,Michael Prasauskas 
14,Samuel Tagle
