2019 U.S. Open Club Championship,Youth Club U-20 - Mixed ,2,8,2019
Blaine,MN,2019-08-02,2019-08-05
https://play.usaultimate.org/events/2019-US-Open-Club-Championship/schedule/Mixed/youth-club-u-20-mixed/
DiscNW Bankroll,1
teamInfo,,"Seattle, Washington",,,
coaches,Taylor Kanemori,Khalif El-Salaam,Sam Terry
0,Nico Binuya
00,Julia Hasbrook
01,Amy Ly
02,David Zhou
03,Coen DeMaranville
04,Tori Gray
07,Anna Goddu
08,Hazel Ostrowski
10,Aidan Lopez Escarez
11,Jalil Morris
12,Amy Nguyen
13,Sophia Palmer
14,Kayla Pianh
16,Otis Williams
19,Ryan Nguyen
21,Brian (Dominic) Jacobs
24,Abby Hecko
27,Olivia Goss
32,Souma Yabuki
44,Angelina Jeantette-Coca
45,Alex Nelson
50,Spencer Land
61,Guinevere Fish
73,Alexander Katz
89,Stephen Shettler
96,Ryan Liao
b,r,e,a,k
INcognito,16
teamInfo,,"Indianapolis, Indiana",,,@INcognitoUlti
coaches,Zakk Mabrey,John Rempel,Rechelle Frash
0,Owen Miller
01,Kimberlee Townsend
02,DeVonte Smith
03,Simon Kayembe
05,Rachel Moore
06,Devy Weir
07,Leanna Sequeira
08,Victorine Nambenga
09,Christian Lucas
11,David Woods
12,Rose Malinoski
13,Annie Geoghegan
15,Mason Baumer
17,Jack Eads
18,Quentin Pollard
19,Emma Barksdale
21,Ella Brandford
22,Salem Hudson
23,Rylan Hassett
26,Logan Williams
30,Darren Smith
35,Nate Phillips
44,Nick Phillips
47,Maximillian  Humbert
77,Jeremiah White
99,Simon Mpole
b,r,e,a,k
Flood,9
teamInfo,,"Corvallis, Oregon",,,
coaches,Jeremy Randolph-Flagg,Evan Thatcher
00,Flynn Nyman
01,Joseph Renzema
02,Ava Edwards
03,Keali Mccarter
05,Michael Dreger
11,Sam McCarty
18,Alesh Fremouw
19,Joshua Garcia
20,Moya Moses
22,Mikhail Eller Chubb
24,Crystal Still
27,Emmy Formiga
32,Thomas Harris
35,Alexandra Koetje
36,Elliott Haberman
46,Cooper Johnson
55,Devon Jones-Stanley
b,r,e,a,k
Swing Vote,8
teamInfo,,"Washington, District of Columbia",,,@SwingVoteDC
coaches,Geoffrey Horsfield,Adrienne Nicholson,Asako Yamamoto
